,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
0,7.493789057757576e-08,7.40268690867402e-08,7.352656723386922e-08,7.922136085007639e-08,7.423250357315921e-08
1,0.1567142215605328,0.43943191231484774,5.507575595591256,0.022581394362013577,0.33013849164217807
2,8.084987834869298e-09,8.090603787559871e-09,8.095834127541644e-09,8.085182164931881e-09,8.089240611682988e-09
3,6.05609092518208e-09,6.059506181221188e-09,6.062132731419542e-09,6.050872003743334e-09,6.058668186068457e-09
4,7.199509879629995e-09,7.204236893547621e-09,7.208110947325588e-09,7.19669482838595e-09,7.202929054472049e-09
5,5.972156183543595e-09,5.975487620432905e-09,5.978039972556009e-09,5.967179316214701e-09,5.9744774030981895e-09
6,7.529132450879433e-09,7.534155415819577e-09,7.538427583403536e-09,7.528075964551318e-09,7.53240696098924e-09
7,8.00777078468984e-09,8.013336110226662e-09,8.018514865721913e-09,8.008413244391006e-09,8.011292793189867e-09
8,6.195724414858886e-09,6.1993072307551245e-09,6.2021509725227906e-09,6.191089522556798e-09,6.197962888013051e-09
9,6.034762164313358e-09,6.0382089385562975e-09,6.040864805887174e-09,6.029868858485322e-09,6.036468989242962e-09
10,9.474009244333872e-08,9.324595148720016e-08,9.225387076965575e-08,1.015815607770957e-07,9.416229118513831e-08
11,2.7905620689401237e-08,2.7862136414630733e-08,2.7877083819671866e-08,2.8397487669676112e-08,2.788734683095989e-08
12,9.030929648420004e-08,8.893509795795419e-08,8.806836452611838e-08,9.660726289463645e-08,8.996186413149374e-08
13,0.7032909340044601,2.019449640481257,25.808767084955704,0.09846075006157011,0.8359115059517432
14,0.5577353942986657,1.6044880160834127,20.944641037958487,0.07830671303870464,0.6743963735126814
15,0.515946213236742,1.4900170245837883,20.89582044987041,0.0726476253889202,0.596006827859754
16,0.4967217015989173,1.4330705974301883,21.28909116266983,0.06994072683726502,0.5523887853376201
17,0.3598475609858194,1.0435578440354714,16.13247832082479,0.05037869734491393,0.3814384120172637
18,0.5140210115574843,1.4877236130785447,22.70357245529937,0.07196296831378415,0.5140210115574843
19,0.2767023553506618,0.7976932541122417,11.566946712827567,0.03873838114837279,0.2664248414312757
20,0.882680010331144,2.5569899106142646,35.08210368347318,0.12140013132870384,0.7865715870533108
21,0.9591656537381579,2.7733589452624403,36.60724169014686,0.13154273232660155,0.8002182052375975
22,6.964839011469374e-08,6.886794508096086e-08,6.849702562556413e-08,7.351034752399307e-08,6.989702694265918e-08
23,1.4829232935424833e-08,1.4832617932964729e-08,1.4849100171066054e-08,1.4901296146949202e-08,1.4830574004159023e-08
24,6.1717457394423446e-09,6.175302629858263e-09,6.177964348516569e-09,6.166679819716199e-09,6.171626051233685e-09
25,6.392825290836184e-09,6.396615982710037e-09,6.399416164309731e-09,6.388129458655889e-09,6.392028029870237e-09
26,7.759954455199645e-09,7.765288887623173e-09,7.769679983016652e-09,7.758912473713388e-09,7.75873680008907e-09
27,1.3083910611064369e-08,1.3089417103882565e-08,1.3102369636956966e-08,1.3124684311794243e-08,1.308391119510686e-08
28,2.8171280052265643e-08,2.8126564562138873e-08,2.8139693685596763e-08,2.8660758951778117e-08,2.818685500172738e-08
29,2.3184334317313774e-08,2.3164648670583626e-08,2.3182423753268982e-08,2.3473228749326143e-08,2.319141804807626e-08
30,1.1125199571084647,3.2398597914609777,49.38580031662522,0.1670355863375372,0.904513395528308
31,0.8115031287316278,2.4529003528056315,46.591313101124044,0.1333348079970647,0.556327930038777
32,1.0556884448695206e-08,1.0565495566786318e-08,1.0576627316536272e-08,1.056419513955875e-08,1.0555121388132274e-08
33,1.6517112904664127e-08,1.6520041278114356e-08,1.6544296143923597e-08,1.6576519623197998e-08,1.6529367943462258e-08
34,2.9059308321850128e-08,2.9009874940102928e-08,2.904453825681647e-08,2.9420633810535887e-08,2.9174683731472887e-08
35,2.409582207753538e-08,2.4075255764486365e-08,2.4110665173622298e-08,2.4305522207002616e-08,2.414613106025052e-08
