,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
0,1.1544923703544041e-09,1.154940264204473e-09,1.1548341192130261e-09,1.1546915387634002e-09,1.159647430068827e-09,1.1547407234723239e-09,1.1540240515460156e-09,1.1549479084390341e-09,1.159647430068827e-09,1.1537873204657528e-09,1.1548151632217468e-09
1,6.29785910487345e-10,6.299426995796397e-10,6.299007538313487e-10,6.298287048071987e-10,6.300618716959705e-10,6.298452969517571e-10,6.296662075587016e-10,6.299460181184258e-10,6.300618716959705e-10,6.29491722579111e-10,6.298856768214125e-10
2,3.6632589459517525e-10,3.664032485415438e-10,3.6638623233769427e-10,3.663541234114341e-10,3.661239985353047e-10,3.6636267675985156e-10,3.662939533935486e-10,3.664045226245599e-10,3.661239985353047e-10,3.6624817401437944e-10,3.663798051012647e-10
3,2.5032743285294886e-10,2.503686319795757e-10,2.503600726670382e-10,2.503432856767802e-10,2.5010221662771984e-10,2.5034784643718504e-10,2.5030367686859975e-10,2.503692022841395e-10,2.5010221662771984e-10,2.502862198952625e-10,2.503564347761131e-10
4,2.1992695833904634e-10,2.1995982097716496e-10,2.1995320706688443e-10,2.1993936427077115e-10,2.1971125759297627e-10,2.1994350799739666e-10,2.1990591543278877e-10,2.1996026085915285e-10,2.1971125759297627e-10,2.1989139186522212e-10,2.199502130478379e-10
5,1.9424795522620527e-10,1.942743532085382e-10,1.9426941253496307e-10,1.9425787088028905e-10,1.940488422600251e-10,1.9426273953626033e-10,1.942297540693452e-10,1.9427468551473307e-10,1.940488422600251e-10,1.942167090410886e-10,1.9426636054644886e-10
6,2.1519978525270287e-10,2.1523136060674892e-10,2.1522520644659427e-10,2.152117065395264e-10,2.1498650469341723e-10,2.1521841969353434e-10,2.1517923066084923e-10,2.152317351995332e-10,2.1498650469341723e-10,2.1516004115540286e-10,2.1521723072449242e-10
7,2.7596257487916684e-10,2.7600946735382903e-10,2.7599975405021667e-10,2.7597994176681214e-10,2.757352590023357e-10,2.759921382815445e-10,2.759363428194873e-10,2.7601012462993573e-10,2.759820916147098e-10,2.759045449151374e-10,2.759851107390337e-10
8,3.733489171978135e-10,3.7342463902706906e-10,3.734079543610724e-10,3.7337464879513715e-10,3.7314881114299276e-10,3.7339636756828063e-10,3.7331408377225234e-10,3.7342570560062227e-10,3.734065412134435e-10,3.732658050281185e-10,3.733627290634078e-10
9,3.6630483532538597e-10,3.6638009235823435e-10,3.6636274581690464e-10,3.663295979858845e-10,3.660993854609996e-10,3.663511465455933e-10,3.6626952855831683e-10,3.663811821403472e-10,3.6636888964048297e-10,3.662237450915867e-10,3.6627993779618306e-10
