,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
0,2.0366684372677391e-10,2.0371325097374783e-10,2.0371468761596634e-10,2.0368085692016584e-10,2.0368020495094576e-10,2.034825668271075e-10,2.0372749283804207e-10,2.0282116755797606e-10,2.037356627729963e-10,2.0372590834964735e-10,2.0368020495094576e-10,2.0282116755797606e-10,2.0282116755797606e-10
1,1.9402616764965366e-10,1.9406964448876134e-10,1.940692618267392e-10,1.9404134197747478e-10,1.9403784569726145e-10,1.9324376836027314e-10,1.9408169212848595e-10,1.9324376836027314e-10,1.9409026194187889e-10,1.9408126268212222e-10,1.940371996618308e-10,1.9324376836027314e-10,1.9324376836027314e-10
2,1.5427543834763348e-10,1.5430601230438277e-10,1.5430569395014755e-10,1.5428628565938246e-10,1.542837257413707e-10,1.537548198501833e-10,1.543138335895889e-10,1.537548198501833e-10,1.54319106849453e-10,1.5431344061905399e-10,1.5428325509714568e-10,1.537548198501833e-10,1.537548198501833e-10
3,1.4392914184166866e-10,1.4395612158697338e-10,1.439553617607046e-10,1.4393857869527406e-10,1.439374427507184e-10,1.4347335074245949e-10,1.4396349666380033e-10,1.4347335074245949e-10,1.439674366566729e-10,1.4396252594572445e-10,1.4393620468271768e-10,1.4347335074245949e-10,1.4347335074245949e-10
4,1.3937280902873974e-10,1.3939672185909486e-10,1.3939489920302097e-10,1.3937983103876768e-10,1.3937786443509033e-10,1.3894332096762972e-10,1.3940449129637338e-10,1.3894332096762972e-10,1.394075596351532e-10,1.3940285473743504e-10,1.3937743366163866e-10,1.3894332096762972e-10,1.3894332096762972e-10
5,1.323388756604778e-10,1.3236091708721128e-10,1.3235943744411027e-10,1.323457415634667e-10,1.323435828803711e-10,1.3195055838144655e-10,1.3236763695747457e-10,1.3195055838144655e-10,1.3237056402678733e-10,1.323663964626892e-10,1.323435828803711e-10,1.3195055838144655e-10,1.3195055838144655e-10
6,1.4850361868011075e-10,1.4853064519874832e-10,1.4852815440616523e-10,1.4851196220409324e-10,1.4851070963970804e-10,1.4801898211042134e-10,1.485390713719545e-10,1.481651969164678e-10,1.4854314136968259e-10,1.485376822745922e-10,1.4850981091361821e-10,1.4801898211042134e-10,1.4801898211042134e-10
7,1.4391646979968813e-10,1.4394220869455756e-10,1.4393960648036753e-10,1.4392447441086525e-10,1.439232736888214e-10,1.4346012440319795e-10,1.4395079406837256e-10,1.4387320651029857e-10,1.4395392012279516e-10,1.4394867810273762e-10,1.439224116651448e-10,1.4346012440319795e-10,1.4346012440319795e-10
8,1.3286704536396324e-10,1.328894833346313e-10,1.328871356880292e-10,1.3287417591021493e-10,1.3287347681390446e-10,1.3286409616444524e-10,1.3289687504056397e-10,1.3285919257180307e-10,1.328993241089108e-10,1.3289489974904928e-10,1.3287152879928744e-10,1.3247629418993787e-10,1.3247629418993787e-10
9,1.9312726794682457e-10,1.9316684339700542e-10,1.9316208092852424e-10,1.9313941286964968e-10,1.9313763471490096e-10,1.931483136600027e-10,1.931815982089284e-10,1.9313757255788538e-10,1.9318722262440715e-10,1.9317798524707654e-10,1.931356783718966e-10,1.9288081891578107e-10,1.9235059722640018e-10
10,2.4946518987674e-10,2.495257584278086e-10,2.4952231959545717e-10,2.494856227945117e-10,2.494838741753959e-10,2.4950425572e-10,2.495479860644841e-10,2.494868603549194e-10,2.4955774106782563e-10,2.495428110977014e-10,2.4947998209432057e-10,2.49294365278576e-10,2.483412782848682e-10
11,2.5972971616221995e-10,2.5979590512496975e-10,2.5979355896221127e-10,2.5975376933300405e-10,2.5975008843223677e-10,2.5975967091631855e-10,2.598197301827613e-10,2.585500850370072e-10,2.598303392132718e-10,2.598141965087846e-10,2.5974697000575387e-10,2.596298920320947e-10,2.585500850370072e-10
12,2.8306972728757093e-10,2.8314724070262614e-10,2.8314553111446017e-10,2.8309947585525597e-10,2.830916561892493e-10,2.817741587545372e-10,2.831749290794911e-10,2.817741587545372e-10,2.831871327253136e-10,2.8316814759994455e-10,2.8308903181000304e-10,2.8300334491766003e-10,2.817741587545372e-10
13,2.950615811011284e-10,2.9514549043021346e-10,2.951449689538993e-10,2.950934131124343e-10,2.9508406828422797e-10,2.9371192329709817e-10,2.951758459967152e-10,2.945413958495048e-10,2.951880074482348e-10,2.9516796128126465e-10,2.9508406828422797e-10,2.9498951617346493e-10,2.9371192329709817e-10
14,3.1748169628585456e-10,3.175796818352055e-10,3.1758024965487805e-10,3.1752160689542106e-10,3.1750903624004095e-10,3.160433061159529e-10,3.176135274663395e-10,3.1748463779951554e-10,3.176269836353385e-10,3.1760507936945646e-10,3.1750903624004095e-10,3.17369805442731e-10,3.160433061159529e-10
15,2.9276883634063426e-10,2.9285036750916734e-10,2.928508782907769e-10,2.92800074258388e-10,2.927894922891853e-10,2.914296267346672e-10,2.928810855274754e-10,2.9278138430771534e-10,2.928919155730018e-10,2.928729464046216e-10,2.9279092271416833e-10,2.9260285166406455e-10,2.914296267346672e-10
16,3.299299396827395e-10,3.3003145536739425e-10,3.3003185486687897e-10,3.299698054877244e-10,3.2995980885504363e-10,3.284433133949662e-10,3.3006782356626357e-10,3.299161191721342e-10,3.300810342125397e-10,3.3005796632373416e-10,3.299580534795143e-10,3.295042833646529e-10,3.284433133949662e-10
17,6.607487365171399e-10,6.611387964666613e-10,6.611329836643512e-10,6.608997717356492e-10,6.608587891732147e-10,6.591786551842215e-10,6.612482592107486e-10,6.584700969846861e-10,6.612900662235015e-10,6.612208099549757e-10,6.608452201908182e-10,6.591786551842215e-10,6.591786551842215e-10
18,5.343154776661033e-10,5.345764182379405e-10,5.345750761818386e-10,5.344177500927174e-10,5.343995961559093e-10,5.32461986068935e-10,5.346511440135578e-10,5.32461986068935e-10,5.346798530070737e-10,5.346310991283359e-10,5.343865322874177e-10,5.32461986068935e-10,5.32461986068935e-10
19,6.256998587108781e-10,6.260542162282579e-10,6.260516894928657e-10,6.258374068962291e-10,6.258117434627996e-10,6.240043345831476e-10,6.261543897276449e-10,6.240043345831476e-10,6.261921271772888e-10,6.26129174861618e-10,6.257941868279791e-10,6.240043345831476e-10,6.240043345831476e-10
20,4.535353679916083e-10,4.5372690879947383e-10,4.5372623427752693e-10,4.5361122918663614e-10,4.5360386508476483e-10,4.5173136688864466e-10,4.537873363594839e-10,4.5173136688864466e-10,4.538092364551146e-10,4.5377018984177606e-10,4.535848399814162e-10,4.5173136688864466e-10,4.5173136688864466e-10
21,4.543361338551851e-10,4.545277290593018e-10,4.5452670562386684e-10,4.544129895036517e-10,4.544103579958086e-10,4.5253059849764363e-10,4.5458744942430896e-10,4.5428673873350836e-10,4.546091566675688e-10,4.545706284159625e-10,4.54385750608204e-10,4.5253059849764363e-10,4.5253059849764363e-10
22,3.9350263404701906e-10,3.9364595952871134e-10,3.93644915350933e-10,3.9356032078044347e-10,3.93558358730462e-10,3.918231874720793e-10,3.936909494261666e-10,3.935595578854862e-10,3.9370948451705097e-10,3.9367953771429715e-10,3.9353996578668145e-10,3.918231874720793e-10,3.918231874720793e-10
23,4.4818308833464793e-10,4.483694110384316e-10,4.483687423519718e-10,4.482579974618158e-10,4.4825004879421633e-10,4.463870703667683e-10,4.4842338293113285e-10,4.4744871828768425e-10,4.4844960314995083e-10,4.48411493369279e-10,4.4822793677475635e-10,4.463870703667683e-10,4.463870703667683e-10
24,5.402464966931492e-10,5.405152180613169e-10,5.405137684624775e-10,5.403531072231461e-10,5.403456138838721e-10,5.383862610739705e-10,5.405877398076929e-10,5.393241390774057e-10,5.406236174692535e-10,5.405730789579543e-10,5.403150561633742e-10,5.383862610739705e-10,5.383862610739705e-10
25,6.17628762987189e-10,6.179935341070155e-10,6.179867838215417e-10,6.177920413108366e-10,6.177653820553984e-10,6.15899954251499e-10,6.180823761507426e-10,6.15899954251499e-10,6.181303765372696e-10,6.180642245294959e-10,6.177196520634096e-10,6.15899954251499e-10,6.15899954251499e-10
26,7.227434802358132e-10,7.23231523925608e-10,7.232155672383225e-10,7.229630862476764e-10,7.229282521821839e-10,7.215519216752175e-10,7.233524649544369e-10,7.215519216752175e-10,7.234167908604572e-10,7.23328477725289e-10,7.228525892044123e-10,7.215519216752175e-10,7.215519216752175e-10
27,6.954311727272157e-10,6.958861568876751e-10,6.958750261526244e-10,6.956417724012314e-10,6.955982976137802e-10,6.940535301949387e-10,6.959951346184005e-10,6.940535301949387e-10,6.960576067106237e-10,6.959754849522857e-10,6.955251551817456e-10,6.940535301949387e-10,6.940535301949387e-10
28,8.26018009763816e-10,8.266201480249072e-10,8.265991982096008e-10,8.262668126258798e-10,8.262216766472576e-10,8.258896954555547e-10,8.267735959444e-10,8.258896954555547e-10,8.268577110891451e-10,8.267475893186857e-10,8.261008737473786e-10,8.258896954555547e-10,8.258896954555547e-10
29,5.913244928327639e-10,5.916586579787145e-10,5.91651537859108e-10,5.914924038650526e-10,5.914549054603453e-10,5.895325953824195e-10,5.917356271112761e-10,5.895325953824195e-10,5.917800530361356e-10,5.917209659158822e-10,5.913751033547904e-10,5.895325953824195e-10,5.895325953824195e-10
30,7.391006087397238e-10,7.396041774103161e-10,7.395928070842878e-10,7.393368786987343e-10,7.392969308359238e-10,7.380521313221226e-10,7.397272448272139e-10,7.367131808775858e-10,7.397890840011235e-10,7.397032835973642e-10,7.391731314217143e-10,7.380521313221226e-10,7.380521313221226e-10
31,7.000661815359019e-10,7.005076829650633e-10,7.005000429995608e-10,7.002781148613401e-10,7.002328480199937e-10,6.987120862664636e-10,7.006218721426615e-10,6.993159243486502e-10,7.00672907373928e-10,7.005953098582558e-10,7.001202841909687e-10,6.987120862664636e-10,6.987120862664636e-10
32,1.5313877061328462e-09,1.5330647680697799e-09,1.5330415755118966e-09,1.5322056806723024e-09,1.532015972780297e-09,1.5553555725620176e-09,1.5336126843454014e-09,1.5553555725620176e-09,1.5338329275229347e-09,1.5334796386247589e-09,1.531603318090264e-09,1.5553555725620176e-09,1.5553555725620176e-09
33,0.47350748990810226,3.1349461253802486,3.1839296585483727,1.0939655767072316,0.800064377697635,0.03265569139364227,10.874344365941202,0.11429491333794184,31.15352709753283,7.412841355395336,0.5388188674661498,0.0653113801702465,0.0016327871578381491
34,1.1363383746009963e-09,1.1373141007781145e-09,1.1373195000927549e-09,1.1368233532064792e-09,1.1366588093738193e-09,1.1370609643822225e-09,1.1376202923559013e-09,1.1369784529319147e-09,1.1377220509554647e-09,1.137540395592545e-09,1.1364058030807603e-09,1.1359093389967635e-09,1.1433884675244347e-09
35,7.064891383016249e-10,7.069310522093734e-10,7.069280828663883e-10,7.067195185583248e-10,7.066464692541433e-10,7.06807023928966e-10,7.070542192355417e-10,7.067195185583248e-10,7.07094070689733e-10,7.070185653436117e-10,7.065323089251158e-10,7.065221811142581e-10,7.051584053886437e-10
36,8.702066462401864e-10,8.708318928608417e-10,8.708320719365133e-10,8.705309377012166e-10,8.704174572129136e-10,8.670201636314578e-10,8.710189456910692e-10,8.703648391239375e-10,8.710760703675345e-10,8.709663644448673e-10,8.702499352234572e-10,8.703447686862247e-10,8.706996016480732e-10
37,1.219607668279072e-09,1.2207099272859752e-09,1.2207160222778022e-09,1.2201616604488642e-09,1.2199691562042976e-09,1.2295756549720152e-09,1.221058560483311e-09,1.2197520612319397e-09,1.2211797863091443e-09,1.2209692214205913e-09,1.219684803057583e-09,1.2199827540027425e-09,1.2295756549720152e-09
38,1.0123004968802553e-09,1.0131001240817102e-09,1.0131001240817102e-09,1.0126848768298606e-09,1.0125626205425773e-09,1.0157250371468779e-09,1.0133441528130554e-09,1.012354323154413e-09,1.0134309350994892e-09,1.0132830750596573e-09,1.0123709042797169e-09,1.0126538365121429e-09,1.0157250371468779e-09
39,0.403882512718196,2.598310814596146,2.6117735649143796,0.8885415241784063,0.6866002694037433,0.013462753507693931,9.127744718935821,0.4711962643101602,25.646539359392897,6.071700396698963,0.4846590146285411,0.37695701208138344,0.0013462783675475085
40,2.358130094789272e-09,2.362086842326643e-09,2.3620927298728963e-09,2.360363270114058e-09,2.359700604880607e-09,2.362121515168417e-09,2.363170747451516e-09,2.3599561355873847e-09,2.363599832070155e-09,2.362873469861443e-09,2.358847065996869e-09,2.354036091568567e-09,2.437830594449546e-09
41,7.454466738149826e-10,7.459512509350647e-10,7.459512509350647e-10,7.457132447604206e-10,7.456323869815147e-10,7.460074752466289e-10,7.460857250825155e-10,7.457087370313279e-10,7.461313368338624e-10,7.460500726403651e-10,7.455277536081202e-10,7.444266486306722e-10,7.444266486306722e-10
42,8.417082220690413e-10,8.423277589500095e-10,8.423234679491401e-10,8.420200909189912e-10,8.419318916552258e-10,8.423387195612927e-10,8.425024343877599e-10,8.420200909189912e-10,8.425586525305329e-10,8.424564031108312e-10,8.418169942455367e-10,8.417969664688608e-10,8.417969664688608e-10
43,4.881883134781119e-10,4.884136989270358e-10,4.884122939274395e-10,4.883081563879877e-10,4.882758706491419e-10,4.884168392928518e-10,4.884752807165841e-10,4.881319339382352e-10,4.88498721241042e-10,4.884575613435498e-10,4.882368127461536e-10,4.863401823445559e-10,4.863401823445559e-10
