,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore
2765,4.0005360813351475e-10,4.0003127827636346e-10,4.000374175483325e-10,4.0003730063334755e-10,4.0003384978372567e-10,3.999934155905073e-10,3.9968435811293715e-10,4.0005477451277485e-10
2766,3.768968434098922e-10,3.7687715327251424e-10,3.768817956210599e-10,3.768822012640655e-10,3.768781550352625e-10,3.768418680966698e-10,3.7656338368130316e-10,3.7689747730637955e-10
2767,4.1243449680215675e-10,4.1241341464859945e-10,4.1241819839625515e-10,4.124179300281785e-10,4.124098866238751e-10,4.1237289207742166e-10,4.120439422199393e-10,4.1243464301719586e-10
2768,7.314476455149511e-10,7.313974015262162e-10,7.314071122714436e-10,7.314037634235595e-10,7.313199918083811e-10,7.313250841982375e-10,7.307204132891755e-10,7.314472495758106e-10
2769,2.0483577898132884e-09,2.0481927080282723e-09,2.048231894698729e-09,2.0482069764919945e-09,2.0467920958358652e-09,2.0476966221389668e-09,2.0493582145712157e-09,2.048354984935708e-09
2770,1.2626378315206203e-09,1.262546025275667e-09,1.2625604172853095e-09,1.2625514653605947e-09,1.2620639934333975e-09,1.2624337162596743e-09,1.2619850728208305e-09,1.2626402866744998e-09
2771,36.534519324051764,9.07704778852901,11.28880765890152,11.005437425925345,1.0322772783219816,3.661732232367337,0.03680133000914553,44.608730897424856
2772,549.4984655388432,133.05809897709364,169.74435441111058,172.9589585457986,17.498051372380857,59.61930761143734,0.5965244786603068,884.2481187809434
2773,542.1701795976538,132.23097527083775,158.42549103321852,168.65824118565294,16.259806876580534,56.8596505234564,1.953826080943999,937.8696345214057
2774,548.4208074453805,136.22162939496468,158.84108453540887,151.83982461098566,15.786494733492518,53.95682528299208,3.9045488040627565,984.5521768720699
2775,566.2415827450944,137.324219322342,163.9310121445654,156.03550045341782,22.857326083101956,54.36726771809276,1.3699974624445972,1044.0822766011222
2776,583.0266090370886,136.4069426228625,169.24494719965517,161.03544605545702,28.505212306294634,57.20045936124664,0.6841250954007767,1093.0418676204008
2777,648.6978487811328,150.13621477798682,185.77439990330524,170.77321035055493,26.77007859418123,66.13784123261432,0.7459155026696529,1202.6229889789595
2778,712.7150783595455,168.41585678331896,210.11583838024404,193.64232573646413,34.38340786144752,80.34765022447375,0.8079651978306938,1310.429776900617
