,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
0,1.0986175869974089,23.270717971305306,2.89635545599537,0.009987432992940089,0.009987432992940089,18.97612195092136,69.61240526102972,0.009987432992940089,0.9987432609419646,0.09987432644275414
1,5.741140967044606e-11,5.7415357071675583e-11,5.741348760797327e-11,5.738828824123088e-11,5.738828824123088e-11,5.741476135829009e-11,5.741571223886572e-11,5.738828824123088e-11,5.741140967044606e-11,5.740231272977019e-11
2,5.236376091114747e-11,5.2367033316076603e-11,5.236547062027594e-11,5.234411815738141e-11,5.234411815738141e-11,5.2366318622548695e-11,5.2367349383502785e-11,5.234411815738141e-11,5.236354944935115e-11,5.235590614226753e-11
3,4.351431840106923e-11,4.351658331864969e-11,4.351556833240175e-11,4.34997626810951e-11,4.34997626810951e-11,4.351651715924048e-11,4.3516787265927046e-11,4.34997626810951e-11,4.3514163598212876e-11,4.350852988086785e-11
4,4.1802232250478144e-11,4.180431672084648e-11,4.180347774399619e-11,4.178852676895615e-11,4.178852676895615e-11,4.1804185287732636e-11,4.1804504610416915e-11,4.178852676895615e-11,4.1802232250478144e-11,4.179682013429355e-11
5,4.3338413738464727e-11,4.3340663338413344e-11,4.333968134014064e-11,4.332394684042233e-11,4.332394684042233e-11,4.334052282756707e-11,4.334086350619252e-11,4.332394684042233e-11,4.3338413738464727e-11,4.333266404090158e-11
6,4.5230856040805684e-11,4.5233318791175946e-11,4.5232398076423226e-11,4.521539790708251e-11,4.521539790708251e-11,4.523317115638357e-11,4.523354122308529e-11,4.521539790708251e-11,4.523049851659975e-11,4.521539790708251e-11
7,5.7636910133837675e-11,5.7640846327187315e-11,5.763925024154081e-11,5.761361886676718e-11,5.761361886676718e-11,5.7640431490730395e-11,5.764124937792906e-11,5.761361886676718e-11,5.7636664955069e-11,5.761361886676718e-11
8,5.831830157160417e-11,5.832234452853958e-11,5.832073059564961e-11,5.829451069042542e-11,5.829451069042542e-11,5.832225544841541e-11,5.832273106701214e-11,5.830898000715597e-11,5.831805238298752e-11,5.830898000715597e-11
9,6.862757003472208e-11,6.86330862345868e-11,6.863077503943846e-11,6.85951377553823e-11,6.85951377553823e-11,6.863309442388135e-11,6.863358619155817e-11,6.862464130252947e-11,6.862689641401384e-11,6.861567123257119e-11
10,8.399580064927125e-11,8.400372142597919e-11,8.400052147021155e-11,8.394713367993365e-11,8.394713367993365e-11,8.400367271349334e-11,8.400448694490215e-11,8.399359812601182e-11,8.399487473202609e-11,8.394713367993365e-11
11,9.091428611375642e-11,9.092338582530107e-11,9.09196210932844e-11,9.08571608981249e-11,9.08571608981249e-11,9.092345751166746e-11,9.092428886884314e-11,9.091255138357221e-11,9.091255138357221e-11,9.089704982447575e-11
12,7.95725863200887e-11,7.957985807184245e-11,7.957688282071221e-11,7.95289505991003e-11,7.95289505991003e-11,7.958023544205009e-11,7.958054017539137e-11,7.956979831271787e-11,7.957173746774223e-11,7.95289505991003e-11
13,7.544853686083597e-11,7.5455130644779e-11,7.545261404273267e-11,7.54093432639251e-11,7.54093432639251e-11,7.545561669273897e-11,7.545576865471367e-11,7.544387593648756e-11,7.544817241824711e-11,7.54093432639251e-11
14,8.452041982460425e-11,8.452846930276649e-11,8.452534940394015e-11,8.447111912331154e-11,8.447111912331154e-11,8.452914832586673e-11,8.452925358649878e-11,8.450974583419578e-11,8.452041982460425e-11,8.447111912331154e-11
15,8.986378825146971e-11,8.987270032293488e-11,8.98691949268866e-11,8.980798317285599e-11,8.980798317285599e-11,8.987354191278969e-11,8.987360267042536e-11,8.985742854354356e-11,8.986274604186093e-11,8.980798317285599e-11
16,1.1123474939502771e-10,1.1124772565037334e-10,1.1124234437516154e-10,1.1114991443793678e-10,1.1114991443793678e-10,1.112490798768556e-10,1.1124911789505045e-10,1.1114991443793678e-10,1.1123222416116175e-10,1.1114991443793678e-10
17,7.600527360100987e-11,7.601198531127244e-11,7.60092276787164e-11,7.596547864617694e-11,7.596547864617694e-11,7.601270768190249e-11,7.601265713385567e-11,7.596547864617694e-11,7.60034083538902e-11,7.599151906062315e-11
18,7.281444554222514e-11,7.282065780845503e-11,7.281807853218754e-11,7.277792530410162e-11,7.277792530410162e-11,7.282131295134724e-11,7.282127932423478e-11,7.277792530410162e-11,7.281475415606595e-11,7.280147041648009e-11
19,6.355347097153981e-11,6.355828717516148e-11,6.355646373473306e-11,6.352548633109536e-11,6.35577917349367e-11,6.355878888932668e-11,6.35587570201189e-11,6.352548633109536e-11,6.355429296603996e-11,6.352548633109536e-11
20,6.195871746102592e-11,6.196334456180233e-11,6.19617122157568e-11,6.193203917282497e-11,6.193203917282497e-11,6.1963818015981e-11,6.196379771767829e-11,6.193203917282497e-11,6.19581311037619e-11,6.194844815143812e-11
21,5.687608540653626e-11,5.688001323753819e-11,5.687871262176912e-11,5.6853309438265653e-11,5.6853309438265653e-11,5.68804091520744e-11,5.688039590677986e-11,5.6853309438265653e-11,5.687644220815764e-11,5.6853309438265653e-11
22,6.266762750272275e-11,6.267234347253004e-11,6.266968234076389e-11,6.264038520600681e-11,6.264038520600681e-11,6.267281780811908e-11,6.2672783679992e-11,6.264038520600681e-11,6.266787561847327e-11,6.265719313877562e-11
23,6.548303309020834e-11,6.548809285624702e-11,6.548491631797286e-11,6.545342351866384e-11,6.545342351866384e-11,6.548861248006916e-11,6.548858255537389e-11,6.545342351866384e-11,6.548329628453354e-11,6.547191145050733e-11
24,1.3400916475080091,26.436353403980448,3.6547954017457793,0.01218265165563112,0.01218265165563112,78.45627461763921,84.79125331344775,0.01218265165563112,1.3400916475080091,0.12182651369850694
25,2.0564285403062885,41.315518851291394,5.795389522304885,0.018694805116870133,0.018694805116870133,101.13889456326862,130.1158421737576,0.018694805116870133,2.0564285403062885,0.018694805116870133
26,1.933169698441124,39.014879364313884,5.272280995368071,0.017574270203897395,0.017574270203897395,65.20054164021452,122.3169190876488,0.017574270203897395,1.054456199249816,0.017574270203897395
27,2.6957477955791855,55.14029581559196,8.577379349225488,0.024506798298012538,0.024506798298012538,86.50899743503882,170.56731505590037,0.024506798298012538,1.225339907167602,0.024506798298012538
28,3.1494957253678506,63.27623229799092,10.593758348645,0.028631779455391214,0.028631779455391214,107.65549024445079,199.27718406940022,0.028631779455391214,1.7179067593530088,0.028631779455391214
29,3.1450166634063974,66.90308174608194,10.006871201452203,0.028591060710477626,0.028591060710477626,119.22472259868113,198.9937816034635,0.028591060710477626,2.859106057654488,0.028591060710477626
30,2.0119178387308807,49.9321427198253,7.133163245870759,0.018290162379811802,0.018290162379811802,90.90210597694414,127.29952869197383,0.018290162379811802,1.6461145953637444,0.018290162379811802
31,1.467794122340369,32.42490651467344,4.803689854272836,0.013343583217621255,0.013343583217621255,79.39431842028212,92.87133717728918,0.013343583217621255,1.467794122340369,0.013343583217621255
32,1.207094359656796,25.568453247429648,4.279698183339887,0.010973585437135612,0.010973585437135612,88.99577503631551,76.37615218904585,0.5486792545818233,1.3168302105026217,0.010973585437135612
33,1.372236517938763,29.565459516487344,4.865202199174897,0.012474877743079874,0.012474877743079874,101.79499985347668,86.82514693389341,1.8712316152582127,1.2474877436089,0.12474877464000068
34,1.1152197173316305,23.82514849885565,4.156728036285772,0.010138361444804001,0.010138361444804001,92.05631845405924,70.56299300011696,2.2304394342814873,1.0138361066998238,0.010138361444804001
35,1.0516121012875475,22.37065741918165,3.9196451036948594,0.00956011041275328,0.00956011041275328,83.07735597013544,66.53836565625355,3.0592352029726695,0.8604099011270541,0.09560110048485504
36,0.10699521366145404,2.2566262445829586,0.4377076799554166,0.0009726878136651614,0.0009726878136651614,8.88060240773744,6.769878725792813,0.4474345171994078,0.10699521366145404,0.0009726878136651614
37,0.7640256178556679,16.11399483812431,2.9171887211513283,0.006945687987324479,7.501342424941964,60.6358512643329,48.341984513258154,2.083706229553024,0.6251118692559305,0.006945687987324479
38,0.843517428883137,17.943916204190778,3.2207029088586854,0.007668340762703612,8.58854108944853,67.5580776733565,53.371648196083456,1.6870348572615719,0.766834026303275,0.007668340762703612
39,1.8058847781792666,37.59523765014995,6.895196425110898,0.016417134580530072,17.56633374932234,143.48575417501715,114.26325504102282,1.8058847781792666,1.4775420912804493,0.016417134580530072
40,1.3111605834820845,27.891961496580908,5.12544591630347,0.011919641989616463,12.634820165295514,103.1049004031518,82.96070598918908,0.11919641697524196,0.9535713335300746,0.011919641989616463
41,1.6043131231912882,33.5447289341701,6.417252491968941,0.01458466501907884,16.480671172140344,136.0749221538873,101.50926668721165,0.01458466501907884,1.0209265330364155,0.01458466501907884
42,1.656425199628497,33.42967220575327,6.625700797742821,0.015058411160235265,21.834695810153253,132.66460005900535,104.80653988775857,0.015058411160235265,1.8070093086622658,0.015058411160235265
43,1.1738941098003741,27.96002333424157,5.015729377050938,0.010671764993784071,0.010671764993784071,91.2435875975626,74.1687641875603,0.010671764993784071,1.2806117561128914,0.010671764993784071
44,1.0926296583018495,25.726461945776098,4.867168476543908,0.0099329972796314,0.0099329972796314,67.24638894643817,69.13365835555918,0.0099329972796314,0.7946397515985195,0.09932996929054108
45,0.8361317349764685,16.798646665715406,3.7245868176816597,0.007601198095250142,0.007601198095250142,42.64271845834014,52.90433519952937,0.007601198095250142,0.9881556866978003,0.0760119763694775
46,0.5127447728411249,10.161669118866028,1.2585553503118057,0.0046613169410068996,0.0046613169410068996,28.061122978157993,32.44276012079716,0.0046613169410068996,0.5593579339330548,0.04661316192169459
47,0.2867082555229998,6.151195269958408,0.625545283024101,0.002606440167899186,0.002606440167899186,14.074768836127483,18.140813166135278,0.002606440167899186,0.3127726422538632,0.02606438821555686
48,4.871134259545451e-09,4.868619578624485e-09,4.868424535729381e-09,5.050302086421768e-09,5.050302086421768e-09,4.869430921713139e-09,4.869749404853849e-09,5.050302086421768e-09,4.872116420422252e-09,4.905509408636967e-09
49,0.5420001022027717,11.436202142127398,1.7886003356271107,0.0054200017296946535,0.0054200017296946535,19.295203613714637,37.72320706433294,0.0054200017296946535,0.5420001022027717,0.05420001086245831
50,0.08495576270649512,1.7763476659204211,0.24714402739585128,0.0007723302721079007,0.0007723302721079007,2.3169752148938754,5.375382491941515,0.0007723302721079007,0.10040226410506795,0.007723255747344897
51,0.040848740877813226,0.939520831159702,0.15522518870982147,0.0004084975069484635,0.0004084975069484635,1.2254619508055475,2.8430717133751267,0.0004084975069484635,0.040848740877813226,0.0040848827810552844
52,0.3301442538387399,7.692361088313412,1.3535914371069713,0.003301443704222293,0.003301443704222293,10.960789189716658,22.978039986795185,4.721062814310454,0.3301442538387399,0.0330144264385806
53,1.2576057684427053,29.17645382103775,4.778901919220486,0.012576057988946164,0.012576057988946164,51.31031534021214,87.52936146249752,0.012576057988946164,1.2576057684427053,0.12576057712113733
54,1.96823420071931,47.237620812739785,8.266583642391742,0.019682342201722196,0.019682342201722196,112.38617285003878,136.79227693651936,0.019682342201722196,1.7714107806670452,0.019682342201722196
55,2.024572120491681,54.05607561221383,7.288459633272928,0.02024572139403253,0.02024572139403253,160.5485691400186,140.70776236107403,0.20245721222120613,2.024572120491681,0.20245721222120613
56,1.39969212209636,38.35156413813924,5.178860851009863,0.013996921494549026,18.056028371752078,122.33309144732745,97.27860246675297,1.39969212209636,1.39969212209636,0.1399692124584195
57,1.0949666655959245,27.812153297510996,4.160873328274734,0.010949667005748202,11.278156652350477,93.72914654510454,76.20967990122585,2.5184233304110912,0.9854699990716793,0.10949666687754475
58,1.2659558992153972,32.15527983261044,5.57020595550818,0.012659559294662994,13.039345759075017,108.11263376718824,88.11053056441611,6.0765883150720335,1.1393603093244316,0.1265955901965819
59,1.6601083888721304,44.32489397689321,7.802509426836278,0.01660108411936725,0.16601083909699668,119.36179314337376,115.37753301064028,11.454747881841975,1.4940975500082332,0.01660108411936725
60,1.560458872943148,34.018003425000856,7.4902025891844835,0.015604588974814006,0.015604588974814006,107.04747866713056,108.60793753982566,10.923212109113665,1.7165047602126577,0.015604588974814006
61,1.6631110360063897,34.26008733716959,7.317688557636763,0.016631110590293235,0.016631110590293235,117.41563912585109,115.75252809007748,8.648177386255668,1.4967999324290242,0.1663111038100441
62,2.312612547340287,49.258647254949956,10.175495207728126,0.023126125638967092,0.023126125638967092,152.4011668588608,160.9578332834005,3.2376575662094473,2.312612547340287,0.023126125638967092
63,1.8785199620338753,40.0124751871383,8.453339828431208,0.018785199824159583,0.18785199638879393,155.35360084336534,130.74498934342114,0.18785199638879393,1.5028159696683105,0.018785199824159583
64,0.8362440427818145,19.400861782262943,3.846722595130151,0.008362440885954992,8.86418684904397,70.16087515102406,58.20258534586289,0.008362440885954992,0.5853708300860969,0.08362440469441616
65,1.2331357922702881,34.527802175092745,5.549111064117675,0.012331358233269432,11.838103603095252,104.81654231660666,85.82625112047833,0.012331358233269432,0.8631950546833628,0.012331358233269432
66,1.3774289099349497,35.813151651283114,6.198430093723721,0.01377428937735993,12.396860187166393,108.54139808101031,95.86905211219421,0.01377428937735993,1.6529146918657385,0.01377428937735993
67,1.5379715655379294,42.60181235868045,7.382263513625656,0.015379715904351719,14.610729870470971,118.11621621423457,107.0428209441737,0.015379715904351719,1.8455658785951803,0.1537971567802244
68,1.4970683207095006,36.678173851306425,7.485341602513258,0.014970683462874017,16.31804469317376,113.47777869043915,104.1959551036434,0.014970683462874017,1.1976546566193098,0.14970683230356344
69,1.1458892812319286,27.27216488561815,5.614857476719077,0.011458893146551307,0.2291778565165283,72.99314719329391,79.75389395056926,0.011458893146551307,1.6042449935895884,0.1145889284270275
70,1.0082942574576137,23.392426764494413,2.8232239201903524,0.010082942954460359,0.010082942954460359,56.56530782222,70.17728029271531,0.010082942954460359,1.2099531088723654,0.010082942954460359
71,1.1985154934631235,28.644520286372728,2.9962887331733787,0.01198515525417586,0.01198515525417586,51.656017754663694,83.41667832287779,0.01198515525417586,1.438218592091159,0.01198515525417586
72,1.6518081149283358e-09,1.6531469415100842e-09,1.652487444767025e-09,1.6658467044096243e-09,1.6658467044096243e-09,1.6531723477231418e-09,1.6532694488601094e-09,1.6658467044096243e-09,1.6518308768301743e-09,1.6658467044096243e-09
