,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
7850,1.9175936573329277e-09,1.9187056371140217e-09,1.9607162580676826e-09,1.9607162580676826e-09,1.9099182509281957e-09,1.9185669709232215e-09,1.918194695778676e-09,1.9607162580676826e-09,1.9172822522984898e-09,1.916992880038394e-09,1.9168284535595276e-09
7851,6.131083081606521e-10,6.132353121202697e-10,6.109157192407191e-10,6.109157192407191e-10,6.116807641402786e-10,6.132177680615402e-10,6.131724739521766e-10,6.109157192407191e-10,6.130740975562304e-10,6.130477124906818e-10,6.130397405380602e-10
7852,3.868365020413097e-10,3.8689433821040177e-10,3.8498960862758127e-10,3.8498960862758127e-10,3.8621931973240853e-10,3.8688721055312024e-10,3.868661402346059e-10,3.8498960862758127e-10,3.868176011738307e-10,3.8682027342640614e-10,3.86807411397913e-10
7853,3.94061194211724e-10,3.941216051227171e-10,3.921880421884308e-10,3.921880421884308e-10,3.934230091688039e-10,3.9411340243445194e-10,3.9409029109362136e-10,3.921880421884308e-10,3.940406131550588e-10,3.94058449527091e-10,3.940284611277978e-10
7854,2.8456923606081594e-09,2.84773251265623e-09,2.9642859812838685e-09,2.835662196300489e-09,2.8360869364353697e-09,2.8474284281902093e-09,2.8466572079399732e-09,2.9642859812838685e-09,2.844984217373888e-09,2.8461319322372916e-09,2.8437517390408015e-09
7855,1.4942284838957895e-09,1.4948125151379058e-09,1.5140865581874997e-09,1.4933501656318413e-09,1.488157483199977e-09,1.494731204597324e-09,1.4945269556453737e-09,1.5140865581874997e-09,1.4939764733188947e-09,1.4943109522934251e-09,1.4933305350430467e-09
7856,2.8682698060492626,34.315082565223264,0.0008011985809305865,0.00801193225765956,0.03204771261445294,15.999817860138284,6.4335772398944275,0.04005963942549847,1.8347312465732692,2.7961624646905316,0.6970376384625281
7857,3.1660408719533137,39.332986821763214,0.0008819108317337923,0.10582866891938146,0.03527622621001307,17.602834463724164,7.178711051707753,0.5556004912677079,2.010744622396263,2.301773448620738,0.6702482106907232
7858,1.194434848890151,14.441803029098502,0.0003290615418480313,0.0493568244641052,0.013161829715985436,6.567746383506061,2.7574005432950854,0.5462153924734938,0.7502235462679359,0.8917130722880615,0.15465135536717153
7859,2.2890679365151274,27.588628636491023,0.0006306049511823386,0.7895077334991133,0.02522389585157562,12.593026606450188,5.240262953365795,1.4566795984257355,1.4377616816509295,1.8098140448883306,0.2648508416094516
7860,3.2817146885050503,40.54740809799925,0.0009115925178595145,0.7967274029222516,0.03646350117699457,18.204400625724933,7.3382786726620575,2.3792431504558604,2.0784193044392443,1.6226255983531612,0.519604829619277
7861,2.4027997090084967,30.03164977142685,0.0006693107620238157,0.9504110308151704,0.026772147949491332,13.365991666920127,5.648921869930958,1.2582906584518636,1.5327051091706618,0.5822940847265113,0.3078796340066292
