"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Ireland (IE)","01.01.2018 00:00 - 01.01.2018 00:30 (CET)","n/e","n/e","n/e","557","237","0","n/e","152","n/e","72","0","183","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2115"
"Ireland (IE)","01.01.2018 00:30 - 01.01.2018 01:00 (CET)","n/e","n/e","n/e","552","222","0","n/e","149","n/e","145","0","181","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2104"
"Ireland (IE)","01.01.2018 01:00 - 01.01.2018 01:30 (CET)","n/e","n/e","n/e","684","230","0","n/e","154","n/e","0","76","178","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2053"
"Ireland (IE)","01.01.2018 01:30 - 01.01.2018 02:00 (CET)","n/e","n/e","n/e","688","288","0","n/e","194","n/e","0","76","178","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1923"
"Ireland (IE)","01.01.2018 02:00 - 01.01.2018 02:30 (CET)","n/e","n/e","n/e","654","265","0","n/e","193","n/e","0","76","174","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1863"
"Ireland (IE)","01.01.2018 02:30 - 01.01.2018 03:00 (CET)","n/e","n/e","n/e","619","274","0","n/e","196","n/e","0","155","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1905"
"Ireland (IE)","01.01.2018 03:00 - 01.01.2018 03:30 (CET)","n/e","n/e","n/e","642","291","0","n/e","198","n/e","0","230","179","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1775"
"Ireland (IE)","01.01.2018 03:30 - 01.01.2018 04:00 (CET)","n/e","n/e","n/e","699","291","0","n/e","198","n/e","0","229","180","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1625"
"Ireland (IE)","01.01.2018 04:00 - 01.01.2018 04:30 (CET)","n/e","n/e","n/e","688","283","0","n/e","198","n/e","0","228","179","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1466"
"Ireland (IE)","01.01.2018 04:30 - 01.01.2018 05:00 (CET)","n/e","n/e","n/e","716","353","0","n/e","213","n/e","0","227","178","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1308"
"Ireland (IE)","01.01.2018 05:00 - 01.01.2018 05:30 (CET)","n/e","n/e","n/e","672","353","0","n/e","213","n/e","0","226","178","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1342"
"Ireland (IE)","01.01.2018 05:30 - 01.01.2018 06:00 (CET)","n/e","n/e","n/e","657","363","0","n/e","213","n/e","0","224","180","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1280"
"Ireland (IE)","01.01.2018 06:00 - 01.01.2018 06:30 (CET)","n/e","n/e","n/e","606","334","0","n/e","210","n/e","0","226","172","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1348"
"Ireland (IE)","01.01.2018 06:30 - 01.01.2018 07:00 (CET)","n/e","n/e","n/e","560","317","0","n/e","211","n/e","0","224","173","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1477"
"Ireland (IE)","01.01.2018 07:00 - 01.01.2018 07:30 (CET)","n/e","n/e","n/e","565","265","0","n/e","210","n/e","0","222","175","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1516"
"Ireland (IE)","01.01.2018 07:30 - 01.01.2018 08:00 (CET)","n/e","n/e","n/e","550","212","0","n/e","191","n/e","0","221","176","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1616"
"Ireland (IE)","01.01.2018 08:00 - 01.01.2018 08:30 (CET)","n/e","n/e","n/e","537","220","0","n/e","149","n/e","0","219","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1715"
"Ireland (IE)","01.01.2018 08:30 - 01.01.2018 09:00 (CET)","n/e","n/e","n/e","541","220","0","n/e","148","n/e","0","217","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1750"
"Ireland (IE)","01.01.2018 09:00 - 01.01.2018 09:30 (CET)","n/e","n/e","n/e","543","223","0","n/e","148","n/e","0","216","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1666"
"Ireland (IE)","01.01.2018 09:30 - 01.01.2018 10:00 (CET)","n/e","n/e","n/e","534","216","0","n/e","147","n/e","0","146","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1710"
"Ireland (IE)","01.01.2018 10:00 - 01.01.2018 10:30 (CET)","n/e","n/e","n/e","545","223","0","n/e","148","n/e","0","71","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1792"
"Ireland (IE)","01.01.2018 10:30 - 01.01.2018 11:00 (CET)","n/e","n/e","n/e","548","224","0","n/e","148","n/e","20","0","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1901"
"Ireland (IE)","01.01.2018 11:00 - 01.01.2018 11:30 (CET)","n/e","n/e","n/e","545","222","0","n/e","148","n/e","19","0","179","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2031"
"Ireland (IE)","01.01.2018 11:30 - 01.01.2018 12:00 (CET)","n/e","n/e","n/e","540","220","0","n/e","148","n/e","15","0","179","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2199"
"Ireland (IE)","01.01.2018 12:00 - 01.01.2018 12:30 (CET)","n/e","n/e","n/e","556","228","0","n/e","150","n/e","20","0","180","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2313"
"Ireland (IE)","01.01.2018 12:30 - 01.01.2018 13:00 (CET)","n/e","n/e","n/e","535","219","0","n/e","148","n/e","18","0","178","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2402"
"Ireland (IE)","01.01.2018 13:00 - 01.01.2018 13:30 (CET)","n/e","n/e","n/e","542","223","0","n/e","148","n/e","18","0","179","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2446"
"Ireland (IE)","01.01.2018 13:30 - 01.01.2018 14:00 (CET)","n/e","n/e","n/e","532","219","0","n/e","148","n/e","21","0","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2439"
"Ireland (IE)","01.01.2018 14:00 - 01.01.2018 14:30 (CET)","n/e","n/e","n/e","545","224","0","n/e","147","n/e","26","0","176","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2480"
"Ireland (IE)","01.01.2018 14:30 - 01.01.2018 15:00 (CET)","n/e","n/e","n/e","561","221","0","n/e","147","n/e","24","0","176","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2406"
"Ireland (IE)","01.01.2018 15:00 - 01.01.2018 15:30 (CET)","n/e","n/e","n/e","546","212","0","n/e","148","n/e","20","0","175","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2419"
"Ireland (IE)","01.01.2018 15:30 - 01.01.2018 16:00 (CET)","n/e","n/e","n/e","583","221","0","n/e","148","n/e","24","0","176","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2300"
"Ireland (IE)","01.01.2018 16:00 - 01.01.2018 16:30 (CET)","n/e","n/e","n/e","581","221","0","n/e","148","n/e","23","0","177","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2183"
"Ireland (IE)","01.01.2018 16:30 - 01.01.2018 17:00 (CET)","n/e","n/e","n/e","566","209","0","n/e","171","n/e","20","0","172","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2123"
"Ireland (IE)","01.01.2018 17:00 - 01.01.2018 17:30 (CET)","n/e","n/e","n/e","586","222","0","n/e","171","n/e","23","0","176","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1987"
"Ireland (IE)","01.01.2018 17:30 - 01.01.2018 18:00 (CET)","n/e","n/e","n/e","661","259","0","n/e","200","n/e","112","0","181","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1891"
"Ireland (IE)","01.01.2018 18:00 - 01.01.2018 18:30 (CET)","n/e","n/e","n/e","775","354","0","n/e","245","n/e","100","0","194","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1865"
"Ireland (IE)","01.01.2018 18:30 - 01.01.2018 19:00 (CET)","n/e","n/e","n/e","828","348","0","n/e","247","n/e","137","0","194","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1811"
"Ireland (IE)","01.01.2018 19:00 - 01.01.2018 19:30 (CET)","n/e","n/e","n/e","934","420","0","n/e","261","n/e","141","0","195","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1583"
"Ireland (IE)","01.01.2018 19:30 - 01.01.2018 20:00 (CET)","n/e","n/e","n/e","955","407","0","n/e","260","n/e","148","0","196","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1499"
"Ireland (IE)","01.01.2018 20:00 - 01.01.2018 20:30 (CET)","n/e","n/e","n/e","880","358","0","n/e","261","n/e","140","0","193","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1333"
"Ireland (IE)","01.01.2018 20:30 - 01.01.2018 21:00 (CET)","n/e","n/e","n/e","890","346","0","n/e","277","n/e","140","0","194","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1113"
"Ireland (IE)","01.01.2018 21:00 - 01.01.2018 21:30 (CET)","n/e","n/e","n/e","970","362","0","n/e","278","n/e","151","0","198","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","1020"
"Ireland (IE)","01.01.2018 21:30 - 01.01.2018 22:00 (CET)","n/e","n/e","n/e","970","422","0","n/e","288","n/e","151","0","198","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","895"
