"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","21.12.2018 04:00 - 21.12.2018 05:00 (CET)","889","n/e","n/e","846","1145","1","n/e","620","n/e","n/e","n/e","856","n/e","n/e","2797","341","42","n/e","67","n/e","293"
"Finland (FI)","21.12.2018 05:00 - 21.12.2018 06:00 (CET)","906","n/e","n/e","907","1226","1","n/e","651","n/e","n/e","n/e","1061","n/e","n/e","2796","342","42","n/e","76","n/e","294"
"Finland (FI)","21.12.2018 06:00 - 21.12.2018 07:00 (CET)","910","n/e","n/e","972","1301","1","n/e","697","n/e","n/e","n/e","1395","n/e","n/e","2796","343","42","n/e","77","n/e","313"
"Finland (FI)","21.12.2018 07:00 - 21.12.2018 08:00 (CET)","903","n/e","n/e","972","1313","1","n/e","763","n/e","n/e","n/e","1727","n/e","n/e","2796","343","42","n/e","78","n/e","371"
"Finland (FI)","21.12.2018 08:00 - 21.12.2018 09:00 (CET)","901","n/e","n/e","974","1321","1","n/e","766","n/e","n/e","n/e","1821","n/e","n/e","2797","345","43","n/e","78","n/e","397"
"Finland (FI)","21.12.2018 09:00 - 21.12.2018 10:00 (CET)","884","n/e","n/e","980","1318","1","n/e","771","n/e","n/e","n/e","1748","n/e","n/e","2797","348","43","n/e","80","n/e","385"
"Finland (FI)","21.12.2018 10:00 - 21.12.2018 11:00 (CET)","899","n/e","n/e","976","1312","1","n/e","736","n/e","n/e","n/e","1479","n/e","n/e","2798","350","43","n/e","79","n/e","336"
"Finland (FI)","21.12.2018 11:00 - 21.12.2018 12:00 (CET)","916","n/e","n/e","965","1312","1","n/e","724","n/e","n/e","n/e","1422","n/e","n/e","2798","349","43","n/e","79","n/e","364"
"Finland (FI)","21.12.2018 12:00 - 21.12.2018 13:00 (CET)","908","n/e","n/e","952","1318","1","n/e","745","n/e","n/e","n/e","1605","n/e","n/e","2798","353","43","n/e","80","n/e","416"
"Finland (FI)","21.12.2018 13:00 - 21.12.2018 14:00 (CET)","909","n/e","n/e","952","1317","1","n/e","770","n/e","n/e","n/e","1728","n/e","n/e","2798","357","43","n/e","80","n/e","489"
