"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","971","12039","n/e","n/e","50","n/e","n/e","n/e","n/e","724"
"Norway (NO)","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","973","12195","n/e","n/e","50","n/e","n/e","n/e","n/e","731"
"Norway (NO)","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","970","11290","n/e","n/e","50","n/e","n/e","n/e","n/e","708"
"Norway (NO)","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","971","10028","n/e","n/e","50","n/e","n/e","n/e","n/e","680"
"Norway (NO)","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","976","10036","n/e","n/e","50","n/e","n/e","n/e","n/e","674"
"Norway (NO)","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","n/e","n/e","n/e","348","n/e","n/e","n/e","n/e","n/e","n/e","n/e","976","10143","n/e","n/e","49","n/e","n/e","n/e","n/e","641"
"Norway (NO)","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","978","10624","n/e","n/e","49","n/e","n/e","n/e","n/e","631"
"Norway (NO)","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","n/e","n/e","n/e","347","n/e","n/e","n/e","n/e","n/e","n/e","n/e","970","11288","n/e","n/e","49","n/e","n/e","n/e","n/e","624"
"Norway (NO)","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","n/e","n/e","n/e","348","n/e","n/e","n/e","n/e","n/e","n/e","n/e","972","10874","n/e","n/e","49","n/e","n/e","n/e","n/e","597"
"Norway (NO)","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","n/e","n/e","n/e","348","n/e","n/e","n/e","n/e","n/e","n/e","n/e","991","11113","n/e","n/e","49","n/e","n/e","n/e","n/e","529"
"Norway (NO)","01.01.2018 10:00 - 01.01.2018 11:00 (CET)","n/e","n/e","n/e","350","n/e","n/e","n/e","n/e","n/e","n/e","n/e","998","12063","n/e","n/e","49","n/e","n/e","n/e","n/e","491"
"Norway (NO)","01.01.2018 11:00 - 01.01.2018 12:00 (CET)","n/e","n/e","n/e","349","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1002","12598","n/e","n/e","49","n/e","n/e","n/e","n/e","465"
