"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Estonia (EE)","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","68","n/e","53","1","n/e","n/e","708","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","71"
"Estonia (EE)","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","71","n/e","51","1","n/e","n/e","712","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","80"
"Estonia (EE)","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","73","n/e","51","1","n/e","n/e","774","5","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","15","n/e","86"
"Estonia (EE)","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","70","n/e","48","1","n/e","n/e","808","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","74"
"Estonia (EE)","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","71","n/e","51","1","n/e","n/e","812","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","71"
"Estonia (EE)","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","71","n/e","52","1","n/e","n/e","813","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","15","n/e","74"
"Estonia (EE)","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","70","n/e","51","1","n/e","n/e","735","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","15","n/e","69"
"Estonia (EE)","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","71","n/e","50","1","n/e","n/e","713","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","15","n/e","62"
"Estonia (EE)","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","70","n/e","50","1","n/e","n/e","691","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","60"
"Estonia (EE)","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","69","n/e","53","1","n/e","n/e","677","4","n/e","n/e","n/e","3","n/e","n/e","n/e","0","6","1","16","n/e","61"
