"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Serbia (RS)","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","5","2932","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1236","0","n/e","n/e","65","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","5","2951","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1246","0","n/e","n/e","66","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","5","2957","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1119","0","n/e","n/e","65","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","5","2958","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1085","0","n/e","n/e","64","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","5","2942","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1182","0","n/e","n/e","63","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","5","2916","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1083","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","5","2928","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","992","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","5","2935","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","914","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","5","2938","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1029","0","n/e","n/e","63","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","5","2928","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1204","0","n/e","n/e","61","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 10:00 - 01.01.2018 11:00 (CET)","5","2945","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1372","12","n/e","n/e","66","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 11:00 - 01.01.2018 12:00 (CET)","5","2936","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1430","24","n/e","n/e","69","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 12:00 - 01.01.2018 13:00 (CET)","5","2945","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1461","0","n/e","n/e","67","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 13:00 - 01.01.2018 14:00 (CET)","5","2938","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1412","0","n/e","n/e","66","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 14:00 - 01.01.2018 15:00 (CET)","5","2945","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1352","0","n/e","n/e","65","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 15:00 - 01.01.2018 16:00 (CET)","5","2941","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1404","0","n/e","n/e","65","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 16:00 - 01.01.2018 17:00 (CET)","5","2928","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1449","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 17:00 - 01.01.2018 18:00 (CET)","5","2955","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1544","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 18:00 - 01.01.2018 19:00 (CET)","5","2949","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1551","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 19:00 - 01.01.2018 20:00 (CET)","5","2940","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1554","0","n/e","n/e","63","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 20:00 - 01.01.2018 21:00 (CET)","5","2950","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1515","11","n/e","n/e","61","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 21:00 - 01.01.2018 22:00 (CET)","5","2946","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1388","23","n/e","n/e","63","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 22:00 - 01.01.2018 23:00 (CET)","5","2937","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1381","23","n/e","n/e","65","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","01.01.2018 23:00 - 02.01.2018 00:00 (CET)","5","2947","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1416","0","n/e","n/e","66","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 00:00 - 02.01.2018 01:00 (CET)","5","2946","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1452","0","n/e","n/e","67","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 01:00 - 02.01.2018 02:00 (CET)","5","2945","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1383","0","n/e","n/e","68","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 02:00 - 02.01.2018 03:00 (CET)","5","2953","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1238","0","n/e","n/e","66","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 03:00 - 02.01.2018 04:00 (CET)","5","2944","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1060","0","n/e","n/e","63","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 04:00 - 02.01.2018 05:00 (CET)","5","2950","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","969","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 05:00 - 02.01.2018 06:00 (CET)","5","2949","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","919","0","n/e","n/e","64","n/e","n/e","n/e","n/e","n/e"
"Serbia (RS)","02.01.2018 06:00 - 02.01.2018 07:00 (CET)","5","2905","n/e","2","n/e","n/e","n/e","n/e","n/e","0","","1016","0","n/e","n/e","62","n/e","n/e","n/e","n/e","n/e"
