"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"United Kingdom (UK)","01.01.2018 00:00 - 01.01.2018 00:30 (CET)","758","n/e","n/e","5580","1341","0","n/e","n/e","n/e","45","","354","n/e","n/e","7266","89","n/e","0","n/e","3794","5298"
"United Kingdom (UK)","01.01.2018 00:30 - 01.01.2018 01:00 (CET)","757","n/e","n/e","5370","1342","0","n/e","n/e","n/e","0","","353","n/e","n/e","7270","89","n/e","0","n/e","3815","5368"
"United Kingdom (UK)","01.01.2018 01:00 - 01.01.2018 01:30 (CET)","710","n/e","n/e","5332","1215","0","n/e","n/e","n/e","0","","352","n/e","n/e","7263","89","n/e","0","n/e","3777","5447"
"United Kingdom (UK)","01.01.2018 01:30 - 01.01.2018 02:00 (CET)","749","n/e","n/e","5719","1381","0","n/e","n/e","n/e","0","","351","n/e","n/e","7268","89","n/e","0","n/e","3825","5503"
"United Kingdom (UK)","01.01.2018 02:00 - 01.01.2018 02:30 (CET)","756","n/e","n/e","5902","1534","0","n/e","n/e","n/e","206","","355","n/e","n/e","7260","88","n/e","0","n/e","3831","5334"
"United Kingdom (UK)","01.01.2018 02:30 - 01.01.2018 03:00 (CET)","757","n/e","n/e","5767","1660","0","n/e","n/e","n/e","0","","349","n/e","n/e","7258","89","n/e","0","n/e","3811","5424"
"United Kingdom (UK)","01.01.2018 03:00 - 01.01.2018 03:30 (CET)","747","n/e","n/e","5349","1664","0","n/e","n/e","n/e","0","","340","n/e","n/e","7264","89","n/e","0","n/e","3819","5152"
"United Kingdom (UK)","01.01.2018 03:30 - 01.01.2018 04:00 (CET)","754","n/e","n/e","5001","1566","0","n/e","n/e","n/e","0","","331","n/e","n/e","7252","89","n/e","0","n/e","3782","5271"
"United Kingdom (UK)","01.01.2018 04:00 - 01.01.2018 04:30 (CET)","756","n/e","n/e","4874","1687","0","n/e","n/e","n/e","0","","283","n/e","n/e","7254","89","n/e","0","n/e","3808","5330"
"United Kingdom (UK)","01.01.2018 04:30 - 01.01.2018 05:00 (CET)","758","n/e","n/e","4251","1632","0","n/e","n/e","n/e","0","","281","n/e","n/e","7255","89","n/e","0","n/e","3739","5067"
"United Kingdom (UK)","01.01.2018 05:00 - 01.01.2018 05:30 (CET)","756","n/e","n/e","3810","1574","0","n/e","n/e","n/e","0","","278","n/e","n/e","7258","89","n/e","0","n/e","3756","4951"
"United Kingdom (UK)","01.01.2018 05:30 - 01.01.2018 06:00 (CET)","757","n/e","n/e","3578","1452","0","n/e","n/e","n/e","0","","272","n/e","n/e","7266","89","n/e","0","n/e","3709","5141"
"United Kingdom (UK)","01.01.2018 06:00 - 01.01.2018 06:30 (CET)","757","n/e","n/e","3620","1636","0","n/e","n/e","n/e","0","","268","n/e","n/e","7257","89","n/e","0","n/e","3697","4897"
"United Kingdom (UK)","01.01.2018 06:30 - 01.01.2018 07:00 (CET)","758","n/e","n/e","3751","1638","0","n/e","n/e","n/e","0","","266","n/e","n/e","7258","89","n/e","0","n/e","3654","4839"
"United Kingdom (UK)","01.01.2018 07:00 - 01.01.2018 07:30 (CET)","758","n/e","n/e","4437","1723","0","n/e","n/e","n/e","0","","260","n/e","n/e","7263","89","n/e","4","n/e","3583","4605"
"United Kingdom (UK)","01.01.2018 07:30 - 01.01.2018 08:00 (CET)","758","n/e","n/e","5009","1805","0","n/e","n/e","n/e","82","","271","n/e","n/e","7259","89","n/e","4","n/e","3666","4380"
"United Kingdom (UK)","01.01.2018 08:00 - 01.01.2018 08:30 (CET)","757","n/e","n/e","5846","1732","0","n/e","n/e","n/e","21","","393","n/e","n/e","7259","89","n/e","0","n/e","3672","4275"
"United Kingdom (UK)","01.01.2018 08:30 - 01.01.2018 09:00 (CET)","752","n/e","n/e","5826","1726","0","n/e","n/e","n/e","0","","477","n/e","n/e","7268","89","n/e","0","n/e","3587","4238"
"United Kingdom (UK)","01.01.2018 09:00 - 01.01.2018 09:30 (CET)","757","n/e","n/e","6186","1612","0","n/e","n/e","n/e","237","","339","n/e","n/e","7267","89","n/e","4","n/e","3438","3740"
"United Kingdom (UK)","01.01.2018 09:30 - 01.01.2018 10:00 (CET)","758","n/e","n/e","7102","1690","0","n/e","n/e","n/e","375","","404","n/e","n/e","7264","88","n/e","7","n/e","3392","3800"
"United Kingdom (UK)","01.01.2018 10:00 - 01.01.2018 10:30 (CET)","756","n/e","n/e","7665","1662","0","n/e","n/e","n/e","313","","467","n/e","n/e","7267","89","n/e","217","n/e","3194","3661"
"United Kingdom (UK)","01.01.2018 10:30 - 01.01.2018 11:00 (CET)","747","n/e","n/e","9217","1657","0","n/e","n/e","n/e","588","","509","n/e","n/e","7259","88","n/e","436","n/e","2982","3646"
"United Kingdom (UK)","01.01.2018 11:00 - 01.01.2018 11:30 (CET)","741","n/e","n/e","9623","1679","0","n/e","n/e","n/e","406","","542","n/e","n/e","7260","89","n/e","693","n/e","3035","3736"
"United Kingdom (UK)","01.01.2018 11:30 - 01.01.2018 12:00 (CET)","752","n/e","n/e","10666","1684","0","n/e","n/e","n/e","605","","665","n/e","n/e","7260","89","n/e","860","n/e","2997","3617"
"United Kingdom (UK)","01.01.2018 12:00 - 01.01.2018 12:30 (CET)","755","n/e","n/e","11632","1801","0","n/e","n/e","n/e","347","","642","n/e","n/e","7262","89","n/e","1110","n/e","3022","3755"
"United Kingdom (UK)","01.01.2018 12:30 - 01.01.2018 13:00 (CET)","758","n/e","n/e","12545","1733","0","n/e","n/e","n/e","614","","623","n/e","n/e","7256","89","n/e","1460","n/e","2812","3702"
"United Kingdom (UK)","01.01.2018 13:00 - 01.01.2018 13:30 (CET)","759","n/e","n/e","13555","1734","0","n/e","n/e","n/e","441","","547","n/e","n/e","7264","89","n/e","1780","n/e","2792","3819"
