,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,873.0,568.0,671.0,1.0,435.0,1377.0,2791.0,87.0,43.0,7.0,904.0
1,856.0,573.0,664.0,1.0,445.0,1277.0,2791.0,87.0,43.0,7.0,923.0
2,858.0,583.0,657.0,1.0,440.0,1199.0,2791.0,87.0,43.0,7.0,911.0
3,874.0,598.0,655.0,1.0,445.0,1175.0,2792.0,87.0,43.0,7.0,924.0
4,870.0,606.0,653.0,1.0,453.0,1195.0,2792.0,87.0,43.0,7.0,867.0
5,861.0,597.0,653.0,1.0,458.0,1231.0,2792.0,88.0,43.0,7.0,863.0
6,850.0,591.0,647.0,1.0,455.0,1321.0,2792.0,89.0,43.0,7.0,829.0
7,863.0,595.0,643.0,1.0,444.0,1399.0,2792.0,89.0,43.0,7.0,798.0
8,885.0,589.0,645.0,1.0,447.0,1389.0,2792.0,88.0,43.0,7.0,792.0
9,883.0,579.0,643.0,1.0,449.0,1300.0,2792.0,87.0,43.0,7.0,760.0
10,874.0,567.0,631.0,1.0,449.0,1355.0,2792.0,86.0,43.0,7.0,728.0
11,867.0,571.0,626.0,1.0,449.0,1410.0,2792.0,85.0,43.0,7.0,670.0
12,888.0,575.0,629.0,1.0,455.0,1432.0,2792.0,85.0,43.0,7.0,646.0
13,867.0,585.0,631.0,1.0,461.0,1547.0,2792.0,83.0,43.0,7.0,593.0
14,868.0,607.0,638.0,1.0,469.0,1702.0,2793.0,83.0,43.0,7.0,582.0
15,875.0,600.0,637.0,1.0,469.0,1774.0,2792.0,83.0,43.0,7.0,600.0
16,884.0,587.0,642.0,1.0,473.0,1895.0,2792.0,83.0,43.0,7.0,555.0
17,879.0,583.0,647.0,1.0,461.0,1947.0,2793.0,83.0,43.0,7.0,521.0
18,873.0,596.0,658.0,1.0,458.0,1968.0,2792.0,83.0,43.0,7.0,499.0
19,873.0,609.0,661.0,1.0,455.0,1875.0,2791.0,83.0,43.0,7.0,474.0
20,863.0,627.0,654.0,1.0,453.0,1676.0,2791.0,83.0,43.0,7.0,466.0
21,862.0,630.0,649.0,1.0,451.0,1690.0,2792.0,82.0,43.0,7.0,430.0
22,857.0,627.0,645.0,1.0,438.0,1531.0,2792.0,80.0,43.0,7.0,402.0
23,842.0,624.0,641.0,1.0,423.0,1244.0,2792.0,76.0,43.0,7.0,385.0
24,837.0,608.0,638.0,1.0,403.0,1072.0,2792.0,76.0,43.0,7.0,352.0
25,823.0,609.0,631.0,1.0,404.0,1042.0,2792.0,76.0,43.0,7.0,315.0
26,820.0,608.0,623.0,1.0,408.0,1077.0,2791.0,76.0,43.0,7.0,255.0
27,817.0,603.0,622.0,1.0,410.0,1116.0,2792.0,76.0,43.0,7.0,237.0
28,839.0,605.0,622.0,1.0,412.0,1246.0,2791.0,76.0,43.0,7.0,225.0
29,845.0,606.0,640.0,1.0,436.0,1286.0,2792.0,76.0,43.0,7.0,215.0
30,864.0,601.0,656.0,1.0,463.0,1548.0,2793.0,76.0,43.0,7.0,189.0
31,887.0,602.0,705.0,1.0,474.0,1830.0,2792.0,76.0,43.0,7.0,179.0
32,892.0,610.0,765.0,1.0,476.0,2020.0,2795.0,76.0,43.0,7.0,157.0
33,882.0,588.0,776.0,63.0,487.0,1989.0,2792.0,76.0,43.0,7.0,140.0
34,885.0,600.0,761.0,1.0,489.0,2029.0,2791.0,76.0,43.0,7.0,129.0
35,887.0,598.0,758.0,1.0,487.0,2056.0,2791.0,76.0,43.0,7.0,119.0
36,893.0,596.0,760.0,1.0,492.0,2019.0,2791.0,76.0,43.0,7.0,110.0
37,891.0,591.0,753.0,1.0,487.0,2016.0,2790.0,76.0,43.0,7.0,96.0
38,898.0,580.0,754.0,1.0,481.0,2048.0,2791.0,76.0,43.0,7.0,128.0
39,925.0,658.0,757.0,1.0,486.0,2145.0,2791.0,76.0,43.0,7.0,174.0
