,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
970,208.0,6220.0,55.0,1077.0,11205.0,223.0,50.0,313.0,12.0,60.0
971,208.0,6198.0,55.0,1078.0,11109.0,224.0,99.0,315.0,27.0,66.0
972,208.0,6284.0,55.0,1077.0,10620.0,225.0,105.0,321.0,28.0,64.0
973,208.0,6333.0,55.0,1077.0,10218.0,224.0,40.0,324.0,28.0,75.0
974,208.0,6106.0,54.0,1077.0,9876.0,225.0,30.0,325.0,28.0,81.0
975,208.0,6151.0,54.0,1076.0,9488.0,223.0,30.0,303.0,28.0,87.0
976,208.0,6215.0,54.0,1077.0,9847.0,224.0,30.0,286.0,28.0,113.0
977,208.0,6377.0,54.0,1079.0,10534.0,224.0,133.0,301.0,28.0,164.0
978,208.0,6324.0,54.0,1081.0,10353.0,225.0,501.0,313.0,4.0,219.0
979,208.0,6208.0,54.0,1082.0,9738.0,225.0,746.0,313.0,0.0,282.0
980,207.0,5475.0,54.0,1082.0,9255.0,225.0,729.0,304.0,0.0,346.0
981,208.0,5002.0,54.0,1081.0,8770.0,223.0,604.0,294.0,0.0,411.0
982,180.0,5028.0,54.0,1034.0,8460.0,223.0,131.0,271.0,0.0,446.0
983,158.0,4701.0,54.0,1017.0,8349.0,223.0,0.0,267.0,0.0,444.0
984,156.0,3808.0,53.0,987.0,7948.0,223.0,0.0,260.0,0.0,459.0
985,157.0,3278.0,54.0,991.0,7735.0,222.0,0.0,261.0,0.0,486.0
986,156.0,3294.0,54.0,987.0,7768.0,222.0,0.0,260.0,0.0,551.0
987,156.0,3387.0,54.0,986.0,7874.0,222.0,0.0,260.0,0.0,573.0
988,156.0,3454.0,54.0,985.0,7911.0,221.0,0.0,260.0,0.0,600.0
989,156.0,3407.0,54.0,985.0,7905.0,221.0,0.0,260.0,0.0,709.0
990,156.0,3417.0,55.0,924.0,7813.0,222.0,27.0,261.0,0.0,820.0
991,156.0,3395.0,55.0,986.0,7882.0,221.0,30.0,261.0,0.0,889.0
992,156.0,3391.0,54.0,982.0,8201.0,216.0,48.0,270.0,0.0,1039.0
993,157.0,3907.0,54.0,992.0,8374.0,214.0,51.0,295.0,0.0,1129.0
994,156.0,4227.0,54.0,991.0,8335.0,214.0,51.0,309.0,0.0,1250.0
995,156.0,4205.0,55.0,991.0,8385.0,215.0,85.0,311.0,0.0,1399.0
996,156.0,3949.0,55.0,992.0,8317.0,217.0,288.0,304.0,0.0,1609.0
997,156.0,3754.0,55.0,994.0,8439.0,217.0,270.0,303.0,0.0,1784.0
998,156.0,3598.0,55.0,994.0,8394.0,212.0,30.0,303.0,0.0,1918.0
999,156.0,3548.0,54.0,993.0,8467.0,213.0,4.0,296.0,0.0,1865.0
1000,156.0,3733.0,54.0,994.0,8171.0,213.0,0.0,286.0,0.0,1964.0
1001,156.0,4797.0,54.0,978.0,8119.0,213.0,70.0,309.0,50.0,2039.0
1002,156.0,4957.0,55.0,975.0,8133.0,215.0,163.0,312.0,57.0,2148.0
1003,156.0,4833.0,54.0,977.0,8220.0,217.0,185.0,308.0,7.0,2204.0
1004,156.0,4574.0,54.0,980.0,8219.0,219.0,27.0,296.0,0.0,2141.0
1005,156.0,4167.0,55.0,980.0,8254.0,219.0,20.0,296.0,0.0,2147.0
1006,157.0,3497.0,55.0,973.0,8122.0,219.0,2.0,261.0,0.0,2035.0
1007,156.0,3361.0,55.0,973.0,8013.0,220.0,0.0,258.0,0.0,1876.0
1008,156.0,3357.0,54.0,980.0,8107.0,219.0,0.0,260.0,0.0,1749.0
1009,157.0,3382.0,54.0,922.0,8156.0,218.0,0.0,260.0,0.0,1724.0
1010,157.0,3356.0,54.0,919.0,8116.0,218.0,0.0,260.0,0.0,1710.0
1011,156.0,3375.0,55.0,881.0,8194.0,217.0,0.0,260.0,0.0,1627.0
1012,156.0,3675.0,55.0,913.0,8450.0,217.0,0.0,260.0,0.0,1504.0
1013,156.0,4244.0,55.0,954.0,8828.0,217.0,0.0,260.0,0.0,1502.0
1014,178.0,5353.0,55.0,980.0,9641.0,217.0,84.0,254.0,0.0,1418.0
1015,207.0,5760.0,55.0,1022.0,10841.0,216.0,17.0,254.0,0.0,1419.0
1016,212.0,6151.0,54.0,1020.0,11502.0,214.0,69.0,258.0,0.0,1300.0
1017,227.0,6168.0,55.0,1018.0,11824.0,201.0,94.0,289.0,12.0,1169.0
1018,243.0,6233.0,55.0,1018.0,11795.0,195.0,80.0,308.0,14.0,1088.0
1019,246.0,6243.0,55.0,1017.0,11795.0,197.0,45.0,310.0,14.0,1074.0
1020,246.0,6221.0,55.0,1017.0,11769.0,202.0,40.0,309.0,14.0,1175.0
1021,246.0,6342.0,55.0,1017.0,11711.0,207.0,39.0,309.0,14.0,1221.0
1022,246.0,6208.0,55.0,1017.0,11277.0,210.0,0.0,307.0,14.0,1293.0
1023,247.0,6224.0,55.0,1020.0,10925.0,211.0,0.0,287.0,14.0,1261.0
1024,246.0,6228.0,55.0,1038.0,11046.0,214.0,33.0,309.0,14.0,1306.0
1025,247.0,6181.0,55.0,1066.0,11407.0,217.0,280.0,308.0,14.0,1406.0
1026,248.0,6211.0,55.0,1067.0,11264.0,217.0,480.0,312.0,2.0,1402.0
1027,248.0,6172.0,55.0,1067.0,10988.0,218.0,548.0,312.0,0.0,1484.0
1028,247.0,5960.0,56.0,1067.0,10669.0,219.0,481.0,312.0,0.0,1421.0
1029,247.0,5387.0,55.0,1068.0,10146.0,220.0,233.0,312.0,0.0,1360.0
1030,218.0,4860.0,56.0,1055.0,9779.0,225.0,84.0,272.0,0.0,1263.0
1031,194.0,3822.0,55.0,1054.0,9556.0,227.0,0.0,251.0,0.0,1209.0
1032,194.0,3590.0,54.0,1028.0,9359.0,224.0,0.0,244.0,0.0,1174.0
1033,194.0,3502.0,55.0,1024.0,9291.0,222.0,0.0,239.0,0.0,1078.0
1034,195.0,3469.0,55.0,1025.0,9278.0,222.0,0.0,237.0,0.0,953.0
1035,194.0,3592.0,55.0,1025.0,9346.0,220.0,0.0,237.0,0.0,841.0
1036,196.0,3688.0,55.0,1025.0,9476.0,218.0,0.0,237.0,0.0,768.0
1037,198.0,4285.0,55.0,1025.0,9794.0,216.0,0.0,237.0,0.0,575.0
1038,225.0,5487.0,56.0,1026.0,10759.0,216.0,0.0,238.0,0.0,496.0
1039,250.0,5954.0,56.0,1039.0,11649.0,217.0,0.0,238.0,0.0,400.0
1040,249.0,6144.0,55.0,1040.0,12310.0,218.0,0.0,257.0,0.0,320.0
1041,249.0,6179.0,55.0,1040.0,12529.0,219.0,18.0,264.0,0.0,220.0
1042,250.0,6056.0,55.0,1038.0,12390.0,216.0,86.0,271.0,25.0,156.0
1043,249.0,6114.0,55.0,1034.0,12426.0,211.0,196.0,271.0,28.0,128.0
1044,251.0,6149.0,55.0,1033.0,12568.0,206.0,79.0,275.0,29.0,121.0
1045,247.0,6218.0,55.0,1033.0,12553.0,201.0,207.0,274.0,28.0,112.0
1046,246.0,6148.0,55.0,1016.0,12290.0,185.0,205.0,268.0,28.0,98.0
1047,244.0,6150.0,55.0,998.0,12152.0,184.0,21.0,266.0,28.0,77.0
1048,246.0,6130.0,55.0,1035.0,12336.0,187.0,0.0,266.0,28.0,82.0
1049,246.0,6386.0,55.0,1038.0,12911.0,189.0,102.0,270.0,28.0,108.0
1050,246.0,6297.0,55.0,1037.0,12852.0,193.0,298.0,286.0,28.0,158.0
1051,244.0,6094.0,54.0,1038.0,12745.0,212.0,307.0,288.0,28.0,222.0
1052,244.0,5996.0,55.0,1040.0,12082.0,214.0,224.0,291.0,4.0,271.0
1053,244.0,5654.0,55.0,1041.0,11299.0,216.0,103.0,292.0,0.0,291.0
1054,218.0,5584.0,55.0,1027.0,10716.0,221.0,0.0,257.0,0.0,283.0
1055,193.0,4869.0,54.0,1024.0,9922.0,221.0,0.0,234.0,0.0,279.0
1056,194.0,4090.0,54.0,1017.0,9775.0,220.0,0.0,234.0,0.0,252.0
1057,193.0,3926.0,55.0,1016.0,9794.0,219.0,0.0,232.0,0.0,229.0
1058,195.0,3669.0,55.0,1016.0,9672.0,217.0,0.0,232.0,0.0,227.0
1059,195.0,3650.0,55.0,1017.0,9630.0,217.0,0.0,232.0,0.0,206.0
1060,195.0,3851.0,55.0,1016.0,9714.0,216.0,0.0,232.0,0.0,224.0
1061,195.0,4539.0,55.0,1017.0,9845.0,215.0,0.0,232.0,0.0,259.0
1062,229.0,5943.0,55.0,1018.0,11045.0,216.0,0.0,232.0,0.0,249.0
1063,247.0,6328.0,54.0,1031.0,12068.0,216.0,0.0,232.0,0.0,252.0
1064,246.0,6547.0,55.0,1028.0,12512.0,217.0,0.0,242.0,0.0,209.0
1065,247.0,6454.0,55.0,1027.0,12334.0,213.0,85.0,265.0,0.0,170.0
1066,247.0,6399.0,55.0,1026.0,12384.0,212.0,114.0,277.0,25.0,154.0
1067,246.0,6505.0,55.0,1026.0,12580.0,206.0,81.0,279.0,29.0,158.0
1068,247.0,6597.0,54.0,1025.0,12515.0,204.0,75.0,270.0,29.0,201.0
1069,247.0,6521.0,55.0,1063.0,12578.0,207.0,168.0,269.0,29.0,236.0
1070,246.0,6317.0,55.0,1131.0,12259.0,209.0,200.0,252.0,29.0,266.0
1071,247.0,6030.0,51.0,1131.0,12053.0,207.0,237.0,249.0,29.0,323.0
1072,246.0,6075.0,50.0,1134.0,12208.0,208.0,17.0,259.0,28.0,385.0
1073,246.0,6215.0,53.0,1138.0,12483.0,210.0,100.0,273.0,28.0,414.0
1074,246.0,6219.0,55.0,1145.0,12439.0,211.0,114.0,295.0,28.0,452.0
1075,250.0,6259.0,54.0,1145.0,12457.0,208.0,32.0,298.0,28.0,456.0
1076,249.0,6185.0,52.0,1146.0,12015.0,216.0,20.0,286.0,4.0,455.0
1077,249.0,5710.0,52.0,1146.0,11242.0,219.0,3.0,284.0,0.0,396.0
1078,213.0,5145.0,49.0,1133.0,10513.0,226.0,0.0,269.0,0.0,322.0
1079,197.0,4646.0,44.0,1131.0,10159.0,227.0,0.0,235.0,0.0,304.0
1080,196.0,3900.0,43.0,1124.0,9662.0,226.0,0.0,225.0,0.0,300.0
1081,195.0,3689.0,43.0,1123.0,9584.0,224.0,0.0,225.0,0.0,278.0
1082,196.0,3477.0,44.0,1123.0,9553.0,222.0,0.0,225.0,0.0,235.0
1083,196.0,3587.0,43.0,1124.0,9584.0,220.0,0.0,225.0,0.0,204.0
1084,196.0,3851.0,44.0,1123.0,9594.0,217.0,0.0,225.0,0.0,208.0
1085,196.0,4604.0,45.0,1123.0,9921.0,217.0,0.0,225.0,0.0,205.0
1086,230.0,5514.0,45.0,1124.0,10862.0,217.0,0.0,227.0,0.0,220.0
1087,248.0,5909.0,46.0,1139.0,11640.0,219.0,0.0,226.0,0.0,284.0
1088,248.0,6200.0,51.0,1136.0,12328.0,223.0,0.0,242.0,0.0,327.0
1089,249.0,6292.0,52.0,1135.0,12643.0,225.0,83.0,267.0,25.0,387.0
1090,249.0,6250.0,47.0,1134.0,12657.0,224.0,112.0,278.0,29.0,415.0
1091,248.0,6240.0,47.0,1132.0,12837.0,220.0,131.0,287.0,29.0,457.0
1092,248.0,6262.0,50.0,1134.0,12966.0,216.0,133.0,292.0,29.0,527.0
1093,247.0,6184.0,54.0,1133.0,12725.0,206.0,50.0,293.0,29.0,663.0
1094,247.0,6049.0,54.0,1131.0,12066.0,227.0,0.0,294.0,29.0,843.0
1095,247.0,5907.0,54.0,1129.0,11667.0,228.0,0.0,296.0,29.0,1026.0
1096,247.0,5759.0,53.0,1190.0,11625.0,225.0,0.0,297.0,16.0,1224.0
1097,247.0,6006.0,53.0,1281.0,11841.0,225.0,112.0,313.0,14.0,1525.0
1098,247.0,6147.0,54.0,1301.0,11792.0,224.0,211.0,310.0,2.0,1785.0
1099,247.0,6021.0,54.0,1303.0,11209.0,225.0,295.0,308.0,0.0,2037.0
1100,246.0,5406.0,54.0,1301.0,11058.0,226.0,321.0,284.0,0.0,1991.0
1101,247.0,4813.0,55.0,1301.0,10779.0,226.0,162.0,281.0,0.0,1803.0
1102,212.0,4363.0,54.0,1288.0,10189.0,225.0,0.0,254.0,0.0,1800.0
1103,195.0,3616.0,54.0,1278.0,9752.0,224.0,0.0,251.0,0.0,1775.0
1104,197.0,3538.0,54.0,1259.0,9549.0,222.0,0.0,235.0,0.0,1691.0
1105,199.0,3464.0,53.0,1258.0,9462.0,222.0,0.0,228.0,0.0,1589.0
1106,198.0,3394.0,53.0,1256.0,9381.0,222.0,0.0,228.0,0.0,1496.0
1107,198.0,3505.0,53.0,1257.0,9301.0,220.0,0.0,227.0,0.0,1469.0
1108,198.0,3711.0,54.0,1256.0,9367.0,219.0,0.0,223.0,0.0,1506.0
1109,198.0,4267.0,54.0,1255.0,9348.0,217.0,0.0,222.0,0.0,1582.0
1110,234.0,5211.0,55.0,1257.0,10313.0,218.0,0.0,225.0,0.0,1527.0
1111,262.0,5676.0,55.0,1269.0,10920.0,220.0,0.0,227.0,0.0,1624.0
1112,255.0,5976.0,55.0,1300.0,11190.0,216.0,53.0,274.0,0.0,1658.0
1113,254.0,5840.0,55.0,1550.0,11133.0,199.0,109.0,285.0,50.0,1649.0
1114,254.0,5991.0,55.0,1550.0,11023.0,190.0,136.0,284.0,57.0,1550.0
1115,254.0,6087.0,55.0,1550.0,11017.0,199.0,188.0,284.0,7.0,1651.0
1116,254.0,6109.0,55.0,1550.0,11292.0,214.0,85.0,266.0,0.0,1690.0
1117,254.0,6013.0,55.0,1569.0,11300.0,210.0,11.0,273.0,0.0,1831.0
1118,254.0,5941.0,55.0,1569.0,10799.0,204.0,0.0,272.0,0.0,1885.0
1119,254.0,5924.0,55.0,1563.0,10346.0,194.0,0.0,269.0,0.0,1937.0
1120,254.0,5837.0,55.0,1569.0,10299.0,200.0,0.0,263.0,0.0,1937.0
1121,254.0,5906.0,54.0,1462.0,10987.0,210.0,48.0,275.0,0.0,2095.0
1122,254.0,5953.0,54.0,1078.0,11362.0,211.0,54.0,285.0,0.0,2284.0
1123,254.0,5831.0,54.0,993.0,11154.0,214.0,25.0,285.0,0.0,2586.0
1124,254.0,5633.0,54.0,994.0,10526.0,215.0,123.0,267.0,0.0,2844.0
1125,255.0,4462.0,54.0,995.0,10165.0,217.0,139.0,254.0,0.0,3200.0
1126,221.0,4365.0,55.0,981.0,9775.0,218.0,3.0,237.0,0.0,3377.0
1127,195.0,4019.0,55.0,979.0,9535.0,220.0,0.0,224.0,0.0,3400.0
1128,173.0,4136.0,55.0,981.0,8651.0,218.0,0.0,223.0,0.0,3234.0
1129,162.0,3940.0,55.0,981.0,8608.0,217.0,0.0,223.0,0.0,2907.0
1130,162.0,4122.0,55.0,941.0,8468.0,215.0,0.0,223.0,0.0,2665.0
1131,161.0,3987.0,55.0,938.0,8317.0,214.0,0.0,223.0,0.0,2623.0
1132,161.0,3942.0,55.0,937.0,8424.0,214.0,0.0,223.0,0.0,2471.0
1133,161.0,4056.0,55.0,937.0,8470.0,213.0,0.0,223.0,0.0,2266.0
1134,195.0,4431.0,55.0,760.0,8583.0,212.0,0.0,222.0,0.0,1956.0
1135,225.0,5098.0,55.0,651.0,8971.0,211.0,0.0,222.0,0.0,1627.0
1136,225.0,5168.0,55.0,652.0,9668.0,209.0,18.0,223.0,0.0,1423.0
1137,225.0,5425.0,54.0,652.0,10367.0,208.0,21.0,249.0,0.0,1191.0
1138,225.0,5578.0,55.0,650.0,10626.0,209.0,193.0,263.0,0.0,897.0
1139,225.0,5524.0,55.0,646.0,10644.0,211.0,361.0,265.0,0.0,826.0
1140,224.0,5462.0,54.0,647.0,10689.0,211.0,283.0,265.0,12.0,711.0
1141,225.0,5483.0,54.0,647.0,10716.0,212.0,137.0,260.0,14.0,634.0
1142,225.0,5477.0,55.0,647.0,10327.0,212.0,1.0,250.0,14.0,512.0
1143,225.0,5473.0,55.0,646.0,10022.0,211.0,1.0,234.0,14.0,386.0
1144,224.0,5410.0,55.0,648.0,10273.0,213.0,1.0,229.0,27.0,367.0
1145,225.0,5595.0,55.0,688.0,10640.0,212.0,253.0,265.0,28.0,422.0
1146,225.0,5697.0,55.0,692.0,10533.0,212.0,499.0,280.0,28.0,463.0
1147,225.0,5761.0,55.0,692.0,10580.0,212.0,60.0,282.0,28.0,504.0
1148,225.0,5683.0,55.0,693.0,10112.0,212.0,21.0,276.0,4.0,487.0
1149,225.0,5469.0,55.0,693.0,9491.0,212.0,21.0,246.0,0.0,456.0
1150,185.0,5426.0,55.0,644.0,9052.0,215.0,17.0,231.0,0.0,436.0
1151,161.0,5260.0,55.0,628.0,8341.0,215.0,3.0,218.0,0.0,424.0
1152,158.0,5354.0,55.0,628.0,8256.0,217.0,1.0,216.0,0.0,432.0
1153,158.0,4687.0,55.0,627.0,8139.0,217.0,1.0,216.0,0.0,456.0
1154,158.0,4408.0,55.0,627.0,8086.0,215.0,1.0,216.0,0.0,517.0
1155,157.0,4119.0,55.0,628.0,8302.0,212.0,1.0,215.0,0.0,537.0
1156,158.0,4077.0,55.0,627.0,8372.0,211.0,1.0,216.0,0.0,591.0
1157,158.0,4089.0,55.0,627.0,8393.0,211.0,1.0,216.0,0.0,548.0
1158,158.0,4080.0,55.0,628.0,8444.0,212.0,1.0,216.0,0.0,523.0
1159,158.0,4317.0,54.0,630.0,8418.0,213.0,1.0,215.0,0.0,478.0
1160,158.0,4993.0,55.0,630.0,8468.0,212.0,19.0,232.0,0.0,366.0
1161,158.0,5236.0,55.0,630.0,8815.0,211.0,21.0,242.0,0.0,309.0
1162,157.0,5263.0,55.0,630.0,9287.0,209.0,74.0,249.0,12.0,305.0
1163,158.0,5226.0,54.0,630.0,9337.0,206.0,81.0,250.0,14.0,329.0
1164,158.0,5155.0,55.0,631.0,9471.0,188.0,29.0,255.0,14.0,338.0
1165,158.0,5148.0,54.0,629.0,9429.0,207.0,3.0,254.0,14.0,359.0
1166,158.0,5174.0,55.0,630.0,9125.0,208.0,1.0,247.0,14.0,363.0
1167,158.0,5140.0,55.0,631.0,8907.0,209.0,1.0,228.0,14.0,331.0
1168,158.0,5144.0,55.0,631.0,9078.0,209.0,1.0,234.0,14.0,282.0
1169,158.0,5297.0,55.0,636.0,9743.0,210.0,71.0,271.0,14.0,259.0
1170,158.0,5618.0,55.0,655.0,9984.0,209.0,183.0,280.0,2.0,282.0
1171,158.0,5729.0,55.0,689.0,10014.0,209.0,148.0,282.0,0.0,299.0
1172,158.0,5498.0,55.0,794.0,9766.0,210.0,25.0,281.0,0.0,351.0
1173,158.0,5410.0,55.0,954.0,9114.0,210.0,21.0,267.0,0.0,432.0
1174,158.0,5428.0,55.0,1032.0,8738.0,212.0,3.0,236.0,0.0,460.0
1175,158.0,5262.0,55.0,1026.0,8431.0,218.0,0.0,232.0,0.0,469.0
1176,158.0,4819.0,55.0,1027.0,8356.0,216.0,0.0,218.0,0.0,506.0
1177,157.0,4897.0,55.0,1027.0,8456.0,215.0,0.0,216.0,0.0,509.0
1178,158.0,4959.0,55.0,1028.0,8494.0,214.0,0.0,216.0,0.0,495.0
1179,158.0,4942.0,55.0,1028.0,8512.0,211.0,0.0,216.0,0.0,480.0
1180,158.0,4966.0,55.0,1028.0,8757.0,212.0,0.0,216.0,0.0,478.0
1181,158.0,5315.0,55.0,1027.0,9539.0,212.0,0.0,215.0,0.0,484.0
1182,182.0,5739.0,55.0,1067.0,11083.0,212.0,0.0,214.0,0.0,449.0
1183,209.0,5951.0,55.0,1115.0,12369.0,212.0,1.0,215.0,0.0,416.0
1184,208.0,5860.0,55.0,1123.0,12625.0,210.0,19.0,241.0,0.0,412.0
1185,208.0,6071.0,55.0,1206.0,12409.0,205.0,55.0,267.0,0.0,325.0
1186,208.0,5860.0,55.0,1355.0,12357.0,199.0,111.0,271.0,12.0,301.0
1187,209.0,5882.0,55.0,1657.0,12030.0,199.0,117.0,273.0,14.0,254.0
1188,210.0,5943.0,54.0,1700.0,12047.0,198.0,65.0,275.0,14.0,195.0
1189,211.0,5978.0,54.0,1705.0,12143.0,200.0,40.0,275.0,14.0,153.0
1190,211.0,5965.0,55.0,1705.0,12174.0,201.0,5.0,272.0,14.0,150.0
1191,212.0,5966.0,55.0,1544.0,12234.0,202.0,1.0,261.0,14.0,182.0
1192,210.0,5939.0,54.0,1661.0,12149.0,205.0,1.0,244.0,14.0,255.0
1193,208.0,6143.0,55.0,1173.0,12582.0,208.0,205.0,277.0,14.0,408.0
1194,208.0,6038.0,56.0,1107.0,12640.0,209.0,280.0,290.0,2.0,649.0
1195,209.0,6035.0,55.0,1112.0,12580.0,210.0,222.0,292.0,0.0,785.0
1196,209.0,5998.0,54.0,1112.0,12014.0,212.0,182.0,267.0,0.0,880.0
1197,192.0,5980.0,55.0,1112.0,11488.0,212.0,77.0,248.0,0.0,874.0
1198,158.0,5877.0,55.0,1099.0,10557.0,215.0,223.0,227.0,0.0,816.0
1199,158.0,5373.0,55.0,1097.0,9951.0,218.0,101.0,219.0,0.0,772.0
1200,158.0,4753.0,55.0,1098.0,10311.0,218.0,0.0,216.0,0.0,762.0
1201,158.0,4532.0,56.0,1097.0,10211.0,216.0,0.0,214.0,0.0,768.0
1202,159.0,4532.0,55.0,1098.0,10097.0,215.0,0.0,214.0,0.0,762.0
1203,158.0,4576.0,55.0,1098.0,10086.0,214.0,0.0,214.0,0.0,772.0
1204,158.0,4764.0,55.0,1098.0,10233.0,213.0,0.0,214.0,0.0,776.0
1205,158.0,5524.0,55.0,1098.0,10532.0,213.0,0.0,214.0,0.0,881.0
1206,188.0,5917.0,55.0,1103.0,11608.0,213.0,1.0,213.0,0.0,976.0
1207,209.0,5865.0,55.0,1118.0,12596.0,215.0,1.0,212.0,0.0,984.0
1208,209.0,5922.0,52.0,1216.0,12749.0,216.0,17.0,242.0,0.0,810.0
1209,209.0,5920.0,49.0,1669.0,12227.0,215.0,103.0,259.0,0.0,606.0
1210,209.0,5776.0,49.0,1713.0,12012.0,213.0,163.0,273.0,12.0,593.0
1211,209.0,5724.0,47.0,1712.0,11813.0,213.0,174.0,276.0,14.0,679.0
1212,209.0,5743.0,46.0,1711.0,11951.0,212.0,38.0,266.0,14.0,795.0
1213,209.0,5684.0,46.0,1708.0,12013.0,211.0,2.0,265.0,14.0,898.0
1214,209.0,5818.0,48.0,1557.0,12085.0,210.0,0.0,240.0,14.0,933.0
1215,209.0,5847.0,50.0,1123.0,12121.0,210.0,0.0,242.0,14.0,986.0
1216,209.0,5855.0,50.0,1115.0,12077.0,210.0,0.0,264.0,14.0,1077.0
1217,209.0,6041.0,53.0,1116.0,12466.0,214.0,126.0,271.0,14.0,1218.0
1218,209.0,6157.0,54.0,1219.0,12467.0,216.0,143.0,279.0,2.0,1419.0
1219,209.0,5965.0,54.0,1682.0,12255.0,218.0,35.0,280.0,0.0,1456.0
1220,208.0,5808.0,54.0,1718.0,11863.0,220.0,10.0,275.0,0.0,1448.0
1221,207.0,5327.0,54.0,1720.0,11428.0,220.0,0.0,254.0,0.0,1324.0
1222,165.0,5041.0,54.0,1708.0,10572.0,222.0,0.0,221.0,0.0,1211.0
1223,158.0,4077.0,54.0,1709.0,10330.0,223.0,0.0,215.0,0.0,1224.0
1224,157.0,4034.0,55.0,1707.0,9934.0,221.0,0.0,215.0,0.0,1218.0
1225,158.0,3886.0,54.0,1706.0,9869.0,220.0,0.0,216.0,0.0,1201.0
1226,159.0,3766.0,54.0,1705.0,9777.0,220.0,0.0,215.0,0.0,1166.0
1227,160.0,3788.0,54.0,1705.0,9829.0,220.0,0.0,216.0,0.0,1113.0
1228,160.0,3988.0,54.0,1704.0,9854.0,220.0,0.0,217.0,0.0,998.0
1229,160.0,4858.0,55.0,1709.0,9932.0,221.0,0.0,216.0,0.0,913.0
1230,177.0,5653.0,55.0,1708.0,11099.0,221.0,0.0,216.0,0.0,825.0
1231,211.0,5800.0,55.0,1721.0,11875.0,223.0,0.0,216.0,0.0,748.0
1232,226.0,5903.0,55.0,1719.0,12194.0,221.0,0.0,241.0,0.0,583.0
1233,229.0,6183.0,55.0,1717.0,12117.0,216.0,245.0,253.0,12.0,480.0
1234,227.0,6156.0,55.0,1718.0,12146.0,214.0,121.0,260.0,14.0,444.0
1235,226.0,6151.0,53.0,1717.0,11988.0,203.0,61.0,261.0,14.0,405.0
1236,224.0,6140.0,54.0,1718.0,12003.0,201.0,25.0,264.0,14.0,401.0
1237,227.0,6120.0,54.0,1719.0,12088.0,205.0,2.0,264.0,14.0,461.0
1238,228.0,6117.0,54.0,1720.0,11977.0,217.0,0.0,243.0,14.0,554.0
1239,228.0,6131.0,54.0,1722.0,11907.0,219.0,0.0,231.0,14.0,592.0
1240,228.0,6111.0,55.0,1723.0,11765.0,218.0,0.0,255.0,14.0,532.0
1241,227.0,6135.0,54.0,1724.0,12343.0,219.0,71.0,262.0,14.0,483.0
1242,229.0,6117.0,54.0,1729.0,12537.0,219.0,140.0,283.0,14.0,496.0
1243,228.0,6098.0,54.0,1730.0,12353.0,220.0,37.0,285.0,14.0,466.0
1244,228.0,6116.0,54.0,1732.0,11872.0,225.0,21.0,261.0,14.0,474.0
1245,227.0,5990.0,54.0,1730.0,11149.0,227.0,3.0,252.0,2.0,484.0
1246,184.0,5309.0,55.0,1715.0,10183.0,232.0,0.0,235.0,0.0,493.0
1247,159.0,4606.0,55.0,1710.0,10000.0,231.0,0.0,233.0,0.0,511.0
1248,158.0,4509.0,55.0,1710.0,10121.0,228.0,0.0,208.0,0.0,468.0
1249,158.0,4236.0,55.0,1672.0,10148.0,226.0,0.0,202.0,0.0,423.0
1250,159.0,4160.0,55.0,1589.0,10063.0,224.0,0.0,202.0,0.0,452.0
1251,158.0,4141.0,55.0,1587.0,10070.0,221.0,0.0,202.0,0.0,485.0
1252,158.0,4099.0,55.0,1661.0,10179.0,220.0,0.0,202.0,0.0,483.0
1253,157.0,4247.0,54.0,1706.0,10349.0,220.0,0.0,202.0,0.0,480.0
1254,192.0,5376.0,54.0,1714.0,11474.0,221.0,0.0,201.0,0.0,473.0
1255,210.0,5604.0,55.0,1727.0,12238.0,222.0,0.0,201.0,0.0,487.0
1256,206.0,5789.0,55.0,1727.0,12694.0,224.0,26.0,226.0,25.0,439.0
1257,202.0,5985.0,55.0,1724.0,12605.0,221.0,146.0,241.0,29.0,365.0
1258,214.0,6084.0,55.0,1728.0,12324.0,221.0,69.0,246.0,29.0,389.0
1259,208.0,6089.0,54.0,1721.0,12181.0,219.0,54.0,250.0,4.0,421.0
1260,209.0,6004.0,54.0,1727.0,12229.0,220.0,55.0,246.0,0.0,431.0
1261,211.0,5916.0,41.0,1725.0,12328.0,221.0,166.0,242.0,0.0,479.0
1262,211.0,5990.0,42.0,1413.0,12487.0,223.0,134.0,222.0,0.0,551.0
1263,204.0,5602.0,53.0,1601.0,12230.0,225.0,265.0,210.0,0.0,610.0
1264,158.0,5785.0,55.0,1260.0,12617.0,227.0,10.0,234.0,0.0,686.0
1265,162.0,5816.0,54.0,1338.0,12914.0,230.0,97.0,241.0,25.0,826.0
1266,208.0,5815.0,54.0,1160.0,13151.0,232.0,146.0,264.0,29.0,992.0
1267,211.0,5779.0,54.0,1125.0,13197.0,234.0,126.0,269.0,29.0,1017.0
1268,211.0,5620.0,54.0,1123.0,12344.0,236.0,256.0,245.0,4.0,1000.0
