,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
46,0.0,5170.0,70.0,648.0,8290.0,204.0,134.0,314.0,0.0,1036.0
47,0.0,4250.0,69.0,647.0,8079.0,205.0,50.0,301.0,0.0,1079.0
48,0.0,3618.0,69.0,645.0,7858.0,204.0,0.0,304.0,0.0,1097.0
49,0.0,3569.0,69.0,646.0,7818.0,203.0,0.0,304.0,0.0,1133.0
50,0.0,3566.0,69.0,646.0,7744.0,201.0,0.0,304.0,0.0,1173.0
51,0.0,3494.0,69.0,645.0,7751.0,200.0,0.0,304.0,0.0,1431.0
52,0.0,3579.0,69.0,645.0,7775.0,198.0,0.0,304.0,0.0,1642.0
53,0.0,3535.0,69.0,645.0,7880.0,198.0,0.0,304.0,0.0,1982.0
54,0.0,4460.0,69.0,662.0,8331.0,199.0,0.0,301.0,0.0,2464.0
55,0.0,5167.0,70.0,701.0,8689.0,205.0,0.0,323.0,50.0,3177.0
56,0.0,5023.0,71.0,701.0,8897.0,206.0,70.0,337.0,57.0,3743.0
57,0.0,4799.0,71.0,738.0,9116.0,211.0,125.0,341.0,57.0,4066.0
58,0.0,4465.0,71.0,903.0,8941.0,216.0,184.0,352.0,57.0,4299.0
59,0.0,4350.0,73.0,1117.0,8885.0,218.0,389.0,353.0,7.0,4488.0
60,0.0,4607.0,73.0,1150.0,8827.0,214.0,340.0,354.0,0.0,4518.0
61,0.0,4938.0,72.0,1144.0,8875.0,210.0,357.0,354.0,0.0,4378.0
62,0.0,5035.0,68.0,1296.0,8804.0,210.0,100.0,354.0,50.0,4145.0
63,0.0,5503.0,63.0,1299.0,8806.0,207.0,0.0,351.0,57.0,3942.0
64,0.0,5967.0,64.0,1324.0,9075.0,210.0,105.0,369.0,57.0,3892.0
65,0.0,5859.0,67.0,1329.0,8905.0,213.0,285.0,372.0,57.0,3850.0
66,0.0,5625.0,72.0,1330.0,8764.0,212.0,503.0,371.0,57.0,3638.0
67,0.0,5381.0,75.0,1331.0,8812.0,207.0,737.0,373.0,57.0,3494.0
68,0.0,4890.0,74.0,1330.0,8726.0,206.0,706.0,367.0,7.0,3481.0
69,0.0,4054.0,75.0,1325.0,8425.0,206.0,266.0,358.0,0.0,3482.0
70,0.0,3765.0,76.0,1281.0,7853.0,207.0,112.0,332.0,0.0,3593.0
71,0.0,3960.0,76.0,1215.0,7405.0,207.0,14.0,321.0,0.0,3672.0
72,0.0,3780.0,77.0,890.0,6921.0,208.0,0.0,301.0,0.0,3867.0
73,0.0,3762.0,74.0,862.0,6890.0,206.0,0.0,296.0,0.0,3953.0
74,0.0,3960.0,74.0,868.0,6944.0,203.0,0.0,296.0,0.0,4022.0
75,0.0,3914.0,74.0,869.0,7062.0,203.0,0.0,296.0,0.0,4085.0
76,0.0,3798.0,74.0,859.0,7059.0,202.0,0.0,296.0,0.0,4263.0
77,0.0,4049.0,74.0,859.0,7238.0,202.0,0.0,297.0,0.0,4344.0
78,0.0,4774.0,73.0,915.0,7742.0,201.0,8.0,304.0,0.0,4418.0
79,0.0,5400.0,72.0,1023.0,8222.0,202.0,20.0,310.0,38.0,4486.0
80,0.0,4987.0,73.0,1037.0,8518.0,198.0,99.0,335.0,43.0,4474.0
81,0.0,5204.0,76.0,946.0,9038.0,193.0,111.0,345.0,43.0,4303.0
82,0.0,5379.0,77.0,938.0,9022.0,191.0,178.0,356.0,43.0,4256.0
83,0.0,5606.0,76.0,1029.0,9027.0,191.0,169.0,357.0,43.0,4031.0
84,0.0,5700.0,75.0,1021.0,9147.0,191.0,205.0,356.0,43.0,3809.0
85,0.0,5852.0,73.0,1162.0,9184.0,190.0,315.0,347.0,5.0,3618.0
86,0.0,5944.0,72.0,1039.0,9248.0,192.0,144.0,347.0,0.0,3213.0
87,0.0,5971.0,71.0,1136.0,9259.0,192.0,54.0,357.0,37.0,2973.0
88,0.0,6062.0,71.0,1164.0,9573.0,192.0,393.0,367.0,43.0,2808.0
89,0.0,5966.0,72.0,1168.0,9635.0,193.0,703.0,372.0,43.0,2649.0
90,0.0,5912.0,72.0,1131.0,9422.0,192.0,692.0,372.0,43.0,2656.0
91,0.0,5901.0,71.0,1204.0,9330.0,192.0,594.0,372.0,43.0,2626.0
92,0.0,5750.0,70.0,1182.0,9112.0,193.0,359.0,370.0,43.0,2619.0
93,0.0,4597.0,70.0,1201.0,8934.0,193.0,201.0,372.0,43.0,2679.0
94,0.0,3979.0,71.0,1127.0,8438.0,192.0,117.0,361.0,5.0,2706.0
95,0.0,3833.0,70.0,1115.0,8082.0,193.0,45.0,350.0,0.0,2777.0
