,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
880,310.0,2060.0,1754.0,20.0,333.0,288.0,39.0,265.0,2617.0
881,311.0,2169.0,1755.0,812.0,687.0,410.0,39.0,167.0,2861.0
882,316.0,2241.0,1754.0,589.0,1558.0,527.0,40.0,31.0,2509.0
883,317.0,2337.0,1755.0,856.0,1572.0,708.0,40.0,0.0,2264.0
884,316.0,2205.0,1754.0,969.0,1556.0,561.0,35.0,0.0,2332.0
885,321.0,2311.0,1754.0,990.0,1415.0,726.0,37.0,0.0,2255.0
886,318.0,2205.0,1754.0,363.0,1267.0,438.0,36.0,0.0,2090.0
887,323.0,1916.0,1755.0,156.0,866.0,161.0,36.0,0.0,1919.0
888,323.0,1581.0,1742.0,1.0,300.0,138.0,37.0,0.0,1920.0
889,329.0,1115.0,1602.0,0.0,186.0,85.0,38.0,0.0,1944.0
890,333.0,1067.0,1457.0,0.0,49.0,101.0,39.0,0.0,2017.0
891,327.0,1177.0,1433.0,0.0,44.0,99.0,37.0,0.0,2020.0
892,325.0,1168.0,1426.0,0.0,43.0,0.0,37.0,0.0,1992.0
893,326.0,1255.0,1492.0,0.0,56.0,0.0,37.0,0.0,1859.0
894,320.0,1382.0,1627.0,0.0,218.0,0.0,38.0,0.0,2022.0
895,322.0,1845.0,1750.0,0.0,405.0,46.0,36.0,0.0,2250.0
896,317.0,2257.0,1755.0,275.0,611.0,74.0,35.0,4.0,2330.0
897,319.0,2427.0,1755.0,544.0,984.0,255.0,36.0,90.0,2078.0
898,324.0,2606.0,1756.0,429.0,910.0,128.0,37.0,215.0,1676.0
899,329.0,2615.0,1756.0,103.0,790.0,472.0,38.0,300.0,1417.0
900,330.0,2441.0,1755.0,11.0,802.0,362.0,38.0,344.0,1432.0
901,330.0,2375.0,1755.0,0.0,695.0,327.0,38.0,347.0,1449.0
902,337.0,2253.0,1755.0,0.0,479.0,358.0,40.0,322.0,1598.0
903,329.0,2433.0,1755.0,0.0,348.0,235.0,38.0,252.0,1850.0
904,324.0,2594.0,1755.0,0.0,446.0,267.0,37.0,201.0,1978.0
905,326.0,2641.0,1755.0,2.0,679.0,196.0,37.0,124.0,1960.0
906,323.0,2617.0,1755.0,868.0,1157.0,656.0,37.0,29.0,1735.0
907,322.0,2486.0,1755.0,1023.0,1306.0,686.0,37.0,0.0,1668.0
908,321.0,2303.0,1756.0,1250.0,1345.0,777.0,38.0,0.0,1724.0
909,326.0,2267.0,1755.0,1146.0,1395.0,752.0,37.0,0.0,1639.0
910,324.0,2268.0,1754.0,778.0,1199.0,592.0,36.0,0.0,1610.0
911,330.0,2151.0,1755.0,18.0,922.0,277.0,36.0,0.0,1727.0
912,328.0,1630.0,1755.0,0.0,572.0,159.0,36.0,0.0,1700.0
913,327.0,1136.0,1756.0,0.0,417.0,102.0,38.0,0.0,1732.0
914,324.0,1056.0,1755.0,0.0,210.0,5.0,38.0,0.0,1813.0
915,323.0,1150.0,1755.0,0.0,75.0,5.0,37.0,0.0,1876.0
916,325.0,1243.0,1724.0,0.0,38.0,5.0,37.0,0.0,1806.0
917,326.0,1341.0,1729.0,0.0,41.0,5.0,37.0,0.0,1729.0
918,321.0,1638.0,1692.0,0.0,226.0,5.0,35.0,0.0,1598.0
919,319.0,2056.0,1753.0,12.0,503.0,44.0,36.0,0.0,1479.0
920,327.0,2369.0,1758.0,445.0,901.0,289.0,37.0,6.0,1394.0
921,338.0,2929.0,1758.0,10.0,952.0,205.0,42.0,109.0,1128.0
922,345.0,2988.0,1758.0,126.0,981.0,320.0,47.0,241.0,699.0
923,343.0,2930.0,1755.0,0.0,841.0,267.0,47.0,311.0,525.0
924,317.0,2957.0,1755.0,0.0,638.0,57.0,43.0,344.0,423.0
925,323.0,2773.0,1755.0,0.0,560.0,48.0,44.0,355.0,466.0
926,317.0,2673.0,1755.0,0.0,419.0,37.0,42.0,352.0,572.0
927,319.0,2387.0,1754.0,0.0,433.0,38.0,43.0,325.0,713.0
928,320.0,2460.0,1754.0,0.0,493.0,19.0,43.0,281.0,729.0
929,325.0,2531.0,1751.0,16.0,595.0,40.0,44.0,188.0,730.0
930,315.0,2965.0,1754.0,651.0,1026.0,477.0,42.0,45.0,714.0
931,310.0,2983.0,1754.0,982.0,1107.0,698.0,42.0,0.0,739.0
932,314.0,2936.0,1754.0,643.0,1023.0,367.0,43.0,0.0,759.0
933,325.0,2917.0,1755.0,1201.0,1250.0,637.0,42.0,0.0,745.0
934,326.0,2868.0,1755.0,638.0,1122.0,464.0,42.0,0.0,699.0
935,319.0,2390.0,1754.0,6.0,813.0,138.0,42.0,0.0,685.0
936,326.0,1875.0,1754.0,0.0,717.0,89.0,43.0,0.0,528.0
937,331.0,1295.0,1754.0,0.0,498.0,109.0,43.0,0.0,429.0
938,327.0,1278.0,1754.0,0.0,286.0,7.0,43.0,0.0,504.0
939,331.0,1289.0,1754.0,0.0,241.0,29.0,43.0,0.0,599.0
940,340.0,1264.0,1754.0,0.0,110.0,6.0,43.0,0.0,777.0
941,336.0,1359.0,1754.0,0.0,49.0,6.0,45.0,0.0,859.0
942,333.0,1619.0,1753.0,0.0,221.0,5.0,45.0,0.0,858.0
943,329.0,1886.0,1753.0,0.0,275.0,8.0,43.0,0.0,956.0
944,340.0,2179.0,1752.0,0.0,716.0,64.0,44.0,0.0,1060.0
945,340.0,2349.0,1752.0,0.0,1067.0,298.0,46.0,9.0,1207.0
946,340.0,2582.0,1752.0,76.0,1004.0,507.0,47.0,29.0,1231.0
947,346.0,2590.0,1752.0,8.0,1136.0,130.0,47.0,62.0,1107.0
948,341.0,2618.0,1753.0,0.0,1251.0,343.0,47.0,82.0,1105.0
949,339.0,2472.0,1754.0,0.0,1324.0,104.0,47.0,82.0,1260.0
950,337.0,2300.0,1755.0,0.0,812.0,39.0,47.0,104.0,1675.0
951,341.0,2355.0,1754.0,2.0,583.0,6.0,47.0,118.0,2010.0
952,337.0,2410.0,1754.0,74.0,528.0,6.0,47.0,91.0,1983.0
953,336.0,2349.0,1754.0,0.0,419.0,46.0,47.0,54.0,1928.0
954,335.0,2260.0,1752.0,0.0,844.0,131.0,45.0,21.0,1893.0
955,330.0,2310.0,1755.0,30.0,1079.0,135.0,45.0,0.0,1772.0
956,328.0,2136.0,1755.0,116.0,1035.0,323.0,46.0,0.0,1887.0
957,332.0,2124.0,1755.0,104.0,864.0,285.0,46.0,0.0,1958.0
958,331.0,2010.0,1754.0,19.0,856.0,181.0,44.0,0.0,1854.0
959,335.0,1814.0,1754.0,0.0,471.0,271.0,44.0,0.0,1686.0
960,342.0,1491.0,1754.0,0.0,370.0,284.0,45.0,0.0,1612.0
961,337.0,817.0,1721.0,0.0,241.0,145.0,44.0,0.0,1918.0
962,338.0,825.0,1483.0,0.0,39.0,6.0,44.0,0.0,2221.0
963,338.0,806.0,1428.0,0.0,37.0,6.0,45.0,0.0,2180.0
964,332.0,950.0,1428.0,0.0,35.0,6.0,44.0,0.0,1816.0
965,331.0,817.0,1427.0,0.0,38.0,6.0,43.0,0.0,1845.0
966,325.0,788.0,1428.0,0.0,117.0,6.0,43.0,0.0,2195.0
967,326.0,962.0,1537.0,0.0,109.0,6.0,42.0,0.0,2428.0
968,335.0,1209.0,1687.0,0.0,349.0,6.0,42.0,3.0,2382.0
969,338.0,1551.0,1754.0,165.0,636.0,182.0,43.0,51.0,2328.0
970,339.0,1753.0,1757.0,97.0,656.0,134.0,44.0,172.0,2334.0
971,341.0,1843.0,1756.0,0.0,749.0,82.0,44.0,270.0,2259.0
972,338.0,1856.0,1756.0,0.0,507.0,81.0,44.0,345.0,2037.0
973,336.0,1828.0,1729.0,0.0,374.0,67.0,45.0,358.0,1868.0
974,326.0,1642.0,1705.0,0.0,386.0,6.0,44.0,351.0,1934.0
975,324.0,1594.0,1486.0,0.0,294.0,66.0,44.0,317.0,2048.0
976,323.0,1599.0,1495.0,0.0,241.0,35.0,44.0,277.0,2076.0
977,328.0,1547.0,1633.0,0.0,229.0,34.0,44.0,190.0,2285.0
978,333.0,1761.0,1755.0,0.0,517.0,34.0,44.0,48.0,2357.0
979,342.0,1798.0,1755.0,0.0,605.0,76.0,45.0,0.0,2373.0
980,341.0,1792.0,1754.0,0.0,624.0,117.0,45.0,0.0,2301.0
981,340.0,1742.0,1754.0,144.0,628.0,77.0,44.0,0.0,2368.0
982,338.0,1698.0,1754.0,0.0,734.0,37.0,43.0,0.0,2541.0
983,343.0,1484.0,1755.0,177.0,747.0,37.0,45.0,0.0,2473.0
984,345.0,917.0,1710.0,2.0,442.0,6.0,45.0,0.0,2503.0
985,341.0,592.0,1431.0,0.0,184.0,6.0,44.0,0.0,2463.0
986,335.0,677.0,1402.0,0.0,39.0,6.0,44.0,0.0,2148.0
987,336.0,637.0,1401.0,0.0,37.0,6.0,44.0,0.0,1947.0
988,335.0,618.0,1402.0,0.0,75.0,6.0,43.0,0.0,1888.0
989,338.0,624.0,1402.0,0.0,79.0,6.0,43.0,0.0,1940.0
990,336.0,693.0,1403.0,0.0,77.0,6.0,44.0,0.0,1882.0
991,341.0,740.0,1402.0,0.0,89.0,6.0,43.0,0.0,1820.0
992,339.0,667.0,1402.0,0.0,143.0,6.0,42.0,4.0,1865.0
993,341.0,783.0,1402.0,0.0,322.0,10.0,43.0,66.0,1727.0
994,337.0,1009.0,1469.0,0.0,627.0,18.0,42.0,94.0,1714.0
995,341.0,1195.0,1645.0,0.0,575.0,19.0,44.0,94.0,1790.0
996,345.0,1285.0,1662.0,0.0,704.0,18.0,42.0,123.0,2066.0
997,348.0,1241.0,1541.0,0.0,548.0,10.0,44.0,132.0,2496.0
998,347.0,1108.0,1406.0,0.0,251.0,11.0,43.0,116.0,2766.0
999,347.0,1247.0,1403.0,0.0,214.0,11.0,43.0,82.0,2883.0
1000,343.0,1187.0,1403.0,0.0,200.0,11.0,43.0,44.0,2675.0
1001,349.0,1258.0,1403.0,0.0,197.0,11.0,43.0,29.0,2484.0
1002,349.0,1309.0,1403.0,1.0,367.0,13.0,44.0,6.0,2543.0
1003,347.0,1385.0,1462.0,704.0,559.0,68.0,43.0,0.0,2305.0
1004,347.0,1412.0,1581.0,1349.0,801.0,279.0,44.0,0.0,1993.0
1005,350.0,1402.0,1517.0,1649.0,838.0,273.0,43.0,0.0,1949.0
1006,346.0,1412.0,1480.0,986.0,767.0,108.0,41.0,0.0,1893.0
1007,347.0,1307.0,1436.0,174.0,761.0,94.0,40.0,0.0,1828.0
1008,336.0,1061.0,1400.0,0.0,341.0,9.0,35.0,0.0,1742.0
1009,330.0,929.0,1437.0,0.0,188.0,6.0,32.0,0.0,1595.0
1010,334.0,904.0,1443.0,0.0,42.0,6.0,33.0,0.0,1662.0
1011,333.0,854.0,1471.0,0.0,44.0,6.0,33.0,0.0,1754.0
1012,331.0,876.0,1399.0,0.0,41.0,6.0,33.0,0.0,1945.0
1013,333.0,967.0,1385.0,0.0,63.0,21.0,33.0,0.0,1905.0
1014,331.0,1235.0,1552.0,211.0,173.0,170.0,33.0,0.0,1850.0
1015,332.0,1635.0,1584.0,555.0,329.0,117.0,33.0,0.0,1809.0
1016,331.0,1992.0,1631.0,1219.0,482.0,216.0,32.0,2.0,1623.0
1017,335.0,2255.0,1745.0,1637.0,801.0,352.0,34.0,66.0,1166.0
1018,337.0,2379.0,1754.0,1660.0,799.0,350.0,34.0,191.0,774.0
1019,333.0,2392.0,1754.0,1345.0,926.0,228.0,34.0,296.0,648.0
1020,333.0,2488.0,1755.0,1048.0,847.0,261.0,36.0,335.0,609.0
1021,333.0,2365.0,1755.0,1129.0,725.0,161.0,36.0,338.0,828.0
1022,332.0,2269.0,1730.0,982.0,516.0,120.0,36.0,346.0,954.0
1023,339.0,2247.0,1697.0,1038.0,404.0,113.0,37.0,331.0,801.0
1024,340.0,2175.0,1755.0,699.0,362.0,73.0,40.0,279.0,709.0
1025,338.0,2203.0,1755.0,824.0,597.0,93.0,40.0,192.0,683.0
1026,337.0,2413.0,1754.0,1328.0,637.0,150.0,41.0,51.0,704.0
1027,346.0,2528.0,1755.0,1831.0,784.0,594.0,41.0,0.0,724.0
1028,348.0,2540.0,1756.0,2125.0,887.0,748.0,40.0,0.0,747.0
1029,349.0,2604.0,1756.0,1889.0,934.0,701.0,37.0,0.0,653.0
1030,350.0,2293.0,1755.0,1415.0,915.0,391.0,36.0,0.0,654.0
1031,345.0,2178.0,1755.0,658.0,796.0,329.0,37.0,0.0,783.0
1032,346.0,1552.0,1753.0,420.0,414.0,136.0,37.0,0.0,1050.0
1033,343.0,1053.0,1626.0,2.0,270.0,8.0,36.0,0.0,1262.0
1034,344.0,1049.0,1562.0,0.0,78.0,6.0,35.0,0.0,1386.0
1035,341.0,1019.0,1525.0,0.0,44.0,6.0,36.0,0.0,1679.0
1036,342.0,1035.0,1432.0,0.0,43.0,6.0,36.0,0.0,1944.0
1037,346.0,1027.0,1494.0,0.0,44.0,6.0,39.0,0.0,2123.0
1038,353.0,1034.0,1625.0,0.0,81.0,6.0,46.0,0.0,2282.0
1039,347.0,1181.0,1624.0,19.0,283.0,67.0,46.0,0.0,2464.0
1040,345.0,1347.0,1681.0,603.0,639.0,105.0,46.0,8.0,2619.0
1041,337.0,1472.0,1723.0,607.0,642.0,105.0,48.0,95.0,2692.0
1042,323.0,1679.0,1756.0,326.0,613.0,104.0,44.0,189.0,2829.0
1043,320.0,1681.0,1755.0,40.0,602.0,104.0,42.0,255.0,3020.0
1044,335.0,1659.0,1754.0,62.0,467.0,76.0,44.0,243.0,3180.0
1045,336.0,1746.0,1754.0,0.0,317.0,68.0,43.0,256.0,3225.0
1046,337.0,1427.0,1618.0,0.0,205.0,28.0,44.0,233.0,3279.0
1047,340.0,1516.0,1408.0,0.0,132.0,13.0,43.0,214.0,3308.0
1048,329.0,1416.0,1490.0,0.0,125.0,26.0,42.0,196.0,3229.0
1049,326.0,1466.0,1681.0,106.0,224.0,13.0,43.0,109.0,3171.0
1050,331.0,1414.0,1702.0,131.0,487.0,77.0,42.0,33.0,3086.0
1051,338.0,1508.0,1755.0,803.0,601.0,96.0,42.0,0.0,2994.0
1052,347.0,1434.0,1731.0,1597.0,736.0,139.0,48.0,0.0,2901.0
1053,348.0,1351.0,1662.0,1059.0,600.0,93.0,48.0,0.0,2912.0
1054,348.0,1287.0,1661.0,121.0,527.0,39.0,46.0,0.0,2890.0
1055,345.0,1214.0,1565.0,51.0,393.0,22.0,45.0,0.0,2840.0
1056,346.0,1180.0,1403.0,0.0,113.0,7.0,47.0,0.0,2806.0
1057,353.0,1040.0,1412.0,0.0,66.0,5.0,47.0,0.0,2852.0
1058,344.0,982.0,1385.0,0.0,64.0,5.0,47.0,0.0,3022.0
1059,353.0,1019.0,1124.0,0.0,79.0,5.0,47.0,0.0,3147.0
1060,345.0,1011.0,811.0,0.0,80.0,5.0,46.0,0.0,3215.0
1061,334.0,1037.0,942.0,0.0,89.0,5.0,46.0,0.0,3192.0
1062,334.0,1056.0,1354.0,0.0,91.0,5.0,46.0,0.0,3210.0
1063,343.0,1139.0,1403.0,43.0,364.0,67.0,45.0,0.0,3251.0
1064,339.0,1363.0,1483.0,976.0,265.0,100.0,45.0,4.0,3207.0
1065,335.0,1299.0,1557.0,784.0,318.0,102.0,48.0,53.0,3206.0
1066,340.0,1329.0,1715.0,803.0,347.0,75.0,48.0,123.0,3154.0
1067,337.0,1434.0,1755.0,215.0,565.0,94.0,48.0,188.0,3157.0
1068,330.0,1500.0,1756.0,99.0,411.0,53.0,49.0,205.0,3094.0
1069,334.0,1516.0,1741.0,0.0,426.0,52.0,50.0,188.0,2990.0
1070,338.0,1386.0,1654.0,0.0,358.0,14.0,51.0,163.0,2878.0
1071,331.0,1472.0,1571.0,0.0,391.0,10.0,51.0,128.0,2817.0
1072,320.0,1535.0,1478.0,0.0,301.0,9.0,51.0,109.0,2741.0
1073,326.0,1703.0,1502.0,0.0,291.0,9.0,52.0,86.0,2591.0
1074,342.0,1769.0,1668.0,19.0,426.0,90.0,50.0,24.0,2408.0
1075,348.0,1876.0,1756.0,1168.0,774.0,145.0,50.0,0.0,2323.0
1076,347.0,1691.0,1755.0,1968.0,886.0,148.0,50.0,0.0,2279.0
1077,348.0,1913.0,1755.0,1616.0,920.0,149.0,50.0,0.0,2202.0
1078,351.0,1779.0,1755.0,654.0,594.0,100.0,51.0,0.0,2211.0
1079,348.0,1501.0,1497.0,12.0,564.0,61.0,51.0,0.0,2298.0
1080,347.0,1175.0,1340.0,0.0,294.0,91.0,48.0,0.0,2192.0
1081,350.0,1053.0,1130.0,0.0,193.0,89.0,47.0,0.0,2189.0
1082,354.0,1089.0,1130.0,0.0,165.0,8.0,47.0,0.0,2053.0
1083,352.0,1115.0,1131.0,0.0,164.0,7.0,47.0,0.0,1964.0
1084,353.0,1097.0,1133.0,0.0,160.0,5.0,47.0,0.0,1906.0
1085,352.0,1084.0,1198.0,0.0,165.0,5.0,47.0,0.0,1901.0
1086,351.0,1167.0,1325.0,0.0,162.0,5.0,46.0,0.0,1813.0
1087,347.0,1489.0,1458.0,78.0,344.0,66.0,46.0,0.0,1694.0
1088,347.0,1956.0,1345.0,523.0,433.0,173.0,47.0,7.0,1644.0
1089,347.0,2196.0,1252.0,1198.0,583.0,231.0,50.0,83.0,1545.0
1090,340.0,2594.0,1162.0,1458.0,631.0,172.0,50.0,168.0,1475.0
1091,339.0,2561.0,1167.0,1375.0,514.0,168.0,49.0,214.0,1497.0
1092,341.0,2520.0,1089.0,1122.0,376.0,158.0,49.0,239.0,1567.0
1093,347.0,2542.0,1087.0,983.0,379.0,93.0,50.0,245.0,1639.0
1094,352.0,2364.0,1087.0,595.0,302.0,92.0,51.0,248.0,1563.0
1095,348.0,2331.0,1086.0,659.0,303.0,94.0,50.0,223.0,1547.0
1096,346.0,2354.0,1087.0,719.0,318.0,115.0,50.0,198.0,1568.0
1097,354.0,2378.0,1088.0,963.0,272.0,117.0,51.0,144.0,1537.0
1098,348.0,2418.0,1089.0,1351.0,559.0,134.0,49.0,50.0,1477.0
1099,352.0,2528.0,1089.0,1696.0,735.0,365.0,50.0,0.0,1291.0
1100,354.0,2554.0,1124.0,2050.0,952.0,642.0,51.0,0.0,1171.0
1101,356.0,2302.0,1232.0,1936.0,799.0,562.0,50.0,0.0,1051.0
1102,360.0,2104.0,1271.0,1665.0,804.0,460.0,51.0,0.0,1045.0
1103,358.0,2092.0,1252.0,1335.0,548.0,311.0,51.0,0.0,1018.0
1104,357.0,1953.0,1364.0,704.0,313.0,94.0,50.0,0.0,983.0
1105,356.0,1539.0,1608.0,6.0,226.0,93.0,48.0,0.0,952.0
1106,354.0,1403.0,1751.0,0.0,172.0,76.0,48.0,0.0,777.0
1107,353.0,1367.0,1755.0,0.0,172.0,73.0,48.0,0.0,681.0
1108,344.0,1335.0,1756.0,0.0,171.0,73.0,45.0,0.0,641.0
1109,346.0,1397.0,1756.0,0.0,171.0,73.0,46.0,0.0,568.0
1110,344.0,1317.0,1756.0,63.0,266.0,73.0,46.0,0.0,443.0
1111,348.0,1558.0,1756.0,877.0,483.0,114.0,46.0,0.0,418.0
1112,349.0,1775.0,1755.0,1066.0,520.0,126.0,48.0,7.0,466.0
1113,345.0,1895.0,1754.0,1204.0,563.0,126.0,50.0,93.0,547.0
1114,342.0,2118.0,1753.0,1124.0,570.0,135.0,49.0,202.0,522.0
1115,343.0,2172.0,1740.0,961.0,705.0,140.0,50.0,269.0,479.0
1116,342.0,2255.0,1740.0,765.0,692.0,116.0,50.0,306.0,430.0
1117,346.0,2296.0,1741.0,585.0,588.0,102.0,50.0,319.0,339.0
1118,345.0,2103.0,1735.0,323.0,247.0,143.0,50.0,324.0,308.0
1119,342.0,2084.0,1707.0,306.0,230.0,542.0,49.0,298.0,340.0
1120,331.0,2014.0,1695.0,332.0,235.0,524.0,49.0,249.0,347.0
1121,329.0,2206.0,1566.0,259.0,243.0,600.0,48.0,172.0,401.0
1122,340.0,2305.0,1676.0,564.0,546.0,650.0,49.0,53.0,469.0
1123,345.0,2262.0,1656.0,771.0,690.0,686.0,49.0,0.0,523.0
1124,340.0,2157.0,1680.0,947.0,766.0,717.0,48.0,0.0,578.0
1125,338.0,2197.0,1600.0,1091.0,793.0,563.0,47.0,0.0,483.0
1126,343.0,2206.0,1581.0,1143.0,844.0,260.0,47.0,0.0,377.0
1127,342.0,1990.0,1490.0,777.0,850.0,248.0,47.0,0.0,364.0
1128,345.0,1762.0,1456.0,620.0,718.0,211.0,45.0,0.0,275.0
1129,342.0,1375.0,1455.0,317.0,701.0,91.0,43.0,0.0,186.0
1130,344.0,1121.0,1456.0,118.0,483.0,91.0,43.0,0.0,154.0
1131,345.0,960.0,1448.0,190.0,263.0,91.0,43.0,0.0,187.0
1132,341.0,810.0,1352.0,22.0,317.0,89.0,43.0,0.0,349.0
1133,333.0,801.0,1284.0,114.0,299.0,94.0,43.0,0.0,491.0
1134,339.0,781.0,1173.0,67.0,339.0,93.0,41.0,0.0,639.0
1135,339.0,835.0,1159.0,0.0,342.0,93.0,41.0,0.0,745.0
1136,340.0,1028.0,1343.0,0.0,482.0,94.0,41.0,4.0,818.0
1137,339.0,1375.0,1413.0,210.0,910.0,207.0,43.0,47.0,908.0
1138,345.0,1592.0,1457.0,604.0,971.0,632.0,43.0,107.0,898.0
1139,345.0,1799.0,1458.0,151.0,908.0,287.0,43.0,149.0,789.0
1140,354.0,1870.0,1412.0,0.0,724.0,102.0,44.0,198.0,663.0
1141,349.0,1853.0,1398.0,22.0,443.0,102.0,44.0,211.0,631.0
1142,352.0,1682.0,1169.0,68.0,321.0,102.0,44.0,203.0,630.0
1143,354.0,1500.0,1129.0,123.0,301.0,101.0,44.0,200.0,641.0
1144,354.0,1492.0,1130.0,43.0,284.0,101.0,43.0,160.0,699.0
1145,355.0,1571.0,1263.0,2.0,296.0,101.0,44.0,117.0,803.0
1146,356.0,1589.0,1431.0,179.0,352.0,105.0,44.0,26.0,902.0
1147,358.0,1494.0,1451.0,316.0,775.0,298.0,45.0,0.0,1132.0
1148,358.0,1503.0,1462.0,393.0,921.0,313.0,45.0,0.0,1443.0
1149,353.0,1510.0,1463.0,444.0,890.0,316.0,44.0,0.0,1540.0
1150,351.0,1518.0,1463.0,237.0,789.0,262.0,42.0,0.0,1569.0
1151,347.0,1411.0,1464.0,160.0,637.0,84.0,42.0,0.0,1624.0
1152,347.0,939.0,1463.0,0.0,337.0,70.0,42.0,0.0,1843.0
1153,341.0,572.0,1410.0,0.0,227.0,6.0,42.0,0.0,1979.0
1154,344.0,576.0,1145.0,0.0,136.0,5.0,43.0,0.0,2103.0
1155,342.0,596.0,1130.0,0.0,102.0,6.0,41.0,0.0,2346.0
1156,342.0,591.0,1132.0,0.0,103.0,6.0,42.0,0.0,2625.0
1157,334.0,566.0,1126.0,0.0,114.0,11.0,42.0,0.0,2889.0
1158,340.0,638.0,987.0,0.0,107.0,10.0,40.0,0.0,3020.0
1159,340.0,684.0,1130.0,0.0,213.0,10.0,40.0,0.0,3033.0
1160,340.0,762.0,1143.0,0.0,488.0,18.0,40.0,7.0,3009.0
1161,335.0,958.0,1082.0,0.0,632.0,49.0,41.0,112.0,2805.0
1162,328.0,1376.0,1090.0,0.0,797.0,91.0,41.0,235.0,2445.0
1163,327.0,1615.0,1089.0,0.0,874.0,90.0,41.0,302.0,2067.0
1164,327.0,1585.0,1089.0,0.0,680.0,80.0,41.0,330.0,1928.0
1165,325.0,1643.0,1089.0,0.0,433.0,80.0,42.0,345.0,1772.0
1166,332.0,1575.0,1090.0,0.0,371.0,80.0,42.0,329.0,1511.0
1167,328.0,1498.0,1095.0,0.0,306.0,79.0,43.0,299.0,1269.0
1168,328.0,1353.0,1168.0,0.0,345.0,79.0,43.0,245.0,1189.0
1169,325.0,1559.0,1169.0,0.0,346.0,80.0,42.0,166.0,1216.0
1170,323.0,1713.0,1233.0,11.0,672.0,80.0,42.0,50.0,1279.0
1171,320.0,1621.0,1240.0,677.0,644.0,561.0,42.0,0.0,1560.0
1172,325.0,1547.0,1238.0,1004.0,817.0,682.0,42.0,0.0,1785.0
1173,319.0,1671.0,1168.0,949.0,880.0,573.0,42.0,0.0,2051.0
1174,327.0,1664.0,1090.0,786.0,1061.0,339.0,42.0,0.0,2125.0
1175,328.0,1571.0,1092.0,211.0,784.0,102.0,42.0,0.0,2001.0
1176,332.0,1211.0,1104.0,101.0,586.0,98.0,42.0,0.0,1794.0
1177,329.0,1107.0,1125.0,1.0,674.0,71.0,43.0,0.0,1611.0
1178,328.0,1150.0,1147.0,0.0,706.0,8.0,42.0,0.0,1368.0
1179,326.0,1119.0,1151.0,0.0,501.0,16.0,42.0,0.0,1135.0
1180,329.0,1138.0,1128.0,0.0,109.0,21.0,43.0,0.0,1063.0
1181,331.0,1094.0,1111.0,0.0,172.0,47.0,42.0,0.0,1054.0
1182,326.0,1382.0,1114.0,9.0,328.0,85.0,43.0,0.0,1063.0
1183,322.0,1906.0,1104.0,682.0,774.0,274.0,41.0,0.0,1279.0
1184,325.0,2352.0,1104.0,1482.0,890.0,534.0,42.0,5.0,1390.0
1185,331.0,2333.0,1122.0,1417.0,1111.0,545.0,46.0,65.0,1255.0
1186,325.0,2364.0,1267.0,1462.0,1189.0,637.0,47.0,150.0,921.0
1187,330.0,2552.0,1454.0,1075.0,1200.0,610.0,47.0,242.0,605.0
1188,330.0,2540.0,1461.0,957.0,1348.0,356.0,47.0,302.0,510.0
1189,330.0,2409.0,1459.0,1023.0,1325.0,333.0,49.0,312.0,529.0
1190,332.0,2222.0,1341.0,869.0,1332.0,93.0,49.0,277.0,601.0
1191,329.0,2340.0,1448.0,1150.0,1163.0,100.0,50.0,248.0,686.0
1192,330.0,2304.0,1398.0,953.0,944.0,101.0,48.0,211.0,786.0
1193,331.0,2471.0,1429.0,1553.0,950.0,112.0,48.0,138.0,921.0
1194,334.0,2355.0,1420.0,2098.0,1150.0,676.0,48.0,42.0,1031.0
1195,332.0,2426.0,1346.0,1804.0,1144.0,683.0,47.0,0.0,1185.0
1196,336.0,2470.0,1278.0,1657.0,1313.0,344.0,48.0,0.0,1326.0
1197,331.0,2410.0,1384.0,1390.0,1239.0,298.0,48.0,0.0,1415.0
1198,312.0,2416.0,1458.0,553.0,1437.0,130.0,46.0,0.0,1404.0
1199,292.0,1923.0,1461.0,53.0,1275.0,94.0,47.0,0.0,1338.0
1200,297.0,1461.0,1462.0,166.0,945.0,75.0,47.0,0.0,1437.0
1201,306.0,1073.0,1326.0,1.0,652.0,44.0,45.0,0.0,1491.0
1202,306.0,1095.0,1148.0,0.0,399.0,13.0,45.0,0.0,1337.0
1203,321.0,1069.0,1131.0,0.0,288.0,12.0,45.0,0.0,1254.0
1204,326.0,1072.0,1134.0,0.0,169.0,12.0,44.0,0.0,1325.0
1205,321.0,1121.0,1202.0,0.0,165.0,31.0,43.0,0.0,1282.0
1206,322.0,1199.0,1361.0,4.0,280.0,107.0,43.0,0.0,1280.0
1207,322.0,1864.0,1459.0,387.0,603.0,293.0,42.0,0.0,1367.0
1208,322.0,2513.0,1460.0,1260.0,672.0,639.0,44.0,16.0,1408.0
1209,319.0,2590.0,1461.0,1176.0,880.0,634.0,46.0,137.0,1270.0
1210,321.0,2457.0,1461.0,255.0,921.0,113.0,47.0,248.0,950.0
1211,319.0,2340.0,1461.0,0.0,746.0,84.0,48.0,306.0,726.0
