,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
75,210.0,403.0,1087.0,0.0,445.0,72.0,142.0,0.0,1680.0
76,210.0,403.0,1091.0,0.0,391.0,73.0,146.0,0.0,1698.0
77,209.0,402.0,1077.0,0.0,313.0,72.0,153.0,0.0,1876.0
78,209.0,399.0,1111.0,0.0,361.0,66.0,155.0,0.0,2182.0
79,215.0,491.0,1066.0,115.0,447.0,43.0,154.0,0.0,2200.0
80,218.0,841.0,1157.0,634.0,466.0,61.0,153.0,0.0,2322.0
81,216.0,961.0,1281.0,731.0,429.0,107.0,156.0,6.0,2418.0
82,216.0,985.0,1282.0,911.0,456.0,114.0,153.0,25.0,2549.0
83,217.0,986.0,1282.0,1118.0,477.0,109.0,152.0,54.0,2375.0
84,219.0,1072.0,1330.0,1220.0,448.0,75.0,154.0,86.0,2260.0
85,212.0,1070.0,1382.0,944.0,518.0,75.0,154.0,107.0,2362.0
86,206.0,978.0,1316.0,622.0,490.0,76.0,153.0,88.0,2464.0
87,211.0,981.0,1148.0,514.0,330.0,76.0,152.0,55.0,2533.0
88,215.0,977.0,1180.0,389.0,296.0,77.0,153.0,28.0,2647.0
89,215.0,987.0,1239.0,1181.0,328.0,94.0,155.0,9.0,2703.0
90,216.0,989.0,1370.0,1094.0,316.0,122.0,155.0,0.0,2675.0
91,218.0,995.0,1466.0,979.0,425.0,116.0,158.0,0.0,2767.0
92,220.0,1000.0,1468.0,1137.0,481.0,134.0,150.0,0.0,2791.0
93,216.0,1029.0,1469.0,1180.0,514.0,139.0,145.0,0.0,2812.0
94,218.0,1054.0,1257.0,1019.0,517.0,97.0,142.0,0.0,2915.0
95,220.0,763.0,934.0,207.0,544.0,79.0,136.0,0.0,3009.0
96,219.0,591.0,838.0,99.0,380.0,75.0,137.0,0.0,3058.0
97,221.0,419.0,592.0,90.0,371.0,70.0,137.0,0.0,3192.0
98,224.0,409.0,560.0,96.0,292.0,71.0,141.0,0.0,3321.0
99,221.0,401.0,559.0,1.0,333.0,72.0,140.0,0.0,3545.0
100,217.0,400.0,542.0,0.0,283.0,73.0,140.0,0.0,3764.0
101,216.0,400.0,559.0,0.0,404.0,74.0,145.0,0.0,3878.0
102,216.0,416.0,697.0,0.0,437.0,82.0,144.0,0.0,3677.0
103,213.0,632.0,1105.0,4.0,524.0,94.0,151.0,0.0,3360.0
104,213.0,1185.0,1433.0,1118.0,432.0,205.0,153.0,0.0,2561.0
105,217.0,1941.0,1379.0,1301.0,469.0,246.0,154.0,8.0,1883.0
106,217.0,2042.0,1469.0,1813.0,538.0,399.0,154.0,20.0,1357.0
107,216.0,1992.0,1469.0,1354.0,548.0,311.0,153.0,36.0,1188.0
108,217.0,1999.0,1469.0,951.0,587.0,127.0,153.0,37.0,1602.0
109,217.0,2055.0,1469.0,1006.0,611.0,92.0,152.0,29.0,1798.0
110,217.0,2049.0,1467.0,642.0,415.0,91.0,154.0,26.0,1941.0
111,214.0,2019.0,1466.0,969.0,466.0,89.0,152.0,18.0,2168.0
112,217.0,1977.0,1466.0,789.0,595.0,89.0,152.0,13.0,2227.0
113,219.0,2000.0,1466.0,1477.0,883.0,134.0,153.0,3.0,2020.0
114,217.0,2009.0,1466.0,1588.0,1038.0,214.0,150.0,0.0,1898.0
115,217.0,2016.0,1467.0,1656.0,952.0,405.0,153.0,0.0,1854.0
116,222.0,2022.0,1467.0,1583.0,1039.0,563.0,154.0,0.0,1997.0
117,217.0,2046.0,1467.0,1774.0,1084.0,713.0,153.0,0.0,1859.0
118,208.0,1998.0,1430.0,1397.0,792.0,345.0,155.0,0.0,1935.0
119,208.0,1822.0,1208.0,789.0,382.0,129.0,155.0,0.0,2056.0
120,218.0,1417.0,1181.0,952.0,476.0,95.0,154.0,0.0,2029.0
121,215.0,1132.0,1181.0,12.0,461.0,93.0,153.0,0.0,1863.0
122,215.0,648.0,1102.0,0.0,584.0,100.0,152.0,0.0,1793.0
123,215.0,400.0,949.0,0.0,466.0,95.0,151.0,0.0,1768.0
124,216.0,400.0,933.0,98.0,444.0,87.0,151.0,0.0,1930.0
125,211.0,397.0,948.0,100.0,471.0,87.0,150.0,0.0,1978.0
126,217.0,398.0,942.0,35.0,468.0,82.0,147.0,0.0,2008.0
127,217.0,471.0,948.0,0.0,498.0,77.0,148.0,0.0,2157.0
128,220.0,687.0,1000.0,0.0,648.0,91.0,151.0,0.0,2220.0
129,220.0,814.0,1180.0,502.0,524.0,90.0,153.0,36.0,2285.0
130,216.0,1133.0,1179.0,959.0,356.0,327.0,155.0,158.0,2177.0
131,214.0,1208.0,1180.0,1330.0,367.0,539.0,156.0,274.0,2137.0
132,220.0,1205.0,1180.0,1065.0,359.0,435.0,157.0,327.0,2207.0
133,217.0,1198.0,1179.0,726.0,369.0,314.0,155.0,326.0,2310.0
134,217.0,1065.0,1179.0,519.0,325.0,262.0,154.0,298.0,2552.0
135,210.0,818.0,1141.0,3.0,600.0,95.0,153.0,236.0,2832.0
136,215.0,805.0,1131.0,22.0,692.0,88.0,153.0,150.0,2767.0
137,216.0,983.0,1179.0,691.0,406.0,190.0,156.0,54.0,2682.0
138,215.0,1069.0,1177.0,632.0,321.0,524.0,155.0,1.0,2904.0
139,214.0,1120.0,1179.0,489.0,360.0,518.0,157.0,0.0,3027.0
140,215.0,934.0,1179.0,388.0,381.0,556.0,157.0,0.0,3031.0
141,217.0,911.0,1179.0,346.0,393.0,479.0,155.0,0.0,3114.0
142,218.0,910.0,1135.0,321.0,539.0,505.0,156.0,0.0,3211.0
143,215.0,763.0,1004.0,662.0,338.0,119.0,153.0,0.0,3017.0
144,217.0,550.0,721.0,18.0,587.0,88.0,154.0,0.0,2797.0
145,214.0,394.0,400.0,0.0,477.0,88.0,157.0,0.0,2761.0
146,214.0,392.0,495.0,0.0,248.0,78.0,151.0,0.0,2842.0
147,214.0,393.0,361.0,0.0,215.0,77.0,149.0,0.0,2895.0
148,214.0,393.0,361.0,37.0,211.0,77.0,151.0,0.0,3051.0
149,213.0,394.0,362.0,33.0,204.0,77.0,151.0,0.0,3017.0
150,216.0,393.0,366.0,0.0,209.0,77.0,148.0,0.0,3071.0
151,214.0,396.0,527.0,0.0,321.0,77.0,146.0,0.0,3126.0
152,211.0,463.0,706.0,0.0,337.0,77.0,150.0,0.0,3171.0
153,213.0,846.0,1180.0,85.0,540.0,77.0,148.0,41.0,3238.0
154,211.0,1505.0,1179.0,328.0,409.0,77.0,148.0,174.0,3181.0
155,210.0,1909.0,1179.0,532.0,381.0,171.0,148.0,250.0,3025.0
156,211.0,1961.0,1181.0,669.0,364.0,95.0,145.0,279.0,2861.0
157,217.0,2032.0,1180.0,897.0,372.0,97.0,146.0,299.0,2719.0
158,214.0,2109.0,1180.0,865.0,360.0,97.0,146.0,263.0,2750.0
159,212.0,2328.0,1180.0,659.0,242.0,88.0,150.0,238.0,2713.0
160,217.0,2406.0,1181.0,407.0,224.0,87.0,152.0,170.0,2653.0
161,217.0,2695.0,1181.0,606.0,217.0,135.0,154.0,68.0,2600.0
162,212.0,2848.0,1180.0,1339.0,311.0,562.0,155.0,4.0,2538.0
163,216.0,2845.0,1180.0,1373.0,649.0,832.0,150.0,0.0,2415.0
164,215.0,2880.0,1180.0,1638.0,674.0,843.0,153.0,0.0,2249.0
165,215.0,2797.0,1180.0,1730.0,709.0,835.0,149.0,0.0,2393.0
166,215.0,2610.0,1180.0,1600.0,739.0,786.0,149.0,0.0,2557.0
167,213.0,2502.0,1180.0,696.0,431.0,475.0,145.0,0.0,2626.0
168,205.0,2245.0,1180.0,458.0,341.0,425.0,147.0,0.0,2679.0
169,210.0,2455.0,1180.0,0.0,184.0,96.0,150.0,0.0,2309.0
170,208.0,2419.0,1180.0,0.0,177.0,94.0,151.0,0.0,1910.0
171,209.0,2303.0,1180.0,0.0,179.0,95.0,149.0,0.0,1931.0
172,210.0,2284.0,1180.0,0.0,175.0,95.0,153.0,0.0,1566.0
173,212.0,2412.0,1181.0,0.0,184.0,93.0,150.0,0.0,1259.0
174,211.0,2589.0,1180.0,421.0,299.0,423.0,146.0,0.0,1477.0
175,210.0,2966.0,1180.0,957.0,503.0,618.0,147.0,0.0,1973.0
176,211.0,3492.0,1180.0,975.0,643.0,562.0,145.0,0.0,1686.0
177,207.0,3543.0,1180.0,1593.0,979.0,897.0,146.0,27.0,1238.0
178,205.0,3495.0,1180.0,1488.0,1171.0,994.0,119.0,124.0,922.0
179,214.0,3511.0,1180.0,1211.0,1264.0,995.0,121.0,214.0,734.0
180,208.0,3534.0,1180.0,1154.0,1243.0,981.0,118.0,241.0,409.0
181,210.0,3484.0,1180.0,1155.0,1184.0,995.0,118.0,282.0,163.0
182,210.0,3441.0,1180.0,1151.0,1183.0,963.0,119.0,298.0,49.0
183,212.0,3470.0,1180.0,1065.0,1280.0,888.0,116.0,283.0,59.0
184,217.0,3457.0,1180.0,933.0,1243.0,865.0,118.0,211.0,81.0
185,220.0,3453.0,1179.0,1083.0,1238.0,749.0,114.0,85.0,64.0
186,217.0,3580.0,1180.0,1382.0,1222.0,779.0,115.0,4.0,48.0
187,217.0,3878.0,1180.0,1413.0,1224.0,765.0,115.0,0.0,54.0
188,214.0,4044.0,1180.0,1450.0,1236.0,774.0,118.0,0.0,73.0
189,212.0,3874.0,1180.0,1435.0,1219.0,769.0,120.0,0.0,165.0
190,206.0,3692.0,1180.0,1145.0,1388.0,754.0,120.0,0.0,336.0
191,191.0,3305.0,1180.0,602.0,792.0,425.0,123.0,0.0,633.0
192,193.0,2187.0,1180.0,55.0,355.0,132.0,124.0,0.0,1021.0
193,192.0,1574.0,1180.0,0.0,161.0,98.0,122.0,0.0,1432.0
194,189.0,1461.0,1180.0,0.0,164.0,96.0,120.0,0.0,1949.0
195,187.0,1457.0,1142.0,0.0,168.0,96.0,122.0,0.0,2352.0
196,186.0,1495.0,1080.0,0.0,168.0,96.0,122.0,0.0,2603.0
197,178.0,1564.0,1152.0,0.0,168.0,96.0,120.0,0.0,2403.0
198,182.0,1780.0,1180.0,0.0,170.0,95.0,119.0,0.0,2411.0
199,180.0,2240.0,1180.0,0.0,175.0,155.0,118.0,0.0,2847.0
200,187.0,3072.0,1209.0,37.0,259.0,160.0,118.0,0.0,3016.0
201,190.0,3312.0,1277.0,72.0,312.0,144.0,117.0,1.0,3284.0
202,196.0,3347.0,1282.0,168.0,419.0,127.0,120.0,8.0,3464.0
203,212.0,3444.0,1282.0,71.0,390.0,105.0,122.0,17.0,3515.0
204,209.0,3482.0,1283.0,342.0,433.0,73.0,123.0,22.0,3471.0
205,190.0,3429.0,1284.0,468.0,436.0,73.0,123.0,28.0,3331.0
206,190.0,3484.0,1284.0,404.0,421.0,73.0,122.0,28.0,3117.0
207,196.0,3611.0,1355.0,398.0,472.0,131.0,120.0,23.0,2634.0
208,200.0,3752.0,1444.0,181.0,518.0,76.0,121.0,16.0,2215.0
209,203.0,3749.0,1468.0,1.0,383.0,170.0,118.0,6.0,1928.0
210,201.0,3702.0,1470.0,184.0,418.0,415.0,118.0,0.0,1685.0
211,202.0,3737.0,1469.0,476.0,538.0,418.0,115.0,0.0,1570.0
212,204.0,3761.0,1469.0,740.0,554.0,624.0,116.0,0.0,1395.0
213,201.0,3703.0,1469.0,1005.0,546.0,671.0,116.0,0.0,1028.0
214,201.0,3527.0,1468.0,891.0,466.0,461.0,116.0,0.0,961.0
215,204.0,3241.0,1468.0,53.0,312.0,261.0,115.0,0.0,1271.0
216,206.0,2780.0,1467.0,41.0,242.0,75.0,116.0,0.0,1636.0
217,203.0,2033.0,1467.0,31.0,238.0,95.0,115.0,0.0,1628.0
218,199.0,1646.0,1468.0,0.0,218.0,94.0,116.0,0.0,1503.0
219,201.0,1509.0,1468.0,0.0,217.0,91.0,117.0,0.0,1665.0
220,205.0,1456.0,1468.0,0.0,213.0,74.0,115.0,0.0,2201.0
