,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
31,297.0,2737.0,11.0,216.0,1032.0,5955.0,1938.0,50833.0,0.0,233.0,4786.0
32,297.0,3074.0,10.0,216.0,779.0,6147.0,1569.0,53545.0,84.0,237.0,4305.0
33,297.0,3328.0,9.0,215.0,750.0,6279.0,1510.0,54828.0,392.0,237.0,4094.0
34,297.0,3392.0,9.0,215.0,1209.0,6471.0,1639.0,55085.0,881.0,243.0,4014.0
35,296.0,3431.0,10.0,215.0,1611.0,6381.0,2415.0,55319.0,1199.0,237.0,3815.0
36,297.0,3463.0,11.0,215.0,2158.0,6353.0,2895.0,55246.0,1196.0,254.0,3826.0
37,297.0,3328.0,11.0,214.0,1908.0,6475.0,2572.0,55198.0,1183.0,253.0,4223.0
38,295.0,3109.0,11.0,214.0,1515.0,6390.0,2261.0,55113.0,953.0,251.0,4719.0
39,296.0,3032.0,11.0,214.0,1440.0,6263.0,2138.0,55331.0,566.0,252.0,5587.0
40,297.0,3131.0,9.0,215.0,1291.0,6193.0,1810.0,55619.0,201.0,255.0,6749.0
41,295.0,3445.0,8.0,214.0,1427.0,6450.0,1971.0,55658.0,63.0,260.0,7387.0
42,294.0,3660.0,8.0,214.0,1211.0,6461.0,1912.0,55512.0,0.0,259.0,7879.0
43,290.0,3570.0,10.0,214.0,1957.0,6461.0,2105.0,55649.0,0.0,252.0,8087.0
44,295.0,2855.0,11.0,214.0,667.0,6258.0,1474.0,54934.0,0.0,254.0,8584.0
45,294.0,2776.0,11.0,214.0,1291.5333139413847,6096.0,1195.0,53865.0,0.0,253.0,8997.0
46,298.0,2771.0,11.0,213.0,1132.3070470165517,6158.0,1529.0,53281.0,0.0,255.0,9259.0
47,296.0,2747.0,11.0,213.0,567.0,6303.0,1565.0,52764.0,0.0,257.0,9695.0
48,295.0,2516.0,11.0,214.0,340.0,6237.0,1055.0,50541.0,0.0,256.0,10030.0
49,297.0,2494.0,11.0,217.0,340.0,6044.0,1421.0,46688.0,0.0,256.0,10159.0
50,298.0,2491.0,11.0,217.0,340.0,6053.0,1057.0,45056.0,0.0,256.0,9928.0
51,292.0,2492.0,11.0,217.0,186.0,6027.0,851.0,43032.0,0.0,249.0,9467.0
52,285.0,2489.0,11.0,217.0,630.6666666666666,5830.0,700.0,42547.0,0.0,250.0,9256.0
53,296.0,2491.0,10.0,217.0,480.31225585546736,5815.0,934.0,43417.0,0.0,248.0,8870.0
54,295.0,2484.0,9.0,215.0,764.52195113175,5932.0,1407.0,47138.0,0.0,246.0,8298.0
55,296.0,2489.0,9.0,214.0,852.3307803068061,6016.0,1789.0,50959.0,0.0,244.0,8380.0
56,297.0,2492.0,9.0,215.0,336.0,6184.0,1827.0,54247.0,85.0,233.0,8524.0
57,297.0,2501.0,10.0,216.0,1356.0,6275.0,1903.0,55031.0,333.0,231.0,8813.0
58,296.0,2490.0,9.0,217.0,899.0,6274.0,1915.0,55140.0,823.0,231.0,9140.0
59,294.0,2498.0,10.0,216.0,1165.0,6557.0,2159.0,55261.0,1197.0,234.0,9388.0
60,292.0,2489.0,10.0,217.0,1056.0,6623.0,2208.0,55808.0,1455.0,236.0,9541.0
61,292.0,2486.0,10.0,216.0,442.0,6633.0,2519.0,55680.0,1367.0,239.0,9630.0
62,292.0,2488.0,9.0,216.0,1342.9419955732628,6634.0,2458.0,55765.0,1019.0,238.0,9734.0
63,293.0,2495.0,9.0,216.0,1402.258652891282,6564.0,1949.0,55575.0,594.0,241.0,9669.0
64,293.0,2460.0,8.0,215.0,1581.4833687008338,6546.0,1588.0,55288.0,206.0,242.0,9581.0
65,293.0,2377.0,8.0,215.0,1372.6919615233164,6628.0,2409.0,55858.0,65.0,244.0,9394.0
66,291.0,2380.0,8.0,215.0,1470.0,6773.0,3128.0,55926.0,0.0,244.0,9358.0
67,290.0,2359.0,9.0,216.0,2270.0,6782.0,2746.0,55610.0,0.0,238.0,9125.0
68,288.0,2375.0,10.0,216.0,470.0,6744.0,1883.0,55213.0,0.0,238.0,8448.0
69,290.0,2405.0,10.0,215.0,1367.003814993334,6710.0,1426.0,54512.0,0.0,236.0,8062.0
70,290.0,2370.0,10.0,215.0,1349.252957590196,6506.0,1696.0,53431.0,0.0,238.0,7938.0
71,289.0,2344.0,10.0,216.0,689.4783944467654,6487.0,1680.0,52144.0,0.0,246.0,7879.0
72,290.0,2362.0,10.0,219.0,716.75,6527.0,1259.0,49347.0,0.0,256.0,7541.0
73,290.0,2386.0,10.0,219.0,873.0,6537.0,1503.0,46415.0,0.0,258.0,6962.0
