,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
108,5.0,3337.0,2.0,91.0,1724.0,0.0,16.0
109,5.0,3336.0,2.0,0.0,1852.0,0.0,16.0
110,5.0,3325.0,2.0,0.0,1789.0,0.0,16.0
111,5.0,3358.0,2.0,25.0,1828.0,0.0,16.0
112,5.0,3404.0,2.0,267.0,1899.0,53.0,16.0
113,5.0,3381.0,2.0,299.0,1896.0,244.0,16.0
114,5.0,3416.0,2.0,299.0,1905.0,305.0,16.0
115,5.0,3339.0,2.0,299.0,1913.0,318.0,16.0
116,5.0,3318.0,2.0,193.0,1915.0,25.0,16.0
117,5.0,3247.0,2.0,0.0,1714.0,15.0,16.0
118,5.0,3147.0,2.0,0.0,1516.0,7.0,16.0
119,5.0,3134.0,2.0,0.0,1476.0,0.0,16.0
120,5.0,3113.0,2.0,0.0,1230.0,0.0,16.0
121,5.0,3127.0,2.0,0.0,1111.0,0.0,16.0
122,5.0,3113.0,2.0,0.0,1026.0,0.0,16.0
123,5.0,3115.0,2.0,0.0,925.0,0.0,16.0
124,5.0,3124.0,2.0,0.0,820.0,0.0,16.0
125,5.0,3135.0,2.0,0.0,861.0,0.0,16.0
126,5.0,3140.0,2.0,0.0,1332.0,0.0,16.0
127,5.0,3115.0,2.0,0.0,1640.0,0.0,16.0
128,5.0,3129.0,2.0,0.0,1658.0,0.0,16.0
129,5.0,3133.0,2.0,0.0,1872.0,0.0,16.0
130,5.0,3151.0,2.0,0.0,1908.0,12.0,16.0
131,5.0,3166.0,2.0,0.0,1919.0,27.0,16.0
132,5.0,3220.0,2.0,0.0,1906.0,0.0,16.0
133,5.0,3256.0,2.0,0.0,1836.0,0.0,16.0
134,5.0,3270.0,2.0,0.0,1731.0,0.0,16.0
135,5.0,3295.0,2.0,0.0,1682.0,0.0,16.0
136,5.0,3301.0,2.0,62.0,1793.0,0.0,16.0
137,5.0,3305.0,2.0,202.0,1768.0,0.0,16.0
138,5.0,3307.0,2.0,198.0,1660.0,0.0,16.0
139,5.0,3327.0,2.0,56.0,1738.0,0.0,16.0
140,5.0,3315.0,2.0,0.0,1800.0,8.0,16.0
141,5.0,3256.0,2.0,0.0,1664.0,23.0,16.0
142,5.0,3152.0,2.0,0.0,1568.0,5.0,16.0
143,5.0,3134.0,2.0,0.0,1390.0,0.0,16.0
144,5.0,3147.0,2.0,0.0,1171.0,0.0,16.0
145,5.0,3158.0,2.0,0.0,1049.0,0.0,16.0
146,5.0,3129.0,2.0,0.0,954.0,0.0,16.0
147,5.0,3136.0,2.0,0.0,747.0,0.0,16.0
148,5.0,3153.0,2.0,0.0,659.0,0.0,16.0
149,5.0,3152.0,2.0,0.0,717.0,0.0,16.0
150,5.0,3148.0,2.0,0.0,1264.0,0.0,16.0
151,5.0,3304.0,2.0,0.0,1441.0,0.0,16.0
152,5.0,3360.0,2.0,0.0,1538.0,0.0,16.0
153,5.0,3320.0,2.0,0.0,1640.0,0.0,16.0
154,5.0,3300.0,2.0,0.0,1591.0,8.0,16.0
155,5.0,3321.0,2.0,0.0,1551.0,29.0,16.0
156,5.0,3328.0,2.0,0.0,1500.0,9.0,16.0
157,5.0,3320.0,2.0,0.0,1476.0,0.0,16.0
158,5.0,3296.0,2.0,0.0,1498.0,0.0,16.0
159,5.0,3328.0,2.0,0.0,1558.0,0.0,16.0
160,5.0,3343.0,2.0,0.0,1686.0,0.0,16.0
161,5.0,3353.0,2.0,0.0,1807.0,0.0,16.0
162,5.0,3388.0,2.0,0.0,1804.0,0.0,16.0
163,5.0,3371.0,2.0,0.0,1823.0,0.0,16.0
164,5.0,3369.0,2.0,0.0,1747.0,12.0,16.0
165,5.0,3399.0,2.0,0.0,1598.0,27.0,16.0
166,5.0,3200.0,2.0,0.0,1531.0,0.0,16.0
167,5.0,3127.0,2.0,0.0,1562.0,0.0,16.0
168,5.0,3147.0,2.0,0.0,1402.0,0.0,16.0
169,5.0,3158.0,2.0,0.0,1098.0,0.0,16.0
170,5.0,3159.0,2.0,0.0,820.0,0.0,16.0
171,5.0,3182.0,2.0,0.0,609.0,0.0,16.0
172,5.0,3177.0,2.0,0.0,565.0,0.0,16.0
173,5.0,3156.0,2.0,0.0,681.0,0.0,16.0
174,5.0,3174.0,2.0,0.0,1320.0,0.0,16.0
175,5.0,3330.0,2.0,0.0,1403.0,0.0,16.0
176,5.0,3349.0,2.0,335.0,1782.0,7.0,16.0
177,5.0,3302.0,2.0,402.0,1865.0,26.0,16.0
178,5.0,3607.0,2.0,501.0,1414.0,50.0,16.0
179,5.0,3679.0,2.0,489.0,1341.0,49.0,16.0
180,5.0,3722.0,2.0,497.0,1315.0,26.0,16.0
181,5.0,3783.0,2.0,496.0,1211.0,26.0,16.0
182,5.0,3721.0,2.0,406.0,1337.0,26.0,16.0
183,5.0,3741.0,2.0,407.0,1267.0,26.0,16.0
184,5.0,3731.0,2.0,441.0,1592.0,26.0,16.0
185,5.0,3771.0,2.0,501.0,1621.0,26.0,16.0
186,5.0,3795.0,2.0,501.0,1655.0,26.0,16.0
187,5.0,3820.0,2.0,501.0,1676.0,26.0,16.0
188,5.0,3732.0,2.0,286.0,1389.0,26.0,16.0
189,5.0,3715.0,2.0,226.0,1131.0,34.0,16.0
190,5.0,3684.0,2.0,207.0,1158.0,15.0,16.0
191,5.0,3619.0,2.0,207.0,1065.0,0.0,16.0
192,5.0,3603.0,2.0,0.0,653.0,0.0,16.0
193,5.0,3635.0,2.0,0.0,407.0,0.0,16.0
194,5.0,3668.0,2.0,0.0,356.0,0.0,16.0
195,5.0,3621.0,2.0,0.0,380.0,0.0,16.0
196,5.0,3532.0,2.0,0.0,378.0,0.0,16.0
197,5.0,3486.0,2.0,0.0,535.0,0.0,16.0
198,5.0,3491.0,2.0,0.0,800.0,0.0,16.0
199,5.0,3515.0,2.0,216.0,1211.0,0.0,16.0
200,5.0,3575.0,2.0,538.0,1589.0,26.0,16.0
201,5.0,3615.0,2.0,569.0,1586.0,31.0,16.0
202,5.0,3548.0,2.0,552.0,1536.0,50.0,16.0
203,5.0,3602.0,2.0,491.0,1612.0,40.0,16.0
204,5.0,3589.0,2.0,571.0,1582.0,26.0,16.0
205,5.0,3599.0,2.0,583.0,1523.0,26.0,16.0
206,5.0,3582.0,2.0,522.0,1531.0,26.0,16.0
207,5.0,3582.0,2.0,434.0,1530.0,26.0,16.0
208,5.0,3619.0,2.0,586.0,1627.0,194.0,16.0
209,5.0,3659.0,2.0,586.0,1736.0,222.0,16.0
210,5.0,3655.0,2.0,586.0,1852.0,176.0,16.0
211,5.0,3609.0,2.0,586.0,1845.0,176.0,16.0
212,5.0,3612.0,2.0,527.0,1448.0,45.0,16.0
213,5.0,3584.0,2.0,181.0,1283.0,40.0,16.0
214,5.0,3573.0,2.0,0.0,1153.0,0.0,16.0
215,5.0,3619.0,2.0,0.0,1011.0,0.0,16.0
216,5.0,3415.0,2.0,0.0,939.0,0.0,16.0
217,5.0,2990.0,2.0,0.0,1121.0,0.0,16.0
218,5.0,2925.0,2.0,0.0,896.0,0.0,16.0
219,5.0,2915.0,2.0,0.0,735.0,0.0,16.0
220,5.0,2862.0,2.0,0.0,732.0,0.0,16.0
221,5.0,2903.0,2.0,8.0,842.0,0.0,16.0
222,5.0,2856.0,2.0,276.0,1529.0,139.0,16.0
223,5.0,2834.0,2.0,367.0,1785.0,210.0,16.0
224,5.0,2821.0,2.0,587.0,1878.0,308.0,16.0
225,5.0,2803.0,2.0,589.0,1809.0,322.0,16.0
226,5.0,2810.0,2.0,589.0,1797.0,319.0,16.0
227,5.0,2791.0,2.0,590.0,1857.0,325.0,16.0
228,5.0,2849.0,2.0,589.0,1858.0,321.0,16.0
229,5.0,2891.0,2.0,589.0,1829.0,325.0,16.0
230,5.0,2963.0,2.0,588.0,1838.0,325.0,16.0
231,5.0,3035.0,2.0,589.0,1763.0,326.0,16.0
232,5.0,3035.0,2.0,588.0,1755.0,324.0,16.0
233,5.0,3045.0,2.0,588.0,1797.0,323.0,16.0
234,5.0,3090.0,2.0,588.0,1761.0,323.0,16.0
235,5.0,3101.0,2.0,587.0,1701.0,322.0,16.0
236,5.0,3056.0,2.0,588.0,1713.0,323.0,16.0
237,5.0,3066.0,2.0,587.0,1542.0,326.0,16.0
238,5.0,2992.0,2.0,577.0,1456.0,243.0,16.0
239,5.0,1558.0,2.0,296.0,1505.0,134.0,16.0
240,5.0,2847.0,2.0,299.0,1218.0,129.0,16.0
241,5.0,2859.0,2.0,186.0,1144.0,0.0,16.0
242,5.0,2867.0,2.0,0.0,1016.0,0.0,16.0
243,5.0,2853.0,2.0,0.0,834.0,0.0,16.0
244,5.0,2860.0,2.0,0.0,791.0,0.0,16.0
245,5.0,2978.0,2.0,0.0,801.0,0.0,16.0
246,5.0,3219.0,2.0,0.0,1062.0,0.0,16.0
247,5.0,3397.0,2.0,0.0,1342.0,0.0,16.0
248,5.0,3427.0,2.0,0.0,1689.0,104.0,16.0
249,5.0,3447.0,2.0,0.0,1688.0,61.0,16.0
250,5.0,3518.0,2.0,0.0,1652.0,51.0,16.0
251,5.0,3476.0,2.0,0.0,1671.0,28.0,16.0
252,5.0,3352.0,2.0,0.0,1847.0,0.0,16.0
253,5.0,3419.0,2.0,0.0,1738.0,29.0,16.0
254,5.0,3417.0,2.0,0.0,1609.0,135.0,16.0
255,5.0,3391.0,2.0,0.0,1646.0,136.0,16.0
256,5.0,3408.0,2.0,0.0,1643.0,132.0,16.0
257,5.0,3358.0,2.0,0.0,1787.0,174.0,16.0
258,5.0,3323.0,2.0,0.0,1756.0,248.0,16.0
259,5.0,3335.0,2.0,0.0,1798.0,167.0,16.0
