,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
36,4826.0,6575.0,0.0,2395.0,1512.0,188.0,23.0,462.0,1566.0,40.0,4634.0,322.0,143.0,888.0,347.0,3284.0,30506.0
37,4842.0,6478.0,0.0,2402.0,1517.0,187.0,23.0,463.0,1562.0,43.0,4606.0,322.0,143.0,1291.0,343.0,3274.0,30835.0
38,4856.0,6543.0,0.0,2439.0,1511.0,188.0,23.0,462.0,1568.0,47.0,4651.0,322.0,143.0,1768.0,343.0,3273.0,30905.0
39,4871.0,6553.0,0.0,2427.0,1524.0,188.0,23.0,460.0,1570.0,46.0,4738.0,322.0,143.0,2313.0,343.0,3278.0,31000.0
40,4872.0,6658.0,0.0,2462.0,1532.0,188.0,23.0,564.0,1572.0,48.0,4845.0,322.0,143.0,2946.0,349.0,3196.0,31412.0
41,4869.0,6584.0,0.0,2491.0,1539.0,188.0,23.0,530.0,1579.0,45.0,4895.0,322.0,143.0,3716.0,349.0,3210.0,31783.0
42,4860.0,6528.0,0.0,2528.0,1544.0,187.0,23.0,541.0,1581.0,41.0,4866.0,322.0,143.0,4431.0,338.0,3187.0,31868.0
43,4865.0,6509.0,0.0,2490.0,1560.0,187.0,23.0,464.0,1582.0,45.0,4822.0,322.0,143.0,5054.0,340.0,3189.0,31891.0
44,4868.0,6510.0,0.0,2509.0,1553.0,187.0,23.0,463.0,1581.0,45.0,4790.0,322.0,143.0,5467.0,347.0,3251.0,32357.0
45,4865.0,6525.0,0.0,2494.0,1562.0,187.0,23.0,463.0,1578.0,45.0,4796.0,322.0,143.0,5947.0,343.0,3288.0,32570.0
46,4858.0,6658.0,0.0,2517.0,1570.0,187.0,23.0,463.0,1583.0,50.0,4846.0,322.0,143.0,6242.0,354.0,3261.0,32219.0
47,4863.0,6686.0,0.0,2505.0,1571.0,187.0,23.0,465.0,1588.0,50.0,4873.0,322.0,143.0,6344.0,352.0,3211.0,32052.0
48,4847.0,6570.0,0.0,2503.0,1578.0,188.0,23.0,568.0,1629.0,55.0,5007.0,322.0,143.0,6558.0,343.0,3286.0,31830.0
