,Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
0,347.0,971.0,12039.0,50.0,724.0
1,347.0,973.0,12195.0,50.0,731.0
2,347.0,970.0,11290.0,50.0,708.0
3,347.0,971.0,10028.0,50.0,680.0
4,347.0,976.0,10036.0,50.0,674.0
5,348.0,976.0,10143.0,49.0,641.0
6,347.0,978.0,10624.0,49.0,631.0
7,347.0,970.0,11288.0,49.0,624.0
8,348.0,972.0,10874.0,49.0,597.0
9,348.0,991.0,11113.0,49.0,529.0
10,350.0,998.0,12063.0,49.0,491.0
11,349.0,1002.0,12598.0,49.0,465.0
12,350.0,1005.0,12857.0,49.0,434.0
13,350.0,1005.0,12844.0,49.0,416.0
14,349.0,1004.0,13106.0,49.0,422.0
15,348.0,1005.0,14094.0,49.0,402.0
16,348.0,1004.0,14915.0,49.0,387.0
17,350.0,1015.0,15691.0,49.0,371.0
18,350.0,1013.0,15459.0,49.0,350.0
19,350.0,1009.0,14631.0,49.0,337.0
20,349.0,1011.0,13871.0,48.0,311.0
21,350.0,1012.0,13358.0,48.0,292.0
22,350.0,1006.0,12117.0,48.0,278.0
23,349.0,1006.0,10884.0,48.0,266.0
24,350.0,994.0,9912.0,50.0,341.0
25,352.0,1002.0,9317.0,50.0,299.0
26,352.0,1011.0,9625.0,50.0,285.0
27,353.0,1012.0,9692.0,50.0,305.0
28,352.0,1006.0,10857.0,50.0,295.0
29,351.0,1003.0,12865.0,50.0,297.0
30,353.0,1028.0,15670.0,53.0,287.0
31,353.0,1067.0,20267.0,58.0,242.0
32,353.0,1091.0,21880.0,67.0,212.0
33,347.0,1113.0,22364.0,71.0,170.0
34,352.0,1117.0,23015.0,73.0,162.0
35,354.0,1119.0,23242.0,73.0,178.0
36,356.0,1118.0,23487.0,72.0,120.0
37,374.0,1117.0,23502.0,72.0,116.0
38,373.0,1116.0,23532.0,72.0,100.0
39,369.0,1116.0,23647.0,73.0,141.0
40,377.0,1117.0,23742.0,73.0,95.0
41,374.0,1121.0,23767.0,74.0,114.0
42,376.0,1115.0,23566.0,73.0,129.0
43,373.0,1109.0,23026.0,73.0,159.0
44,373.0,1107.0,21069.0,70.0,176.0
45,375.0,1106.0,18587.0,70.0,206.0
46,371.0,1101.0,16572.0,69.0,248.0
47,371.0,1104.0,15536.0,70.0,284.0
48,371.0,1084.0,14417.0,68.0,344.0
49,366.0,1085.0,12951.0,69.0,385.0
50,362.0,1089.0,11816.0,69.0,424.0
51,368.0,1082.0,11622.0,69.0,510.0
52,369.0,1084.0,11740.0,69.0,532.0
53,366.0,1082.0,13545.0,69.0,479.0
54,369.0,1109.0,16190.0,69.0,494.0
55,369.0,1138.0,18341.0,69.0,496.0
56,361.0,1144.0,19020.0,71.0,501.0
57,366.0,1156.0,19075.0,70.0,480.0
58,369.0,1165.0,19987.0,70.0,457.0
59,367.0,1163.0,20341.0,70.0,389.0
60,365.0,1161.0,20664.0,71.0,367.0
61,362.0,1162.0,21215.0,71.0,334.0
62,366.0,1165.0,21869.0,70.0,332.0
63,362.0,1165.0,22374.0,70.0,320.0
64,334.0,1167.0,22701.0,70.0,353.0
65,334.0,1167.0,22799.0,70.0,334.0
66,342.0,1165.0,22438.0,70.0,321.0
67,341.0,1162.0,21819.0,70.0,316.0
68,347.0,1162.0,20720.0,70.0,276.0
69,340.0,1165.0,19776.0,70.0,264.0
70,342.0,1160.0,18301.0,68.0,249.0
71,344.0,1161.0,16441.0,67.0,243.0
72,342.0,1160.0,15022.0,61.0,231.0
73,342.0,1158.0,13882.0,62.0,245.0
74,346.0,1160.0,13097.0,61.0,244.0
75,344.0,1153.0,12874.0,61.0,258.0
76,344.0,1154.0,13000.0,61.0,262.0
77,341.0,1158.0,14318.0,61.0,252.0
78,346.0,1164.0,17899.0,64.0,253.0
79,347.0,1170.0,21315.0,65.0,287.0
80,346.0,1173.0,23075.0,68.0,237.0
81,340.0,1172.0,23303.0,69.0,232.0
82,346.0,1179.0,23537.0,69.0,246.0
83,344.0,1180.0,23566.0,69.0,263.0
84,347.0,1179.0,23583.0,69.0,306.0
85,345.0,1182.0,23650.0,62.0,350.0
86,346.0,1183.0,23652.0,69.0,418.0
87,342.0,1188.0,23827.0,69.0,435.0
88,345.0,1186.0,23832.0,69.0,432.0
89,348.0,1184.0,23550.0,69.0,411.0
90,348.0,1181.0,23473.0,69.0,445.0
91,348.0,1176.0,23040.0,66.0,422.0
92,344.0,1170.0,21683.0,64.0,427.0
93,350.0,1172.0,20582.0,64.0,415.0
94,350.0,1165.0,19391.0,65.0,456.0
95,349.0,1158.0,16585.0,64.0,428.0
96,349.0,1146.0,13922.0,64.0,434.0
97,349.0,1144.0,12183.0,64.0,390.0
98,346.0,1151.0,11152.0,64.0,387.0
99,345.0,1145.0,11037.0,65.0,393.0
100,346.0,1147.0,11535.0,65.0,382.0
101,347.0,1142.0,12636.0,65.0,338.0
102,351.0,1151.0,15999.0,65.0,318.0
103,350.0,1170.0,20313.0,65.0,199.0
104,347.0,1169.0,22155.0,66.0,204.0
105,347.0,1174.0,22916.0,69.0,168.0
106,346.0,1172.0,23380.0,69.0,187.0
107,348.0,1166.0,23248.0,69.0,102.0
108,344.0,1155.0,23108.0,69.0,83.0
109,343.0,1150.0,23039.0,69.0,76.0
110,342.0,1150.0,23185.0,69.0,90.0
111,348.0,1152.0,23687.0,69.0,79.0
112,345.0,1152.0,23956.0,69.0,64.0
113,354.0,1153.0,23793.0,69.0,40.0
114,366.0,1150.0,23317.0,69.0,30.0
115,366.0,1148.0,22656.0,66.0,36.0
116,369.0,1144.0,21931.0,57.0,46.0
117,368.0,1140.0,21173.0,57.0,60.0
118,371.0,1138.0,20232.0,57.0,79.0
119,367.0,1142.0,19071.0,55.0,111.0
120,371.0,1136.0,17945.0,55.0,115.0
121,370.0,1141.0,16009.0,56.0,124.0
122,369.0,1152.0,14244.0,56.0,187.0
123,370.0,1156.0,13436.0,56.0,185.0
124,369.0,1155.0,14229.0,56.0,184.0
125,374.0,1152.0,15690.0,56.0,169.0
126,373.0,1156.0,17245.0,56.0,191.0
127,367.0,1161.0,18880.0,58.0,255.0
128,372.0,1162.0,19794.0,58.0,235.0
129,372.0,1160.0,20596.0,58.0,254.0
130,351.0,1166.0,21566.0,58.0,237.0
131,372.0,1166.0,21847.0,59.0,262.0
132,371.0,1177.0,21438.0,58.0,305.0
133,373.0,1183.0,21233.0,58.0,327.0
134,372.0,1185.0,21135.0,58.0,282.0
135,371.0,1198.0,21841.0,60.0,289.0
136,374.0,1196.0,22891.0,60.0,282.0
137,372.0,1195.0,23159.0,60.0,211.0
138,371.0,1191.0,22694.0,60.0,203.0
139,371.0,1181.0,22003.0,58.0,217.0
140,374.0,1178.0,20798.0,58.0,225.0
141,372.0,1181.0,20006.0,58.0,220.0
142,376.0,1178.0,18512.0,52.0,241.0
143,369.0,1175.0,16830.0,52.0,299.0
144,371.0,1160.0,14372.0,45.0,303.0
145,372.0,1161.0,12871.0,45.0,379.0
146,371.0,1167.0,12218.0,45.0,460.0
147,375.0,1161.0,11829.0,45.0,445.0
148,371.0,1159.0,11874.0,45.0,479.0
149,375.0,1156.0,12426.0,45.0,508.0
150,376.0,1162.0,13099.0,45.0,426.0
151,373.0,1160.0,13953.0,45.0,388.0
152,373.0,1163.0,15092.0,45.0,476.0
153,371.0,1163.0,16402.0,45.0,338.0
154,368.0,1159.0,17389.0,45.0,482.0
155,373.0,1163.0,17846.0,46.0,501.0
156,370.0,1159.0,17610.0,47.0,573.0
157,371.0,1154.0,16125.0,47.0,688.0
158,371.0,1155.0,15859.0,48.0,746.0
159,376.0,1161.0,17312.0,48.0,748.0
160,377.0,1153.0,19103.0,48.0,756.0
161,374.0,1153.0,21100.0,48.0,696.0
162,374.0,1149.0,21523.0,48.0,732.0
163,372.0,1149.0,21006.0,48.0,693.0
164,373.0,1149.0,19633.0,47.0,639.0
165,373.0,1149.0,17662.0,47.0,610.0
166,373.0,1151.0,16804.0,53.0,580.0
167,354.0,897.0,13728.0,53.0,530.0
168,347.0,1130.0,10988.0,42.0,540.0
169,352.0,1133.0,9969.0,42.0,508.0
170,354.0,1136.0,9703.0,42.0,511.0
171,351.0,1137.0,10118.0,42.0,479.0
172,352.0,1129.0,10875.0,42.0,492.0
173,353.0,1130.0,13726.0,42.0,507.0
174,353.0,1129.0,18914.0,59.0,485.0
175,350.0,1150.0,22199.0,70.0,456.0
176,350.0,1171.0,23263.0,72.0,441.0
177,350.0,1214.0,22784.0,73.0,451.0
178,350.0,1246.0,22684.0,73.0,481.0
179,349.0,1255.0,22563.0,75.0,419.0
180,348.0,1248.0,22443.0,75.0,409.0
181,350.0,1242.0,22250.0,75.0,393.0
182,348.0,1250.0,22581.0,76.0,402.0
183,348.0,1260.0,22919.0,77.0,382.0
184,344.0,1262.0,23202.0,77.0,398.0
185,346.0,1254.0,23399.0,77.0,410.0
186,346.0,1248.0,22737.0,77.0,412.0
187,350.0,1244.0,21188.0,74.0,429.0
188,346.0,1241.0,19203.0,72.0,433.0
189,349.0,1245.0,17676.0,72.0,481.0
190,346.0,1240.0,16356.0,73.0,520.0
191,347.0,1233.0,13997.0,73.0,534.0
192,343.0,1237.0,12614.0,70.0,564.0
193,342.0,1234.0,11959.0,70.0,581.0
194,342.0,1231.0,11823.0,70.0,554.0
195,340.0,1233.0,12072.0,70.0,567.0
196,342.0,1232.0,12765.0,71.0,585.0
197,340.0,1232.0,14980.0,71.0,601.0
198,340.0,1252.0,18048.0,70.0,579.0
199,337.0,1252.0,21554.0,73.0,619.0
200,333.0,1250.0,22192.0,73.0,660.0
201,333.0,1252.0,22035.0,73.0,645.0
202,335.0,1257.0,21983.0,73.0,637.0
203,315.0,1253.0,21810.0,73.0,625.0
204,314.0,1259.0,21459.0,73.0,618.0
205,315.0,1258.0,21440.0,73.0,622.0
206,312.0,1259.0,21319.0,73.0,572.0
207,317.0,1262.0,21754.0,73.0,573.0
208,316.0,1261.0,22568.0,73.0,554.0
209,315.0,1255.0,23048.0,75.0,540.0
210,318.0,1256.0,22736.0,74.0,537.0
211,318.0,1253.0,22314.0,74.0,524.0
212,307.0,1246.0,21481.0,74.0,550.0
213,315.0,1252.0,20683.0,73.0,568.0
214,317.0,1239.0,18970.0,72.0,573.0
215,318.0,1243.0,17567.0,72.0,576.0
216,317.0,1224.0,17112.0,71.0,596.0
217,321.0,1225.0,15756.0,71.0,599.0
218,314.0,1223.0,14941.0,71.0,597.0
219,321.0,1226.0,14907.0,71.0,587.0
220,324.0,1222.0,16239.0,71.0,552.0
221,323.0,1232.0,19619.0,71.0,567.0
222,327.0,1245.0,22826.0,77.0,587.0
223,324.0,1253.0,24385.0,77.0,588.0
224,323.0,1247.0,24095.0,77.0,568.0
225,323.0,1231.0,23903.0,77.0,548.0
226,323.0,1236.0,23976.0,77.0,538.0
227,321.0,1238.0,23856.0,77.0,536.0
228,320.0,1249.0,23442.0,77.0,525.0
229,325.0,1260.0,23682.0,77.0,526.0
230,332.0,1267.0,24202.0,77.0,507.0
231,324.0,1262.0,24174.0,77.0,463.0
232,330.0,1257.0,23826.0,77.0,468.0
233,332.0,1255.0,23502.0,77.0,488.0
234,326.0,1256.0,23792.0,77.0,493.0
235,319.0,1258.0,23880.0,77.0,496.0
236,307.0,1255.0,23320.0,74.0,500.0
237,313.0,1253.0,22761.0,74.0,516.0
238,323.0,1236.0,22228.0,73.0,449.0
239,322.0,1227.0,20673.0,72.0,535.0
240,322.0,1235.0,20389.0,72.0,570.0
241,327.0,1233.0,19335.0,72.0,588.0
242,326.0,1236.0,18930.0,71.0,557.0
243,323.0,1236.0,19193.0,72.0,565.0
244,331.0,1237.0,20019.0,72.0,569.0
245,328.0,1237.0,21108.0,75.0,495.0
246,323.0,1245.0,22405.0,76.0,447.0
247,326.0,1250.0,23219.0,76.0,471.0
248,321.0,1244.0,23840.0,76.0,424.0
249,322.0,1204.0,24062.0,76.0,358.0
250,327.0,1216.0,24146.0,76.0,317.0
251,322.0,1244.0,24256.0,75.0,278.0
252,322.0,1256.0,24032.0,75.0,247.0
253,315.0,1257.0,24096.0,75.0,227.0
254,327.0,1258.0,24199.0,75.0,294.0
255,323.0,1257.0,24306.0,74.0,294.0
256,326.0,1253.0,23903.0,74.0,286.0
257,324.0,1254.0,23785.0,74.0,278.0
258,328.0,1253.0,23728.0,74.0,272.0
259,326.0,1257.0,23668.0,74.0,257.0
260,325.0,1254.0,23596.0,74.0,236.0
261,330.0,1250.0,23153.0,73.0,210.0
262,334.0,1239.0,21663.0,70.0,202.0
263,324.0,1237.0,20484.0,70.0,230.0
264,324.0,1231.0,19562.0,69.0,221.0
265,325.0,1229.0,18688.0,69.0,204.0
266,326.0,1230.0,18137.0,69.0,236.0
267,323.0,1230.0,18271.0,69.0,269.0
268,328.0,1227.0,18933.0,70.0,284.0
269,323.0,1232.0,21021.0,70.0,289.0
270,328.0,1239.0,22674.0,74.0,358.0
271,323.0,1248.0,24179.0,75.0,390.0
272,323.0,1244.0,23759.0,75.0,377.0
273,322.0,1243.0,23628.0,75.0,382.0
274,323.0,1255.0,24090.0,75.0,388.0
275,327.0,1241.0,23866.0,76.0,423.0
276,322.0,1240.0,23802.0,76.0,427.0
277,323.0,1230.0,23695.0,76.0,435.0
278,323.0,1229.0,23503.0,76.0,460.0
279,323.0,1229.0,23675.0,63.0,479.0
280,324.0,1232.0,23750.0,63.0,496.0
281,324.0,1233.0,23940.0,63.0,508.0
282,342.0,1231.0,23835.0,63.0,521.0
283,342.0,1228.0,23154.0,58.0,537.0
284,342.0,1225.0,22132.0,58.0,537.0
285,341.0,1217.0,21699.0,51.0,554.0
286,350.0,1202.0,20430.0,51.0,553.0
287,350.0,1202.0,19169.0,50.0,581.0
288,351.0,1191.0,19004.0,51.0,563.0
289,351.0,1192.0,18396.0,50.0,551.0
290,350.0,1197.0,17459.0,50.0,571.0
291,349.0,1190.0,16788.0,50.0,587.0
292,351.0,1189.0,15912.0,50.0,551.0
293,351.0,1192.0,16722.0,50.0,585.0
294,351.0,1191.0,17756.0,50.0,591.0
295,345.0,1196.0,19963.0,51.0,613.0
296,337.0,1193.0,20822.0,51.0,589.0
297,337.0,1200.0,21490.0,48.0,588.0
298,344.0,1203.0,22092.0,47.0,563.0
299,341.0,1201.0,22051.0,46.0,606.0
300,343.0,1199.0,22104.0,46.0,585.0
301,340.0,1195.0,21851.0,44.0,567.0
302,337.0,1195.0,21496.0,43.0,563.0
303,343.0,1197.0,21439.0,42.0,571.0
304,341.0,1199.0,22080.0,42.0,582.0
305,346.0,1202.0,22514.0,42.0,607.0
306,342.0,1199.0,22310.0,42.0,597.0
307,342.0,1193.0,21411.0,42.0,581.0
308,348.0,1190.0,19890.0,42.0,550.0
309,347.0,1182.0,18572.0,42.0,549.0
310,347.0,1184.0,17304.0,42.0,560.0
311,347.0,1184.0,15161.0,42.0,548.0
312,347.0,1186.0,13804.0,41.0,530.0
313,347.0,1184.0,12926.0,41.0,531.0
314,347.0,1185.0,12483.0,41.0,540.0
315,347.0,1183.0,12567.0,41.0,623.0
316,347.0,1179.0,12075.0,41.0,599.0
317,347.0,1177.0,12292.0,41.0,592.0
318,347.0,1176.0,12293.0,41.0,601.0
319,347.0,1175.0,12904.0,41.0,621.0
320,347.0,1172.0,14162.0,41.0,648.0
321,347.0,1174.0,16508.0,41.0,656.0
322,347.0,1172.0,17638.0,41.0,668.0
323,347.0,1168.0,18856.0,41.0,695.0
324,338.0,1167.0,18412.0,41.0,730.0
325,336.0,1165.0,17643.0,41.0,730.0
326,335.0,1168.0,18891.0,41.0,720.0
327,336.0,1162.0,20245.0,41.0,697.0
328,339.0,1163.0,20918.0,41.0,690.0
329,339.0,1158.0,20719.0,41.0,707.0
330,336.0,1159.0,20126.0,41.0,755.0
331,339.0,1157.0,19220.0,41.0,774.0
332,338.0,1161.0,18132.0,42.0,800.0
333,339.0,1158.0,16904.0,40.0,802.0
334,340.0,1155.0,15549.0,39.0,782.0
335,341.0,1159.0,13786.0,40.0,826.0
336,359.0,1153.0,11955.0,39.0,891.0
337,359.0,1151.0,11382.0,39.0,891.0
338,358.0,1142.0,11495.0,39.0,904.0
339,359.0,1125.0,11312.0,39.0,923.0
340,361.0,1138.0,11667.0,39.0,909.0
341,362.0,1138.0,13768.0,39.0,892.0
342,360.0,1150.0,17524.0,39.0,891.0
343,359.0,1157.0,20109.0,39.0,901.0
344,363.0,1142.0,20741.0,41.0,930.0
345,358.0,1135.0,20306.0,41.0,937.0
346,363.0,1130.0,19822.0,41.0,914.0
347,358.0,1130.0,18940.0,41.0,936.0
348,359.0,1130.0,17853.0,42.0,731.0
349,360.0,1124.0,17363.0,42.0,721.0
350,358.0,1124.0,17542.0,42.0,742.0
351,359.0,1128.0,17552.0,42.0,839.0
352,359.0,1121.0,17497.0,42.0,817.0
353,360.0,1123.0,18386.0,42.0,827.0
354,361.0,1118.0,17285.0,42.0,778.0
355,356.0,1118.0,15955.0,42.0,820.0
356,358.0,1118.0,14806.0,42.0,763.0
357,356.0,1117.0,14380.0,41.0,698.0
358,357.0,1117.0,13834.0,40.0,693.0
359,356.0,1118.0,12993.0,35.0,603.0
360,361.0,1099.0,12787.0,37.0,594.0
361,358.0,1096.0,12439.0,37.0,539.0
362,362.0,1102.0,12182.0,37.0,529.0
363,363.0,1098.0,11687.0,36.0,484.0
364,364.0,1097.0,11754.0,35.0,419.0
365,362.0,1096.0,12620.0,35.0,427.0
366,362.0,1119.0,15338.0,46.0,489.0
367,366.0,1123.0,19463.0,46.0,437.0
368,362.0,1121.0,20541.0,52.0,431.0
369,349.0,1118.0,20802.0,52.0,386.0
370,368.0,1127.0,20950.0,53.0,411.0
371,363.0,1124.0,21083.0,53.0,409.0
372,352.0,1127.0,20917.0,53.0,361.0
373,358.0,1128.0,21263.0,53.0,377.0
374,353.0,1125.0,21037.0,54.0,375.0
375,357.0,1131.0,21210.0,55.0,375.0
376,360.0,1137.0,21704.0,59.0,386.0
377,358.0,1138.0,21752.0,59.0,380.0
378,359.0,1140.0,21956.0,59.0,398.0
379,357.0,1128.0,21238.0,56.0,399.0
380,357.0,1130.0,19865.0,56.0,395.0
381,355.0,1129.0,18766.0,56.0,425.0
382,359.0,1113.0,16984.0,56.0,403.0
383,357.0,1107.0,13850.0,55.0,415.0
384,357.0,1105.0,12894.0,52.0,370.0
385,359.0,1098.0,12211.0,52.0,337.0
386,362.0,1098.0,11949.0,52.0,386.0
387,364.0,1095.0,11809.0,44.0,384.0
388,382.0,1093.0,12515.0,44.0,379.0
389,380.0,1099.0,15162.0,45.0,348.0
390,378.0,1106.0,19258.0,45.0,323.0
391,381.0,1114.0,22487.0,51.0,339.0
392,365.0,1093.0,22724.0,50.0,313.0
393,362.0,1097.0,22411.0,66.0,299.0
394,363.0,1095.0,22696.0,67.0,295.0
395,339.0,1090.0,22584.0,67.0,298.0
396,338.0,1086.0,22289.0,68.0,318.0
397,337.0,1086.0,21537.0,66.0,306.0
398,332.0,1088.0,21585.0,67.0,326.0
399,334.0,1090.0,22030.0,67.0,329.0
400,336.0,1100.0,22495.0,73.0,358.0
401,334.0,1102.0,23346.0,73.0,378.0
402,338.0,1097.0,23351.0,73.0,358.0
403,336.0,1093.0,22383.0,72.0,403.0
404,341.0,1090.0,20043.0,72.0,420.0
405,337.0,1087.0,18840.0,71.0,373.0
406,335.0,1086.0,17349.0,71.0,380.0
407,340.0,1089.0,16065.0,71.0,433.0
408,337.0,1075.0,14779.0,75.0,455.0
409,339.0,1076.0,13729.0,74.0,453.0
410,336.0,1081.0,13467.0,74.0,450.0
411,342.0,1077.0,13381.0,75.0,455.0
412,340.0,1073.0,13949.0,75.0,479.0
413,341.0,1075.0,16349.0,77.0,490.0
414,343.0,1079.0,19106.0,79.0,496.0
415,340.0,1110.0,22385.0,81.0,504.0
416,342.0,1125.0,22643.0,82.0,513.0
417,333.0,1138.0,22398.0,83.0,519.0
418,339.0,1158.0,22402.0,82.0,511.0
419,345.0,1161.0,22493.0,82.0,500.0
420,348.0,1164.0,22871.0,78.0,453.0
421,346.0,1159.0,22468.0,78.0,450.0
422,344.0,1171.0,22277.0,77.0,458.0
423,339.0,1175.0,22860.0,77.0,446.0
424,340.0,1173.0,23151.0,77.0,445.0
425,340.0,1172.0,23684.0,80.0,457.0
426,339.0,1171.0,23646.0,79.0,454.0
427,345.0,1170.0,23487.0,80.0,459.0
428,348.0,1167.0,22957.0,81.0,445.0
429,346.0,1150.0,21874.0,81.0,443.0
430,344.0,1144.0,20820.0,80.0,439.0
431,343.0,1138.0,19018.0,79.0,432.0
432,342.0,1147.0,18952.0,76.0,410.0
433,346.0,1146.0,18791.0,76.0,416.0
434,349.0,1147.0,18067.0,76.0,396.0
435,344.0,1140.0,17785.0,76.0,413.0
436,345.0,1145.0,18764.0,76.0,405.0
437,340.0,1150.0,21160.0,76.0,426.0
438,341.0,1172.0,23121.0,80.0,429.0
439,343.0,1186.0,23700.0,80.0,435.0
440,336.0,1182.0,23721.0,81.0,440.0
441,333.0,1184.0,23673.0,81.0,439.0
442,339.0,1186.0,23742.0,81.0,450.0
443,339.0,1187.0,23681.0,78.0,418.0
444,337.0,1190.0,23907.0,78.0,430.0
445,335.0,1182.0,23948.0,77.0,434.0
446,334.0,1176.0,23744.0,77.0,456.0
447,336.0,1180.0,24478.0,77.0,480.0
448,335.0,1185.0,24310.0,77.0,494.0
449,336.0,1181.0,23725.0,78.0,498.0
450,341.0,1177.0,23644.0,78.0,507.0
451,339.0,1174.0,23859.0,78.0,505.0
452,338.0,1165.0,23457.0,79.0,489.0
453,335.0,1149.0,23049.0,79.0,502.0
454,354.0,1146.0,22508.0,77.0,492.0
455,352.0,1147.0,21319.0,77.0,482.0
456,353.0,1139.0,19935.0,69.0,449.0
457,354.0,1133.0,18418.0,69.0,444.0
458,356.0,1128.0,17271.0,69.0,442.0
459,356.0,1129.0,16300.0,69.0,440.0
460,356.0,1133.0,16534.0,69.0,427.0
461,354.0,1131.0,17452.0,69.0,416.0
462,356.0,1137.0,18514.0,69.0,410.0
463,356.0,1150.0,20579.0,70.0,396.0
464,353.0,1153.0,22150.0,70.0,386.0
465,355.0,1155.0,22750.0,69.0,366.0
466,361.0,1152.0,22953.0,69.0,366.0
467,359.0,1156.0,22863.0,69.0,369.0
468,361.0,1154.0,22725.0,69.0,355.0
469,362.0,1156.0,22614.0,69.0,346.0
470,357.0,1155.0,22495.0,69.0,344.0
471,360.0,1159.0,22808.0,69.0,344.0
472,362.0,1161.0,23109.0,69.0,350.0
473,362.0,1161.0,23281.0,70.0,358.0
474,360.0,1155.0,23234.0,71.0,346.0
475,365.0,1150.0,22738.0,67.0,355.0
476,361.0,1158.0,22305.0,66.0,360.0
477,362.0,1152.0,22271.0,51.0,358.0
478,364.0,1153.0,21903.0,52.0,389.0
479,364.0,1156.0,21398.0,52.0,391.0
480,361.0,1146.0,20495.0,49.0,319.0
481,361.0,1140.0,19687.0,49.0,326.0
482,363.0,1137.0,17865.0,54.0,313.0
483,360.0,1138.0,16787.0,55.0,303.0
484,363.0,1140.0,16979.0,55.0,301.0
485,361.0,1141.0,17619.0,56.0,314.0
486,357.0,1138.0,18310.0,56.0,342.0
487,360.0,1144.0,20160.0,56.0,345.0
488,359.0,1148.0,21208.0,57.0,341.0
489,359.0,1154.0,22279.0,58.0,359.0
490,359.0,1150.0,22404.0,58.0,343.0
491,360.0,1158.0,22417.0,58.0,323.0
492,360.0,1157.0,22243.0,66.0,306.0
493,361.0,1159.0,22225.0,66.0,301.0
494,359.0,1160.0,22187.0,68.0,313.0
495,359.0,1164.0,22453.0,74.0,320.0
496,361.0,1163.0,22988.0,74.0,346.0
497,360.0,1162.0,23104.0,75.0,377.0
498,356.0,1160.0,22861.0,77.0,408.0
499,357.0,1163.0,22969.0,77.0,436.0
500,356.0,1161.0,23069.0,79.0,447.0
501,359.0,1157.0,22222.0,78.0,469.0
502,358.0,1155.0,21811.0,77.0,484.0
503,356.0,1152.0,20472.0,78.0,484.0
504,358.0,1137.0,18126.0,81.0,488.0
505,356.0,1135.0,16125.0,85.0,491.0
506,354.0,1139.0,15911.0,85.0,490.0
507,355.0,1137.0,15899.0,86.0,506.0
508,350.0,1135.0,16666.0,86.0,513.0
509,352.0,1136.0,18620.0,86.0,525.0
510,354.0,1162.0,21612.0,90.0,516.0
511,354.0,1175.0,23831.0,93.0,520.0
512,355.0,1178.0,23907.0,93.0,531.0
513,353.0,1186.0,23892.0,93.0,546.0
514,354.0,1197.0,24261.0,93.0,582.0
515,357.0,1192.0,24209.0,93.0,570.0
516,360.0,1193.0,24063.0,92.0,581.0
517,353.0,1193.0,24277.0,85.0,568.0
518,356.0,1192.0,24239.0,85.0,563.0
519,356.0,1194.0,24323.0,85.0,546.0
520,352.0,1190.0,24208.0,81.0,537.0
521,352.0,1189.0,24379.0,81.0,541.0
522,354.0,1191.0,24223.0,84.0,545.0
523,353.0,1192.0,24268.0,85.0,543.0
524,355.0,1191.0,24134.0,86.0,547.0
525,355.0,1185.0,23705.0,86.0,543.0
526,355.0,1179.0,22749.0,83.0,526.0
527,357.0,1184.0,22369.0,83.0,520.0
528,352.0,1166.0,22060.0,82.0,486.0
529,352.0,1165.0,21403.0,81.0,508.0
530,351.0,1168.0,20865.0,81.0,520.0
531,346.0,1164.0,20500.0,80.0,527.0
532,347.0,1167.0,20926.0,79.0,523.0
533,352.0,1167.0,21773.0,77.0,502.0
534,347.0,1181.0,23426.0,78.0,487.0
535,344.0,1195.0,24197.0,77.0,468.0
536,351.0,1194.0,24017.0,77.0,451.0
537,350.0,1199.0,24272.0,77.0,466.0
538,347.0,1187.0,23966.0,77.0,500.0
539,349.0,1187.0,23583.0,79.0,542.0
540,345.0,1202.0,23955.0,80.0,569.0
541,341.0,1194.0,23762.0,81.0,600.0
542,347.0,1189.0,23392.0,83.0,605.0
543,353.0,1182.0,22892.0,84.0,621.0
544,351.0,1188.0,23704.0,84.0,633.0
545,354.0,1182.0,23364.0,84.0,630.0
546,353.0,1166.0,22634.0,83.0,611.0
547,352.0,1166.0,21641.0,81.0,575.0
548,355.0,1166.0,20387.0,76.0,554.0
549,354.0,1148.0,18618.0,74.0,546.0
550,356.0,1134.0,16328.0,73.0,574.0
551,356.0,1124.0,14752.0,73.0,588.0
552,357.0,1095.0,12677.0,79.0,608.0
553,358.0,1098.0,11982.0,78.0,596.0
554,357.0,1101.0,11323.0,77.0,649.0
555,359.0,1101.0,10887.0,75.0,676.0
556,358.0,1101.0,11229.0,74.0,632.0
557,358.0,1104.0,13022.0,73.0,568.0
558,358.0,1112.0,16733.0,74.0,549.0
559,357.0,1123.0,20887.0,74.0,590.0
560,356.0,1120.0,21288.0,79.0,676.0
561,343.0,1117.0,21023.0,81.0,722.0
562,345.0,1118.0,19983.0,80.0,770.0
563,347.0,1120.0,19118.0,78.0,797.0
564,346.0,1127.0,18241.0,76.0,782.0
565,346.0,1129.0,17733.0,78.0,747.0
566,347.0,1130.0,17822.0,76.0,748.0
567,350.0,1123.0,17593.0,75.0,778.0
568,345.0,1129.0,17847.0,75.0,784.0
569,343.0,1129.0,18395.0,74.0,756.0
570,342.0,1133.0,17462.0,74.0,763.0
571,344.0,1132.0,16058.0,74.0,767.0
572,344.0,1129.0,15227.0,73.0,775.0
573,347.0,1130.0,14043.0,74.0,788.0
574,339.0,1141.0,13197.0,74.0,766.0
575,340.0,1133.0,12581.0,73.0,735.0
576,338.0,1169.0,11803.0,79.0,691.0
577,342.0,1175.0,11326.0,75.0,678.0
578,340.0,1180.0,10703.0,74.0,654.0
