,Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
192,6006.0,8656.0,1486.0,2305.0
193,5681.0,8656.0,1465.0,2292.0
194,5646.0,8654.0,1419.0,2286.0
195,5684.0,8654.0,1407.0,2263.0
196,6372.0,8653.0,1411.0,2238.0
197,6721.0,8650.0,1431.0,2217.0
198,8708.0,8649.0,1422.0,2234.0
199,10512.0,8644.0,1522.0,2307.0
200,11357.0,8644.0,1491.0,2343.0
201,11417.0,8645.0,1544.0,2305.0
202,11376.0,8645.0,1544.0,2301.0
203,11261.0,8646.0,1544.0,2345.0
204,11027.0,8488.0,1549.0,2354.0
205,10974.0,8420.0,1504.0,2335.0
206,10947.0,8431.0,1486.0,2480.0
207,11083.0,8555.0,1406.0,2654.0
208,11452.0,8592.0,1418.0,2681.0
209,11561.0,8619.0,1549.0,2655.0
210,11512.0,8626.0,1543.0,2689.0
211,10992.0,8641.0,1555.0,2652.0
212,9716.0,8646.0,1547.0,2705.0
213,9187.0,8646.0,1540.0,2685.0
214,8483.0,8648.0,1514.0,2470.0
215,7703.0,8650.0,1528.0,2462.0
216,6502.0,8651.0,1525.0,2364.0
217,6235.0,8652.0,1499.0,2308.0
218,6133.0,8653.0,1521.0,2258.0
219,6205.0,8653.0,1525.0,2203.0
220,6712.0,8653.0,1523.0,2155.0
221,7696.0,8649.0,1525.0,2096.0
222,10380.0,8643.0,1549.0,2045.0
223,12169.0,8640.0,1549.0,2027.0
224,12285.0,8643.0,1588.0,1992.0
225,12187.0,8645.0,1607.0,2010.0
226,12190.0,8645.0,1614.0,1982.0
227,12251.0,8641.0,1635.0,1925.0
228,12415.0,8640.0,1659.0,1890.0
229,12461.0,8643.0,1702.0,1894.0
230,12397.0,8641.0,1691.0,1860.0
231,12446.0,8642.0,1656.0,1863.0
232,12423.0,8644.0,1651.0,1812.0
233,12316.0,8648.0,1646.0,1749.0
234,12320.0,8649.0,1652.0,1658.0
235,12418.0,8649.0,1596.0,1576.0
236,11587.0,8650.0,1567.0,1467.0
237,10203.0,8649.0,1499.0,1396.0
238,9424.0,8650.0,1464.0,1410.0
239,8277.0,8654.0,1449.0,1397.0
240,7035.0,8652.0,1435.0,1300.0
241,6780.0,8655.0,1429.0,1293.0
242,6721.0,8656.0,1451.0,1237.0
243,6767.0,8654.0,1474.0,1242.0
244,7384.0,8650.0,1499.0,1237.0
245,8690.0,8647.0,1558.0,1221.0
246,10971.0,8648.0,1612.0,1236.0
247,12178.0,8649.0,1690.0,1265.0
248,12482.0,8637.0,1717.0,1334.0
249,12485.0,8604.0,1730.0,1290.0
250,12447.0,8568.0,1722.0,1330.0
251,12463.0,8568.0,1711.0,1282.0
252,12523.0,8602.0,1737.0,1326.0
253,12455.0,8622.0,1731.0,1383.0
254,12429.0,8634.0,1726.0,1356.0
255,12457.0,8635.0,1748.0,1456.0
256,12307.0,8637.0,1744.0,1531.0
257,12306.0,8640.0,1712.0,1619.0
258,12306.0,8639.0,1709.0,1736.0
259,12309.0,8639.0,1684.0,1795.0
260,10897.0,8643.0,1672.0,1825.0
261,9724.0,8646.0,1646.0,1902.0
262,8703.0,8648.0,1610.0,1957.0
263,7922.0,8647.0,1605.0,1930.0
264,6991.0,8647.0,1607.0,1984.0
265,6778.0,8644.0,1588.0,1977.0
266,6680.0,8646.0,1567.0,1872.0
267,6707.0,8649.0,1546.0,1786.0
268,7352.0,8647.0,1557.0,1717.0
269,8475.0,8647.0,1572.0,1651.0
270,10625.0,8647.0,1576.0,1590.0
271,12356.0,8644.0,1606.0,1493.0
272,12538.0,8650.0,1624.0,1398.0
273,12551.0,8647.0,1736.0,1342.0
274,12570.0,8648.0,1752.0,1289.0
275,12487.0,8646.0,1741.0,1211.0
276,12417.0,8644.0,1708.0,1158.0
277,12288.0,8612.0,1736.0,1123.0
278,11950.0,8534.0,1766.0,1126.0
279,11922.0,8533.0,1789.0,1091.0
280,12330.0,8533.0,1788.0,1064.0
281,12385.0,8535.0,1826.0,1029.0
282,12356.0,8536.0,1825.0,1016.0
283,11534.0,8528.0,1739.0,993.0
284,10320.0,8523.0,1701.0,948.0
285,9440.0,8536.0,1659.0,878.0
286,8778.0,8537.0,1606.0,820.0
287,8072.0,8538.0,1584.0,783.0
288,7151.0,8539.0,1527.0,761.0
289,6793.0,8539.0,1434.0,770.0
290,6610.0,8542.0,1410.0,746.0
291,6508.0,8541.0,1413.0,766.0
292,6490.0,8541.0,1413.0,803.0
293,6655.0,8541.0,1485.0,860.0
294,7451.0,8538.0,1501.0,971.0
295,8887.0,8534.0,1548.0,1042.0
296,10134.0,8533.0,1561.0,1127.0
297,10841.0,8533.0,1544.0,1171.0
298,10829.0,8531.0,1526.0,1200.0
299,10921.0,8533.0,1557.0,1232.0
300,10945.0,8534.0,1562.0,1253.0
301,10899.0,8534.0,1570.0,1267.0
302,10837.0,8535.0,1582.0,1253.0
303,10926.0,8535.0,1581.0,1354.0
304,11637.0,8533.0,1580.0,1469.0
305,12108.0,8528.0,1587.0,1602.0
306,11777.0,8527.0,1591.0,1701.0
307,11079.0,8532.0,1588.0,1730.0
308,9523.0,8535.0,1567.0,1792.0
309,8451.0,8536.0,1548.0,1860.0
310,7517.0,8539.0,1531.0,1867.0
311,6953.0,8539.0,1573.0,1885.0
312,6065.0,8541.0,1523.0,1956.0
313,5880.0,8541.0,1470.0,2018.0
314,5890.0,8541.0,1457.0,2052.0
315,5849.0,8543.0,1483.0,2077.0
316,5876.0,8542.0,1491.0,2101.0
317,6162.0,8542.0,1467.0,2137.0
318,6838.0,8544.0,1470.0,2197.0
319,7463.0,8541.0,1511.0,2272.0
320,8328.0,8541.0,1506.0,2270.0
321,9194.0,8541.0,1587.0,2303.0
322,9651.0,8539.0,1558.0,2349.0
323,9976.0,8538.0,1558.0,2378.0
324,9901.0,8540.0,1576.0,2400.0
325,9921.0,8540.0,1589.0,2431.0
326,10050.0,8540.0,1607.0,2472.0
327,10488.0,8537.0,1617.0,2499.0
328,11215.0,8535.0,1635.0,2574.0
329,11309.0,8529.0,1630.0,2757.0
330,11197.0,8527.0,1598.0,2942.0
331,10552.0,8529.0,1597.0,3150.0
332,9515.0,8530.0,1595.0,3273.0
333,8812.0,8534.0,1603.0,3455.0
334,8208.0,8539.0,1597.0,3588.0
335,7256.0,8541.0,1605.0,3627.0
336,5635.0,8545.0,1628.0,3896.0
337,4936.0,8546.0,1618.0,3966.0
338,5002.0,8548.0,1620.0,4062.0
339,4956.0,8548.0,1621.0,4110.0
340,5406.0,8547.0,1622.0,4166.0
341,6573.0,8548.0,1641.0,4348.0
342,9499.0,8548.0,1621.0,4490.0
343,11078.0,8545.0,1650.0,4617.0
344,11355.0,8544.0,1656.0,4699.0
345,11416.0,8545.0,1655.0,4789.0
346,11247.0,8546.0,1670.0,4932.0
347,10684.0,8548.0,1647.0,5012.0
348,10131.0,8549.0,1647.0,5109.0
349,10102.0,8550.0,1659.0,5165.0
350,10091.0,8548.0,1630.0,5224.0
351,10143.0,8547.0,1609.0,5303.0
352,10124.0,8547.0,1649.0,5345.0
353,10360.0,8546.0,1611.0,5449.0
354,9607.0,8547.0,1603.0,5530.0
355,9222.0,8548.0,1634.0,5591.0
356,8309.0,8549.0,1613.0,5560.0
357,7388.0,8549.0,1602.0,5581.0
358,5803.0,8549.0,1576.0,5612.0
359,4980.0,8551.0,1564.0,5534.0
360,4364.0,8551.0,1571.0,5554.0
361,4088.0,8551.0,1526.0,5599.0
362,4064.0,8551.0,1503.0,5540.0
363,4072.0,8553.0,1467.0,5553.0
364,4540.0,8551.0,1460.0,5526.0
365,5945.0,8552.0,1470.0,5535.0
366,8434.0,8552.0,1469.0,5430.0
367,10512.0,8549.0,1543.0,5207.0
368,11004.0,8547.0,1561.0,4952.0
369,11308.0,8544.0,1578.0,4798.0
370,11384.0,8549.0,1569.0,4608.0
371,11371.0,8549.0,1571.0,4328.0
372,11356.0,8546.0,1510.0,4129.0
373,11264.0,8548.0,1513.0,3935.0
374,11398.0,8545.0,1518.0,3710.0
375,11551.0,8545.0,1523.0,3455.0
376,11694.0,8546.0,1554.0,3308.0
377,11688.0,8544.0,1577.0,3228.0
378,11672.0,8544.0,1570.0,3051.0
379,11701.0,8547.0,1583.0,2901.0
380,11206.0,8547.0,1550.0,2794.0
381,10365.0,8550.0,1525.0,2632.0
382,9141.0,8551.0,1513.0,2436.0
383,8060.0,8550.0,1514.0,2370.0
384,6498.0,8552.0,1465.0,2510.0
385,6250.0,8551.0,1464.0,2338.0
386,6228.0,8550.0,1435.0,2305.0
387,6201.0,8551.0,1423.0,2301.0
388,6620.0,8550.0,1435.0,2170.0
389,7720.0,8550.0,1468.0,2128.0
390,10014.0,8546.0,1511.0,2096.0
391,11813.0,8541.0,1585.0,1829.0
392,12405.0,8541.0,1618.0,1799.0
393,12427.0,8545.0,1672.0,1701.0
394,12360.0,8546.0,1660.0,1575.0
395,12236.0,8548.0,1658.0,1406.0
396,11896.0,8548.0,1672.0,1323.0
397,11504.0,8547.0,1676.0,1263.0
398,11632.0,8547.0,1644.0,1197.0
399,11806.0,8544.0,1654.0,1199.0
400,12030.0,8540.0,1606.0,1169.0
401,12414.0,8540.0,1612.0,1228.0
402,12196.0,8541.0,1608.0,1209.0
403,11843.0,8543.0,1626.0,1151.0
404,11223.0,8547.0,1640.0,1132.0
405,10322.0,8549.0,1630.0,1041.0
406,9415.0,8544.0,1619.0,1025.0
407,8118.0,8543.0,1573.0,936.0
408,6928.0,8543.0,1555.0,876.0
409,6518.0,8543.0,1511.0,886.0
410,6472.0,8543.0,1503.0,875.0
411,6490.0,8548.0,1507.0,862.0
412,6880.0,8549.0,1512.0,811.0
413,7612.0,8549.0,1537.0,759.0
414,9684.0,8550.0,1554.0,748.0
415,11942.0,8548.0,1599.0,752.0
416,12238.0,8545.0,1606.0,665.0
417,12058.0,8548.0,1676.0,634.0
418,11894.0,8551.0,1664.0,608.0
419,12052.0,8546.0,1633.0,575.0
420,11848.0,8541.0,1582.0,608.0
421,11559.0,8540.0,1532.0,591.0
422,11646.0,8541.0,1529.0,622.0
423,11635.0,8541.0,1558.0,670.0
424,12232.0,8537.0,1597.0,697.0
425,12246.0,8537.0,1610.0,692.0
426,12263.0,8538.0,1630.0,686.0
427,12122.0,8540.0,1657.0,663.0
428,11791.0,8542.0,1636.0,590.0
429,10602.0,8544.0,1638.0,559.0
430,9532.0,8546.0,1671.0,523.0
431,8211.0,8546.0,1570.0,493.0
432,7090.0,8544.0,1569.0,371.0
433,6904.0,8544.0,1562.0,341.0
434,6762.0,8548.0,1568.0,318.0
435,6762.0,8547.0,1578.0,299.0
436,7306.0,8517.0,1605.0,292.0
437,8051.0,8510.0,1609.0,285.0
438,11408.0,8510.0,1648.0,271.0
439,12487.0,8509.0,1684.0,270.0
440,12652.0,8508.0,1695.0,264.0
441,12649.0,8510.0,1736.0,264.0
442,12539.0,8503.0,1753.0,260.0
443,12426.0,8484.0,1761.0,247.0
444,12316.0,8374.0,1734.0,247.0
445,12169.0,8259.0,1681.0,280.0
446,12139.0,8213.0,1667.0,359.0
447,12010.0,7962.0,1662.0,466.0
448,12085.0,7928.0,1673.0,576.0
449,12269.0,7901.0,1697.0,657.0
450,12191.0,7811.0,1712.0,705.0
451,12169.0,7653.0,1753.0,783.0
452,11185.0,7543.0,1753.0,810.0
453,10256.0,7537.0,1667.0,806.0
454,9242.0,7536.0,1638.0,814.0
455,7820.0,7537.0,1617.0,801.0
456,7143.0,7540.0,1613.0,899.0
457,6803.0,7541.0,1598.0,924.0
458,6758.0,7540.0,1565.0,919.0
459,6720.0,7539.0,1523.0,937.0
460,6712.0,7541.0,1441.0,956.0
461,6797.0,7540.0,1420.0,966.0
462,7093.0,7540.0,1419.0,999.0
463,7807.0,7537.0,1421.0,993.0
464,9169.0,7534.0,1425.0,967.0
465,10994.0,7532.0,1401.0,939.0
466,11608.0,7532.0,1503.0,895.0
467,11654.0,7532.0,1500.0,804.0
468,11656.0,7532.0,1547.0,751.0
469,11655.0,7531.0,1519.0,741.0
470,11635.0,7533.0,1548.0,743.0
471,11850.0,7534.0,1549.0,771.0
472,12266.0,7533.0,1578.0,827.0
473,12338.0,7534.0,1572.0,855.0
474,12277.0,7535.0,1569.0,856.0
475,11994.0,7535.0,1560.0,845.0
476,11340.0,7537.0,1554.0,844.0
477,10809.0,7535.0,1545.0,802.0
478,9995.0,7536.0,1511.0,716.0
479,8978.0,7537.0,1451.0,686.0
480,7388.0,7539.0,1414.0,594.0
481,6833.0,7540.0,1423.0,572.0
482,6532.0,7541.0,1416.0,566.0
483,6400.0,7541.0,1398.0,556.0
484,6357.0,7541.0,1353.0,538.0
485,6402.0,7541.0,1373.0,511.0
486,6558.0,7540.0,1381.0,474.0
487,7492.0,7539.0,1359.0,460.0
488,9387.0,7538.0,1363.0,442.0
489,11240.0,7538.0,1314.0,405.0
490,11970.0,7539.0,1316.0,354.0
491,12177.0,7537.0,1437.0,295.0
492,12166.0,7538.0,1469.0,268.0
493,12037.0,7540.0,1472.0,268.0
494,11865.0,7539.0,1452.0,286.0
495,12037.0,7538.0,1423.0,323.0
496,12226.0,7538.0,1416.0,363.0
497,12518.0,7537.0,1422.0,391.0
498,12540.0,7538.0,1415.0,413.0
499,12401.0,7538.0,1448.0,436.0
500,11733.0,7539.0,1457.0,450.0
501,10286.0,7539.0,1445.0,470.0
502,9522.0,7539.0,1428.0,486.0
503,7827.0,7541.0,1413.0,494.0
504,7216.0,7542.0,1377.0,461.0
505,7038.0,7543.0,1368.0,466.0
506,7013.0,7544.0,1328.0,463.0
507,7007.0,7543.0,1331.0,471.0
508,7550.0,7542.0,1338.0,481.0
509,7842.0,7541.0,1491.0,486.0
510,9735.0,7539.0,1471.0,489.0
511,12117.0,7538.0,1488.0,493.0
512,12453.0,7540.0,1549.0,521.0
513,12482.0,7541.0,1531.0,494.0
514,12514.0,7542.0,1536.0,479.0
515,12540.0,7541.0,1571.0,514.0
516,12514.0,7541.0,1597.0,524.0
517,12461.0,7540.0,1632.0,536.0
518,12428.0,7539.0,1620.0,499.0
519,12308.0,7540.0,1658.0,538.0
520,12406.0,7536.0,1656.0,562.0
521,12480.0,7537.0,1675.0,570.0
522,12504.0,7537.0,1674.0,598.0
523,12427.0,7540.0,1666.0,594.0
524,12236.0,7541.0,1641.0,588.0
525,11954.0,7541.0,1615.0,592.0
526,10673.0,7540.0,1499.0,603.0
527,9444.0,7541.0,1515.0,614.0
528,8048.0,7541.0,1520.0,632.0
529,7615.0,7540.0,1476.0,672.0
530,7421.0,7539.0,1472.0,735.0
531,7482.0,7540.0,1498.0,810.0
532,8215.0,7539.0,1499.0,896.0
533,8974.0,7536.0,1575.0,1003.0
534,10960.0,7524.0,1642.0,1153.0
535,12440.0,7564.0,1713.0,1295.0
536,12573.0,7688.0,1773.0,1450.0
537,12456.0,7764.0,1760.0,1572.0
538,12359.0,7871.0,1726.0,1698.0
539,12213.0,7855.0,1738.0,1812.0
540,12110.0,7827.0,1724.0,1969.0
541,11889.0,7842.0,1704.0,2162.0
542,11859.0,7921.0,1724.0,2291.0
543,11777.0,7993.0,1713.0,2451.0
544,11792.0,8032.0,1711.0,2620.0
545,11506.0,8069.0,1662.0,2811.0
546,10998.0,8092.0,1682.0,2953.0
547,10243.0,8310.0,1715.0,3104.0
548,8984.0,8445.0,1660.0,3258.0
549,7925.0,8450.0,1616.0,3458.0
550,7075.0,8450.0,1484.0,3622.0
551,6490.0,8452.0,1471.0,3866.0
552,5696.0,8457.0,1385.0,4146.0
553,5417.0,8456.0,1354.0,4273.0
554,5315.0,8460.0,1330.0,4299.0
555,5318.0,8460.0,1316.0,4284.0
556,5781.0,8460.0,1307.0,4185.0
557,6309.0,8458.0,1337.0,3996.0
558,8047.0,8456.0,1353.0,3860.0
559,10432.0,8450.0,1358.0,3643.0
560,10846.0,8449.0,1357.0,3465.0
561,10569.0,8450.0,1317.0,3216.0
562,9849.0,8451.0,1318.0,3164.0
563,9588.0,8452.0,1322.0,3124.0
564,9126.0,8451.0,1353.0,3095.0
565,8748.0,8452.0,1338.0,3180.0
566,8809.0,8454.0,1378.0,3332.0
567,8817.0,8452.0,1404.0,3574.0
568,8978.0,8453.0,1413.0,3810.0
569,9066.0,8456.0,1392.0,4135.0
570,8909.0,8456.0,1390.0,4375.0
571,8192.0,8458.0,1369.0,4589.0
572,7721.0,8461.0,1329.0,4738.0
573,7091.0,8457.0,1339.0,4841.0
574,6015.0,8455.0,1271.0,4944.0
575,5373.0,8456.0,1279.0,4945.0
576,4735.0,8454.0,1322.0,5005.0
577,4454.0,8454.0,1316.0,4994.0
578,4518.0,8455.0,1315.0,4926.0
579,4554.0,8456.0,1313.0,4851.0
580,5016.0,8457.0,1324.0,4775.0
581,6038.0,8457.0,1313.0,4696.0
582,8070.0,8485.0,1346.0,4579.0
583,9492.0,8486.0,1394.0,4521.0
584,9893.0,8503.0,1372.0,4380.0
585,9884.0,8510.0,1385.0,4240.0
586,9736.0,8527.0,1508.0,4120.0
587,9628.0,8526.0,1453.0,4121.0
588,9559.0,8547.0,1341.0,4132.0
589,9545.0,8550.0,1353.0,4097.0
590,9577.0,8575.0,1428.0,4078.0
591,9644.0,8575.0,1362.0,4067.0
592,10371.0,8583.0,1351.0,4053.0
593,10904.0,8589.0,1358.0,3963.0
594,10885.0,8589.0,1365.0,3988.0
595,10571.0,8589.0,1358.0,3952.0
596,9893.0,8588.0,1354.0,3867.0
597,9129.0,8587.0,1361.0,3695.0
598,8401.0,8589.0,1318.0,3517.0
599,7965.0,8591.0,1304.0,3426.0
600,6872.0,8588.0,1324.0,3241.0
601,6707.0,8589.0,1320.0,2982.0
602,6629.0,8591.0,1305.0,2735.0
603,6671.0,8591.0,1307.0,2679.0
604,7324.0,8590.0,1280.0,2579.0
605,8325.0,8589.0,1314.0,2397.0
606,10013.0,8587.0,1343.0,2278.0
607,11294.0,8586.0,1355.0,2210.0
608,11653.0,8585.0,1360.0,2160.0
609,11681.0,8585.0,1349.0,2074.0
610,11589.0,8583.0,1353.0,1977.0
611,11757.0,8582.0,1348.0,1839.0
612,11639.0,8585.0,1337.0,1726.0
613,11541.0,8586.0,1356.0,1613.0
614,11552.0,8589.0,1366.0,1522.0
615,11537.0,8589.0,1331.0,1492.0
616,11532.0,8589.0,1354.0,1541.0
617,11830.0,8589.0,1351.0,1499.0
618,11706.0,8589.0,1388.0,1554.0
619,11527.0,8610.0,1392.0,1554.0
620,10794.0,8612.0,1394.0,1546.0
621,10545.0,8629.0,1383.0,1573.0
622,9725.0,8631.0,1336.0,1592.0
623,8622.0,8638.0,1319.0,1525.0
624,7079.0,8642.0,1308.0,1407.0
625,6702.0,8644.0,1303.0,1332.0
626,6624.0,8647.0,1304.0,1307.0
627,6659.0,8650.0,1315.0,1269.0
628,6663.0,8651.0,1334.0,1227.0
629,6955.0,8651.0,1366.0,1187.0
630,8863.0,8648.0,1387.0,1192.0
631,9601.0,8647.0,1409.0,1109.0
632,10387.0,8648.0,1409.0,1013.0
633,10988.0,8646.0,1426.0,934.0
634,11246.0,8646.0,1404.0,811.0
