,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
1682,84.0,138.0,0.0,88.0,15.0
1683,84.0,138.0,0.0,88.0,10.0
1684,84.0,157.0,10.0,88.0,9.0
1685,84.0,168.0,63.0,88.0,16.0
1686,84.0,216.0,436.0,88.0,15.0
1687,85.0,288.0,536.0,87.0,13.0
1688,84.0,317.0,626.0,87.0,14.0
1689,83.0,353.0,576.0,88.0,12.0
1690,82.0,402.0,461.0,88.0,10.0
1691,83.0,396.0,430.0,90.0,11.0
1692,80.0,396.0,443.0,88.0,15.0
1693,80.0,394.0,403.0,88.0,15.0
1694,82.0,362.0,421.0,90.0,17.0
1695,82.0,334.0,477.0,90.0,18.0
1696,83.0,318.0,466.0,90.0,16.0
1697,84.0,336.0,466.0,90.0,16.0
1698,84.0,355.0,533.0,90.0,17.0
1699,84.0,367.0,423.0,90.0,19.0
1700,85.0,353.0,337.0,92.0,15.0
1701,87.0,316.0,58.0,92.0,13.0
1702,87.0,315.0,4.0,92.0,12.0
1703,86.0,316.0,0.0,91.0,11.0
1704,85.0,315.0,0.0,91.0,12.0
1705,85.0,315.0,0.0,91.0,14.0
1706,85.0,315.0,0.0,91.0,15.0
1707,85.0,315.0,0.0,91.0,14.0
1708,84.0,315.0,0.0,91.0,13.0
1709,86.0,315.0,15.0,92.0,17.0
1710,86.0,315.0,158.0,92.0,19.0
1711,86.0,315.0,376.0,91.0,15.0
1712,85.0,315.0,595.0,91.0,12.0
1713,83.0,316.0,760.0,91.0,14.0
1714,83.0,315.0,610.0,91.0,12.0
1715,85.0,327.0,616.0,91.0,12.0
1716,85.0,375.0,614.0,91.0,13.0
1717,85.0,419.0,453.0,91.0,16.0
1718,83.0,419.0,480.0,89.0,17.0
1719,83.0,416.0,545.0,90.0,20.0
1720,83.0,402.0,565.0,89.0,32.0
1721,83.0,401.0,641.0,89.0,21.0
1722,83.0,390.0,790.0,89.0,13.0
1723,83.0,380.0,585.0,89.0,10.0
1724,93.0,315.0,294.0,100.0,11.0
1725,86.0,315.0,30.0,90.0,8.0
1726,86.0,316.0,1.0,90.0,9.0
1727,86.0,329.0,0.0,90.0,17.0
1728,84.0,405.0,0.0,90.0,18.0
1729,85.0,405.0,0.0,90.0,24.0
1730,86.0,405.0,0.0,92.0,22.0
1731,87.0,405.0,0.0,92.0,23.0
1732,87.0,410.0,0.0,91.0,22.0
1733,88.0,423.0,3.0,91.0,21.0
1734,88.0,427.0,90.0,91.0,19.0
1735,88.0,521.0,463.0,91.0,16.0
1736,90.0,525.0,515.0,91.0,19.0
1737,92.0,525.0,514.0,91.0,20.0
1738,92.0,525.0,426.0,90.0,27.0
1739,92.0,525.0,382.0,90.0,31.0
1740,92.0,526.0,438.0,91.0,34.0
1741,92.0,526.0,421.0,90.0,29.0
1742,93.0,527.0,421.0,93.0,29.0
1743,93.0,528.0,422.0,93.0,23.0
1744,93.0,528.0,411.0,94.0,19.0
1745,94.0,529.0,594.0,94.0,15.0
1746,95.0,528.0,687.0,94.0,14.0
1747,95.0,529.0,593.0,94.0,15.0
1748,92.0,528.0,372.0,94.0,16.0
1749,91.0,426.0,46.0,94.0,14.0
1750,90.0,408.0,0.0,93.0,15.0
1751,89.0,409.0,0.0,92.0,14.0
1752,88.0,504.0,0.0,92.0,13.0
1753,88.0,507.0,0.0,92.0,9.0
1754,88.0,507.0,0.0,92.0,8.0
1755,90.0,507.0,0.0,92.0,8.0
1756,90.0,508.0,0.0,93.0,7.0
1757,91.0,533.0,34.0,93.0,10.0
1758,92.0,534.0,439.0,92.0,12.0
1759,94.0,535.0,660.0,92.0,9.0
1760,94.0,535.0,860.0,92.0,10.0
1761,92.0,534.0,969.0,92.0,10.0
1762,91.0,533.0,963.0,92.0,11.0
1763,91.0,534.0,882.0,92.0,15.0
1764,92.0,534.0,792.0,94.0,9.0
1765,92.0,535.0,736.0,94.0,13.0
1766,93.0,535.0,645.0,96.0,15.0
1767,93.0,535.0,473.0,96.0,25.0
1768,93.0,535.0,461.0,96.0,26.0
1769,96.0,535.0,455.0,97.0,18.0
1770,97.0,535.0,451.0,97.0,10.0
1771,98.0,536.0,461.0,97.0,9.0
1772,98.0,536.0,420.0,97.0,10.0
1773,99.0,535.0,35.0,97.0,8.0
1774,99.0,504.0,0.0,97.0,9.0
1775,98.0,504.0,0.0,96.0,11.0
1776,96.0,524.0,0.0,96.0,13.0
1777,96.0,524.0,0.0,95.0,10.0
1778,97.0,524.0,0.0,95.0,11.0
1779,98.0,524.0,0.0,96.0,12.0
1780,98.0,524.0,147.0,96.0,14.0
1781,98.0,525.0,336.0,96.0,13.0
1782,98.0,525.0,587.0,96.0,10.0
1783,98.0,524.0,835.0,96.0,11.0
1784,97.0,524.0,853.0,96.0,21.0
1785,97.0,524.0,840.0,96.0,27.0
1786,96.0,524.0,1007.0,96.0,29.0
1787,95.0,524.0,832.0,96.0,32.0
1788,94.0,524.0,820.0,96.0,37.0
1789,94.0,523.0,774.0,96.0,43.0
1790,94.0,524.0,736.0,96.0,43.0
1791,94.0,523.0,746.0,96.0,40.0
1792,94.0,523.0,688.0,96.0,37.0
1793,98.0,524.0,673.0,99.0,31.0
1794,99.0,525.0,632.0,99.0,20.0
1795,100.0,525.0,609.0,100.0,19.0
1796,99.0,525.0,425.0,97.0,24.0
1797,99.0,526.0,200.0,97.0,29.0
1798,99.0,525.0,0.0,97.0,26.0
1799,99.0,526.0,0.0,97.0,26.0
1800,97.0,516.0,0.0,97.0,24.0
1801,96.0,510.0,0.0,96.0,17.0
1802,99.0,510.0,4.0,96.0,12.0
1803,99.0,510.0,49.0,97.0,11.0
1804,99.0,511.0,332.0,97.0,11.0
1805,99.0,511.0,661.0,97.0,15.0
1806,99.0,511.0,662.0,97.0,13.0
1807,99.0,510.0,663.0,96.0,8.0
1808,98.0,510.0,673.0,96.0,9.0
1809,97.0,510.0,669.0,96.0,15.0
1810,96.0,509.0,661.0,95.0,17.0
1811,95.0,455.0,703.0,95.0,15.0
1812,95.0,432.0,682.0,95.0,15.0
1813,95.0,441.0,590.0,95.0,14.0
1814,94.0,444.0,589.0,95.0,13.0
1815,95.0,460.0,564.0,95.0,11.0
1816,95.0,498.0,520.0,95.0,9.0
1817,95.0,509.0,501.0,95.0,5.0
1818,96.0,510.0,510.0,95.0,4.0
1819,96.0,509.0,518.0,95.0,3.0
1820,96.0,509.0,467.0,95.0,3.0
1821,96.0,509.0,217.0,95.0,4.0
1822,96.0,509.0,143.0,95.0,3.0
1823,97.0,510.0,10.0,95.0,1.0
1824,98.0,538.0,0.0,95.0,0.0
1825,98.0,540.0,0.0,95.0,0.0
1826,97.0,539.0,0.0,96.0,1.0
1827,96.0,540.0,0.0,95.0,4.0
1828,97.0,539.0,0.0,95.0,3.0
1829,98.0,518.0,298.0,95.0,3.0
1830,97.0,489.0,278.0,95.0,6.0
1831,96.0,458.0,418.0,94.0,11.0
1832,95.0,397.0,538.0,94.0,14.0
1833,94.0,350.0,312.0,94.0,15.0
1834,91.0,348.0,291.0,94.0,20.0
1835,90.0,347.0,253.0,94.0,19.0
1836,89.0,321.0,214.0,94.0,18.0
1837,89.0,318.0,199.0,94.0,19.0
1838,89.0,319.0,199.0,94.0,21.0
1839,89.0,319.0,199.0,94.0,19.0
1840,90.0,348.0,161.0,95.0,18.0
1841,91.0,409.0,413.0,95.0,16.0
1842,92.0,478.0,414.0,95.0,16.0
1843,95.0,521.0,401.0,96.0,20.0
1844,95.0,528.0,405.0,96.0,24.0
1845,95.0,528.0,96.0,96.0,25.0
1846,95.0,509.0,12.0,96.0,24.0
1847,95.0,363.0,121.0,96.0,22.0
1848,94.0,234.0,3.0,95.0,26.0
1849,94.0,233.0,0.0,96.0,23.0
1850,94.0,234.0,0.0,95.0,20.0
1851,94.0,251.0,1.0,95.0,24.0
1852,94.0,367.0,180.0,95.0,27.0
1853,94.0,532.0,617.0,95.0,33.0
1854,94.0,526.0,647.0,94.0,32.0
1855,95.0,505.0,740.0,94.0,38.0
1856,95.0,425.0,918.0,94.0,40.0
1857,92.0,374.0,780.0,93.0,47.0
1858,89.0,327.0,792.0,93.0,49.0
1859,87.0,305.0,799.0,93.0,49.0
1860,86.0,305.0,843.0,93.0,49.0
1861,86.0,299.0,754.0,93.0,50.0
1862,86.0,299.0,745.0,94.0,50.0
1863,87.0,304.0,739.0,95.0,49.0
1864,88.0,338.0,698.0,95.0,45.0
1865,89.0,397.0,721.0,95.0,44.0
1866,92.0,435.0,730.0,96.0,38.0
1867,92.0,465.0,664.0,96.0,36.0
1868,94.0,488.0,554.0,96.0,32.0
1869,94.0,488.0,187.0,96.0,27.0
1870,95.0,472.0,129.0,95.0,20.0
1871,95.0,463.0,126.0,95.0,12.0
1872,94.0,352.0,143.0,95.0,6.0
1873,92.0,350.0,143.0,95.0,6.0
1874,92.0,350.0,142.0,95.0,5.0
1875,92.0,350.0,141.0,95.0,2.0
1876,94.0,350.0,319.0,94.0,1.0
1877,94.0,350.0,553.0,94.0,4.0
1878,94.0,350.0,684.0,94.0,3.0
1879,93.0,357.0,696.0,94.0,3.0
1880,92.0,358.0,709.0,94.0,8.0
1881,91.0,358.0,635.0,94.0,13.0
1882,90.0,358.0,619.0,94.0,21.0
1883,89.0,359.0,615.0,94.0,27.0
1884,89.0,358.0,609.0,95.0,34.0
1885,89.0,357.0,602.0,95.0,35.0
1886,89.0,358.0,595.0,94.0,35.0
1887,90.0,357.0,597.0,95.0,34.0
1888,89.0,357.0,634.0,93.0,37.0
1889,91.0,359.0,626.0,94.0,30.0
1890,94.0,359.0,625.0,94.0,26.0
1891,95.0,353.0,757.0,94.0,21.0
1892,98.0,352.0,627.0,97.0,14.0
1893,97.0,351.0,229.0,97.0,15.0
1894,96.0,352.0,147.0,97.0,10.0
1895,95.0,351.0,142.0,95.0,7.0
1896,97.0,383.0,36.0,94.0,10.0
1897,95.0,385.0,35.0,94.0,8.0
1898,95.0,385.0,35.0,94.0,6.0
1899,94.0,386.0,35.0,94.0,5.0
1900,94.0,385.0,38.0,94.0,4.0
1901,94.0,385.0,286.0,94.0,3.0
1902,94.0,386.0,517.0,94.0,1.0
1903,94.0,393.0,610.0,94.0,0.0
1904,96.0,394.0,683.0,96.0,0.0
1905,93.0,394.0,607.0,94.0,0.0
1906,91.0,393.0,606.0,94.0,0.0
1907,91.0,393.0,591.0,94.0,2.0
1908,89.0,392.0,599.0,94.0,9.0
1909,89.0,392.0,607.0,94.0,18.0
1910,89.0,391.0,498.0,94.0,26.0
1911,89.0,391.0,509.0,95.0,24.0
1912,91.0,391.0,506.0,97.0,18.0
1913,90.0,391.0,503.0,97.0,24.0
1914,90.0,391.0,504.0,97.0,27.0
1915,91.0,392.0,495.0,95.0,30.0
1916,91.0,391.0,372.0,95.0,24.0
1917,91.0,385.0,126.0,95.0,21.0
1918,90.0,384.0,30.0,94.0,22.0
1919,90.0,374.0,33.0,94.0,17.0
1920,89.0,334.0,35.0,94.0,22.0
1921,91.0,334.0,35.0,93.0,18.0
1922,92.0,333.0,35.0,93.0,17.0
1923,92.0,332.0,35.0,93.0,13.0
1924,95.0,332.0,37.0,93.0,12.0
1925,95.0,332.0,187.0,93.0,10.0
1926,95.0,333.0,271.0,93.0,9.0
1927,94.0,341.0,517.0,94.0,12.0
1928,90.0,341.0,621.0,93.0,17.0
1929,87.0,341.0,623.0,93.0,21.0
1930,86.0,341.0,630.0,93.0,25.0
1931,86.0,341.0,622.0,93.0,29.0
1932,85.0,341.0,630.0,93.0,31.0
1933,85.0,341.0,713.0,93.0,33.0
1934,85.0,340.0,713.0,93.0,31.0
1935,87.0,340.0,714.0,93.0,25.0
1936,88.0,341.0,707.0,93.0,20.0
1937,91.0,341.0,778.0,93.0,19.0
1938,97.0,341.0,900.0,95.0,21.0
1939,95.0,334.0,717.0,94.0,16.0
1940,92.0,332.0,532.0,94.0,15.0
1941,92.0,332.0,440.0,94.0,12.0
1942,92.0,332.0,377.0,94.0,10.0
1943,91.0,332.0,153.0,94.0,9.0
1944,89.0,371.0,143.0,93.0,6.0
1945,88.0,371.0,142.0,93.0,2.0
1946,88.0,372.0,141.0,93.0,3.0
1947,88.0,372.0,140.0,93.0,2.0
1948,88.0,371.0,229.0,93.0,2.0
1949,89.0,372.0,368.0,93.0,0.0
1950,91.0,373.0,597.0,93.0,0.0
1951,94.0,416.0,723.0,93.0,0.0
1952,94.0,444.0,697.0,93.0,1.0
1953,95.0,444.0,710.0,93.0,0.0
1954,96.0,444.0,696.0,93.0,0.0
1955,93.0,443.0,621.0,93.0,1.0
1956,88.0,409.0,620.0,93.0,1.0
1957,86.0,408.0,572.0,93.0,2.0
1958,85.0,409.0,562.0,93.0,2.0
1959,85.0,409.0,559.0,94.0,2.0
1960,87.0,409.0,556.0,94.0,1.0
1961,88.0,409.0,542.0,94.0,0.0
1962,90.0,409.0,543.0,94.0,0.0
1963,91.0,408.0,431.0,94.0,1.0
1964,91.0,406.0,316.0,94.0,2.0
1965,93.0,372.0,367.0,94.0,2.0
1966,93.0,370.0,239.0,94.0,3.0
1967,95.0,369.0,0.0,95.0,3.0
1968,95.0,321.0,0.0,94.0,5.0
1969,95.0,321.0,0.0,94.0,7.0
1970,95.0,321.0,0.0,94.0,8.0
1971,95.0,322.0,0.0,94.0,8.0
1972,97.0,323.0,0.0,94.0,7.0
1973,97.0,324.0,6.0,94.0,6.0
1974,96.0,325.0,51.0,94.0,6.0
1975,94.0,323.0,85.0,93.0,2.0
1976,91.0,324.0,298.0,93.0,1.0
1977,88.0,322.0,318.0,93.0,1.0
1978,85.0,319.0,318.0,92.0,7.0
1979,84.0,292.0,351.0,92.0,17.0
1980,83.0,292.0,401.0,92.0,28.0
1981,83.0,292.0,402.0,92.0,35.0
1982,83.0,293.0,402.0,92.0,32.0
1983,85.0,291.0,402.0,94.0,27.0
1984,87.0,292.0,402.0,96.0,21.0
1985,85.0,316.0,472.0,93.0,17.0
1986,86.0,405.0,386.0,93.0,18.0
1987,87.0,456.0,321.0,93.0,20.0
1988,88.0,463.0,301.0,94.0,19.0
1989,90.0,467.0,158.0,94.0,23.0
1990,91.0,475.0,3.0,94.0,20.0
1991,90.0,329.0,0.0,94.0,19.0
1992,89.0,293.0,0.0,94.0,18.0
1993,90.0,292.0,0.0,94.0,21.0
1994,90.0,293.0,0.0,93.0,25.0
1995,90.0,292.0,0.0,93.0,24.0
1996,90.0,292.0,4.0,93.0,25.0
1997,88.0,293.0,90.0,93.0,26.0
1998,88.0,302.0,121.0,93.0,24.0
1999,87.0,325.0,94.0,92.0,25.0
2000,85.0,305.0,184.0,92.0,30.0
2001,85.0,302.0,203.0,92.0,33.0
2002,84.0,302.0,206.0,92.0,33.0
2003,82.0,303.0,288.0,92.0,33.0
2004,82.0,301.0,296.0,92.0,35.0
2005,83.0,292.0,296.0,92.0,28.0
2006,86.0,291.0,367.0,92.0,27.0
2007,86.0,292.0,451.0,93.0,21.0
2008,86.0,291.0,493.0,93.0,19.0
2009,86.0,314.0,496.0,93.0,19.0
2010,89.0,385.0,491.0,93.0,19.0
2011,89.0,411.0,491.0,93.0,17.0
2012,89.0,411.0,491.0,93.0,16.0
2013,88.0,409.0,490.0,94.0,15.0
2014,86.0,297.0,213.0,93.0,11.0
2015,86.0,292.0,2.0,94.0,10.0
2016,86.0,292.0,0.0,94.0,8.0
2017,86.0,292.0,0.0,94.0,6.0
2018,86.0,292.0,0.0,94.0,6.0
2019,86.0,292.0,0.0,94.0,5.0
2020,89.0,292.0,15.0,93.0,5.0
2021,90.0,369.0,158.0,93.0,2.0
2022,90.0,391.0,538.0,93.0,2.0
2023,92.0,365.0,772.0,93.0,1.0
2024,90.0,337.0,829.0,93.0,4.0
2025,89.0,329.0,843.0,93.0,5.0
2026,89.0,335.0,855.0,93.0,6.0
2027,88.0,366.0,720.0,93.0,8.0
2028,87.0,424.0,551.0,93.0,11.0
2029,85.0,431.0,415.0,93.0,9.0
2030,85.0,504.0,352.0,93.0,11.0
2031,87.0,524.0,306.0,93.0,10.0
2032,88.0,522.0,338.0,94.0,9.0
2033,89.0,541.0,518.0,94.0,11.0
2034,89.0,534.0,521.0,94.0,9.0
2035,89.0,534.0,224.0,94.0,8.0
2036,92.0,533.0,0.0,94.0,12.0
2037,92.0,533.0,0.0,94.0,13.0
2038,93.0,442.0,0.0,94.0,11.0
2039,92.0,399.0,0.0,94.0,11.0
2040,94.0,399.0,0.0,94.0,14.0
2041,94.0,399.0,0.0,94.0,15.0
2042,94.0,400.0,0.0,94.0,12.0
2043,95.0,402.0,0.0,93.0,11.0
2044,95.0,486.0,15.0,93.0,7.0
2045,96.0,489.0,205.0,93.0,5.0
2046,94.0,497.0,654.0,93.0,3.0
2047,97.0,491.0,839.0,95.0,0.0
2048,91.0,414.0,909.0,93.0,1.0
2049,89.0,391.0,790.0,93.0,2.0
2050,88.0,389.0,768.0,93.0,4.0
2051,87.0,434.0,630.0,93.0,7.0
2052,88.0,430.0,630.0,95.0,11.0
2053,90.0,431.0,627.0,97.0,12.0
2054,87.0,429.0,624.0,94.0,14.0
2055,87.0,432.0,571.0,94.0,14.0
2056,89.0,440.0,562.0,95.0,13.0
2057,91.0,473.0,572.0,95.0,10.0
2058,93.0,499.0,506.0,97.0,6.0
2059,95.0,520.0,306.0,98.0,3.0
2060,96.0,454.0,63.0,99.0,5.0
2061,95.0,429.0,3.0,98.0,6.0
2062,92.0,419.0,0.0,94.0,2.0
2063,93.0,493.0,39.0,94.0,1.0
2064,94.0,504.0,17.0,93.0,0.0
2065,94.0,510.0,18.0,93.0,0.0
2066,96.0,511.0,18.0,93.0,0.0
2067,96.0,498.0,26.0,93.0,0.0
2068,96.0,494.0,85.0,93.0,0.0
2069,96.0,528.0,394.0,93.0,0.0
2070,96.0,527.0,517.0,93.0,0.0
2071,95.0,468.0,795.0,93.0,0.0
2072,93.0,433.0,873.0,93.0,0.0
2073,91.0,407.0,798.0,93.0,0.0
2074,89.0,408.0,750.0,93.0,0.0
2075,87.0,404.0,686.0,93.0,0.0
2076,86.0,392.0,680.0,93.0,1.0
2077,86.0,392.0,590.0,93.0,1.0
2078,86.0,418.0,534.0,94.0,2.0
2079,86.0,431.0,519.0,94.0,3.0
2080,87.0,432.0,501.0,94.0,2.0
2081,88.0,450.0,442.0,94.0,2.0
2082,89.0,491.0,500.0,94.0,3.0
2083,90.0,499.0,437.0,94.0,4.0
2084,94.0,498.0,27.0,94.0,5.0
2085,94.0,499.0,35.0,93.0,7.0
2086,94.0,499.0,35.0,93.0,6.0
2087,94.0,499.0,35.0,93.0,7.0
2088,94.0,524.0,16.0,93.0,8.0
2089,95.0,516.0,7.0,93.0,11.0
2090,95.0,498.0,34.0,93.0,13.0
2091,95.0,514.0,34.0,92.0,20.0
2092,95.0,510.0,89.0,92.0,23.0
2093,94.0,504.0,411.0,92.0,24.0
2094,92.0,488.0,515.0,92.0,19.0
2095,90.0,428.0,665.0,92.0,11.0
2096,88.0,370.0,699.0,92.0,13.0
2097,87.0,337.0,763.0,92.0,26.0
2098,86.0,331.0,787.0,93.0,27.0
2099,85.0,330.0,548.0,93.0,27.0
2100,85.0,330.0,513.0,93.0,30.0
2101,85.0,330.0,429.0,94.0,29.0
2102,86.0,330.0,506.0,94.0,30.0
2103,86.0,329.0,512.0,94.0,30.0
2104,88.0,330.0,563.0,94.0,31.0
2105,90.0,331.0,688.0,94.0,24.0
2106,90.0,355.0,683.0,94.0,16.0
2107,92.0,390.0,545.0,94.0,21.0
2108,94.0,400.0,352.0,94.0,27.0
2109,94.0,411.0,230.0,94.0,27.0
2110,94.0,417.0,223.0,94.0,18.0
2111,93.0,420.0,45.0,93.0,17.0
2112,93.0,427.0,27.0,93.0,14.0
2113,93.0,431.0,27.0,93.0,17.0
2114,91.0,439.0,27.0,93.0,13.0
2115,90.0,468.0,18.0,93.0,13.0
2116,90.0,462.0,14.0,93.0,12.0
2117,88.0,460.0,204.0,93.0,12.0
2118,87.0,445.0,444.0,92.0,12.0
2119,86.0,428.0,830.0,92.0,8.0
2120,88.0,428.0,842.0,92.0,7.0
2121,87.0,420.0,748.0,92.0,6.0
2122,88.0,408.0,768.0,93.0,5.0
2123,88.0,409.0,771.0,93.0,5.0
2124,88.0,435.0,771.0,94.0,4.0
2125,90.0,450.0,673.0,94.0,3.0
2126,90.0,481.0,610.0,94.0,4.0
2127,93.0,505.0,496.0,94.0,2.0
2128,93.0,509.0,474.0,94.0,3.0
2129,93.0,511.0,412.0,94.0,3.0
2130,92.0,504.0,363.0,94.0,3.0
2131,94.0,478.0,228.0,94.0,3.0
2132,94.0,461.0,84.0,94.0,1.0
2133,93.0,458.0,13.0,94.0,2.0
2134,93.0,451.0,0.0,94.0,1.0
2135,90.0,359.0,0.0,94.0,0.0
2136,90.0,359.0,0.0,94.0,0.0
2137,90.0,358.0,0.0,93.0,0.0
2138,90.0,358.0,5.0,93.0,0.0
2139,90.0,361.0,140.0,93.0,0.0
2140,90.0,362.0,148.0,93.0,0.0
2141,90.0,366.0,369.0,92.0,0.0
2142,89.0,367.0,446.0,92.0,0.0
2143,87.0,368.0,565.0,92.0,0.0
2144,86.0,368.0,603.0,92.0,0.0
2145,86.0,368.0,609.0,93.0,0.0
2146,86.0,369.0,551.0,93.0,0.0
2147,86.0,369.0,317.0,94.0,0.0
2148,86.0,369.0,304.0,94.0,0.0
2149,88.0,369.0,229.0,94.0,0.0
2150,90.0,366.0,214.0,94.0,1.0
2151,91.0,363.0,222.0,94.0,3.0
2152,92.0,363.0,229.0,94.0,3.0
2153,93.0,254.0,257.0,94.0,3.0
2154,92.0,178.0,420.0,94.0,9.0
2155,90.0,178.0,403.0,94.0,13.0
2156,91.0,176.0,178.0,94.0,17.0
2157,91.0,174.0,173.0,94.0,9.0
2158,90.0,174.0,190.0,94.0,7.0
2159,90.0,174.0,173.0,93.0,10.0
2160,90.0,174.0,173.0,94.0,16.0
2161,90.0,174.0,173.0,94.0,16.0
2162,90.0,174.0,173.0,93.0,16.0
2163,90.0,174.0,219.0,93.0,19.0
2164,89.0,175.0,248.0,93.0,21.0
2165,89.0,176.0,457.0,93.0,21.0
2166,88.0,177.0,592.0,93.0,26.0
2167,87.0,178.0,446.0,93.0,33.0
2168,91.0,178.0,431.0,93.0,36.0
2169,91.0,178.0,431.0,94.0,38.0
2170,92.0,178.0,393.0,94.0,38.0
2171,92.0,177.0,384.0,94.0,43.0
2172,91.0,177.0,392.0,94.0,47.0
2173,91.0,177.0,393.0,94.0,46.0
2174,91.0,177.0,416.0,94.0,45.0
2175,92.0,177.0,412.0,94.0,42.0
2176,92.0,177.0,420.0,95.0,35.0
2177,92.0,177.0,497.0,94.0,33.0
2178,92.0,176.0,555.0,94.0,31.0
2179,92.0,177.0,403.0,94.0,29.0
2180,90.0,174.0,177.0,94.0,29.0
2181,89.0,173.0,139.0,94.0,27.0
2182,87.0,173.0,93.0,94.0,22.0
2183,84.0,172.0,6.0,94.0,19.0
2184,84.0,172.0,0.0,94.0,15.0
2185,84.0,172.0,0.0,94.0,12.0
2186,85.0,172.0,0.0,94.0,9.0
2187,87.0,172.0,0.0,94.0,12.0
2188,89.0,172.0,12.0,94.0,15.0
2189,89.0,200.0,221.0,93.0,15.0
2190,89.0,207.0,387.0,93.0,15.0
2191,91.0,207.0,516.0,93.0,16.0
2192,91.0,207.0,531.0,93.0,23.0
2193,92.0,207.0,532.0,93.0,38.0
2194,93.0,223.0,540.0,94.0,40.0
2195,92.0,330.0,445.0,94.0,39.0
2196,92.0,365.0,388.0,94.0,34.0
2197,91.0,365.0,386.0,94.0,39.0
2198,91.0,366.0,397.0,94.0,40.0
2199,91.0,366.0,530.0,94.0,43.0
2200,92.0,366.0,620.0,94.0,41.0
2201,92.0,366.0,619.0,94.0,32.0
2202,92.0,366.0,623.0,94.0,21.0
2203,92.0,361.0,607.0,94.0,18.0
2204,93.0,359.0,384.0,94.0,21.0
2205,93.0,358.0,229.0,94.0,18.0
2206,92.0,359.0,226.0,94.0,17.0
2207,91.0,359.0,1.0,94.0,17.0
2208,92.0,358.0,0.0,94.0,14.0
2209,91.0,358.0,0.0,94.0,9.0
2210,91.0,359.0,0.0,94.0,7.0
2211,92.0,360.0,0.0,93.0,6.0
2212,93.0,372.0,17.0,93.0,3.0
2213,93.0,379.0,363.0,93.0,2.0
2214,91.0,375.0,567.0,93.0,1.0
2215,91.0,373.0,732.0,93.0,3.0
2216,88.0,373.0,867.0,93.0,4.0
2217,86.0,371.0,1047.0,94.0,4.0
2218,85.0,371.0,1004.0,94.0,2.0
2219,84.0,370.0,984.0,94.0,1.0
2220,84.0,370.0,901.0,95.0,4.0
2221,82.0,373.0,612.0,93.0,2.0
2222,82.0,373.0,626.0,93.0,0.0
2223,82.0,374.0,709.0,93.0,0.0
2224,83.0,373.0,722.0,93.0,2.0
2225,83.0,371.0,615.0,93.0,3.0
2226,86.0,368.0,701.0,93.0,4.0
2227,86.0,371.0,593.0,93.0,5.0
2228,88.0,454.0,244.0,93.0,7.0
2229,91.0,455.0,190.0,93.0,6.0
2230,91.0,425.0,20.0,93.0,4.0
2231,89.0,408.0,102.0,93.0,3.0
2232,87.0,360.0,194.0,92.0,2.0
2233,87.0,359.0,157.0,92.0,2.0
2234,87.0,360.0,157.0,92.0,2.0
2235,87.0,361.0,157.0,92.0,3.0
2236,87.0,362.0,164.0,92.0,3.0
2237,88.0,363.0,667.0,92.0,4.0
2238,86.0,371.0,846.0,92.0,3.0
2239,84.0,374.0,942.0,92.0,3.0
2240,85.0,375.0,934.0,92.0,3.0
2241,86.0,374.0,866.0,92.0,5.0
2242,86.0,374.0,893.0,92.0,7.0
2243,86.0,371.0,813.0,92.0,11.0
2244,85.0,358.0,770.0,93.0,20.0
2245,84.0,351.0,766.0,95.0,24.0
2246,84.0,350.0,671.0,95.0,25.0
2247,82.0,351.0,659.0,96.0,18.0
2248,82.0,350.0,659.0,96.0,23.0
2249,82.0,350.0,662.0,96.0,18.0
2250,82.0,353.0,741.0,96.0,15.0
2251,83.0,350.0,690.0,96.0,11.0
2252,82.0,278.0,517.0,96.0,10.0
2253,84.0,162.0,446.0,98.0,4.0
2254,84.0,162.0,366.0,97.0,0.0
2255,83.0,161.0,262.0,97.0,0.0
2256,83.0,161.0,257.0,96.0,1.0
2257,83.0,162.0,257.0,96.0,1.0
2258,83.0,162.0,257.0,96.0,4.0
2259,83.0,164.0,257.0,96.0,9.0
2260,82.0,167.0,307.0,96.0,14.0
2261,82.0,169.0,597.0,96.0,15.0
2262,83.0,180.0,856.0,96.0,14.0
2263,80.0,180.0,886.0,92.0,10.0
2264,79.0,179.0,887.0,91.0,4.0
2265,78.0,177.0,987.0,90.0,2.0
2266,83.0,172.0,1009.0,96.0,11.0
2267,83.0,163.0,998.0,96.0,15.0
2268,83.0,159.0,931.0,96.0,3.0
2269,83.0,159.0,838.0,97.0,2.0
2270,84.0,158.0,815.0,97.0,7.0
2271,84.0,161.0,748.0,97.0,9.0
2272,84.0,177.0,719.0,97.0,14.0
2273,84.0,176.0,708.0,97.0,11.0
2274,84.0,173.0,703.0,98.0,12.0
2275,84.0,168.0,722.0,98.0,9.0
2276,84.0,168.0,570.0,98.0,7.0
2277,84.0,166.0,394.0,98.0,7.0
2278,84.0,166.0,388.0,98.0,11.0
2279,84.0,166.0,528.0,97.0,12.0
2280,84.0,166.0,526.0,97.0,21.0
2281,82.0,166.0,530.0,95.0,35.0
2282,83.0,166.0,530.0,96.0,44.0
2283,83.0,168.0,624.0,96.0,52.0
2284,83.0,169.0,679.0,96.0,52.0
