,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
137,77.0,1.0,1143.0,89.0,10.0
138,73.0,1.0,1081.0,84.0,9.0
139,77.0,1.0,999.0,89.0,10.0
140,77.0,1.0,993.0,89.0,13.0
141,74.0,1.0,994.0,85.0,14.0
142,74.0,1.0,819.0,85.0,16.0
143,74.0,1.0,822.0,86.0,16.0
144,75.0,1.0,820.0,87.0,21.0
145,75.0,1.0,820.0,86.0,24.0
146,75.0,1.0,818.0,86.0,23.0
147,75.0,1.0,817.0,86.0,15.0
148,75.0,1.0,822.0,86.0,20.0
149,74.0,1.0,906.0,86.0,24.0
150,74.0,1.0,917.0,86.0,18.0
151,74.0,1.0,918.0,85.0,14.0
152,75.0,1.0,917.0,86.0,16.0
153,75.0,1.0,1007.0,86.0,13.0
154,75.0,1.0,1006.0,86.0,12.0
155,75.0,1.0,1007.0,87.0,12.0
156,75.0,1.0,1007.0,87.0,18.0
157,75.0,1.0,1072.0,86.0,24.0
158,75.0,1.0,1075.0,87.0,22.0
159,75.0,1.0,1065.0,86.0,28.0
160,75.0,1.0,1077.0,86.0,34.0
161,75.0,1.0,1073.0,86.0,39.0
162,75.0,1.0,1057.0,86.0,47.0
163,75.0,1.0,1073.0,86.0,52.0
164,75.0,1.0,1074.0,86.0,49.0
165,75.0,2.0,1075.0,87.0,51.0
166,75.0,17.0,987.0,87.0,52.0
167,75.0,49.0,895.0,87.0,49.0
168,75.0,94.0,1027.0,87.0,44.0
169,76.0,135.0,985.0,88.0,41.0
170,76.0,141.0,981.0,88.0,38.0
171,76.0,141.0,980.0,88.0,37.0
172,76.0,141.0,978.0,88.0,35.0
173,76.0,141.0,1083.0,88.0,31.0
174,76.0,141.0,1134.0,88.0,29.0
175,75.0,146.0,1158.0,87.0,26.0
176,75.0,148.0,1157.0,87.0,28.0
177,75.0,148.0,1157.0,87.0,29.0
178,75.0,148.0,1156.0,87.0,23.0
179,75.0,148.0,1155.0,87.0,24.0
180,75.0,148.0,1156.0,87.0,17.0
181,76.0,142.0,1155.0,88.0,12.0
182,78.0,142.0,1156.0,90.0,9.0
183,76.0,142.0,1148.0,88.0,12.0
184,76.0,142.0,1148.0,88.0,6.0
185,76.0,143.0,1155.0,88.0,9.0
186,76.0,143.0,1165.0,88.0,18.0
