,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other renewable,Solar,Waste,Wind Onshore
61,70.0,32.0,1.0,1155.0,4.0,3.0,6.0,1.0,16.0,45.0
62,71.0,33.0,1.0,1157.0,4.0,3.0,6.0,1.0,16.0,52.0
63,71.0,30.0,1.0,1178.0,4.0,3.0,5.0,1.0,17.0,58.0
64,71.0,30.0,1.0,1230.0,4.0,3.0,5.0,1.0,17.0,59.0
65,74.0,33.0,1.0,1232.0,5.0,3.0,5.0,1.0,17.0,57.0
66,74.0,33.0,1.0,1230.0,5.0,3.0,5.0,1.0,16.0,49.0
67,76.0,42.0,1.0,1238.0,5.0,3.0,5.0,1.0,16.0,49.0
68,76.0,49.0,1.0,1231.0,5.0,3.0,5.0,1.0,15.0,44.0
69,76.0,54.0,1.0,1205.0,5.0,3.0,5.0,1.0,15.0,42.0
70,76.0,58.0,1.0,1181.0,5.0,3.0,5.0,1.0,14.0,45.0
71,73.0,58.0,1.0,1008.0,5.0,3.0,5.0,1.0,13.0,48.0
72,71.0,60.0,1.0,981.0,5.0,3.0,5.0,1.0,15.0,49.0
73,72.0,60.0,1.0,1031.0,5.0,3.0,5.0,1.0,16.0,54.0
74,72.0,60.0,1.0,972.0,5.0,3.0,5.0,1.0,16.0,59.0
75,70.0,60.0,1.0,963.0,4.0,3.0,5.0,1.0,16.0,63.0
76,71.0,62.0,1.0,967.0,4.0,3.0,5.0,1.0,16.0,65.0
77,71.0,63.0,1.0,971.0,4.0,3.0,5.0,1.0,16.0,68.0
78,71.0,62.0,1.0,1102.0,4.0,3.0,5.0,1.0,16.0,76.0
79,71.0,60.0,1.0,1155.0,4.0,3.0,5.0,1.0,16.0,84.0
80,71.0,62.0,1.0,1183.0,4.0,3.0,5.0,1.0,16.0,84.0
81,71.0,63.0,1.0,1175.0,4.0,3.0,5.0,1.0,16.0,81.0
82,71.0,62.0,1.0,1218.0,4.0,3.0,5.0,1.0,16.0,80.0
83,71.0,58.0,1.0,1237.0,4.0,3.0,5.0,1.0,17.0,81.0
84,70.0,54.0,1.0,1225.0,4.0,3.0,5.0,1.0,16.0,83.0
85,68.0,56.0,1.0,1235.0,4.0,3.0,5.0,1.0,16.0,81.0
86,68.0,58.0,1.0,1237.0,4.0,3.0,5.0,1.0,16.0,87.0
87,69.0,58.0,1.0,1239.0,4.0,3.0,5.0,1.0,16.0,100.0
88,70.0,59.0,1.0,1190.0,4.0,3.0,5.0,1.0,16.0,106.0
89,73.0,61.0,1.0,1183.0,5.0,3.0,5.0,1.0,16.0,112.0
90,74.0,64.0,1.0,1183.0,5.0,3.0,5.0,1.0,16.0,121.0
91,75.0,64.0,1.0,1199.0,5.0,3.0,5.0,1.0,15.0,132.0
92,76.0,63.0,1.0,1183.0,5.0,3.0,5.0,1.0,14.0,144.0
93,76.0,62.0,1.0,1106.0,5.0,3.0,5.0,1.0,12.0,149.0
94,76.0,57.0,1.0,1216.0,5.0,3.0,5.0,1.0,11.0,151.0
95,75.0,37.0,1.0,1121.0,5.0,3.0,5.0,1.0,12.0,154.0
96,71.0,38.0,1.0,915.0,5.0,3.0,5.0,1.0,14.0,150.0
97,70.0,37.0,1.0,905.0,5.0,3.0,5.0,1.0,15.0,154.0
98,70.0,34.0,1.0,898.0,5.0,3.0,5.0,1.0,15.0,163.0
99,67.0,36.0,1.0,869.0,4.0,3.0,5.0,1.0,14.0,176.0
100,67.0,36.0,1.0,849.0,4.0,3.0,5.0,1.0,15.0,175.0
101,70.0,38.0,1.0,985.0,4.0,3.0,5.0,1.0,15.0,155.0
102,71.0,37.0,1.0,1186.0,4.0,3.0,5.0,1.0,15.0,146.0
103,70.0,36.0,1.0,1223.0,4.0,3.0,5.0,1.0,16.0,134.0
104,69.0,35.0,1.0,1210.0,4.0,3.0,5.0,1.0,16.0,124.0
105,69.0,36.0,1.0,1188.0,4.0,3.0,5.0,1.0,16.0,113.0
106,70.0,38.0,1.0,1181.0,4.0,3.0,5.0,1.0,16.0,126.0
107,70.0,36.0,1.0,1162.0,4.0,3.0,5.0,1.0,16.0,142.0
108,70.0,36.0,1.0,1192.0,4.0,3.0,5.0,1.0,16.0,136.0
109,71.0,38.0,1.0,1239.0,4.0,3.0,5.0,1.0,15.0,120.0
110,70.0,33.0,1.0,1211.0,4.0,3.0,5.0,1.0,14.0,102.0
111,70.0,36.0,1.0,1231.0,4.0,3.0,5.0,1.0,14.0,96.0
112,71.0,36.0,1.0,1239.0,4.0,3.0,5.0,1.0,14.0,92.0
113,73.0,37.0,1.0,1233.0,5.0,3.0,5.0,1.0,14.0,93.0
114,74.0,37.0,1.0,1171.0,5.0,3.0,5.0,1.0,15.0,91.0
115,75.0,39.0,1.0,1080.0,5.0,3.0,5.0,1.0,14.0,88.0
116,75.0,38.0,1.0,1045.0,5.0,3.0,5.0,1.0,14.0,78.0
117,76.0,37.0,1.0,1084.0,5.0,3.0,5.0,1.0,12.0,75.0
118,75.0,35.0,1.0,1104.0,5.0,3.0,5.0,1.0,12.0,71.0
119,74.0,37.0,1.0,1091.0,5.0,3.0,5.0,1.0,15.0,59.0
120,73.0,36.0,1.0,905.0,5.0,3.0,5.0,1.0,16.0,51.0
121,73.0,36.0,1.0,891.0,5.0,3.0,5.0,1.0,17.0,46.0
122,73.0,36.0,1.0,893.0,5.0,3.0,5.0,1.0,17.0,42.0
123,70.0,34.0,1.0,887.0,4.0,3.0,5.0,1.0,16.0,52.0
124,70.0,36.0,1.0,840.0,4.0,3.0,5.0,1.0,16.0,66.0
125,70.0,38.0,1.0,796.0,4.0,3.0,5.0,1.0,15.0,64.0
126,70.0,38.0,1.0,797.0,4.0,3.0,5.0,1.0,14.0,79.0
127,69.0,38.0,1.0,751.0,4.0,3.0,6.0,1.0,15.0,100.0
128,69.0,39.0,1.0,730.0,4.0,3.0,6.0,1.0,16.0,105.0
129,70.0,40.0,1.0,774.0,4.0,3.0,6.0,1.0,16.0,119.0
130,72.0,39.0,1.0,852.0,4.0,3.0,6.0,1.0,16.0,125.0
131,73.0,38.0,1.0,892.0,4.0,3.0,6.0,1.0,16.0,125.0
132,73.0,37.0,1.0,903.0,4.0,3.0,6.0,1.0,16.0,127.0
133,73.0,37.0,1.0,900.0,4.0,3.0,6.0,1.0,16.0,132.0
134,73.0,38.0,1.0,865.0,4.0,3.0,6.0,1.0,15.0,139.0
135,73.0,38.0,1.0,835.0,4.0,3.0,6.0,1.0,16.0,132.0
136,73.0,38.0,1.0,901.0,4.0,3.0,6.0,1.0,16.0,132.0
137,75.0,40.0,1.0,891.0,5.0,3.0,6.0,1.0,16.0,140.0
138,76.0,38.0,1.0,883.0,5.0,3.0,6.0,1.0,16.0,139.0
139,77.0,37.0,1.0,900.0,5.0,3.0,6.0,1.0,16.0,141.0
140,77.0,38.0,1.0,895.0,5.0,3.0,6.0,1.0,16.0,145.0
141,77.0,38.0,1.0,875.0,5.0,3.0,6.0,1.0,16.0,145.0
142,77.0,40.0,1.0,875.0,5.0,3.0,6.0,1.0,16.0,132.0
143,77.0,39.0,1.0,882.0,5.0,3.0,6.0,1.0,16.0,163.0
144,75.0,37.0,1.0,885.0,5.0,3.0,6.0,1.0,16.0,176.0
145,75.0,39.0,1.0,812.0,5.0,3.0,6.0,1.0,16.0,193.0
146,75.0,38.0,1.0,782.0,5.0,3.0,6.0,1.0,16.0,196.0
147,72.0,35.0,1.0,794.0,4.0,3.0,6.0,1.0,16.0,185.0
148,73.0,33.0,1.0,797.0,4.0,3.0,6.0,1.0,17.0,179.0
149,73.0,35.0,1.0,794.0,4.0,3.0,6.0,1.0,16.0,183.0
150,72.0,34.0,1.0,794.0,4.0,3.0,6.0,1.0,16.0,193.0
151,73.0,34.0,1.0,828.0,4.0,3.0,6.0,1.0,17.0,207.0
152,72.0,34.0,1.0,810.0,4.0,3.0,6.0,1.0,17.0,211.0
153,72.0,34.0,1.0,800.0,4.0,3.0,6.0,1.0,17.0,210.0
154,72.0,34.0,1.0,801.0,4.0,3.0,6.0,1.0,17.0,223.0
155,72.0,35.0,1.0,819.0,4.0,3.0,6.0,1.0,17.0,207.0
156,72.0,36.0,1.0,820.0,4.0,3.0,6.0,1.0,17.0,212.0
157,72.0,36.0,1.0,793.0,4.0,3.0,6.0,1.0,16.0,210.0
158,72.0,33.0,1.0,795.0,4.0,3.0,6.0,1.0,15.0,210.0
159,72.0,32.0,1.0,807.0,4.0,3.0,6.0,1.0,15.0,202.0
160,73.0,34.0,1.0,831.0,4.0,3.0,6.0,1.0,15.0,217.0
161,75.0,35.0,1.0,862.0,5.0,3.0,6.0,1.0,15.0,235.0
162,75.0,35.0,1.0,877.0,5.0,3.0,6.0,1.0,13.0,238.0
163,77.0,33.0,1.0,843.0,5.0,3.0,6.0,1.0,15.0,249.0
164,77.0,33.0,1.0,848.0,5.0,3.0,6.0,1.0,15.0,249.0
165,77.0,33.0,1.0,881.0,5.0,3.0,6.0,1.0,15.0,243.0
166,77.0,34.0,1.0,878.0,5.0,3.0,6.0,1.0,15.0,237.0
167,76.0,33.0,1.0,890.0,5.0,3.0,6.0,1.0,16.0,233.0
168,75.0,35.0,1.0,827.0,5.0,3.0,6.0,1.0,17.0,227.0
169,75.0,36.0,1.0,842.0,5.0,3.0,6.0,1.0,16.0,221.0
170,75.0,37.0,1.0,882.0,5.0,3.0,6.0,1.0,16.0,225.0
171,72.0,38.0,1.0,931.0,4.0,3.0,6.0,1.0,16.0,230.0
172,72.0,38.0,1.0,1007.0,4.0,3.0,6.0,1.0,16.0,237.0
173,71.0,36.0,1.0,1162.0,4.0,3.0,6.0,1.0,15.0,237.0
174,71.0,35.0,1.0,1346.0,4.0,3.0,6.0,1.0,13.0,241.0
175,71.0,35.0,3.0,1433.0,4.0,3.0,6.0,1.0,15.0,242.0
176,71.0,34.0,3.0,1434.0,4.0,3.0,6.0,1.0,15.0,241.0
177,72.0,36.0,3.0,1434.0,4.0,3.0,6.0,1.0,15.0,237.0
178,72.0,35.0,3.0,1376.0,4.0,3.0,6.0,1.0,15.0,227.0
179,72.0,35.0,3.0,1362.0,4.0,3.0,6.0,1.0,15.0,203.0
180,71.0,37.0,3.0,1375.0,4.0,3.0,6.0,1.0,16.0,183.0
181,71.0,35.0,3.0,1416.0,4.0,3.0,6.0,1.0,15.0,172.0
182,71.0,32.0,3.0,1357.0,4.0,3.0,6.0,1.0,15.0,137.0
183,70.0,32.0,3.0,1422.0,4.0,3.0,6.0,1.0,17.0,97.0
184,70.0,34.0,3.0,1432.0,4.0,3.0,6.0,1.0,17.0,94.0
185,71.0,34.0,3.0,1440.0,5.0,3.0,6.0,1.0,18.0,84.0
186,72.0,34.0,1.0,1438.0,5.0,3.0,6.0,1.0,17.0,68.0
187,74.0,34.0,1.0,1437.0,5.0,3.0,6.0,1.0,17.0,67.0
188,74.0,33.0,1.0,1425.0,5.0,3.0,6.0,1.0,17.0,74.0
