,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
916,115.0,708.0,1352.0,0.8139463304244352,7.0,3.0,1924.0,99.0,14.0,16.0,26.0
917,115.0,713.0,1371.0,1.1954601279802233,7.0,3.0,1924.0,99.0,13.0,16.0,28.0
918,113.0,718.0,1325.0,1.1043183551067903,7.0,3.0,1924.0,99.0,13.0,17.0,34.0
919,111.0,715.0,1258.0,0.7736171861257379,7.0,3.0,1924.0,99.0,14.0,16.0,41.0
920,111.0,719.0,1179.0,0.12683583244887253,7.0,3.0,1924.0,96.0,14.0,17.0,38.0
921,111.0,725.0,1194.0,0.2008116532074749,7.0,3.0,1923.0,96.0,13.0,17.0,31.0
922,112.0,718.0,1208.0,0.21886509609560956,7.0,3.0,1923.0,96.0,13.0,18.0,45.0
923,113.0,708.0,1215.0,0.2310850284758067,7.0,3.0,1923.0,96.0,13.0,17.0,49.0
924,113.0,702.0,1262.0,0.47496650005360297,7.0,3.0,1923.0,94.0,13.0,16.0,43.0
925,112.0,700.0,1258.0,0.49447173724360927,7.0,3.0,1923.0,94.0,13.0,16.0,23.0
926,111.0,706.0,1276.0,0.4655456080703423,7.0,3.0,1923.0,94.0,14.0,16.0,11.0
927,112.0,709.0,1273.0,0.0,7.0,3.0,1922.0,94.0,14.0,17.0,8.0
928,112.0,699.0,1170.0,0.6322127069576616,7.0,3.0,1922.0,98.0,14.0,17.0,8.0
929,111.0,697.0,1175.0,0.0,7.0,3.0,1925.0,98.0,14.0,17.0,11.0
930,109.0,708.0,1262.0,0.3749530531758051,7.0,3.0,1925.0,98.0,14.0,18.0,12.0
931,108.0,709.0,1339.0,0.40034786953613855,7.0,3.0,1925.0,98.0,14.0,17.0,13.0
932,111.0,718.0,1314.0,0.38372240418753234,7.0,3.0,1924.0,98.0,14.0,17.0,14.0
933,111.0,719.0,1290.0,0.009288626737340565,7.0,3.0,1926.0,99.0,14.0,16.0,15.0
934,111.0,713.0,1229.0,0.007580561394534564,7.0,3.0,1925.0,99.0,14.0,15.0,12.0
935,113.0,715.0,1201.0,0.13717112822807442,7.0,3.0,1925.0,99.0,14.0,17.0,8.0
936,113.0,720.0,1257.0,0.0,7.0,3.0,1924.0,100.0,13.0,17.0,6.0
937,111.0,726.0,1274.0,0.0,7.0,3.0,1925.0,100.0,13.0,17.0,4.0
938,114.0,732.0,1243.0,1.1145819788966085,7.0,3.0,1924.0,100.0,13.0,18.0,4.0
939,113.0,722.0,1232.0,1.4321655594907523,7.0,3.0,1925.0,100.0,13.0,18.0,4.0
940,114.0,721.0,1301.0,2.311616902549196,6.0,3.0,1926.0,99.0,14.0,17.0,6.0
941,114.0,725.0,1276.0,0.0,6.0,3.0,1924.0,99.0,14.0,17.0,7.0
942,115.0,724.0,1243.0,0.003276646706348212,6.0,3.0,1924.0,99.0,14.0,16.0,4.0
943,115.0,719.0,1223.0,0.0,6.0,3.0,1923.0,99.0,14.0,16.0,2.0
944,115.0,716.0,1243.0,0.0,6.0,3.0,1926.0,99.0,14.0,16.0,0.0
945,116.0,714.0,1172.0,0.0,6.0,3.0,1924.0,99.0,14.0,16.0,83.42177901337759
946,117.0,712.0,1120.0,0.0,6.0,3.0,1924.0,99.0,14.0,16.0,79.90150787244548
947,116.0,707.0,1109.0,0.0,6.0,3.0,1923.0,99.0,14.0,16.0,76.91401101029072
948,112.0,714.0,1143.0,0.0,6.0,3.0,1924.0,99.0,14.0,17.0,84.67713709788293
949,114.0,716.0,1094.0,0.0,6.0,3.0,1923.0,99.0,14.0,17.0,81.36395681903291
950,115.0,690.0,1030.0,0.0,6.0,3.0,1923.0,99.0,14.0,17.0,98.65147380275872
951,116.0,670.0,959.0,0.0,6.0,3.0,1922.0,99.0,13.0,17.0,76.361572570471
952,116.0,693.0,1055.0,0.0,6.0,3.0,1923.0,89.0,12.0,17.0,70.74777834938642
953,117.0,711.0,1058.0,0.0,6.0,3.0,1921.0,89.0,12.0,17.0,86.03387097569508
954,118.0,693.0,1036.0,0.0,6.0,3.0,1922.0,89.0,12.0,17.0,90.03649676585894
955,119.0,685.0,1001.0,0.0,7.0,3.0,1922.0,89.0,12.0,17.0,0.0
956,120.0,705.0,1030.0,0.0,7.0,3.0,1924.0,89.0,12.0,17.0,1.0
957,119.0,711.0,955.0,0.0,7.0,3.0,1922.0,89.0,11.0,17.0,100.55390886662728
958,120.0,703.0,931.0,0.0,7.0,3.0,1924.0,89.0,11.0,17.0,80.49180947477257
959,120.0,672.0,916.0,0.0,7.0,3.0,1923.0,89.0,11.0,16.0,74.73368203538607
960,121.0,694.0,915.0,0.0,7.0,3.0,1926.0,85.0,11.0,14.0,77.10281359497998
961,120.0,711.0,833.0,0.0,7.0,3.0,1924.0,85.0,11.0,13.0,74.08061647389329
962,120.0,711.0,810.0,0.0,7.0,3.0,1923.0,85.0,11.0,14.0,85.0433394531938
963,119.0,716.0,791.0,0.0,7.0,3.0,1923.0,85.0,11.0,15.0,66.97270490365275
964,118.0,715.0,871.0,0.0,7.0,3.0,1925.0,85.0,11.0,15.0,80.8001924494805
965,117.0,715.0,837.0,0.0,7.0,3.0,1924.0,85.0,10.0,14.0,74.24843633501342
966,113.0,713.0,820.0,0.0,7.0,3.0,1923.0,85.0,8.0,14.0,87.00899042468572
967,104.0,700.0,788.0,0.0,7.0,3.0,1923.0,76.0,8.0,14.0,82.41450230492394
968,95.0,712.0,831.0,0.0,7.0,3.0,1924.0,76.0,7.0,13.0,77.11034281331077
969,81.0,695.0,820.0,0.0,6.0,3.0,1923.0,76.0,7.0,14.0,86.65560881117861
970,78.0,676.0,818.0,0.0,6.0,3.0,1923.0,76.0,7.0,15.0,98.08747080975954
971,76.0,673.0,817.0,0.0,6.0,3.0,1923.0,76.0,6.0,15.0,73.59030474698305
972,74.0,709.0,823.0,0.0,6.0,3.0,1924.0,76.0,6.0,15.0,59.593521209399555
973,73.0,714.0,806.0,0.0,6.0,3.0,1925.0,76.0,6.0,15.0,57.9366219762493
974,73.0,717.0,792.0,0.0,6.0,3.0,1925.0,76.0,6.0,14.0,55.62626324047808
975,72.0,695.0,823.0,0.0,6.0,3.0,1925.0,76.0,7.0,15.0,72.86219949609506
976,73.0,698.0,772.0,0.0,6.0,3.0,1925.0,76.0,7.0,15.0,68.86930084577847
977,74.0,706.0,793.0,0.0,6.0,3.0,1925.0,76.0,7.0,19.0,61.57549085142152
978,77.0,712.0,830.0,0.0,6.0,3.0,1925.0,76.0,7.0,16.0,0.0
979,83.0,712.0,902.0,0.0,6.0,3.0,1924.0,76.0,7.0,15.0,1.0
980,87.0,670.0,845.0,0.0,6.0,3.0,1922.0,86.0,8.0,15.0,1.0
981,94.0,660.0,877.0,0.0,6.0,3.0,1924.0,86.0,9.0,15.0,50.56116745946636
982,103.0,698.0,959.0,0.0,6.0,3.0,1924.0,86.0,10.0,16.0,1.0
983,110.0,718.0,1060.0,0.0,6.0,3.0,1923.0,86.0,10.0,14.0,1.0
984,113.0,668.0,880.0,0.0,6.0,3.0,1923.0,86.0,11.0,14.0,1.0
985,116.0,676.0,1005.0,0.0,6.0,3.0,1923.0,86.0,12.0,16.0,1.0
986,116.0,702.0,1135.0,0.0,6.0,3.0,1923.0,86.0,12.0,16.0,1.0
987,116.0,705.0,1268.0,0.0,6.0,3.0,1922.0,86.0,12.0,15.0,2.0
988,116.0,706.0,1148.0,0.0,6.0,3.0,1922.0,86.0,12.0,15.0,1.0
989,116.0,706.0,1150.0,0.0,6.0,3.0,1923.0,86.0,12.0,15.0,1.0
990,115.0,703.0,1159.0,0.0,6.0,3.0,1924.0,86.0,12.0,15.0,2.0
991,115.0,701.0,1153.0,0.0,6.0,3.0,1924.0,86.0,13.0,15.0,1.0
992,116.0,698.0,1183.0,0.21833486768642385,6.0,3.0,1922.0,86.0,13.0,16.0,64.53750711970545
993,116.0,683.0,1246.0,0.6666407112885632,6.0,3.0,1923.0,86.0,14.0,15.0,62.264473672574596
994,116.0,676.0,1304.0,0.0,6.0,3.0,1923.0,86.0,14.0,15.0,1.0
995,116.0,648.0,1333.0,0.0,7.0,3.0,1922.0,86.0,14.0,17.0,2.0
996,116.0,663.0,1278.0,0.5533676368087863,7.0,3.0,1923.0,86.0,13.0,16.0,4.0
997,116.0,665.0,1281.0,2.9377787196283682,7.0,3.0,1924.0,86.0,13.0,16.0,0.0
998,117.0,649.0,1288.0,3.467881937444754,7.0,3.0,1924.0,86.0,14.0,16.0,49.559429956394446
999,118.0,647.0,1279.0,2.472002911806375,7.0,3.0,1924.0,86.0,14.0,15.0,0.0
1000,117.0,665.0,1310.0,0.0,7.0,3.0,1925.0,85.0,14.0,14.0,42.62080978123194
1001,116.0,689.0,1295.0,1.3525378880483694,7.0,3.0,1926.0,85.0,14.0,15.0,52.71607275972524
1002,116.0,688.0,1247.0,1.6367796606021796,7.0,3.0,1926.0,85.0,14.0,16.0,0.0
1003,111.0,683.0,1299.0,1.6186171963421332,7.0,3.0,1925.0,85.0,14.0,16.0,0.0
1004,115.0,686.0,1251.0,0.44200953363449635,7.0,3.0,1925.0,85.0,14.0,15.0,1.0
1005,113.0,687.0,1282.0,2.273494416948395,7.0,3.0,1925.0,85.0,14.0,14.0,0.0
1006,114.0,681.0,1307.0,0.0,7.0,3.0,1925.0,85.0,14.0,16.0,1.0
1007,115.0,689.0,1326.0,1.9679581421988956,7.0,3.0,1925.0,85.0,14.0,16.0,1.0
1008,115.0,698.0,1267.0,1.5896426852793155,7.0,3.0,1925.0,85.0,14.0,17.0,2.0
1009,115.0,711.0,1249.0,1.7470760882791565,7.0,3.0,1924.0,85.0,14.0,17.0,3.0
1010,115.0,717.0,1252.0,0.7123263099117619,7.0,3.0,1925.0,85.0,14.0,15.0,4.0
1011,115.0,709.0,1266.0,0.644606347578463,7.0,3.0,1924.0,85.0,14.0,15.0,2.0
1012,115.0,713.0,1312.0,0.02935020785221465,7.0,3.0,1928.0,86.0,14.0,16.0,1.0
1013,116.0,711.0,1322.0,0.6849809377537853,7.0,3.0,1925.0,86.0,14.0,15.0,78.84731300495291
1014,116.0,711.0,1271.0,0.032449208765068294,7.0,3.0,1926.0,86.0,14.0,15.0,0.0
1015,116.0,709.0,1217.0,0.6970042952645843,7.0,2.0,1924.0,86.0,15.0,16.0,1.0
1016,118.0,696.0,1230.0,0.0,7.0,2.0,1925.0,86.0,14.0,16.0,1.0
1017,117.0,687.0,1245.0,0.26637246039487544,7.0,2.0,1925.0,86.0,14.0,17.0,3.0
1018,117.0,683.0,1270.0,0.31126087834213295,7.0,3.0,1925.0,86.0,15.0,17.0,3.0
1019,117.0,690.0,1279.0,0.26805103671509806,7.0,3.0,1924.0,86.0,15.0,17.0,3.0
1020,117.0,694.0,1226.0,0.5311366149870457,7.0,3.0,1924.0,87.0,15.0,16.0,3.0
1021,117.0,689.0,1231.0,0.47605979819139,7.0,3.0,1923.0,87.0,15.0,15.0,3.0
1022,118.0,691.0,1235.0,0.5337315241469365,7.0,3.0,1924.0,87.0,15.0,15.0,6.0
1023,117.0,692.0,1256.0,0.0,7.0,3.0,1924.0,87.0,15.0,14.0,9.0
1024,116.0,689.0,1144.0,0.4357120638645209,7.0,3.0,1922.0,85.0,15.0,15.0,11.0
1025,116.0,684.0,1175.0,0.3729219645778152,7.0,3.0,1923.0,85.0,15.0,16.0,11.0
1026,116.0,681.0,1254.0,0.3767705238013836,7.0,3.0,1923.0,85.0,15.0,16.0,13.0
1027,115.0,687.0,1298.0,0.36040078505429685,7.0,3.0,1923.0,85.0,15.0,14.0,19.0
1028,115.0,695.0,1244.0,0.37096330748425677,7.0,3.0,1922.0,85.0,15.0,14.0,22.0
1029,115.0,693.0,1230.0,0.35335441888785046,7.0,3.0,1925.0,86.0,15.0,15.0,24.0
1030,115.0,689.0,1200.0,0.007187261600236007,7.0,3.0,1924.0,86.0,15.0,16.0,24.0
1031,115.0,692.0,1160.0,0.13390977477196186,7.0,3.0,1924.0,86.0,15.0,16.0,23.0
1032,116.0,689.0,1230.0,0.8600263008065303,7.0,3.0,1923.0,89.0,14.0,15.0,22.0
1033,116.0,697.0,1233.0,1.132082282582635,7.0,3.0,1923.0,89.0,14.0,15.0,26.0
1034,115.0,693.0,1221.0,1.0987969045729589,7.0,3.0,1923.0,89.0,14.0,15.0,30.0
1035,114.0,698.0,1217.0,1.6955347207215163,7.0,3.0,1923.0,89.0,14.0,16.0,34.0
1036,113.0,690.0,1275.0,0.4467753620785372,7.0,3.0,1924.0,85.0,14.0,15.0,37.0
1037,115.0,703.0,1248.0,0.0,7.0,3.0,1923.0,85.0,14.0,16.0,41.0
1038,118.0,708.0,1214.0,0.0,7.0,3.0,1922.0,85.0,14.0,17.0,46.0
1039,118.0,707.0,1148.0,0.0,7.0,3.0,1923.0,85.0,14.0,16.0,48.0
1040,117.0,697.0,1193.0,0.0,7.0,3.0,1925.0,84.0,14.0,16.0,47.0
1041,117.0,709.0,1152.0,0.0,7.0,3.0,1922.0,84.0,14.0,16.0,48.0
1042,116.0,704.0,1121.0,0.0,7.0,3.0,1922.0,84.0,14.0,15.0,50.0
1043,117.0,704.0,1063.0,0.0,7.0,3.0,1922.0,84.0,14.0,16.0,47.0
1044,115.0,707.0,1113.0,0.0,7.0,3.0,1924.0,84.0,14.0,16.0,46.0
1045,115.0,705.0,1099.0,0.0,7.0,3.0,1922.0,84.0,14.0,15.0,45.0
1046,116.0,697.0,1011.0,0.0,7.0,3.0,1922.0,84.0,14.0,16.0,48.0
1047,116.0,690.0,911.0,0.0,7.0,3.0,1923.0,84.0,14.0,16.0,51.0
1048,117.0,690.0,993.0,0.0,7.0,3.0,1926.0,89.0,14.0,15.0,55.0
1049,117.0,700.0,978.0,0.0,7.0,3.0,1925.0,89.0,14.0,16.0,55.0
1050,117.0,698.0,962.0,0.0,7.0,3.0,1926.0,89.0,14.0,16.0,52.0
1051,119.0,694.0,989.0,0.0,7.0,3.0,1926.0,89.0,14.0,15.0,53.0
1052,119.0,709.0,959.0,0.0,8.0,3.0,1928.0,88.0,14.0,15.0,60.0
1053,118.0,702.0,871.0,0.0,8.0,3.0,1926.0,88.0,13.0,16.0,62.0
1054,117.0,694.0,806.0,0.0,8.0,3.0,1926.0,88.0,14.0,15.0,56.0
1055,117.0,682.0,788.0,0.0,7.0,3.0,1925.0,88.0,13.0,16.0,55.0
1056,118.0,696.0,908.0,0.0,7.0,3.0,1927.0,91.0,13.0,15.0,55.0
1057,117.0,689.0,882.0,0.0,7.0,3.0,1925.0,91.0,13.0,15.0,64.0
1058,117.0,664.0,824.0,0.0,7.0,3.0,1925.0,91.0,13.0,16.0,65.0
1059,117.0,650.0,787.0,0.0,7.0,3.0,1925.0,91.0,12.0,15.0,64.0
1060,117.0,659.0,885.0,0.0,7.0,3.0,1926.0,97.0,11.0,16.0,65.0
1061,116.0,644.0,857.0,0.0,7.0,3.0,1925.0,97.0,11.0,16.0,63.0
1062,113.0,607.0,855.0,0.0,7.0,3.0,1925.0,97.0,9.0,16.0,57.0
1063,107.0,593.0,828.0,0.0,8.0,3.0,1924.0,88.0,8.0,16.0,58.0
1064,97.0,550.0,921.0,0.0,8.0,3.0,1925.0,90.0,8.0,14.0,60.0
1065,83.0,525.0,885.0,0.0,8.0,3.0,1924.0,90.0,7.0,15.0,59.0
1066,77.0,508.0,877.0,0.0,8.0,3.0,1924.0,90.0,7.0,14.0,58.0
1067,75.0,506.0,852.0,0.0,8.0,3.0,1923.0,90.0,7.0,14.0,60.0
1068,73.0,502.0,939.0,0.0,8.0,3.0,1923.0,90.0,7.0,15.0,65.0
1069,72.0,490.0,940.0,0.0,8.0,3.0,1923.0,90.0,7.0,15.0,63.0
1070,72.0,478.0,936.0,0.0,8.0,3.0,1924.0,90.0,7.0,15.0,59.0
1071,72.0,464.0,926.0,0.0,8.0,3.0,1923.0,90.0,7.0,15.0,58.0
1072,72.0,454.0,770.0,0.0,8.0,3.0,1923.0,89.0,7.0,15.0,58.0
1073,73.0,450.0,769.0,0.0,8.0,3.0,1923.0,89.0,7.0,14.0,56.0
1074,78.0,461.0,805.0,0.0,8.0,3.0,1923.0,89.0,7.0,14.0,57.0
1075,83.0,458.0,867.0,0.0,7.0,3.0,1922.0,89.0,7.0,15.0,59.0
1076,87.0,453.0,796.0,0.0,7.0,3.0,1922.0,100.0,8.0,16.0,57.0
1077,92.0,462.0,835.0,0.0,7.0,3.0,1923.0,100.0,9.0,14.0,55.0
1078,101.0,489.0,930.0,0.0,7.0,3.0,1923.0,100.0,10.0,15.0,53.0
1079,112.0,512.0,1018.0,0.0,7.0,3.0,1923.0,100.0,10.0,14.0,52.0
1080,115.0,476.0,858.0,0.0,7.0,3.0,1922.0,97.0,12.0,15.0,47.0
1081,118.0,484.0,1013.0,0.0,7.0,3.0,1923.0,97.0,12.0,15.0,48.0
1082,117.0,519.0,1115.0,0.0,7.0,3.0,1922.0,97.0,12.0,15.0,54.0
1083,117.0,513.0,1238.0,0.0,7.0,3.0,1921.0,97.0,12.0,15.0,58.0
1084,117.0,526.0,1148.0,0.0,8.0,3.0,1921.0,96.0,12.0,15.0,53.0
1085,114.0,526.0,1163.0,0.0,8.0,3.0,1922.0,96.0,12.0,16.0,48.0
1086,116.0,523.0,1195.0,0.0,8.0,3.0,1924.0,96.0,12.0,16.0,47.0
1087,116.0,512.0,1202.0,0.0,8.0,3.0,1924.0,96.0,12.0,16.0,43.0
1088,117.0,503.0,1234.0,0.5053445016253254,7.0,3.0,1921.0,97.0,13.0,16.0,44.0
1089,117.0,513.0,1257.0,0.6716078139169467,7.0,3.0,1922.0,97.0,13.0,16.0,44.0
1090,116.0,512.0,1296.0,0.21956789851863656,7.0,3.0,1921.0,97.0,14.0,15.0,45.0
1091,116.0,518.0,1300.0,0.5426641952804098,7.0,3.0,1920.0,97.0,14.0,15.0,41.0
1092,116.0,523.0,1266.0,0.8790661976859899,7.0,3.0,1919.0,96.0,14.0,15.0,39.0
1093,117.0,530.0,1275.0,2.420361419965859,7.0,3.0,1920.0,96.0,14.0,14.0,39.0
1094,118.0,529.0,1273.0,4.1773644801954095,7.0,3.0,1921.0,96.0,14.0,14.0,43.0
1095,118.0,529.0,1256.0,4.681409186331789,7.0,3.0,1920.0,96.0,14.0,13.0,43.0
1096,118.0,526.0,1258.0,2.2867502691059647,7.0,3.0,1921.0,95.0,14.0,15.0,44.0
1097,118.0,514.0,1308.0,3.010578688562809,7.0,3.0,1920.0,95.0,14.0,16.0,47.0
1098,117.0,495.0,1342.0,1.0992362353231002,7.0,3.0,1922.0,95.0,14.0,14.0,50.0
1099,117.0,489.0,1365.0,0.48911095006372385,7.0,3.0,1922.0,95.0,14.0,14.0,52.0
1100,117.0,502.0,1313.0,1.1017923366471882,7.0,3.0,1923.0,95.0,14.0,15.0,55.0
1101,118.0,493.0,1343.0,0.6909686300828901,7.0,3.0,1922.0,95.0,14.0,16.0,51.0
1102,117.0,496.0,1357.0,1.246962352251784,7.0,3.0,1922.0,95.0,13.0,16.0,48.0
1103,118.0,518.0,1311.0,0.8772638484827682,7.0,3.0,1921.0,95.0,13.0,15.0,45.0
1104,118.0,525.0,1280.0,0.0,7.0,3.0,1922.0,95.0,13.0,14.0,44.0
1105,118.0,526.0,1297.0,1.7934954415723288,7.0,3.0,1922.0,95.0,14.0,15.0,42.0
1106,118.0,528.0,1336.0,1.6633254530752533,7.0,3.0,1922.0,95.0,14.0,15.0,42.0
1107,117.0,528.0,1317.0,1.4960592242990902,7.0,3.0,1922.0,95.0,15.0,15.0,44.0
1108,118.0,521.0,1335.0,0.7460108614730402,7.0,3.0,1924.0,95.0,14.0,15.0,44.0
1109,118.0,512.0,1346.0,0.5933690594228396,7.0,3.0,1923.0,95.0,15.0,15.0,41.0
1110,117.0,516.0,1283.0,0.0,7.0,3.0,1923.0,95.0,15.0,15.0,40.0
1111,118.0,514.0,1205.0,0.0,7.0,3.0,1922.0,95.0,14.0,15.0,41.0
1112,118.0,508.0,1266.0,0.0,7.0,3.0,1924.0,95.0,14.0,15.0,39.0
1113,118.0,504.0,1274.0,0.5277962235318232,7.0,3.0,1923.0,95.0,15.0,15.0,40.0
1114,118.0,511.0,1236.0,0.3030660337290208,7.0,3.0,1923.0,95.0,15.0,15.0,37.0
1115,117.0,507.0,1262.0,0.29999140191608303,7.0,3.0,1922.0,95.0,15.0,15.0,35.0
1116,117.0,512.0,1262.0,0.41847342909601354,7.0,3.0,1922.0,95.0,15.0,15.0,36.0
1117,116.0,511.0,1277.0,0.5378410215391992,7.0,3.0,1923.0,95.0,15.0,15.0,32.0
1118,116.0,507.0,1280.0,0.49207468618090305,7.0,3.0,1924.0,95.0,15.0,17.0,28.0
1119,116.0,508.0,1290.0,0.47764125814581965,7.0,3.0,1923.0,95.0,15.0,15.0,26.0
1120,116.0,508.0,1149.0,0.48181727208790903,7.0,3.0,1921.0,95.0,15.0,16.0,28.0
1121,117.0,512.0,1172.0,0.3952228956334171,7.0,3.0,1923.0,95.0,14.0,15.0,30.0
1122,117.0,511.0,1263.0,0.053731467683044744,7.0,3.0,1925.0,95.0,14.0,15.0,32.0
1123,117.0,511.0,1303.0,0.009225437919671918,7.0,3.0,1925.0,95.0,14.0,15.0,36.0
1124,117.0,524.0,1257.0,0.0,7.0,3.0,1922.0,95.0,14.0,15.0,32.0
1125,117.0,531.0,1234.0,0.37283851970826587,7.0,3.0,1925.0,96.0,14.0,16.0,31.0
1126,117.0,531.0,1192.0,0.0,7.0,3.0,1924.0,96.0,14.0,15.0,29.0
1127,117.0,529.0,1141.0,0.1367398425305969,7.0,3.0,1923.0,96.0,14.0,15.0,26.0
1128,117.0,530.0,1192.0,0.877498203839699,7.0,3.0,1922.0,97.0,14.0,15.0,24.0
1129,116.0,531.0,1209.0,0.0,7.0,3.0,1923.0,97.0,14.0,15.0,21.0
1130,116.0,532.0,1202.0,1.086895057031695,7.0,3.0,1922.0,97.0,14.0,15.0,17.0
1131,116.0,532.0,1180.0,0.0,7.0,3.0,1922.0,97.0,14.0,15.0,15.0
1132,116.0,533.0,1231.0,2.044644142725023,7.0,3.0,1925.0,95.0,14.0,16.0,14.0
1133,117.0,529.0,1213.0,0.6156231523652997,7.0,3.0,1924.0,95.0,14.0,15.0,13.0
1134,117.0,530.0,1191.0,0.0,7.0,3.0,1924.0,95.0,14.0,15.0,13.0
1135,117.0,523.0,1153.0,0.0,7.0,3.0,1921.0,95.0,14.0,15.0,12.0
1136,117.0,521.0,1137.0,0.0,7.0,3.0,1924.0,96.0,14.0,14.0,10.0
1137,117.0,512.0,1090.0,0.0,7.0,3.0,1923.0,96.0,14.0,15.0,9.0
1138,118.0,506.0,1057.0,0.0,7.0,3.0,1923.0,96.0,14.0,16.0,13.0
1139,117.0,511.0,1035.0,0.0,7.0,3.0,1923.0,96.0,14.0,16.0,11.0
1140,118.0,510.0,1016.0,0.0,7.0,3.0,1924.0,96.0,13.0,16.0,9.0
1141,118.0,508.0,962.0,0.0,7.0,3.0,1921.0,96.0,13.0,15.0,12.0
1142,118.0,498.0,976.0,0.0,7.0,3.0,1921.0,96.0,13.0,15.0,14.0
1143,117.0,480.0,929.0,0.0,7.0,3.0,1919.0,96.0,14.0,16.0,15.0
1144,116.0,500.0,930.0,0.0,7.0,3.0,1923.0,96.0,13.0,16.0,13.0
1145,117.0,513.0,932.0,0.0,7.0,3.0,1922.0,96.0,13.0,15.0,12.0
1146,118.0,519.0,879.0,0.0,7.0,3.0,1922.0,96.0,13.0,16.0,13.0
1147,119.0,517.0,853.0,0.2819974159079429,7.0,3.0,1920.0,96.0,13.0,15.0,17.0
1148,119.0,526.0,943.0,0.0,7.0,3.0,1924.0,97.0,13.0,15.0,17.0
1149,118.0,528.0,892.0,0.0,7.0,3.0,1921.0,97.0,13.0,15.0,14.0
1150,119.0,512.0,856.0,0.0,7.0,3.0,1921.0,97.0,13.0,15.0,13.0
1151,118.0,482.0,834.0,0.0,7.0,3.0,1919.0,97.0,13.0,14.0,12.0
1152,119.0,508.0,864.0,0.0,7.0,3.0,1923.0,96.0,13.0,14.0,12.0
1153,118.0,514.0,834.0,0.0,7.0,3.0,1921.0,96.0,13.0,15.0,14.0
1154,119.0,523.0,753.0,0.0,7.0,3.0,1921.0,96.0,13.0,15.0,14.0
1155,119.0,530.0,691.0,0.0,7.0,3.0,1922.0,96.0,12.0,14.0,14.0
1156,119.0,526.0,712.0,0.0,7.0,3.0,1924.0,96.0,11.0,15.0,14.0
1157,119.0,523.0,679.0,0.0,7.0,3.0,1922.0,96.0,10.0,14.0,15.0
1158,116.0,518.0,637.0,0.0,7.0,3.0,1921.0,96.0,8.0,15.0,15.0
1159,109.0,505.0,608.0,0.0,7.0,3.0,1921.0,87.0,8.0,14.0,14.0
1160,96.0,513.0,664.0,0.0,7.0,3.0,1921.0,88.0,7.0,15.0,12.0
1161,83.0,511.0,669.0,0.0,7.0,3.0,1920.0,88.0,6.0,15.0,10.0
1162,80.0,473.0,670.0,0.0,7.0,3.0,1921.0,88.0,6.0,15.0,10.0
1163,76.0,455.0,667.0,0.0,7.0,3.0,1920.0,88.0,6.0,14.0,13.0
1164,74.0,500.0,706.0,0.0,7.0,3.0,1921.0,88.0,6.0,14.0,14.0
1165,75.0,523.0,685.0,0.0,7.0,3.0,1921.0,88.0,6.0,15.0,16.0
1166,74.0,521.0,673.0,0.0,7.0,3.0,1921.0,88.0,6.0,15.0,19.0
1167,74.0,516.0,673.0,0.0,7.0,3.0,1922.0,88.0,6.0,15.0,22.0
1168,74.0,504.0,668.0,0.0,7.0,3.0,1923.0,87.0,6.0,15.0,20.0
1169,74.0,508.0,675.0,0.0,7.0,3.0,1922.0,87.0,6.0,15.0,18.0
1170,73.0,518.0,678.0,0.0,7.0,3.0,1922.0,87.0,6.0,15.0,17.0
1171,73.0,526.0,686.0,0.0,7.0,3.0,1923.0,87.0,6.0,15.0,17.0
1172,75.0,501.0,658.0,0.0,7.0,3.0,1922.0,97.0,6.0,15.0,15.0
1173,78.0,491.0,674.0,0.0,7.0,3.0,1922.0,97.0,7.0,14.0,14.0
1174,83.0,499.0,665.0,0.0,7.0,3.0,1923.0,97.0,8.0,14.0,14.0
1175,90.0,512.0,674.0,0.0,7.0,3.0,1922.0,97.0,8.0,15.0,14.0
1176,93.0,458.0,632.0,0.0,7.0,3.0,1922.0,95.0,9.0,16.0,15.0
1177,97.0,464.0,702.0,0.0,7.0,3.0,1924.0,95.0,10.0,16.0,14.0
1178,106.0,511.0,730.0,0.0,7.0,3.0,1922.0,95.0,10.0,15.0,16.0
1179,113.0,526.0,753.0,0.0,7.0,3.0,1922.0,95.0,11.0,14.0,18.0
1180,117.0,494.0,695.0,0.0,7.0,3.0,1920.0,99.0,13.0,15.0,18.0
1181,119.0,495.0,736.0,0.0,7.0,3.0,1921.0,99.0,13.0,14.0,18.0
1182,120.0,511.0,780.0,0.0,7.0,3.0,1922.0,99.0,13.0,15.0,20.0
1183,120.0,528.0,828.0,0.0,7.0,3.0,1922.0,99.0,13.0,15.0,21.0
1184,119.0,497.0,754.0,0.1093308095750744,7.0,3.0,1921.0,99.0,14.0,14.0,22.0
1185,119.0,508.0,800.0,0.657998650319776,7.0,3.0,1922.0,99.0,14.0,15.0,20.0
1186,118.0,526.0,874.0,0.6268035653293559,7.0,3.0,1922.0,99.0,14.0,15.0,19.0
