,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
60,114.0,262.0,705.0,0.4386896206912977,5.0,0.0,1849.0,93.0,14.0,15.0,2.0
61,113.0,267.0,704.0,0.481740605729272,5.0,0.0,1924.0,93.0,14.0,15.0,69.99517600758196
62,115.0,267.0,737.0,0.0,5.0,0.0,1925.0,93.0,14.0,15.0,72.17302921713029
63,115.0,265.0,729.0,0.45768136394616543,5.0,0.0,1926.0,93.0,13.0,15.0,69.62516659396974
64,116.0,262.0,582.0,0.45599302202496034,5.0,0.0,1926.0,93.0,13.0,15.0,48.95303930746212
65,115.0,274.0,641.0,0.009370330061239357,5.0,0.0,1926.0,93.0,14.0,15.0,1.0
66,115.0,301.0,749.0,0.375579061462973,5.0,0.0,1927.0,94.0,13.0,14.0,2.0
67,115.0,315.0,750.0,0.38216319946480437,5.0,0.0,1927.0,94.0,13.0,15.0,74.36986854393352
68,116.0,302.0,693.0,0.40254136333311974,5.0,0.0,1927.0,89.0,14.0,15.0,62.651067232517526
69,116.0,271.0,681.0,0.3502027807953153,5.0,0.0,1930.0,90.0,14.0,16.0,0.0
70,116.0,264.0,679.0,0.0,5.0,0.0,1931.0,90.0,14.0,17.0,2.0
71,118.0,264.0,677.0,0.13483137201262763,5.0,0.0,1931.0,90.0,14.0,16.0,2.0
72,118.0,266.0,673.0,0.856913949325846,5.0,0.0,1929.0,95.0,13.0,16.0,2.0
73,119.0,267.0,669.0,1.066206880327007,5.0,0.0,1933.0,95.0,13.0,14.0,5.0
74,119.0,266.0,666.0,1.1141392568389668,5.0,0.0,1934.0,95.0,13.0,15.0,7.0
75,118.0,265.0,662.0,0.0,5.0,0.0,1935.0,95.0,13.0,15.0,7.0
76,119.0,271.0,668.0,1.5356776272987454,5.0,0.0,1936.0,94.0,13.0,14.0,8.0
77,119.0,273.0,666.0,0.0,5.0,0.0,1935.0,94.0,13.0,16.0,8.0
78,118.0,271.0,663.0,0.0,5.0,0.0,1935.0,94.0,13.0,16.0,10.0
