,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
3476,307.0000000005041,112.000000000504,245.00000000050406,21.000000000504038,5.000000000504413,151.00000000050403,193.00000000050403,376.0000000005041
3477,382.0000000003038,94.00000000030379,250.00000000030383,15.000000000303716,3.057248644535365e-10,149.0000000003038,183.0000000003038,364.0000000003038
3478,251.00000000026174,88.0000000002617,231.00000000026174,14.00000000026164,2.631247524882247e-10,150.00000000026174,146.00000000026174,305.00000000026176
3479,202.00000000065154,112.00000000065151,277.0000000006516,22.00000000065173,6.628670864807236e-10,152.00000000065154,105.00000000065151,258.00000000065154
3480,83.00000000056158,106.0000000005616,243.00000000056167,21.000000000561712,5.696101387444162e-10,152.0000000005616,82.00000000056158,269.00000000056167
3481,92.00000000039839,99.00000000039839,230.00000000039844,18.00000000039836,4.0192787859502933e-10,150.00000000039842,86.00000000039837,281.0000000003984
3482,81.00000000015139,104.0000000001514,247.0000000001514,20.000000000151367,1.5178246684174512e-10,152.0000000001514,114.0000000001514,251.0000000001514
3483,65.00000000051674,96.00000000051675,236.00000000051682,17.000000000516856,5.233201119162368e-10,149.0000000005168,159.0000000005168,254.00000000051682
3484,152.00000000034564,83.00000000034561,203.00000000034564,14.000000000345576,15.000000000345572,148.00000000034564,131.00000000034564,316.00000000034566
3485,164.00000000044218,97.00000000044216,240.0000000004422,18.00000000044217,61.00000000044213,150.00000000044218,109.00000000044217,313.00000000044224
3486,162.00000000080428,117.00000000080428,275.0000000008043,24.000000000804686,155.00000000080428,151.00000000080428,152.00000000080428,222.00000000080428
3487,237.0000000012089,110.00000000120913,263.0000000012089,18.000000001210434,290.0000000012089,147.00000000120903,112.00000000120912,160.000000001209
3488,303.0000000003733,114.00000000037325,284.0000000003733,18.000000000373188,434.0000000003733,148.00000000037326,68.00000000037322,158.00000000037326
3489,146.000000000305,139.000000000305,255.00000000030502,17.00000000030492,539.000000000305,150.000000000305,89.00000000030498,236.00000000030502
3490,297.0000000003351,144.00000000033506,304.0000000003351,20.000000000334985,606.0000000003351,152.00000000033506,123.00000000033506,352.0000000003351
3491,174.00000000031278,135.00000000031275,256.0000000003128,17.00000000031269,652.0000000003128,152.00000000031278,181.00000000031278,466.0000000003128
3492,80.00000000030934,137.00000000030937,232.0000000003094,17.000000000309292,648.0000000003095,149.00000000030937,208.00000000030937,622.0000000003095
3493,99.00000000027886,132.00000000027887,231.00000000027887,17.00000000027879,588.0000000002789,152.00000000027887,161.00000000027887,663.0000000002789
3494,117.00000000027211,160.0000000002721,280.0000000002721,27.000000000272053,510.00000000027217,154.0000000002721,135.0000000002721,555.0000000002722
3495,139.00000000028015,149.00000000028015,260.0000000002802,23.000000000280068,437.0000000002802,151.00000000028015,152.00000000028015,508.0000000002802
