,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
7510,327.0000000060389,4729.000000006045,394.0000000060406,223.00000000603688,6.039308201204171e-09,2904.0000000060445,1193.0000000060434,46570.000000006046,6.914034714134473e-09,236.0000000060371,8415.000000006045
7511,328.000000003429,3879.000000003431,407.0000000034295,223.0000000034283,3.4283672965580276e-09,2872.0000000034306,1406.0000000034302,46105.000000003434,3.704168546761093e-09,237.0000000034284,8662.00000000343
7512,328.0000000082066,3802.0000000082177,374.0000000082088,222.0000000082043,8.204874650905505e-09,2888.000000008217,1366.0000000082134,44946.00000000822,9.794363188771399e-09,239.00000000820455,8883.000000008218
7513,328.00000000305835,2996.00000000306,331.0000000030585,216.00000000305783,3.0573145952282563e-09,2828.0000000030595,1232.000000003059,43812.00000000306,3.2701437559451067e-09,239.00000000305792,9091.00000000306
7514,328.00000000186924,2535.00000000187,43.000000001869175,216.0000000018691,1.866481205354985e-09,2802.00000000187,1255.0000000018697,43934.00000000187,1.9322514487231643e-09,240.00000000186913,9301.00000000187
7515,328.00000000180944,2512.0000000018103,42.00000000180931,217.0000000018093,1.8673612317639725e-09,2767.00000000181,1128.0000000018097,43841.00000000181,1.8673612317639725e-09,239.0000000018093,9315.00000000181
7516,327.0000000011913,2295.000000001192,43.00000000119126,219.00000000119127,1.2094068202994912e-09,2696.000000001192,949.0000000011916,43872.00000000119,1.2094068202994912e-09,243.00000000119127,9317.000000001191
7517,327.0000000011609,2285.0000000011614,43.000000001160835,219.00000000116083,1.1775726649959823e-09,2599.0000000011614,836.0000000011611,43971.000000001164,1.1775726649959823e-09,245.00000000116083,9233.00000000116
7518,327.0000000012334,2289.0000000012337,42.000000001233296,219.00000000123327,1.2534542774083283e-09,2547.0000000012337,825.0000000012336,43538.00000000124,1.2534542774083283e-09,248.00000000123327,9122.000000001233
7519,327.00000000139346,2290.000000001394,42.00000000139343,217.00000000139335,1.391727850121346e-09,2636.000000001394,919.0000000013938,43756.0000000014,1.4221332097542235e-09,248.00000000139337,8877.000000001393
7520,327.0000000015057,2272.000000001506,42.00000000150575,218.0000000015056,1.5059934289535018e-09,2691.000000001506,999.0000000015061,44005.000000001506,115.00000000150538,248.0000000015056,8503.000000001506
7521,327.0000000027247,2266.000000002726,43.000000002724796,218.0000000027243,2.725251331129811e-09,2719.0000000027258,1211.0000000027255,44239.00000000273,248.00000000272468,256.00000000272433,7924.000000002726
7522,330.7267163015155,2516.2166234166066,46.4759015365952,221.51197402744177,257.03442346336215,2871.6534459634204,1660.6991210749734,44817.29784352021,617.7993413186535,249.60463343811531,7592.560005676618
