,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar
511,55.57646638907433,204.38695092891015,178.28052636533693,65.81085382075374,51.63981434358226,0.0012669622012067509,581.2938834850879,0.03167398031006985,1926.1419054659937,464.8191431041454,37.48271141640255,0.0012669622012067509
512,56.470572963489175,212.24529270380006,190.8389484665016,69.49456044148135,53.7577228911801,1.6849741047120999,699.5663497869048,9.430331716005043,2013.4227352779221,478.79783432224946,39.04255703353477,1.0379254628617876
513,55.00000002596451,202.00000002585324,176.0000000258549,64.00000002592745,51.00000002595039,211.00000002587905,748.0000000258266,77.00000002596869,1908.000000025819,453.0000000258311,36.000000025985806,22.000000026159494
514,56.255656537777924,202.0619579044409,178.0192548355443,63.359042915105285,50.28375066205151,213.60177614883196,755.8314766753766,73.26633230500192,1921.724089124762,446.544765783626,35.21070593894005,70.20677276154174
515,55.00000000096577,201.00000000096588,173.00000000096588,62.000000000965805,50.000000000965784,209.00000000096583,743.000000000966,72.0000000009657,1911.0000000009659,444.00000000096594,37.00000000096575,109.0000000009658
516,57.00000000321583,199.00000000321725,165.00000000321722,59.00000000321614,50.0000000032159,71.00000000321604,719.0000000032179,3.000000003215938,1910.000000003218,438.0000000032178,37.000000003215774,154.00000000321626
517,57.00000171159755,198.00000136557975,161.00000137414412,56.00000160286974,50.000001669910866,1.0000020611805909,713.000001206031,2.3123336969432543e-06,1903.00000115384,432.00000124283787,38.000001755831,172.0000015565644
518,57.00000000422614,197.0000000042272,156.0000000042271,55.00000000422606,50.000000004226045,4.22692240970678e-09,709.0000000042284,4.233288522246271e-09,1900.0000000042287,423.00000000422807,36.00000000422624,171.00000000422608
519,56.00000001268495,200.00000001267333,162.00000001267364,59.00000001268043,50.00000001268316,1.2746728872219559e-08,716.0000000126701,1.2808766171583521e-08,1906.0000000126704,428.0000000126705,35.000000012688936,115.00000001268853
520,57.499493677108426,207.0267496367491,169.56954794025998,62.97268144690141,51.624185048878196,1.2589743887316274,745.6707209718628,0.2046217394985627,1967.9261225767114,447.3490993987154,36.20854714297893,45.422032336430775
521,56.355206857745934,201.43759683799266,168.33088233289786,61.47259281334974,50.38874570220407,173.80264553267847,758.2907527183746,34.35901809007073,1921.5207951625898,440.440780547913,35.28965366175952,3.006860223302584
522,55.176676113869604,202.73097078476752,172.68116089498596,63.242663574689686,50.195833763785075,191.51938518458473,767.7246435526991,59.26905855901799,1916.3067276870577,441.740366072567,36.145598148451484,1.0012771861183696
523,55.000000029648774,202.00000002950543,174.00000002950938,64.00000002960837,49.00000002963449,197.0000000295381,756.0000000294632,68.00000002959533,1909.0000000294528,440.000000029471,37.00000002967286,4.0462345634504085e-08
524,55.00000000053132,201.00000000053137,172.00000000053137,62.00000000053133,49.00000000053132,198.00000000053132,735.0000000005314,63.00000000053131,1908.0000000005314,439.0000000005314,38.000000000531315,5.312888331913944e-10
525,55.00000000089325,202.00000000089335,172.00000000089335,63.00000000089327,49.00000000089326,7.000000000892651,670.0000000008934,1.0000000008930414,1907.0000000008934,441.0000000008934,39.00000000089324,8.952453920858274e-10
526,54.00000000073967,202.00000000073973,177.00000000073973,65.00000000073967,49.00000000073967,7.404609307497354e-10,628.0000000007398,7.392819228161168e-10,1907.0000000007399,442.00000000073976,39.000000000739654,7.404609307497354e-10
527,55.000000000513054,202.0000000005131,176.0000000005131,62.00000000051306,49.000000000513054,5.129855858379563e-10,624.0000000005132,7.000000000512741,1908.0000000005132,437.0000000005131,37.00000000051305,5.129855858379563e-10
528,56.000000000276714,200.00000000027674,172.00000000027674,60.00000000027672,49.000000000276714,2.764780711182627e-10,612.0000000002767,8.000000000276621,1908.0000000002767,430.00000000027677,37.000000000276714,2.764780711182627e-10
529,55.00000000102137,199.00000000102148,169.00000000102148,59.0000000010214,49.00000000102138,1.0247129536555225e-09,544.0000000010216,4.000000001021366,1906.0000000010216,429.00000000102153,37.00000000102134,1.0247129536555225e-09
530,55.00000000113999,199.00000000114014,169.00000000114014,59.00000000114003,49.00000000114,1.1448192521018981e-09,532.0000000011402,1.1448192521018981e-09,1908.0000000011403,429.0000000011402,36.000000001139945,1.1448192521018981e-09
531,56.000000004004555,197.00000000400573,164.00000000400564,57.000000004004534,49.00000000400455,4.119825310039e-09,513.0000000040067,4.047775463234363e-09,1907.0000000040072,427.00000000400655,36.00000000400462,4.119825310039e-09
532,56.00000000118288,198.00000000118305,165.00000000118305,59.000000001182926,49.0000000011829,1.1882975661936e-09,525.0000000011831,1.1825420546696845e-09,1907.0000000011833,431.00000000118314,37.00000000118283,1.1882975661936e-09
533,57.000000000513424,199.00000000051347,168.00000000051347,58.00000000051343,50.000000000513424,5.133585319664679e-10,529.0000000005135,5.129613860444166e-10,1906.0000000005134,433.0000000005135,37.00000000051342,5.133585319664679e-10
534,56.21822478138505,200.89265220532573,168.8249272757246,58.27889503081828,50.236096637807066,0.0004703207768453354,530.4310427936978,0.0004703207768453354,1914.9622656921022,437.1347462266926,36.17965919647413,0.0004703207768453354
535,57.10295233067462,209.559504878087,186.3069931137688,67.53412807918032,51.20062197536375,0.0023821880928450176,608.7452158517746,10.083376527577832,1952.3925629175003,458.91279615579055,37.902848668384635,0.0023821880928450176
536,56.00000000084857,201.00000000084867,177.00000000084864,64.0000000008486,50.00000000084858,180.0000000008486,700.0000000008487,93.00000000084854,1909.0000000008488,443.00000000084873,35.00000000084855,1.0000000008480499
537,57.00000000085753,201.00000000085763,177.00000000085763,64.00000000085755,50.00000000085753,193.0000000008576,729.0000000008577,63.00000000085753,1908.0000000008577,445.00000000085765,34.000000000857504,18.000000000857327
538,57.000000000891355,190.00000000089145,175.00000000089145,63.000000000891376,50.000000000891355,201.00000000089142,730.0000000008915,49.00000000089136,1910.0000000008915,437.0000000008915,35.000000000891326,57.00000000089134
539,56.00000000056399,183.00000000056406,174.00000000056406,63.00000000056401,51.000000000564,190.00000000056403,733.0000000005641,4.000000000563977,1910.0000000005641,434.00000000056406,34.00000000056399,103.00000000056401
540,56.00000000110731,186.00000000110748,169.00000000110745,62.00000000110737,49.00000000110733,2.0000000011073378,702.0000000011075,19.000000001107036,1910.0000000011075,417.00000000110754,34.000000001107274,140.0000000011074
