,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Fossil Peat,Fossil Peat,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Other,Other,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
2019-12-31 23:00:00+00:00,780.0,5.0,0.0,4.0,289.0,1.0,199.0,8.0,13.0,0.0,167.0,0.0,0.0,1.0,381.0,
2019-12-31 23:30:00+00:00,813.0,5.0,0.0,4.0,366.0,1.0,198.0,8.0,14.0,0.0,153.0,0.0,0.0,1.0,374.0,
2020-01-01 00:00:00+00:00,811.0,5.0,0.0,4.0,444.0,1.0,198.0,8.0,14.0,0.0,153.0,0.0,0.0,1.0,319.0,
2020-01-01 00:30:00+00:00,816.0,5.0,0.0,4.0,476.0,1.0,198.0,8.0,0.0,74.0,154.0,0.0,0.0,1.0,314.0,
2020-01-01 01:00:00+00:00,723.0,6.0,0.0,4.0,479.0,1.0,198.0,7.0,0.0,74.0,150.0,0.0,0.0,1.0,320.0,
2020-01-01 01:30:00+00:00,585.0,8.0,0.0,4.0,472.0,1.0,197.0,8.0,0.0,74.0,149.0,0.0,0.0,1.0,332.0,
2020-01-01 02:00:00+00:00,588.0,7.0,0.0,4.0,476.0,1.0,217.0,0.0,0.0,149.0,150.0,0.0,0.0,1.0,358.0,
2020-01-01 02:30:00+00:00,582.0,5.0,0.0,4.0,457.0,1.0,233.0,0.0,0.0,226.0,148.0,0.0,0.0,1.0,400.0,
2020-01-01 03:00:00+00:00,571.0,5.0,0.0,6.0,346.0,1.0,242.0,0.0,0.0,224.0,149.0,0.0,0.0,1.0,459.0,
2020-01-01 03:30:00+00:00,595.0,7.0,0.0,6.0,237.0,1.0,244.0,0.0,0.0,222.0,155.0,0.0,0.0,1.0,524.0,
2020-01-01 04:00:00+00:00,539.0,5.0,0.0,4.0,218.0,1.0,247.0,0.0,0.0,222.0,150.0,0.0,0.0,1.0,593.0,
2020-01-01 04:30:00+00:00,536.0,5.0,0.0,4.0,217.0,1.0,244.0,0.0,0.0,222.0,149.0,0.0,0.0,1.0,626.0,
2020-01-01 05:00:00+00:00,430.0,5.0,0.0,8.0,226.0,1.0,267.0,0.0,0.0,220.0,150.0,0.0,0.0,1.0,593.0,
2020-01-01 05:30:00+00:00,497.0,5.0,0.0,7.0,217.0,1.0,259.0,0.0,0.0,219.0,149.0,0.0,0.0,1.0,556.0,
2020-01-01 06:00:00+00:00,512.0,5.0,0.0,9.0,232.0,1.0,246.0,0.0,0.0,217.0,152.0,0.0,0.0,1.0,548.0,
2020-01-01 06:30:00+00:00,521.0,7.0,0.0,9.0,355.0,1.0,246.0,0.0,0.0,216.0,155.0,0.0,0.0,1.0,478.0,
2020-01-01 07:00:00+00:00,483.0,7.0,0.0,9.0,323.0,1.0,243.0,0.0,0.0,143.0,147.0,0.0,0.0,1.0,512.0,
2020-01-01 07:30:00+00:00,495.0,6.0,0.0,9.0,331.0,1.0,244.0,0.0,0.0,72.0,149.0,0.0,0.0,1.0,509.0,
2020-01-01 08:00:00+00:00,388.0,6.0,0.0,9.0,329.0,1.0,242.0,0.0,15.0,0.0,149.0,0.0,0.0,1.0,612.0,
2020-01-01 08:30:00+00:00,378.0,6.0,0.0,9.0,322.0,1.0,259.0,0.0,15.0,0.0,147.0,0.0,0.0,1.0,593.0,
2020-01-01 09:00:00+00:00,394.0,6.0,0.0,11.0,216.0,1.0,271.0,0.0,15.0,0.0,150.0,0.0,0.0,1.0,685.0,
2020-01-01 09:30:00+00:00,525.0,5.0,0.0,11.0,215.0,1.0,266.0,0.0,23.0,0.0,155.0,0.0,0.0,1.0,724.0,
2020-01-01 10:00:00+00:00,598.0,5.0,0.0,11.0,300.0,6.0,272.0,0.0,18.0,0.0,152.0,0.0,0.0,1.0,801.0,
2020-01-01 10:30:00+00:00,596.0,6.0,0.0,14.0,291.0,3.0,272.0,0.0,17.0,0.0,152.0,0.0,0.0,1.0,890.0,
2020-01-01 11:00:00+00:00,596.0,6.0,0.0,16.0,415.0,2.0,287.0,0.0,18.0,0.0,152.0,0.0,0.0,1.0,936.0,
2020-01-01 11:30:00+00:00,597.0,6.0,0.0,16.0,453.0,2.0,318.0,0.0,27.0,0.0,154.0,0.0,0.0,1.0,899.0,
2020-01-01 12:00:00+00:00,582.0,5.0,0.0,18.0,433.0,2.0,283.0,0.0,20.0,0.0,148.0,0.0,0.0,1.0,1045.0,
2020-01-01 12:30:00+00:00,588.0,5.0,0.0,18.0,440.0,2.0,285.0,0.0,20.0,0.0,150.0,0.0,0.0,1.0,1050.0,
2020-01-01 13:00:00+00:00,593.0,6.0,4.0,3.0,446.0,2.0,288.0,0.0,23.0,0.0,151.0,0.0,0.0,1.0,1056.0,
2020-01-01 13:30:00+00:00,575.0,5.0,43.0,3.0,429.0,2.0,282.0,0.0,20.0,0.0,149.0,0.0,0.0,1.0,1120.0,
2020-01-01 14:00:00+00:00,595.0,5.0,76.0,3.0,453.0,2.0,291.0,0.0,29.0,0.0,153.0,0.0,0.0,1.0,1125.0,
