,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore
7230,945.2633689376637,2.2860057292892795,3.4290085937843555,390.9069796575893,83.43920910843461,0.0143002867477728,1.1430028647941077,1199.0100048555532
7231,1270.13903044481,2.3380377921438473,3.5070566880891967,399.21995296556986,85.33837940425968,0.0169018898469228,1.1690188961984354,1208.7655384076825
7232,1428.4969959398309,2.3293876821833863,3.4940815231451863,395.99590592725093,85.02265039046705,0.0164693843551873,1.1646938412215202,1247.9694505907617
7233,1509.2481908572984,2.2032820308688326,3.304923046092982,375.65958619180486,79.86897360416143,0.0101641019421405,1.1016410156444545,1307.0970645636946
7234,1555.7027501751186,2.2928559327533455,3.4392838989839474,390.3587225017874,20.062489409326833,0.0146427969143507,1.146427966522654,1389.470695071692
7235,1652.1762610530832,2.410176894523688,3.0127211181024425,411.53770470448075,22.896680496200645,0.0205088449238307,1.2050884473661414,1402.7229524914897
7236,1676.4466033639278,2.46355121747167,3.6953268261151626,413.2607167000643,19.708409738480185,0.0231775610485356,1.23177560882814,1502.1503547408788
7237,1675.069285232733,2.4373507244337733,3.656026086552793,410.693597034292,19.49880579409963,0.0218675364070883,1.218675362314713,1604.386114229832
7238,1630.2276927388084,2.427740421255471,3.641610631783144,409.07426094801195,19.421923368642457,0.0213870212523263,1.2138702107277566,1702.4529702652023
7239,1635.2556771272775,2.359676302008669,3.539514452894034,400.555052225801,20.64716764073119,0.0179838153257635,1.1798381511232494,1747.9302205368244
7240,1666.4198988510875,2.3128659251186074,3.4692988875411688,397.81293907361186,18.502927399033794,0.5782164814845066,1.1564329626959708,1687.2356921746923
7241,1671.538133561002,2.3386332756088914,3.5079499132869847,399.90629008614064,14.031799652389443,34.49484081175509,1.1693166379307354,1619.5035431843296
7242,1616.9882867962153,2.298490813074169,3.4477362194679357,389.0195700645528,16.089435689798783,60.33538383595612,1.1492454066803168,1918.6652059745602
7243,1553.7551869127856,2.2510035308189593,3.3765052960580597,379.29409488588567,11.81776853535082,59.08884267538914,1.1255017655797224,2042.7857039091325
7244,1466.4889866722046,2.263100288399187,3.3946504324362192,387.55592433297903,16.973252160879806,46.95933097785891,1.1315501443620337,1907.2277677745942
7245,1502.3908683179416,2.2241167558481942,3.3361751335815204,383.1041111294714,22.797196743912988,20.573079988446565,1.1120583781146844,1711.4578433317838
7246,1564.7282655971542,2.237723655128354,3.3565854825126547,383.21017587944664,21.817805634352183,4.47544730989691,1.1188618277438955,1450.0449282902744
7247,1371.3497714363498,2.2751551582306666,3.4127327371905483,380.5197001623645,11.94456457938925,0.0137577582060139,1.1375775792706784,1313.3333149094
