,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Geothermal,Solar,Wind Onshore
171,2364.144893046885,1167.3272600804175,0.0228765538792619,0.0228765538792619,0.0228765538792619,196.60248590843668
172,2356.5480865916043,1299.1069358150296,0.0226729875173454,0.0226729875173454,0.0226729875173454,166.8352627677229
173,2410.4022120983373,1693.5631280711914,0.0231682276803372,0.0231682276803372,0.0231682276803372,156.423648920198
174,2921.8719099513964,2295.4836835043334,0.0273146803285429,0.0273146803285429,0.0273146803285429,161.6896438188094
175,3132.526392321968,2921.3448377834184,0.0303589844237989,0.0303589844237989,82.12616009846626,189.0205272105719
176,3238.241713207323,3342.0997944697247,0.0331513863627719,0.0331513863627719,323.557868548381,161.1131773430859
177,3109.5773259990997,3206.3197316968444,0.0256394880857066,0.0256394880857066,554.0701417236133,195.9976011540393
178,3066.106375048189,2865.588122221032,0.0215262140329173,0.0215262140329173,698.7757295493843,267.35767043640914
179,2869.7664272999946,2570.045756027734,0.0180002645174338,0.0180002645174338,749.3016781808901,307.98068977212813
180,2723.2590703512933,2613.6136285691055,0.0191798282465847,0.0191798282465847,730.5723457880597,301.5249649012391
181,2701.309359744409,2586.636708586779,0.0182192282317297,0.0182192282317297,556.812563868728,268.3576475546893
182,2650.649302916486,3041.0732463806353,0.0175975735750056,0.0175975735750056,313.98552079821906,278.70624879844655
183,2780.226123816567,3505.606935386795,0.0200961610683451,0.0200961610683451,105.68462155349152,212.57020471532977
184,3069.165524851593,3651.652910348121,0.0234083445672374,0.0234083445672374,6.170417219425897,217.19868611753262
185,3293.94295982104,4041.9292334824945,0.0274252597232862,0.0274252597232862,0.0274252597232862,221.71995164767424
186,3296.1835860719752,4124.760764031901,0.0294651842012371,0.0294651842012371,0.0294651842012371,196.78707976562788
187,3200.0361507881116,4110.490613857435,0.0280526672506329,0.0280526672506329,0.0280526672506329,215.12848072539373
188,3042.90756042662,3769.952486112869,0.0213764485613058,0.0213764485613058,0.0213764485613058,199.057375313297
189,2915.1975085515783,2971.994597187369,0.0159124260553983,0.0159124260553983,0.0159124260553983,221.3927332540666
190,2769.6557110583776,2628.945006008854,0.0172589211217833,0.0172589211217833,0.0172589211217833,240.38078779318508
191,2649.8141043402666,2151.692472527593,0.0206105648106136,0.0206105648106136,0.0206105648106136,267.7554534200956
192,2568.2895512771124,1552.6027875014088,0.0237133697020513,0.0237133697020513,0.0237133697020513,264.7466107772826
193,2483.3241361089695,1521.680813372483,0.0228152393616255,0.0228152393616255,0.0228152393616255,221.06743051432278
194,2480.528277897432,1460.0032444598055,0.0231031405270767,0.0231031405270767,0.0231031405270767,173.57542788282166
195,2429.532920627483,1322.8806752817554,0.0214766462300969,0.0214766462300969,0.0214766462300969,144.55720877752296
196,2457.6868463302176,1450.82012934571,0.0226390643766829,0.0226390643766829,0.0226390643766829,99.33764199257072
197,2532.779223106618,1941.3065556951358,0.0227121718500858,0.0227121718500858,0.0227121718500858,73.62730299746863
198,2651.4062905009637,2703.347279335375,0.0207929974945771,0.0207929974945771,0.0207929974945771,77.3075182653763
199,2868.9478018022737,3216.1839724816614,0.0214112486886344,0.0214112486886344,76.48908654845691,80.1314240031358
200,3045.8361216103467,3587.8510534874254,0.0199148081516828,0.0199148081516828,251.82109666876946,77.94462515952962
201,3005.0531316949646,3574.4688486853734,0.0178914530315004,0.0178914530315004,440.9140334462291,119.07036732121534
202,2892.5194714540507,3557.6818438369487,0.017106051725248,0.017106051725248,551.5695024515622,115.93499096135429
203,2787.737889238324,3434.74534237527,0.0167883491957855,0.0167883491957855,649.3432201160351,96.93432962185553
204,2717.0098711684477,3264.4230627542265,0.0179769811825336,0.0179769811825336,611.1207612964314,126.2353696116142
205,2570.0580659587617,3238.9931974508963,0.0161345717039892,0.0161345717039892,571.3820914831306,174.2018571596757
206,2632.244567697488,3418.6509677985223,0.0166775076891731,0.0166775076891731,393.2032000507742,204.18563800868583
207,2791.368871883701,3503.102908679062,0.0182282455489011,0.0182282455489011,124.13965758082131,264.83126950548564
208,2886.478102067126,3728.621818949233,0.0220498142344665,0.0220498142344665,3.66149442142079,355.16495885916993
209,3113.3675926314654,4205.133635882508,0.0265082322875413,0.0265082322875413,0.0265082322875413,479.4661997593101
210,3229.302145255345,4147.646736621251,0.0258006291197547,0.0258006291197547,0.0258006291197547,480.55840260533887
211,3096.2706572981638,4102.314435536937,0.0220926917270385,0.0220926917270385,0.0220926917270385,501.800962204242
212,2898.1560424951062,3642.821136747261,0.0183887274581161,0.0183887274581161,0.0183887274581161,487.7615561717559
213,2641.3483876348123,2985.719308239939,0.0171329664412145,0.0171329664412145,0.0171329664412145,489.61579868372996
214,2570.2947004351013,2446.0579296890483,0.0172045009517843,0.0172045009517843,0.0172045009517843,466.4739128014672
215,2565.333785797509,1651.5885717123326,0.0180549374566067,0.0180549374566067,0.0180549374566067,506.4556806753546
216,2523.313002421847,1291.7532688925844,0.0203870709355477,0.0203870709355477,0.0203870709355477,443.02442027271144
217,2458.067699342208,1395.4466062736312,0.0210274595501845,0.0210274595501845,0.0210274595501845,442.9605012110229
218,2353.162300791798,1341.1985425721746,0.0155209772405355,0.0155209772405355,0.0155209772405355,392.7713216836917
219,2370.433636779236,1356.5244917973441,0.0161407957948525,0.0161407957948525,0.0161407957948525,403.0085604913497
220,2389.294871080538,1380.8940731355378,0.0160415190167777,0.0160415190167777,0.0160415190167777,367.85161444050317
221,2583.393387973206,1646.837658562853,0.0210020324267711,0.0210020324267711,0.0210020324267711,337.59566990393597
222,2685.348630420538,2307.5710901194707,0.0203113187773223,0.0203113187773223,0.0203113187773223,454.7767841842987
223,2824.734166089702,3237.307346262278,0.0265561903978135,0.0265561903978135,18.983428535709365,466.9923419746419
224,3045.907778457526,3922.7411732359797,0.0243735313494286,0.0243735313494286,109.44870743351471,307.20262200057016
225,3073.2104198570296,3750.048428992166,0.0219527946331977,0.0219527946331977,271.9547315986374,350.0045200394459
226,2993.894246400423,3632.5754651570737,0.0216535656745709,0.0216535656745709,445.2520496476918,261.55516577673126
227,2923.104839573966,3617.1216827725557,0.0176299736654755,0.0176299736654755,438.75980086986027,264.66744020309534
228,2922.5798129420814,3500.0815839793863,0.0169031927700475,0.0169031927700475,410.3302057372862,197.56639535512113
