,Actual Total Load [MW] - Switzerland (CH)
0,7629.0
1,7355.0
2,7282.0
3,7457.0
4,7429.0
5,7226.0
6,7241.0
7,7145.0
8,7021.0
9,7091.0
10,7237.0
11,7326.0
12,7326.0
13,7737.0
14,7623.0
15,7417.0
16,7397.0
17,7668.0
18,7892.0
19,7033.0
20,7237.0
21,6776.0
22,7375.0
23,7648.0
24,7605.0
25,7478.0
26,7472.0
27,7436.0
28,7263.0
29,7140.0
30,7158.0
31,6746.0
32,6601.0
33,6745.0
34,6991.0
35,7116.0
36,7214.0
37,7309.0
38,7303.0
39,6956.0
40,6870.0
41,7058.0
42,7479.0
43,7582.0
44,7395.0
45,7083.0
46,7090.0
47,7261.0
48,7259.0
49,7183.0
50,7056.0
51,6970.0
52,6993.0
53,6858.0
54,6960.0
55,6727.0
56,6956.0
57,7351.0
58,7510.0
59,7751.0
60,7841.0
61,8001.0
62,7920.0
63,7852.0
64,7654.0
65,7770.0
66,8118.0
67,8126.0
68,7820.0
69,7368.0
70,6983.0
71,7154.0
72,7233.0
73,7904.0
74,7829.0
75,7819.0
76,7735.0
77,7631.0
78,7789.0
79,7470.0
80,7280.0
81,7690.0
82,7926.0
83,8124.0
84,8179.0
85,8143.0
86,7990.0
87,7793.0
88,7774.0
89,7973.0
90,8100.0
91,8062.0
92,7753.0
93,7343.0
94,7177.0
95,7444.0
96,7660.0
97,7204.0
98,7352.0
99,7209.0
100,7334.0
101,7239.0
102,7438.0
103,6772.0
104,7059.0
105,7448.0
106,7556.0
107,7574.0
108,7622.0
109,7646.0
110,7532.0
111,7418.0
112,7294.0
113,7379.0
114,7803.0
115,7858.0
116,7743.0
117,7357.0
118,7116.0
119,7065.0
120,6984.0
121,7294.0
122,7207.0
123,7072.0
124,6954.0
125,6815.0
126,6940.0
127,6964.0
128,6978.0
129,6966.0
130,6884.0
131,6820.0
132,6878.0
133,6959.0
134,6928.0
135,6807.0
136,6801.0
137,6925.0
138,7201.0
139,7263.0
140,7070.0
141,6755.0
142,6542.0
143,6585.0
144,6765.0
145,6993.0
146,7208.0
147,7163.0
148,7042.0
149,6917.0
150,6753.0
151,6733.0
152,6716.0
153,6738.0
154,7014.0
155,7371.0
156,7431.0
157,7400.0
158,7552.0
159,7444.0
160,7309.0
161,7304.0
162,7245.0
163,7206.0
164,7064.0
165,6733.0
166,6491.0
167,6428.0
168,6735.0
169,6809.0
170,6929.0
171,7186.0
172,7070.0
173,7112.0
174,7079.0
175,7394.0
176,7882.0
177,8315.0
178,8356.0
179,8412.0
180,8478.0
181,8125.0
182,8066.0
183,7973.0
184,8017.0
185,8166.0
186,8418.0
187,8435.0
188,8057.0
189,7577.0
190,7166.0
191,7377.0
192,6572.0
193,7524.0
194,7496.0
195,7456.0
196,7401.0
197,7305.0
198,7481.0
199,7429.0
200,8138.0
201,8404.0
202,8378.0
203,8470.0
204,8555.0
205,8234.0
206,8235.0
207,8092.0
208,8029.0
209,8153.0
210,8435.0
211,8483.0
212,8153.0
213,7696.0
214,7305.0
215,7455.0
216,7223.0
217,6840.0
218,7204.0
219,7174.0
220,7070.0
221,7063.0
222,7210.0
223,7537.0
224,8330.0
225,8692.0
226,8662.0
227,8677.0
228,8700.0
229,8434.0
230,8400.0
231,8251.0
232,8209.0
233,8290.0
234,8520.0
235,8532.0
