,Actual Total Load [MW] - Germany (DE)
0,44877.75
1,43816.5
2,42820.0
3,42051.75
4,42061.5
5,41826.5
6,40807.0
7,41373.0
8,42338.25
9,44720.0
10,47193.0
11,49723.0
12,51115.0
13,50223.5
14,49221.5
15,49279.5
16,51371.25
17,54922.0
18,55675.0
19,54250.5
20,51727.5
21,49930.5
22,49141.0
23,46071.75
24,43184.0
25,41277.75
26,40781.5
27,41209.75
28,42602.25
29,46066.0
30,52544.75
31,58794.0
32,62635.5
33,64417.5
34,66225.5
35,67790.5
36,68454.25
37,67799.75
38,66470.5
39,65754.75
40,66905.25
41,69481.5
42,69399.0
43,68037.0
44,63941.25
45,60742.5
46,58653.25
47,54672.25
48,51742.25
49,49928.25
50,49249.75
51,50002.5
52,51721.25
53,55065.5
54,61385.25
55,66611.75
56,70133.5
57,71484.0
58,72778.75
59,74231.5
60,73780.25
61,72709.25
62,71072.25
63,70610.5
64,72048.25
65,74820.5
66,74241.25
67,72197.5
68,68309.25
69,64816.5
70,62351.25
71,58188.5
72,54441.0
73,52202.25
74,51114.5
75,51406.5
76,52422.5
77,54885.25
78,60675.5
79,66166.5
80,69200.0
81,69556.5
82,70684.0
83,71695.0
84,71242.75
85,70280.75
86,68854.75
87,68469.25
88,69531.25
89,71475.75
90,70892.5
91,69106.25
92,65981.75
93,63258.0
94,61166.25
95,57216.0
96,53425.0
97,51252.25
98,50725.75
99,50979.75
100,52093.75
101,54455.75
102,60390.0
103,66348.25
104,69154.0
105,69907.75
106,70832.25
107,71998.5
108,71721.0
109,69963.0
110,68087.0
111,66717.0
112,67206.5
113,69402.25
114,68900.0
115,66529.0
116,62357.25
117,58834.25
118,56987.0
119,53621.75
120,50116.25
121,47744.0
122,46569.75
123,46424.5
124,46607.5
125,46392.25
126,46643.5
127,49498.75
128,52199.5
129,55023.25
130,56933.25
131,58668.75
132,58718.25
133,57322.25
134,55575.75
135,55287.0
136,57226.25
137,60680.0
138,61651.25
139,59964.5
140,56479.0
141,54040.75
142,53333.75
143,50005.0
144,46420.5
145,44358.5
146,43349.0
147,43076.75
148,43217.5
149,42808.25
150,41986.75
151,43951.25
152,47236.0
153,51066.75
154,54096.0
155,57179.25
156,57268.25
157,55895.5
158,54181.5
159,53822.0
160,55990.75
161,60665.0
162,61949.5
163,60311.75
164,57730.0
165,55990.5
166,55859.5
167,52592.5
168,49454.5
169,47763.25
170,47254.25
171,47891.25
172,49366.5
173,53916.75
174,62552.0
175,69778.75
176,73042.0
177,73463.75
178,73982.5
179,74521.75
180,74129.0
181,73414.25
182,72365.75
183,72102.0
184,73067.0
185,76824.25
186,76740.5
187,74768.5
188,70348.75
189,66687.0
190,63850.0
191,59187.5
192,55927.0
193,54136.5
194,53315.0
195,53877.5
196,55641.0
197,58932.25
198,66867.25
199,73204.5
200,75275.5
201,74609.75
202,74833.75
203,74693.5
204,74314.0
205,73727.25
206,72688.5
207,72056.0
208,72725.5
209,75823.5
210,75323.75
211,73219.75
212,68706.0
213,65449.5
214,62340.5
215,57841.0
216,54097.0
217,51901.5
218,50703.0
219,50758.0
220,52263.75
221,55811.75
222,63538.5
223,69888.0
224,72056.75
225,71661.25
226,71460.25
227,71609.75
228,71180.25
229,70182.25
230,69599.75
231,69356.0
232,70250.75
233,73411.0
234,72989.0
235,71348.5
236,67193.25
237,63510.5
238,60497.0
239,56187.5
240,52573.0
241,50638.75
242,49779.25
243,50457.0
244,51917.75
245,54946.5
246,62698.75
247,69260.0
248,71550.5
249,71191.75
250,71697.75
251,72221.0
252,71709.0
253,71628.0
254,70775.75
255,70707.25
256,71089.75
257,73461.75
258,72878.75
259,71082.75
260,67121.75
261,63907.75
262,60953.0
263,56798.75
264,52962.5
265,51031.0
266,50129.75
267,50630.25
268,52010.5
269,55126.25
270,62806.0
271,69366.75
272,72190.0
273,72551.0
274,72921.0
275,73393.75
276,72736.5
277,71715.25
