,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
0,4.095357542582286e-11,4.095345846316036e-11,4.090548239184764e-11,4.095450378830733e-11,4.0951884600291666e-11,4.090548239184764e-11,4.095162952333306e-11,4.0955316959499206e-11
1,4.5189616525594554e-11,4.518947766988478e-11,4.513225780925068e-11,4.5190739932245134e-11,4.51875780466805e-11,4.513225780925068e-11,4.518726767319193e-11,4.51916950006048e-11
2,5.49956739671421e-11,5.499545991532313e-11,5.4914520916061886e-11,5.499732507631805e-11,5.499280856022834e-11,5.4914520916061886e-11,5.4992136718378575e-11,5.49987000215916e-11
3,5.2943391288988394e-11,5.2943191348269314e-11,5.2867406923297716e-11,5.294432735296474e-11,5.2940537939451116e-11,5.2867406923297716e-11,5.2940106423452803e-11,5.294617558894492e-11
4,5.3641353170363774e-11,5.3641094341510156e-11,5.3563529275985485e-11,5.364226472007313e-11,5.363836311492811e-11,5.3563529275985485e-11,5.363792039347547e-11,5.3644102861651075e-11
5,5.5009786181434434e-11,5.50095110255579e-11,5.492841926801426e-11,5.501142758827971e-11,5.500662571393784e-11,5.492841926801426e-11,5.500615893360569e-11,5.501275577228324e-11
6,5.7804863009022336e-11,5.780455925800694e-11,5.771619299587387e-11,5.780666778791135e-11,5.780136612514671e-11,5.771619299587387e-11,5.78008511054342e-11,5.7808216760961686e-11
7,8.016310154276351e-11,8.016248733270337e-11,8.000752918572224e-11,8.016660214327987e-11,8.015644759172813e-11,8.010899085790199e-11,8.015552436190252e-11,8.016977987123217e-11
8,7.980840219955179e-11,7.980777122509745e-11,7.965413722109869e-11,7.981199126584972e-11,7.980099782862688e-11,7.975483442317634e-11,7.980099782862688e-11,7.98153822628743e-11
9,7.763330119176242e-11,7.76327060654072e-11,7.748629682524841e-11,7.763669330906934e-11,7.762713939386629e-11,7.759862809036848e-11,7.762626272917403e-11,7.764002413693842e-11
10,7.500797776285139e-11,7.500743356907358e-11,7.486962008944824e-11,7.501113162507986e-11,7.500225483878422e-11,7.498204147858087e-11,7.50014325796343e-11,7.50141983750609e-11
11,7.071632547020979e-11,7.071584211994518e-11,7.059124017547748e-11,7.071910682738108e-11,7.071119600610862e-11,7.0692757076327e-11,7.071045050794571e-11,7.072195550698754e-11
12,7.297912455569154e-11,7.297860904786745e-11,7.284710573112885e-11,7.298208493004593e-11,7.297329912553994e-11,7.295430674427347e-11,7.29728920043566e-11,7.298494841496749e-11
13,7.348040443783232e-11,7.347987795032225e-11,7.33467841111901e-11,7.348341995034132e-11,7.3474488498908e-11,7.34344074179665e-11,7.347407600660323e-11,7.34861958778345e-11
14,7.66305858421654e-11,7.663000903583612e-11,7.64868860824505e-11,7.663387782109955e-11,7.662373025928169e-11,7.64868860824505e-11,7.662373025928169e-11,7.663644015225285e-11
15,7.107631488090864e-11,7.107582437832227e-11,7.095007541769268e-11,7.107913636318124e-11,7.107075309667183e-11,7.095007541769268e-11,7.107036262723832e-11,7.108091321299956e-11
16,6.712173854380997e-11,6.712129953396585e-11,6.700717548214087e-11,6.712427601367695e-11,6.711673280171867e-11,6.700717548214087e-11,6.711637803024161e-11,6.712640235423548e-11
17,8.991984386909104e-11,8.991903685765862e-11,8.97291586828575e-11,8.992442881563827e-11,8.991127368110492e-11,8.97291586828575e-11,8.99107042939182e-11,8.99288301011133e-11
18,9.096544365100658e-11,9.096462112292102e-11,9.077078504338166e-11,9.097012498088736e-11,9.095777349634837e-11,9.077078504338166e-11,9.095614347131125e-11,9.097454822164828e-11
19,9.561896662489619e-11,9.561806548446706e-11,9.540575220621309e-11,9.562412139416823e-11,9.56100894697267e-11,9.540575220621309e-11,9.5608887319202e-11,9.562890282484151e-11
20,1.0155140962221803e-10,1.0155062661438071e-10,1.0131305643469648e-10,1.0155718425219345e-10,1.0154165832903643e-10,1.0131305643469648e-10,1.0154035422747449e-10,1.0156206110657512e-10
21,1.0905885757288305e-10,1.0905798200368201e-10,1.0878632697637298e-10,1.0906542068266863e-10,1.090480484846732e-10,1.0878632697637298e-10,1.0904661923498241e-10,1.090703174957991e-10
