,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
0,0.41852232811183826,245.42149316170048,0.1674089312888704,0.00837044663466236,103.45871949112785,0.00837044663466236,5.4407902645708734
1,0.351415739211339,207.40556923089915,0.14056629573710291,0.007028314870641995,87.57280218971536,0.007028314870641995,4.638687756520672
2,0.20787363449375326,122.93646735215418,0.08314945388640434,0.00415747283697327,46.52211936670048,0.00415747283697327,2.7023572466414656
3,3.096842316960376e-10,3.099621372603667e-10,3.1063422038119127e-10,3.2119035945450763e-10,3.0988280348989716e-10,3.2119035945450763e-10,3.0947633159782306e-10
4,6.849792411059677e-11,6.862982975391435e-11,6.847465827338925e-11,6.8728858869697e-11,6.86252120262984e-11,6.8728858869697e-11,6.858338643489684e-11
5,6.454976851330938e-11,6.467040644069953e-11,6.452489928466704e-11,6.47283950291718e-11,6.466576612244046e-11,6.47283950291718e-11,6.462817977791738e-11
6,6.23874790968059e-11,6.250202894115049e-11,6.236193599643233e-11,6.253947257324659e-11,6.249712349469099e-11,6.253947257324659e-11,6.246219439385949e-11
7,7.018061329540576e-11,7.031766703439815e-11,7.015814304017256e-11,7.043514603166359e-11,7.03108002203822e-11,7.043514603166359e-11,7.026855361872261e-11
8,7.612995910629199e-11,7.628399481472972e-11,7.611074461591995e-11,7.64735094747378e-11,7.627707547748398e-11,7.64735094747378e-11,7.622798151340257e-11
9,1.130754883696857e-10,1.1331582077498362e-10,1.1307740396077609e-10,1.1411048018276039e-10,1.1330442074283492e-10,1.1411048018276039e-10,1.1320864200915078e-10
10,1.3594019716178937e-10,1.3622124531844244e-10,1.3595697579672577e-10,1.3752860683036968e-10,1.3620826557628816e-10,1.359614309749506e-10,1.3608303670038492e-10
11,2.2189260222106095e-10,2.2226990334977653e-10,2.2217042766444347e-10,2.270795223001146e-10,2.2224166146878594e-10,2.2187611435279096e-10,2.219759320415698e-10
12,3.4507447359567325e-10,3.451841961801758e-10,3.463377395575714e-10,3.596392584467246e-10,3.451267393524739e-10,3.596392584467246e-10,3.4466189300536954e-10
13,7.397567682329663e-10,7.344753386497406e-10,7.448538985120981e-10,8.022642145882592e-10,7.342705551152414e-10,8.022642145882592e-10,7.338234124833599e-10
14,4.841435336219618e-10,4.829788764625293e-10,4.865114105960896e-10,5.125058269101001e-10,4.828684899364085e-10,5.125058269101001e-10,4.823381453543858e-10
15,7.316590400639619e-10,7.265569985629738e-10,7.366272231273583e-10,7.928634175532477e-10,7.263474136845974e-10,7.928634175532477e-10,7.258809560196666e-10
16,0.3241830540276515,189.84159638306213,0.129673221668046,0.006483661174311417,93.94824902978068,0.006483661174311417,4.019869868860126
17,0.3406128875409532,201.3022164833614,0.13624515507061657,0.006812257840005639,105.18125964481821,0.006812257840005639,4.223599804477262
18,0.32657125190801306,192.61172431982533,0.13062850081977367,0.006531425131225283,101.30240231270979,0.006531425131225283,4.049483522584523
19,0.3351851701058039,197.08887996828324,0.13407406809743558,0.006703703492763046,104.17555084042168,0.006703703492763046,4.2233331422675215
20,0.33351891378726106,196.77615908010054,0.1334075655702939,0.006670378366850098,101.05623084965599,0.7337416102212129,4.068930747170588
21,0.35752934086038113,210.65628758427158,0.14301173639582038,0.007150586902129149,99.2501449990168,1.644634967647739,4.5048696938417425
22,0.31619283340734894,185.73167028636834,0.12647713342136574,0.0063238567643017956,87.33246056030866,1.454487033323286,4.110506833127005
23,0.20810723915188098,122.65840666906116,0.08324289574955542,0.004162144929967735,58.93597008605959,0.004162144929967735,2.747015554999909
24,0.20094391088582095,118.39615220379525,0.0803775644463036,0.004018878369981252,58.35411167689753,0.004018878369981252,2.692648403970083
