,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore
0,4.695636676860447e-10,4.69575253965324e-10,4.695225950711019e-10,4.695811148717391e-10,4.695170169469721e-10,4.691384886416474e-10,4.691068031268416e-10,4.739671975883798e-10,4.697546804573938e-10
1,5.970658473983389e-10,5.972011813875502e-10,5.971208975227793e-10,5.971946384382992e-10,5.97129002068658e-10,5.967769036979783e-10,5.969809517338715e-10,6.054108141262866e-10,5.974388418824866e-10
2,3.1420459608240544e-10,3.142599174601909e-10,3.142265798058323e-10,3.142489634570522e-10,3.14217206133522e-10,3.1408103146938715e-10,3.141672463531885e-10,3.153716658272772e-10,3.1435065889102697e-10
3,1.4214673558529812e-10,1.421632138893357e-10,1.4215381628709314e-10,1.4217311764151966e-10,1.421416092865704e-10,1.421257501711994e-10,1.4213584473695872e-10,1.4196184039402596e-10,1.4218540594383604e-10
4,1.1929162919128778e-10,1.1930382816023833e-10,1.1929695497446325e-10,1.192971968407794e-10,1.1928692111054564e-10,1.1925549317763007e-10,1.1928369322451745e-10,1.1907175224651607e-10,1.1932085888026904e-10
5,9.867297661588973e-11,9.868198746815802e-11,9.867707619694173e-11,9.863701201860731e-11,9.86693698224304e-11,9.864665735230071e-11,9.866748158235461e-11,9.843758670235964e-11,9.869468355558195e-11
6,6.353395677013417e-11,6.353801069384943e-11,6.353578398441785e-11,6.333558435187679e-11,6.353174549349906e-11,6.352169166908895e-11,6.35314431567523e-11,6.333558435187679e-11,6.354396042713697e-11
7,5.193715120161307e-11,5.1939892190480404e-11,5.193835586025082e-11,5.177492568102533e-11,5.193567189296827e-11,5.1929051208711004e-11,5.193542488859771e-11,5.177492568102533e-11,5.19440328939336e-11
8,4.408494483758735e-11,4.4086991568010995e-11,4.408589570957054e-11,4.39522697025969e-11,4.408387687139094e-11,4.407904969539578e-11,4.4083785783533677e-11,4.39522697025969e-11,4.408999692820462e-11
9,4.669923459405104e-11,4.670146156173803e-11,4.670024685992203e-11,4.655664686816233e-11,4.6698923193264737e-11,4.669304020961472e-11,4.6697934906879995e-11,4.668818037298575e-11,4.670476005102279e-11
10,5.233182331510224e-11,5.2334541981387984e-11,5.233303329546633e-11,5.216835335100051e-11,5.233152049880388e-11,5.2328756882419677e-11,5.233021859612898e-11,5.2329782830618174e-11,5.233876438859294e-11
11,5.0878582107814985e-11,5.088121063857345e-11,5.087976833408161e-11,5.0720110103000044e-11,5.0878657816869784e-11,5.0874823548447836e-11,5.087702429368807e-11,5.0878944824128776e-11,5.08850986391372e-11
12,6.80226220601682e-11,6.802702927377464e-11,6.802458584596825e-11,6.78126237740655e-11,6.802266521038628e-11,6.801595176624256e-11,6.801923561124836e-11,6.802420534754537e-11,6.803430173225563e-11
13,8.065830217220378e-11,8.066435403515324e-11,8.06609633593293e-11,8.042726101655803e-11,8.065956876549762e-11,8.063853631755285e-11,8.065391357907865e-11,8.0660344193584e-11,8.067473308521201e-11
14,7.665310798952484e-11,7.665861034976622e-11,7.66556176580222e-11,7.642726366345142e-11,7.665218313949839e-11,7.663352848475223e-11,7.664890962485492e-11,7.665348008345542e-11,7.666797325401206e-11
15,7.676944618914424e-11,7.67746065921475e-11,7.67715892738632e-11,7.654334160163447e-11,7.67686388193778e-11,7.675120145679042e-11,7.676539691663755e-11,7.676832663793799e-11,7.67838209641496e-11
16,7.911806771791893e-11,7.912368439750853e-11,7.91205016955152e-11,7.888903601307329e-11,7.911724966814825e-11,7.909897974499353e-11,7.91136654853707e-11,7.911233587870756e-11,7.913379593784204e-11
17,8.948476785656507e-11,8.949202139234574e-11,8.948800399288473e-11,8.946431998095978e-11,8.948395006297481e-11,8.946140877528527e-11,8.947864168049685e-11,8.945648137668026e-11,8.950442034774941e-11
18,1.085991623422165e-10,1.0860982946430726e-10,1.086039409803456e-10,1.0858522665423049e-10,1.0859996754360093e-10,1.0858070110976667e-10,1.0859130099095755e-10,1.0833982015854311e-10,1.0862809055410341e-10
19,2.9865592824634706e-10,2.9870865048626234e-10,2.9867753573658606e-10,2.9870249978089535e-10,2.9865592824634706e-10,2.9858510236444076e-10,2.9861943972773674e-10,2.9958881468020576e-10,2.9881718198202676e-10
20,3.19886751673314e-10,3.199459537509699e-10,3.199109784298191e-10,3.1995658705186927e-10,3.19885125074897e-10,3.198145777721169e-10,3.1984909908778523e-10,3.211402690727733e-10,3.2006522895544807e-10
21,1.246957251138265e-09,1.2473152462861608e-09,1.2471038393001263e-09,1.2472283171625778e-09,1.2469637103920284e-09,1.2462953725622982e-09,1.2467441305787685e-09,1.2998132196679264e-09,1.2480663904252094e-09
22,1.2018063871436753e-09,1.202161098617207e-09,1.2019572031271309e-09,1.2022075542849285e-09,1.2017802211747542e-09,1.2009375164955632e-09,1.2015944463300382e-09,1.249842113710994e-09,1.2028939969555603e-09
23,2.727046759051758e-10,2.727540610423644e-10,2.727251515346548e-10,2.727441781949108e-10,2.726626185223418e-10,2.725382732809055e-10,2.7267405815648857e-10,2.733047495871204e-10,2.7284727527554286e-10
24,1.0219781700338668e-10,1.0220791831140667e-10,1.0220219112299017e-10,1.0218260501495581e-10,1.0220012048742945e-10,1.021567970579145e-10,1.0219146826827761e-10,1.0196084829586824e-10,1.0222386304175706e-10
25,8.339590011345452e-11,8.340284807175764e-11,8.339894479535593e-11,8.33928198111766e-11,8.339912064198247e-11,8.337828205725429e-11,8.339144913330301e-11,8.316304515036083e-11,8.341337739931643e-11
26,8.72506206503065e-11,8.725837375844612e-11,8.725408084642679e-11,8.70151723287631e-11,8.724739331982046e-11,8.72296127975441e-11,8.724578815821769e-11,8.70151723287631e-11,8.726991734096361e-11
27,7.639069861688412e-11,7.639690695686813e-11,7.639356611629879e-11,7.616616472594114e-11,7.63853279005863e-11,7.63734530472677e-11,7.638674587731723e-11,7.616616472594114e-11,7.640566172789029e-11
28,7.152269269279567e-11,7.15280845142993e-11,7.152577617639668e-11,7.130629041683777e-11,7.151790590550226e-11,7.149759413055568e-11,7.151932529529766e-11,7.130629041683777e-11,7.153565964137134e-11
29,8.373875755628929e-11,8.374625515504189e-11,8.374493732283527e-11,8.350645287420216e-11,8.3731406986682e-11,8.370604446432319e-11,8.373462036960186e-11,8.350645287420216e-11,8.375632003259875e-11
30,1.0344743256252832e-10,1.03458794652121e-10,1.0346064563985838e-10,1.0342261471563847e-10,1.0344463364959805e-10,1.0340225984235976e-10,1.0344152140819926e-10,1.0321343974730999e-10,1.0347340923423046e-10
31,4.5584510591213934e-10,4.559586312522514e-10,4.560472597826708e-10,4.5540371661628983e-10,4.559521817803835e-10,4.556793359278504e-10,4.5579840506211656e-10,4.600096935896239e-10,4.5613700408909365e-10
32,5.893765961591841e-10,5.896313661475712e-10,5.897702446304507e-10,5.897220776139653e-10,5.895760511404558e-10,5.892109532560358e-10,5.893090398437404e-10,5.974609652028261e-10,5.89856914101319e-10
33,1.721415144128912e-09,1.7225662966750208e-09,1.722886491659103e-09,1.7228600577222761e-09,1.722160700090135e-09,1.7213141211214235e-09,1.7212144513643094e-09,1.7215018517598016e-09,1.7232859822172217e-09
34,6.462353687897557e-09,6.454163627922579e-09,6.453606730068205e-09,6.453196689912069e-09,6.4577841518098915e-09,6.460925211991019e-09,6.4656006354320845e-09,6.4658009401480225e-09,6.452926087418334e-09
