,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2198,7.39991735739002e-08,7.28800325261727e-08,7.140383278815526e-08,8.103152265967322e-08,7.82373162629889e-08
2199,0.16474147848913,0.33134439128840987,5.469508538215782,0.019545647298541524,0.03769512512853933
2200,0.10408610671289537,0.20817213035374518,3.6708649643824005,0.012314493106392968,0.029026893107049766
2201,3.2855104879898e-08,3.2690566080501534e-08,3.242154001734977e-08,3.438025909810548e-08,3.334639381355742e-08
2202,0.00855535455936801,0.016869194313913122,0.33208521745573477,0.000985428185121709,0.002757704264490279
2203,0.0009922593005454211,0.001881227103550829,0.03757775383517631,0.00016155156852604865,0.0003639079097513729
2204,0.1189548899618534,0.22969459489627614,4.625436571368668,0.013472862668386609,0.04173284276058048
2205,0.07850577974142554,0.15244463256136853,2.7620513001127245,0.00913375069755626,0.028488323938421923
2206,7.987110688431307e-08,7.855005985339986e-08,7.677488229134534e-08,8.825490413678943e-08,8.279335737373075e-08
2207,2.6310635476424722e-08,2.620499018644122e-08,2.6051139074486543e-08,2.719855543923659e-08,2.6442660232390323e-08
2208,3.239859585291118e-08,3.224701052592577e-08,3.1993330085614034e-08,3.3680141176190744e-08,3.2602567184647315e-08
2209,4.401909190884847e-07,4.154808508692797e-07,3.706564790464097e-07,6.152412029308424e-07,4.583754366531479e-07
2210,2.5571057184719178e-08,2.5474053632946813e-08,2.5330505426727557e-08,2.6178091017559175e-08,2.5597219794191023e-08
2211,1.0749692960350479e-08,1.0740332264351348e-08,1.0727648482658705e-08,1.083812280054373e-08,1.074999929164244e-08
2212,1.0268661829690926e-08,1.0260119464037268e-08,1.0250662781468979e-08,1.034435179772526e-08,1.0266708060663833e-08
2213,2.529699765023316e-08,2.5196331419140297e-08,2.505319758272781e-08,2.5785696775431796e-08,2.5250205578537843e-08
2214,3.596970039734834e-08,3.5778009976949693e-08,3.543035004233756e-08,3.6990513751211575e-08,3.58135493193083e-08
2215,5.311911548486771e-08,5.2636734118371675e-08,5.1836943522358913e-08,5.52827351731775e-08,5.2742958967885296e-08
2216,0.20924034207911996,0.4339113470801216,11.344651345860647,0.05678501802538888,0.3487338781258871
2217,0.17749782137075934,0.3654366432989162,9.380757536270501,0.051161169977881366,0.31166525810374135
2218,8.155166848882557e-08,8.004985627215082e-08,7.808277597763963e-08,8.578445714444319e-08,8.023386843800415e-08
2219,1.1392189749990434e-07,1.1094004176718416e-07,1.0674089658938541e-07,1.205322472522584e-07,1.1147944558410078e-07
2220,1.0861273551132291e-07,1.0586575147691224e-07,1.021343045413977e-07,1.1467907146279989e-07,1.0626221504186798e-07
2221,6.583847648084556e-08,6.49640154432547e-08,6.375815079625475e-08,6.881133025897746e-08,6.506275277882351e-08
2222,6.656429863597797e-08,6.564267925006146e-08,6.440339316955111e-08,6.957666442443676e-08,6.577051465465583e-08
2223,1.3597089190163038e-07,1.32182509959359e-07,1.261021185893937e-07,1.4462271873118477e-07,1.328270425763755e-07
2224,0.47751161164290995,0.9860121599858709,25.37431823929485,0.1408588941519512,0.8972710670586449
2225,2.191311374755579e-08,2.182888720805709e-08,2.173820466037148e-08,2.2139617183794184e-08,2.1835853133882088e-08
2226,2.1045233991500808e-08,2.096866737112099e-08,2.088646358251245e-08,2.1256151572979865e-08,2.0976170398107944e-08
2227,1.0470332883252434e-08,1.0459721229249675e-08,1.0454359687721615e-08,1.0525110638197211e-08,1.0460753367180717e-08
2228,8.831252139497799e-08,8.641975230354813e-08,8.410146507408816e-08,9.359524254085112e-08,8.657751893104318e-08
2229,1.9529297315421736e-08,1.9466617457889188e-08,1.9395323979416682e-08,1.97443023041761e-08,1.9467718430301296e-08
2230,2.325219029500199e-08,2.3157952725141345e-08,2.3046230018154425e-08,2.355700816602082e-08,2.316278744269878e-08
2231,3.463490950464413e-08,3.4439884475782415e-08,3.4136010887153767e-08,3.5427260085747534e-08,3.4472547963867846e-08
