,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar
0,1.0920335105653032e-10,1.0926505666561912e-10,1.0926685823688691e-10,1.0922206179979626e-10,1.0922116090709759e-10,1.0906050600650076e-10,1.0928291889959991e-10,1.0903802927349138e-10,1.0929354044739283e-10,1.0928086784974256e-10,1.0922116090709759e-10,1.0903802927349138e-10
1,1.0403687944707499e-10,1.0409467836390537e-10,1.0409420095332058e-10,1.0405763436558717e-10,1.0405276732091958e-10,1.0386342372585425e-10,1.0410971415923009e-10,1.0386342372585425e-10,1.0412086061812845e-10,1.0410915882295192e-10,1.0405186878506444e-10,1.0386342372585425e-10
2,8.273176722921141e-11,8.277150326170207e-11,8.277110154168088e-11,8.27465734420387e-11,8.274315632378786e-11,8.254214147896887e-11,8.278153288616674e-11,8.254214147896887e-11,8.278849625156355e-11,8.278100647233664e-11,8.274252174145396e-11,8.254214147896887e-11
3,7.718571201701606e-11,7.722053894311112e-11,7.721957304866929e-11,7.719843555573164e-11,7.719694666384489e-11,7.699795634232991e-11,7.723009911292105e-11,7.699795634232991e-11,7.723526635949567e-11,7.72287912062769e-11,7.719530993711659e-11,7.699795634232991e-11
4,7.474427163144438e-11,7.477496143474396e-11,7.477264135690368e-11,7.475365870096759e-11,7.475107714038537e-11,7.455652451922001e-11,7.478510730807102e-11,7.455652451922001e-11,7.478910194699687e-11,7.478289561437051e-11,7.475050667721204e-11,7.455652451922001e-11
5,7.097355880164871e-11,7.100170664809658e-11,7.099980681481867e-11,7.098260756455047e-11,7.097981235437241e-11,7.078960036527241e-11,7.101052877344173e-11,7.078960036527241e-11,7.101434136946755e-11,7.100884781572505e-11,7.097981235437241e-11,7.078960036527241e-11
6,7.963835666636936e-11,7.967335600940214e-11,7.967021677942527e-11,7.964970557626743e-11,7.964803918539231e-11,7.944864726406378e-11,7.96842195029037e-11,7.944864726406378e-11,7.968955054844889e-11,7.968235644873304e-11,7.964683446696305e-11,7.944864726406378e-11
7,7.717953994656894e-11,7.721281393248104e-11,7.720951052544071e-11,7.719035583629795e-11,7.71887698571148e-11,7.699082871952848e-11,7.722405238420565e-11,7.699082871952848e-11,7.722816757760764e-11,7.722117710413203e-11,7.718762287101276e-11,7.699082871952848e-11
8,7.125645105253483e-11,7.128547388443814e-11,7.128242465459681e-11,7.126596041805677e-11,7.126504920820398e-11,7.10727315713032e-11,7.129542300892275e-11,7.10727315713032e-11,7.129871511675397e-11,7.129267493360086e-11,7.1262486899879e-11,7.10727315713032e-11
9,1.0355599703678941e-10,1.0360955276579954e-10,1.0360340644934214e-10,1.0357271249244807e-10,1.0357021773089917e-10,1.033811167111202e-10,1.0362876891122671e-10,1.033811167111202e-10,1.0363645516849917e-10,1.0362389487498724e-10,1.0356748203002305e-10,1.0337406713253732e-10
10,1.3374814178813025e-10,1.338281069564274e-10,1.3382350478490353e-10,1.3377284530381558e-10,1.337705739485513e-10,1.3363375351091707e-10,1.3385711366478973e-10,1.3363375351091707e-10,1.3387018533645465e-10,1.338502963599762e-10,1.3376562486162664e-10,1.336160587412921e-10
11,1.3924858487978513e-10,1.3933419445842308e-10,1.3933108731345744e-10,1.392768696283443e-10,1.3927220789591866e-10,1.3914893725486063e-10,1.393648232550897e-10,1.3914893725486063e-10,1.3937867363202874e-10,1.3935767376651045e-10,1.392683558746888e-10,1.3916491637444583e-10
12,1.5175573120156225e-10,1.518522766906194e-10,1.518499994733691e-10,1.5178846649826608e-10,1.5177923383349798e-10,1.516942491419358e-10,1.5188762233855615e-10,1.516942491419358e-10,1.5190304288476567e-10,1.518790289117675e-10,1.5177624450923683e-10,1.5169803988610256e-10
13,1.5818191940332447e-10,1.5828469137695732e-10,1.5828399238284553e-10,1.5821562037431518e-10,1.5820517049673706e-10,1.5814253204829807e-10,1.5832360473539584e-10,1.578819114304971e-10,1.583389126478771e-10,1.5831361510527974e-10,1.5820517049673706e-10,1.5812102218512235e-10
14,1.701955187620024e-10,1.703099152709291e-10,1.7031068883030662e-10,1.7023492538636827e-10,1.702218584456394e-10,1.7020613476589157e-10,1.703539829380203e-10,1.7019820051212979e-10,1.7037091281561736e-10,1.70343205136291e-10,1.702218584456394e-10,1.7011099812610365e-10
15,1.5703384084457867e-10,1.5713377660009323e-10,1.571344633198148e-10,1.570670144983435e-10,1.5705517808837682e-10,1.5699087234070363e-10,1.5717335409578048e-10,1.570465003640237e-10,1.5718701922248694e-10,1.5716298780118e-10,1.5705675462961809e-10,1.5691048517420736e-10
16,1.7691070057975784e-10,1.770267967649092e-10,1.7702734166272247e-10,1.7694894361516343e-10,1.76938975247695e-10,1.7694924782286628e-10,1.7707430494253073e-10,1.7689870962984218e-10,1.7709086161890512e-10,1.770617147933371e-10,1.7693720605938083e-10,1.7664305560394957e-10
17,3.5397543699424983e-10,3.542609097251036e-10,3.5425524163907603e-10,3.540730017170544e-10,3.5404571175121306e-10,3.561710184472422e-10,3.543866574109537e-10,3.538729752521179e-10,3.544409889400441e-10,3.5435152749581586e-10,3.540368371826639e-10,3.561710184472422e-10
18,2.863883525522916e-10,2.866052269751847e-10,2.866036690555825e-10,2.8645830199517136e-10,2.8644700716701197e-10,2.8741746866528114e-10,2.867014305308707e-10,2.8741746866528114e-10,2.867386179212631e-10,2.866746123019918e-10,2.86437511940672e-10,2.8741746866528114e-10
19,3.3536382535192973e-10,3.3563115206306823e-10,3.356285556644906e-10,3.3545410164197314e-10,3.3543656327176424e-10,3.3720037808868925e-10,3.357510299603024e-10,3.3720037808868925e-10,3.358004933308238e-10,3.3571794210102354e-10,3.354247851242824e-10,3.3720037808868925e-10
20,2.4310164071310164e-10,2.4327965399989255e-10,2.4327878659458406e-10,2.431591661225653e-10,2.431544303468902e-10,2.4360607790736215e-10,2.433602693026107e-10,2.4360607790736215e-10,2.433881313067217e-10,2.433375659348571e-10,2.431390439269191e-10,2.4360607790736215e-10
21,2.435306481745444e-10,2.437077432948548e-10,2.4370643703354425e-10,2.435902217646837e-10,2.4358801753579985e-10,2.4403940992632093e-10,2.437873282035353e-10,2.43496036956063e-10,2.438150755147456e-10,2.4376498015727045e-10,2.435680547614915e-10,2.4403940992632093e-10
