,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
0,0.6355502607294444,13.462110066026542,1.6755415962941234,0.005777729749511618,0.005777729749511618,10.977686319955508,40.27077560502558,0.005777729749511618,0.5777729643091825,0.05777729652686119
1,1.0725782957760182e-10,1.0740249686534699e-10,1.0731783437534564e-10,1.0813874702942404e-10,1.0813874702942404e-10,1.0737042050948703e-10,1.0742678177623723e-10,1.0813874702942404e-10,1.0725782957760182e-10,1.0724508481793087e-10
2,1.3738593270398322e-09,1.358930126449479e-09,1.3662032995452334e-09,1.600703291921359e-09,1.600703291921359e-09,1.3614948074884995e-09,1.3587002890394511e-09,1.600703291921359e-09,1.374804393321292e-09,1.4341943857867182e-09
3,4.652399150779687e-11,4.656278014636172e-11,4.6542063453249206e-11,4.651521150181281e-11,4.651521150181281e-11,4.656118042751659e-11,4.656798063062045e-11,4.651521150181281e-11,4.6521949757472466e-11,4.6468194878368126e-11
4,6.663627296545128e-12,6.6647339545339775e-12,6.6642525199894676e-12,6.653921028202806e-12,6.653921028202806e-12,6.66466746063639e-12,6.66485795490641e-12,6.653921028202806e-12,6.663627296545128e-12,6.660427218570199e-12
5,6.908484718333114e-12,6.9096716875271566e-12,6.909112037407314e-12,6.898186298329418e-12,6.898186298329418e-12,6.909600537762957e-12,6.9098042509490285e-12,6.898186298329418e-12,6.908484718333114e-12,6.905072511559281e-12
6,7.210111606277674e-12,7.2114012252325254e-12,7.2108780124379365e-12,7.199067467840917e-12,7.199067467840917e-12,7.2113266570696496e-12,7.2115462686004156e-12,7.199067467840917e-12,7.2099328887216284e-12,7.199067467840917e-12
7,9.187251390786248e-12,9.189260947037722e-12,9.188412057964174e-12,9.171132270033305e-12,9.171132270033305e-12,9.189033776060127e-12,9.189517884889096e-12,9.171132270033305e-12,9.187117408919637e-12,9.171132270033305e-12
8,9.295853772910003e-12,9.297924907026367e-12,9.297062958367613e-12,9.279453970326499e-12,9.279453970326499e-12,9.297893883587275e-12,9.298172020653835e-12,9.290177827323295e-12,9.295716666636092e-12,9.290177827323295e-12
9,1.0938678573274592e-11,1.0941537539243195e-11,1.094035176109027e-11,1.0918073535956186e-11,1.0918073535956186e-11,1.0941542658322303e-11,1.0941851112131291e-11,1.0936829220846045e-11,1.0938269958671769e-11,1.0931259095266641e-11
10,1.338740793434548e-11,1.3391646803799576e-11,1.3390070514081396e-11,1.3361129109864157e-11,1.3361129109864157e-11,1.3391617737962839e-11,1.3392112396039701e-11,1.3385995832130888e-11,1.3386813229636719e-11,1.3361129109864157e-11
