,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,0.22996760090540452,1.565008237958401,0.15799302368019127,0.1983690060024757,0.3089640882378583,0.010532917611862988,8.786272562038861e-05,0.0746078431338532,0.02018804231895127,1.9705235398559093,0.09304035666238264,0.232600817148343,8.786272562038861e-05,0.011410656119559397,0.10620643778388851
1,1.115570875861665e-09,1.1158997764106397e-09,1.1154699391300986e-09,1.1155296308405462e-09,1.1156545207965752e-09,1.1136578565950484e-09,1.120828742255805e-09,1.1151214191017595e-09,1.1142645181624792e-09,1.115915978409933e-09,1.115231288605796e-09,1.1155743307140762e-09,1.120828742255805e-09,1.1137366297211409e-09,1.1152997159388059e-09
2,4.48376392182353e-10,4.4844368540785415e-10,4.483589633148074e-10,4.483689977249471e-10,4.483911908406327e-10,4.479927594385281e-10,4.4636451853565537e-10,4.482998965650975e-10,4.481171415698891e-10,4.484477223582723e-10,4.483193916510644e-10,4.483771972437304e-10,4.4636451853565537e-10,4.480068712178517e-10,4.483323478929139e-10
3,2.148357297227411e-10,2.1485631031461517e-10,2.148290363704012e-10,2.148328920963373e-10,2.148408062327843e-10,2.147348863880015e-10,2.1385563761778946e-10,2.148101744146306e-10,2.1476563504734903e-10,2.1485746439633682e-10,2.1481581896969472e-10,2.1483600846006108e-10,2.1385563761778946e-10,2.147383267110805e-10,2.1482298412891765e-10
4,2.083134659660846e-10,2.083327235474184e-10,2.0830751248719619e-10,2.0831113248955303e-10,2.0831825197953629e-10,2.0821854892630766e-10,2.0737942361339568e-10,2.0828928872261957e-10,2.0824722913223878e-10,2.0833372959387698e-10,2.0829490366907192e-10,2.0831366227536277e-10,2.0737942361339568e-10,2.0822174147315638e-10,2.0830178917046927e-10
5,2.0640789005095332e-10,2.0642699165875532e-10,2.0640210648534527e-10,2.064059756738121e-10,2.0641257680609976e-10,2.0631398999256083e-10,2.0548540868318234e-10,2.063839516674376e-10,2.0634232369485173e-10,2.0642786785494583e-10,2.06389744755779e-10,2.06408019746648e-10,2.0548540868318234e-10,2.063171466924026e-10,2.063941707985551e-10
6,2.0495659221492477e-10,2.0497502885375084e-10,2.0494899053888154e-10,2.0495500471052118e-10,2.0496109046963653e-10,2.048641594613836e-10,2.0404534424994362e-10,2.0493324388405386e-10,2.048997330884265e-10,2.0497629169164315e-10,2.0493955513741052e-10,2.0495684646163496e-10,2.0404534424994362e-10,2.0486724577894582e-10,2.0494214824132735e-10
7,2.7833499066061054e-10,2.783661925001281e-10,2.783245080588153e-10,2.7833360205139067e-10,2.783425725950492e-10,2.7817779771322744e-10,2.7697375334130084e-10,2.78302536967124e-10,2.782579922775688e-10,2.783681249916833e-10,2.7831021492830026e-10,2.7833549871508484e-10,2.779266688657306e-10,2.781836618271296e-10,2.783173545188266e-10
8,7.10584196842824e-10,7.107147898362025e-10,7.105239965333053e-10,7.105680818082057e-10,7.106182496156808e-10,7.097295826321387e-10,7.087817939723554e-10,7.104096640908713e-10,7.101384653973563e-10,7.107256882193375e-10,7.104612113773937e-10,7.105869553154473e-10,7.09642715484001e-10,7.097565999748169e-10,7.105071878248392e-10
9,1.1978115176908618e-09,1.198173343394455e-09,1.1976653784847885e-09,1.1977680721475772e-09,1.1979116855314218e-09,1.1956342309885073e-09,1.2057373183058395e-09,1.1973443803194588e-09,1.1965704964408034e-09,1.1981990239979e-09,1.197462103563465e-09,1.1978192644761997e-09,1.1969803812643437e-09,1.195728602524321e-09,1.197672564763489e-09
