,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
0,8.77304236288083e-15,8.77301227638201e-15,8.772566170148464e-15,8.772999196849567e-15,8.772993344990818e-15,8.772566170148464e-15,8.772991532280218e-15,8.773061241794559e-15
1,9.938187564547787e-15,9.938185862736995e-15,9.937771474109655e-15,9.93814291996965e-15,9.938183784267184e-15,9.937771474109655e-15,9.938183325177728e-15,9.938235084347206e-15
2,3.679041094488072e-12,3.679045097350313e-12,3.676628125219818e-12,3.679061663985298e-12,3.679007713700233e-12,3.676628125219818e-12,3.678997184302267e-12,3.6790714049186784e-12
3,3.9450149389423235e-12,3.945019109290932e-12,3.9422566562254165e-12,3.945030443733695e-12,3.944970722522517e-12,3.9422566562254165e-12,3.9449621286541566e-12,3.945050862333038e-12
4,3.8033523212441974e-12,3.8033555191067775e-12,3.8007733425917556e-12,3.803365992303776e-12,3.803310395636603e-12,3.8007733425917556e-12,3.8033024005572636e-12,3.803384904618694e-12
5,2.8693997554339624e-12,2.8694014991336502e-12,2.867891522785433e-12,2.869411713436336e-12,2.8693768149923007e-12,2.867891522785433e-12,2.869372456835268e-12,2.869417566837152e-12
6,4.562444019696376e-13,4.562443667143162e-13,4.562110076010607e-13,4.562445286307456e-13,4.562440673968345e-13,4.562110076010607e-13,4.562440093512824e-13,4.562445886906723e-13
7,2.860548099399493e-12,2.8605502870888655e-12,2.8590557914034913e-12,2.8605594659703003e-12,2.8605266343974275e-12,2.8601533905893326e-12,2.8605224241374806e-12,2.8605660533771417e-12
8,2.8774199685261986e-12,2.8774220352361254e-12,2.875908743821296e-12,2.8774320635138207e-12,2.877393996226042e-12,2.877019028730004e-12,2.877393996226042e-12,2.8774393956686682e-12
9,2.8471184203215165e-12,2.8471202764103052e-12,2.845636533475786e-12,2.847130297215771e-12,2.8470969926021196e-12,2.8468846656627957e-12,2.847092776189038e-12,2.8471373120626363e-12
10,9.438575442815135e-15,9.438570481117987e-15,9.438206398900192e-15,9.438522339152176e-15,9.438563057351143e-15,9.43842804794891e-15,9.438561794578262e-15,9.438627887061223e-15
11,8.969480075265677e-15,8.96946683581987e-15,8.969099693358832e-15,8.969414792849351e-15,8.969456854237805e-15,8.969321187482526e-15,8.969455812904327e-15,8.969526312292635e-15
