,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
0,1.7631897962318035e-09,1.7623516048091296e-09,1.7623922338020827e-09,1.762592961545528e-09,1.885712501744018e-09,1.7618895391210958e-09,1.7634805534005287e-09,1.763895592685609e-09
1,1.818137042975301e-09,1.8172297470211012e-09,1.8173057368978277e-09,1.8177874018113355e-09,1.9495701171865975e-09,1.816845103978748e-09,1.8184647573635107e-09,1.818854150862715e-09
2,5.808244012709206e-10,5.80657563250394e-10,5.806814818890986e-10,5.800959595192458e-10,5.883476243357024e-10,5.805057131915157e-10,5.809181853057228e-10,5.810256654531668e-10
3,8.567115036015234e-10,8.564608227961133e-10,8.564608227961133e-10,8.555245754001889e-10,8.764568525486559e-10,8.562005530408977e-10,8.568804845453361e-10,8.570402640339838e-10
4,8.539015389123493e-10,8.536395526315715e-10,8.536649930841204e-10,8.527243274244884e-10,8.73473373127391e-10,8.533983296145075e-10,8.541058806842272e-10,8.542221047782471e-10
5,5.687331981687827e-10,5.685729103531244e-10,5.686304364402611e-10,5.680875209297005e-10,5.759472287063306e-10,5.684871299988773e-10,5.688943895034058e-10,5.689652207069261e-10
6,6.804704270382929e-10,6.802927405304322e-10,6.803202663915281e-10,6.796656412626329e-10,6.91766752781613e-10,6.8017714080033e-10,6.806734207194637e-10,6.807577413288056e-10
7,5.193294899930605e-10,5.191963087016241e-10,5.192504418656986e-10,5.187608705325595e-10,5.250450678903591e-10,5.191018274534857e-10,5.194646428464341e-10,5.195220010852218e-10
8,7.106457142880066e-10,7.104419956941358e-10,7.104640768140399e-10,7.096930950525203e-10,7.11626944362737e-10,7.102775433829722e-10,7.108513204609662e-10,7.109362462043255e-10
9,7.746199283012798e-10,7.743918653920693e-10,7.743806586870994e-10,7.735312463214537e-10,7.734119251708781e-10,7.74146526548277e-10,7.748389710036819e-10,7.749318172466513e-10
10,8.905474936356335e-10,8.902185014500652e-10,8.902538732474296e-10,8.892225739986689e-10,8.892673975330841e-10,8.899438623227845e-10,8.90741165279852e-10,8.90884036601961e-10
11,4.3338869706610234e-10,4.332792677237175e-10,4.3330387700572205e-10,4.3288816844345377e-10,4.3295234211820184e-10,4.331425019961452e-10,4.3346470195664706e-10,4.3351965888716756e-10
12,5.398682252881037e-10,5.39719793534008e-10,5.397391698431387e-10,5.39189529980636e-10,5.393130570977097e-10,5.395447268442176e-10,5.399758099152849e-10,5.400560031515414e-10
13,1.2091363018464506e-09,1.208584722715178e-09,1.208563348503182e-09,1.207572561032778e-09,1.2076113276887511e-09,1.208115531119804e-09,1.2093669004265015e-09,1.2096456721800699e-09
