,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2578,135.95343796435088,502.8944106299094,0.0030126524409934243,129.174971720529,404.3957644780175,6.816124390383045,0.5422773002667671,24.2443142661656,59.08563075941043,2.3348050403003047,227.53804854754452,10.167699366495151,5.362519962541148,741.2328153918469,11.478202840300765,59.73335086715341,29.74240355282121
2579,127.9397372649482,479.0020576768547,0.0028790947610211836,113.2491604010309,324.99932245864113,6.528345525331004,0.5182369112333702,9.67375566228946,56.3942526851647,2.5983822878495126,216.97571757198241,9.155518751852377,4.923250649949432,765.0616345032457,10.645449869358993,48.671083172679,39.38600519401489
2580,38.180472238569166,142.70730386890978,0.0008535793805141531,33.63517792477395,88.22138851016344,1.933350541793152,0.14937587216034823,1.862930489044188,16.85813384258675,0.823701225750033,64.29990998544837,2.5842025444730483,1.404133175679965,230.14340209118166,3.2777333670008413,10.968456703583977,13.953840151940865
2581,13.902528769009152,51.72961878596677,0.00030995355069234667,11.675582628061715,30.913018898517706,0.7020226948467204,0.052690452036237685,0.6501071097941343,6.118290448911848,0.2580282137360504,23.306223398978986,0.9182084893201339,0.4959100735946449,79.64703093354993,1.152990911275852,3.465171594839806,5.751007056145923
2582,54.48265708381956,202.5243928916722,0.00121261403403153,45.521454416661065,122.45562264641295,2.7435346479597897,0.20614404159802963,4.47756980547554,23.800541997787153,0.76394556079608,91.24905287113266,3.5650792767828516,1.9159269591454113,276.8666029751375,4.1168177359923925,11.425836555519629,21.566304390988776
2583,98.0686300507922,364.75442683028257,0.0021819708275246353,82.21661987588165,252.29025140835233,4.947616390812344,0.3709348571740734,16.304768897407584,42.90298005118079,1.9146784495693543,164.13867383555345,6.404081193531409,3.447512193255209,400.9587597727743,7.413242199160699,14.384635524534666,41.4683349458809
2584,127.89108360633817,473.22111565483704,0.0028360377180058046,110.63379912380935,368.36574169751657,6.409443374764369,0.48212627230056976,28.516350941126834,56.03299887732024,1.6519914898923473,213.25579402936467,8.316678184049717,4.4809382887955085,350.9170247248365,9.366011833768038,12.719625457529926,56.79163874569765
2585,155.96871889302628,577.886532626789,0.0034506360499545747,143.1409818912044,486.8760246447981,7.815689122152132,0.5866080141976756,70.91055693071037,67.86537121339825,3.4247556090870446,259.35838127825497,10.110361645679202,5.452003891150536,203.83765811502326,11.499242383603471,14.527174924047044,70.45334774369184
2586,155.61575098563858,582.2528151367771,0.0034375034618364356,146.1282433046464,499.00509149024526,7.760162533218731,0.6187505016012901,111.52977779407156,67.41802333163226,3.463284054508196,258.53458430770604,10.106258182594614,5.431254397757662,47.6953511143522,11.146102774442523,12.443760075013053,74.55943536324867
2587,113.80402030716826,429.71078089721306,0.002519042942390651,107.43084402749746,362.57831139000905,5.680439728443974,0.4723203773679515,113.90478198747924,49.22208083283609,2.531637218724748,189.49493503578802,7.412281108789444,3.9800863731956557,0.9068551237092682,8.445088331977267,9.912430301506296,80.76048677017944
2588,101.06674279016063,379.1692980629258,0.00223487844915563,94.4179825536043,316.2686739090175,5.034061322991115,0.4302138986854572,58.391759019725875,43.83712001449114,2.2125286175612064,167.5431707687717,6.59847549629866,3.5311062779206064,0.00223487844915563,7.6265190959007345,9.777588584198517,104.45816923015197
2589,85.90579316734426,325.83387380221956,0.0019154035456801846,75.92175867729902,244.92249213397318,4.309655176757197,0.3830804612469528,10.391057480046786,37.72863681034401,1.7525931059247557,143.40617022080377,5.669590809933839,3.026335635590454,0.0019154035456801846,6.387866672527109,9.155622996386429,116.8826368681129
2590,49.434417358926204,189.08581899158645,0.0011032028217688307,37.42056319655083,106.8918608310941,2.4822012752966796,0.23167212091485137,3.207555647359644,21.804759186594417,0.8356744307284282,82.51940232950784,3.276505682726842,1.743056896160329,0.0011032028217688307,3.6708998850272074,7.118401653386527,78.95330650031795
2591,1.943593791705086e-09,1.9441742648743295e-09,2.0938564989060348e-09,1.943378963694419e-09,1.9438950543177152e-09,1.9407863296172617e-09,1.942810146173629e-09,1.9409799433754745e-09,1.9430658201052873e-09,1.940299114181744e-09,1.9438766366604705e-09,1.9409413933685147e-09,1.9404952720222902e-09,2.0938564989060348e-09,1.9412619272115056e-09,1.942415858896059e-09,1.943886607433572e-09
2592,4.467866208835804e-10,4.468479963651812e-10,4.502227746254652e-10,4.4675693655234247e-10,4.468117239958157e-10,4.46381523278532e-10,4.458148700377485e-10,4.463952732218307e-10,4.467194314526024e-10,4.462151900593217e-10,4.468186386848557e-10,4.4640623960101865e-10,4.463135844660016e-10,4.502227746254652e-10,4.4645757475181953e-10,4.4669660795139055e-10,4.468224159394551e-10
2593,4.1851445997121665e-10,4.185669464119345e-10,4.2131394150202334e-10,4.1848923553970296e-10,4.1852060664964673e-10,4.1815030224006335e-10,4.176382748508673e-10,4.181678726070589e-10,4.1845525281878043e-10,4.1795317900484247e-10,4.1854229192787196e-10,4.181730659630015e-10,4.18088059499101e-10,4.2131394150202334e-10,4.1821796953970344e-10,4.184621451543438e-10,4.185466721478843e-10
2594,3.5493451494409467e-10,3.54972690964126e-10,3.564737587975018e-10,3.549155791509711e-10,3.549372764463042e-10,3.546497368597576e-10,3.54245956551426e-10,3.5463434313319053e-10,3.5489015519539885e-10,3.544625402310156e-10,3.5495484090066026e-10,3.5466922656291076e-10,3.545999472781088e-10,3.564737587975018e-10,3.547033684961008e-10,3.54905603356671e-10,3.5495900995290294e-10
2595,3.786917445041663e-10,3.787350015573527e-10,3.8066739332518153e-10,3.786705813091593e-10,3.786970426220852e-10,3.7837568014119464e-10,3.7793322048990147e-10,3.7835678421450844e-10,3.7864129319257513e-10,3.781785977177694e-10,3.7871480246584744e-10,3.783974441091893e-10,3.783219290834563e-10,3.8066739332518153e-10,3.7843580284038116e-10,3.7865652520339145e-10,3.7872049972944645e-10
2596,41.204074796689945,150.6317002664568,0.0009104391677604786,28.271325916368202,56.74750001733695,2.0530340556773905,0.20940037158123392,3.2297730861472647,18.104027562197338,0.8580862974643381,68.67194059882311,2.348925881520876,1.4430416762464469,0.0009104391677604786,3.0385814448330133,19.7268804223997,79.89306907118932
