,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
0,1616.519351974422,325.64236173611073,0.0,0.4545464515554491,102.00478342120606,10.135829877070673,1999.999999999999,0.0,2.3793580668616143,258.36454849813566
1,1569.5193519743384,324.63744587869854,0.0,0.4545464514691094,97.96544908314067,10.135829876985783,1999.999999999999,5.421010862427522e-20,2.3793580667777485,228.3645484980519
2,1560.5193519742966,322.62761416400093,0.0,0.454546451426895,95.94578191410831,10.135829876943697,1999.999999999999,0.0,2.379358066736188,219.36454849801032
3,1567.519351974278,322.6276141639823,0.0,0.45454645140822053,97.96544908307989,10.135829876924904,1999.999999999999,1.0842021724855044e-19,2.379358066717643,217.36454849799176
4,1567.5193519742734,323.63253002130534,0.0,0.4545464514034086,100.99494983656054,10.13582987692004,1999.999999999999,2.710505431213761e-20,2.379358066712843,216.3645484979869
5,1574.5193519742693,335.69152030923556,0.0,0.45454645139936134,120.18178794196477,10.135829876915944,1999.999999999999,0.0,2.3793580667088,196.36454849798298
6,1602.5193519742725,332.67677273725536,0.0,0.45454645140270566,134.31945812490062,10.13582987691933,1999.999999999999,0.0,1.3793580667933527,119.36454849798709
7,1574.5193519742825,329.66202516528153,0.0,0.45454645141240846,158.55546415279477,10.135829876929131,1999.999999999999,86.35631864879814,1.3793580668030228,96.36454849799725
8,1614.519351974298,329.66202516529717,0.0,0.4545464514280141,164.6144656597815,10.135829876944818,1999.999999999999,331.03254070868695,2.3793580667372947,48.36454849801505
9,1623.5193519742966,328.65710930796814,0.0,0.45454645142686473,164.61446565978036,10.135829876943665,1999.999999999999,563.5303082768909,2.3793580667361574,16.364548498022906
10,1586.519351974302,324.63744587866245,0.0,0.45454645143264266,166.63413282877653,10.135829876949453,1999.999999999999,681.9934565140304,2.37935806674187,6.364548498049966
11,1584.519351974298,323.6325300213303,0.0,0.45454645142833655,160.5751313218011,10.135829876945142,1999.999999999999,704.1361010443309,2.3793580667376135,4.364548498061738
12,1587.5193519742904,323.6325300213228,0.0,0.45454645142083766,134.31945812491887,10.135829876937617,1999.999999999999,636.6010352268917,2.379358066730187,4.364548498054307
13,1583.519351974288,324.63744587864795,0.0,0.4545464514181218,124.22112227996436,10.135829876934887,1999.999999999999,478.281126835206,2.3793580667274936,4.364548498051611
14,1570.5193519743812,325.64236173606946,0.0,0.4545464515129328,121.19162152657294,10.13582987702912,1999.999999999999,243.56909481407354,2.379358066820562,7.364548498123912
15,1615.8501365433744,328.960826775308,0.0,0.45715721630545175,126.40137852206982,17.647576790186278,1999.9999999999995,38.596353054165995,2.483788654820681,19.78227084984853
16,1639.3380732647377,336.9679750981568,0.0,529.8887309648989,146.7371473676768,93.53306280736871,1999.9999999999993,0.0,2.531783043410428,37.622054554897616
17,1662.0111712981209,344.6994169571647,0.0,700.1167420456942,163.09186662936924,266.5880453693084,1999.9999999999993,0.0,2.575233302743161,51.61711371150804
18,1663.3328394014595,346.16784022348537,0.0,675.7167274049522,168.03964852962605,215.44941998323537,1999.9999999999995,8.673617379884035e-19,2.593162628116665,68.67851919876442
19,1651.6897620061236,346.0262988536782,0.0,525.8468630113058,163.78249303924443,203.4558814849155,1999.9999999999993,0.0,2.56575102743969,93.37199715184126
20,1661.5478500957147,347.3273757099463,0.0,327.1742073885696,151.66583995171578,204.21937112698814,1999.9999999999995,0.0,2.581540201033995,100.01473758571598
21,1666.746074345588,352.335983735757,0.0,219.06345783546925,131.13037043774543,205.2901817816648,1999.9999999999995,0.0,2.603684856813816,75.17810392871424
22,1653.8982714097767,343.6989580057699,0.0,131.59618754082683,112.26366111021328,108.32733933227509,1999.9999999999993,0.0,2.5758905816668225,79.95126689453484
23,1617.5052655065151,336.10260295223543,0.0,0.4571338582882848,99.43782315130771,10.371648217133602,1999.9999999999995,0.0,2.48285433404447,96.71908857549465
24,1586.5193519747386,328.6571093084122,0.0,0.4545464519009498,95.94578191455436,10.13582987739195,1999.999999999999,0.0,2.379358067180559,96.36454849845335
25,1567.5193519743589,329.6620251653581,0.0,0.454546451489644,92.91628116068516,10.13582987700614,1999.999999999999,0.0,2.379358066797858,117.36454849807299
26,1601.5193519743202,328.6571093079917,0.0,0.4545464514505789,92.91628116064643,10.135829876967355,1999.999999999999,5.421010862427522e-20,2.3793580667595453,112.36454849803472
27,1593.519351974308,331.67185687996295,0.0,0.4545464514382054,90.89661399164378,10.135829876955013,1999.999999999999,2.710505431213761e-20,2.3793580667473595,129.36454849802223
28,1676.519351974314,325.6423617360024,0.0,0.45454645144480715,95.9457819141262,10.135829876961603,1999.999999999999,0.0,2.3793580667538645,143.3645484980286
29,1719.796790271239,333.9890948363699,0.0,0.4549421812634807,116.59801977321459,10.171896850734475,1999.9999999999993,0.0,2.3951871890921255,147.93439684890757
30,1913.4764672698122,349.5837173727992,0.0,0.4596447057506481,148.54455306424697,24.436446684189484,1999.9999999999995,0.0,2.583288237411932,197.796318889448
31,2112.667252555478,325.88574446696833,0.0,0.46158028990900835,159.9083811603251,166.85931106268407,1999.9999999999995,15.3272106335734,2.6607116051464397,268.8084678785966
32,2342.6966826992143,286.28786342204813,0.0,0.46125247266058333,169.11973022823452,204.1718998878329,1999.9999999999995,84.9848863444614,2.6475989150265,339.4885152993997
33,2377.938735763988,281.99689458167865,0.0,0.4608460857467494,166.33263368355918,139.8864470184873,1999.9999999999995,175.28500836951036,3.6943397810316005,344.586374557675
