,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore
0,2601.5121986742597,88.76145334621262,750.0170006867602,6034.746619040783,198.91911772402236,41.95364038930053,307.7592939691089,7.173714747232829e-13,4047.7810608509653
1,2382.432931292068,88.65176758822425,748.2260269371349,5985.906108592563,198.62877307051778,7.003342745869248,305.17419644689926,7.252271699842439e-13,3972.7918840514367
2,2220.6068878108795,91.28367451536819,752.6488581245198,5886.553106977508,201.0247364095055,8.927485486975861e-13,307.3194215419031,7.236537757915329e-13,4165.040677067864
3,2121.806926603217,92.12695991942878,750.1702427488071,5785.516016357943,199.39960753328987,8.448059959920151e-13,306.4160964147043,7.149766889646969e-13,4258.766913710503
4,2138.0391840689626,93.86483914725407,748.8332885107887,5861.701268985543,199.5068944313065,8.655584929351257e-13,304.8875200298611,7.214602179561602e-13,4243.581963085723
5,2026.1435829198354,94.7317163223661,740.2393789622167,5758.827389141444,196.50171590855663,1.0770360298062442e-12,300.07259311492425,6.939188806898144e-13,4309.781220959088
6,1883.5816587592244,92.45483582961698,732.6476078835401,5569.512429569276,193.4750406548067,8.808127838211277e-13,295.2232239237493,7.359811544926931e-13,4264.816314375651
7,1859.455128852846,90.35523119273095,731.2842559651637,5559.027690903533,193.3389435862592,9.418880606015811e-13,295.00516784706434,7.320125408605271e-13,4254.47205880322
8,1842.9937271757467,88.03514593639746,724.0056857203051,5535.599468954401,192.03708926781675,15.556487781436788,288.6993551621723,7.029139640138404e-13,4150.928467596025
9,2308.842307604053,88.4715985971515,725.786678429731,5920.049593827722,193.16203063485133,17.686828626786856,304.6137380436841,7.265394882938203e-13,4059.6661954802476
10,2418.9879746990587,88.47347556368352,726.8085258790695,5875.779399847342,194.17674032413086,17.687357349752162,317.750082560332,6.956477494740598e-13,3968.8859563999276
11,2426.04345601933,91.06666303347676,744.4367118234045,6037.154814211023,200.89711348623266,129.33577067273498,333.47717555660097,7.104325808193757e-13,4104.663163809183
12,2686.992091814736,91.69576437815594,747.4130205552439,6123.961612206108,201.47220440940922,173.71770921419025,336.3125618989075,7.005437896445699e-13,4162.212710290806
13,3169.304793360184,91.92232331985186,748.8617213937335,6294.8993591576345,203.1145992988632,239.87432744105215,338.3921198167185,7.122948064708368e-13,3987.6793054427617
14,3436.5574031034243,91.29066090341875,751.6297255267978,6352.343747925574,206.3655218131532,272.1423028398892,348.8655858315652,7.127319567867829e-13,3652.3279366829447
15,3493.9137859622706,92.14399980576836,752.4023408193746,6592.634860696727,206.8737930358673,221.48106298708507,348.9484718974874,7.027572967999163e-13,3342.5508667184367
16,3547.055584987219,89.40883637059689,784.8512381001018,6903.456277983908,197.01283414680293,264.83172438905757,345.6704977144996,7.004965184298495e-13,2866.118822122108
17,3429.002965825475,89.44726809842524,820.4525074139601,6628.708313680023,196.1032791122402,238.72953442151484,346.8634867420553,7.037113947117035e-13,2916.124570392364
18,3485.68161533727,89.62267739988454,823.8087448830643,6492.772056470016,195.54461279544293,175.5679540659959,348.71579665799874,47.40836683131334,2902.0952031396982
19,3644.6271498193923,91.31573477648861,827.9109817015947,6688.643132643264,200.33448682586732,115.94206814167048,350.9235975317213,55.02295113452321,2786.591036746644
20,3721.06717079201,91.82117525651692,831.7052472234699,6783.667001091375,203.69229526105224,108.52072942433341,350.2281339339641,55.417610139457736,2655.894437059199
21,3322.1530153271096,92.53066217703083,831.3935777582374,6371.928003812529,205.94560342518452,81.43807329261733,331.3519101325284,55.17222041698332,2568.7020473292177
22,3124.6145061966276,93.89466427963625,842.5736216538875,6290.789030885803,214.7140205159699,7.911824161131251,324.83617475447113,4.113349212345682,2477.6833341205656
23,2740.9452873123405,93.1446198591003,834.9247220530716,6307.726309925649,217.86741837438785,7.773347937556352e-13,325.79190834630447,7.218370866313162e-13,2372.360651957827
24,2789.183932498458,96.57350437886485,860.3633382884249,6731.781323714493,230.50885557935084,9.391081662313283e-13,338.3237263063129,7.27008730994072e-13,2394.8742967479766
25,2526.3190651832456,96.90837758401055,855.9892656409245,6858.994926737335,228.46666011484868,9.434588527090781e-13,334.1324742871331,7.006313931801067e-13,2048.423568412838
26,2637.3650168724666,97.57037579450194,854.1107689099102,6922.837978464425,225.2386295903651,9.264273376219379e-13,332.453073420547,7.106572275095147e-13,1806.0341569648112
27,2794.5473797730733,99.74848070185503,854.4770209122026,7003.979030485653,223.24664185295916,9.019278379707174e-13,332.66179053256064,7.29102542229576e-13,1632.7478526930645
28,3046.051249275446,98.77254759363575,856.1706723194098,7224.855174837376,223.47713326217234,7.900303675145715e-13,333.0200791587645,6.890633896805554e-13,1516.3714761502813
29,3555.098637083995,96.20593379992788,860.8566333703302,7765.066785992246,224.11849955553134,9.932384775757086e-13,335.68564395946345,7.160470133493746e-13,1397.023004036865
30,4856.337809254605,96.34278551784489,904.888399168019,9068.033389976716,230.4938268256614,11.85676388361669,347.8553941361237,7.128828777291929e-13,1192.9566714335353
31,5513.2106280698745,88.55780381183722,972.9263500557558,9832.472776709936,231.44672663796754,8.481756963441001e-13,357.55672689492366,52.037424907654625,1227.4326295652515
32,5613.197608546486,70.6237096003175,967.2924745326515,9857.54641430988,232.55688626951235,17.27197022993858,381.08354402830497,59.461175690384835,1343.072581763639
33,6014.649190170333,75.22444491991237,968.6462985478596,10004.816631984895,234.44774654260203,77.99910263386248,384.6335014110369,59.68135069565974,1300.6322725312648
34,6226.860917939334,76.30154529594836,968.3433195711558,10206.482988204136,231.04276927666822,183.79355695087744,398.79755413115845,59.65415415759372,1104.9145444541973
35,6253.105638346333,78.52494985918682,966.3491033897587,10573.56661145882,228.9045203386129,198.18514628464976,400.0210231708311,59.67311458976328,830.6929333116666
36,6179.816011325505,81.93805341546015,967.4749902714884,10968.926608792508,231.46925014405048,159.85137231748408,401.77295227066924,4.549513941807055,709.5537427229467
37,6304.449728731164,93.18393373589633,969.317878537493,11053.02823569693,237.59439919192343,339.6799288805451,403.9430081957963,7.130112472664152e-13,692.7948178400405
38,6286.17727228411,93.15207242209736,1012.1966073104925,10947.540666096354,234.17796742781468,146.92807188845913,404.88095397944613,52.16547991789419,756.6778773332835
39,6356.385701318703,90.99237606425176,1019.3867967655631,11077.65141463138,224.37317660404878,36.261459041948314,404.07009428386857,59.960237148983644,881.3543526226506
40,6408.5246243126,90.82329493658105,1016.5705620342409,11567.760032300157,223.88107481455626,310.27132956235994,395.40981443631864,59.816392010517774,1019.5412889852983
41,6386.86038805807,91.84723505238142,1016.8652422392106,11571.428260810904,224.75198989988726,242.58661231772015,393.87658789098913,59.748248051637695,1038.2304408086077
42,6383.793929132643,93.98218851058074,1019.4659593571992,11320.797375768487,226.75322934268434,103.37739325275122,391.2966174752806,59.6887035291546,1086.8121960871395
43,6396.650394381,94.07893386300887,1021.5115300195906,11238.237368903303,230.34001025512276,64.85689191159145,390.6842601053009,4.548652342370664,1113.6681841937523
