,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
490,21051.005715840583,1373.0359270513313,175.45231932799436,480.3829930567766,705.1943169360094,7810.904254422689,137.46679990234787,233.24029370526964,1515.112466482786,4953.84898549688
491,22504.218331806343,2307.3988822763913,175.45021127945628,509.8840463718571,732.8865542875375,7840.993165648031,137.23078294013055,433.31098122787,1515.8450568858755,5652.300477672013
492,22975.118444734937,2621.49526040801,175.4565108444409,768.8177543233038,802.1017298764677,7958.23116515702,137.93608178119587,509.0206910286055,1690.3764073811135,6386.783154320236
493,23995.603486588967,2432.3341934463156,175.45960135835756,933.810801551279,718.1692120741138,8036.193092423538,138.28209549620672,475.5256368742081,1808.7525885986179,6706.219421986505
494,24042.51316795497,2526.5107042629415,175.44957481356573,488.68201151547345,396.51328600212076,8002.412142710981,137.15952426494496,362.67373292007187,2359.3602330601775,6835.442567406113
495,22907.99508848454,2142.4365560104084,175.45145076296293,446.78172006549363,358.77198552345374,8015.964409641639,137.36955542410195,264.6028327248355,3317.9699921053398,7367.4340152719415
496,22258.701426175292,1994.8479743449943,175.44902621094027,515.8795860051536,406.44503250408826,7998.214344754288,137.09810275457406,115.81239274679554,4032.158936631128,7726.505456965875
497,24008.628597026982,2458.2073622029625,175.4596858509675,474.5612004312675,574.6845462879093,8077.910803093752,138.29155528271752,63.456989895089464,3917.1485293714127,7257.141247865392
498,24809.366451144015,2944.6299984061347,175.4352757244938,1522.2421185085798,923.0562761597345,7912.2503156010625,135.5585992834272,1.734723475976807e-18,3588.43492716535,6599.679023527469
499,24481.756810676045,2865.7633447593744,175.42431149391845,1041.8012071690484,759.6611828160844,7842.413894524424,134.33104481769243,0.0,3573.29236811037,6488.218474588416
500,22728.079790742646,2004.2644104455424,175.43034719352522,661.3675964064023,656.160221922854,7893.00047249092,135.00680131119643,0.0,3715.251605092034,6924.269164007356
501,20552.153176762527,1176.4499122582847,175.42645558308186,474.40322892869364,619.9980061455078,7865.515775575554,134.57109688613528,1.734723475976807e-18,3369.424950534119,7287.416736542555
502,17267.8669443283,1050.7792795490072,175.43185922925906,716.97619378172,407.09413805733607,7905.26560762211,135.1760887230603,1.734723475976807e-18,3029.083116052824,7144.36414434715
503,13913.82601801168,992.7230426001661,175.43773736449444,350.95539249321916,306.78433500009726,7949.8852176111595,135.83420432051287,0.0,3142.167410107447,6978.795316290363
504,10598.960907165563,348.98280533003697,175.44359226238765,12.909375127396043,270.17337655903515,7862.400004799328,136.48971826655333,3.469446951953614e-18,3627.8485531549954,7072.808321959661
505,9796.534064315063,342.85826243480267,175.4205014506865,1.4300188907128066,261.48374387034266,7577.043304322597,133.9044726515174,1.734723475976807e-18,3945.2584392091726,6911.467681179718
506,10333.694757133288,374.04935260900066,175.41472380335773,1.4293286054493453,260.2089671752926,7533.336064219449,133.2576076718882,0.0,3779.249779436263,6423.832062361237
507,9637.881687913601,508.7466037371414,175.37840018018716,1.424988835234332,250.15455321947854,7299.760610038396,129.19081741823538,0.0,3672.3627941560253,6207.329713180868
508,9635.031648132248,577.0419685749653,175.34258146402664,1.420709388858532,242.31578484951234,7083.409983603825,125.18055643717588,8.673617379884035e-19,3048.2093454668425,5871.306075034078
509,8790.695293505127,423.0809685125543,175.3461087722562,1.4211308145274901,243.74840951688637,7304.625435683587,125.57547363237332,8.673617379884035e-19,3325.1815487668246,5854.713058884938
510,9910.766978773216,347.9249045003994,175.39695793387222,1.427206025582382,283.9328543654216,7660.655517726483,131.26854219818287,0.0,3271.4771111722453,6126.697935419688
511,14671.616053718475,726.9428977535564,175.5145468092874,1.441254973748912,370.55676685641225,8450.37493475356,144.43378421045438,0.0,3598.544376533095,6680.047460828996
512,21117.96125667996,1474.1168550772773,175.4523415374889,798.0203555718474,677.6872656103504,8026.407003460667,137.46928647575714,0.0,3341.084376939212,6621.992284255127
513,23217.68015826081,1895.4642847065488,175.42003192043464,450.71308962787634,986.7122503649128,7816.827273200889,134.88304363114383,166.76287003123485,3196.036558524378,6718.264826831908
514,24001.98807702942,1702.777271552944,175.41526866143184,434.1686864422298,991.1550602310492,7781.95468994064,133.31860994271977,979.1556635642503,3055.1165820428623,6561.646211337339
515,23259.601724017582,1528.4414139316925,175.40384694771086,356.3357111048121,725.6872258700658,7707.382657850339,132.03983569424187,1999.7538798038615,3146.696450715014,6612.086021182882
516,21791.642804967443,1377.5460723583465,175.39362158638113,492.2811551402673,622.1534002721293,7636.391198794293,128.87892741445754,2721.133628686606,3591.0389731944083,7370.81077346285
