,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
0,654.6198823160944,160.29487043176636,273.74969205195924,41.63557301341216,0.0,78.74694895553097,887.9302434013229,1586.9473214812385
1,651.6198823161122,147.29487043178437,268.74969205197715,40.63557301343017,0.0,79.74694895554885,913.9302434013407,1548.9473214812563
2,566.6198823157094,167.29487043138147,294.74969205157436,48.63557301302683,0.0,82.74694895514608,811.9302434009379,1461.9473214808536
3,552.6198823157994,170.29487043147117,273.74969205166417,44.63557301311685,2.710505431213761e-20,79.7469489552359,850.9302434010277,1491.9473214809434
4,546.6198823157985,162.29487043147037,280.7496920516632,45.63557301311586,0.0,81.74694895523496,933.9302434010267,1402.9473214809427
5,454.6198823157057,115.29487043137794,268.7496920515705,47.635573013022984,0.0,81.74694895514219,913.930243400934,1419.9473214808495
6,449.6198823157421,122.29487043141425,244.74969205160696,44.635573013059556,2.710505431213761e-20,80.74694895517858,956.9302434009703,1497.9473214808859
7,481.61988231568967,133.29487043136174,297.74969205155435,48.63557301300685,0.0,81.74694895512613,962.9302434009179,1467.9473214808336
8,496.61988231575185,138.29487043142393,256.7496920516167,41.635573013069575,8.408984619734383e-11,76.74694895518846,1016.9302434009803,1534.9473214808957
9,534.6198823157727,154.29487043144462,250.74969205163754,40.635573013090465,8.275207852870844,65.74694895520958,1084.930243401001,1633.9473214809166
10,646.6198823158103,163.29487043148225,287.74969205167514,38.63557301312835,33.2752078528954,73.74694895524709,1136.9302434010388,1999.9473214809543
11,640.6198823156615,192.29487043133338,340.7496920515263,46.635573012979016,51.275207852745176,66.74694895509853,1118.93024340089,2023.9473214808056
12,635.6198823156961,188.29487043136805,316.749692051561,45.63557301301371,56.27520785277956,68.74694895513312,1133.9302434009246,2102.94732148084
13,725.619882315914,170.29487043158588,265.7496920517789,39.635573013231905,57.27520785299724,66.74694895535094,1134.9302434011424,2363.9473214810578
14,705.6198823157775,168.29487043144954,268.7496920516425,40.635573013095474,45.27520785286156,67.74694895521455,1126.930243401006,2271.9473214809213
15,680.6198823157639,191.29487043143575,317.7496920516287,45.63557301308139,16.27520785285354,74.74694895520065,1120.9302434009924,2107.947321480908
16,698.6198823157567,258.29487043142836,500.74969205162137,48.63557301307404,8.413469920753869e-11,81.74694895519332,1092.930243400985,1842.9473214809007
17,703.6198823157448,272.2948704314165,730.7496920516095,49.63557301306209,5.421010862427522e-20,89.74694895518127,1096.9302434009733,1585.9473214808888
18,769.6198823157716,269.2948704314433,751.7496920516363,44.63557301308926,0.0,90.7469489552081,1058.930243401,1482.9473214809157
19,776.6198823157242,288.29487043139585,617.7496920515889,52.63557301304137,0.0,91.74694895516066,1035.9302434009526,1469.9473214808681
20,757.6198823159375,247.29487043160924,383.7496920518023,46.63557301325493,2.710505431213761e-20,79.74694895537414,962.9302434011659,1485.9473214810816
21,720.6198823159741,230.29487043164582,319.7496920518389,44.635573013291626,0.0,79.74694895541069,999.9302434012027,1463.9473214811183
22,663.6198823157613,259.29487043143297,320.74969205162614,49.635573013078606,0.0,78.74694895519801,900.9302434009899,1365.9473214809054
23,624.6198823158302,245.29487043150183,382.7496920516949,45.635573013147656,0.0,83.7469489552667,826.9302434010586,1289.9473214809743
24,591.6198823158946,170.2948704315665,478.74969205175927,36.6355730132128,0.0,86.74694895533105,786.9302434011231,1220.9473214810387
25,590.6198823159842,149.29487043165625,520.749692051849,35.63557301330254,0.0,86.74694895542063,766.9302434012128,1121.9473214811283
26,590.6198823159374,141.29487043160944,510.749692051802,34.63557301325578,2.710505431213761e-20,87.74694895537377,684.9302434011659,1061.9473214810814
27,590.61988231628,153.294870431952,520.7496920521447,34.635573013598744,0.0,88.74694895571633,585.9302434015085,960.9473214814238
28,592.6198823172632,155.2948704329355,511.7496920531278,33.63557301458477,0.0,83.74694895670038,574.9302434024917,897.947321482407
29,614.3767858742249,173.65608852579618,552.4900512701271,34.674176478204096,0.0,88.95375320991565,485.60304656464433,872.152300913353
30,706.6198823157687,188.29487043144053,606.7496920516334,36.63557301308694,0.0,99.74694895520489,455.9302434009973,900.9473214809126
31,748.61988231577,294.2948704314417,829.7496920516347,42.63557301308784,0.0,97.74694895520639,536.9302434009987,900.9473214809141
32,797.6198823166587,556.2948704323301,1123.7496920525234,51.63557301397658,8.411493723770036e-11,102.74694895609503,509.9302434018874,878.9473214818028
33,812.6198823176442,618.2948704333155,1027.7496920535086,43.63557301496569,26.275207854735157,105.74694895708146,499.93024340287303,824.9473214827882
34,811.619882318637,617.2948704343085,1036.7496920545013,41.635573015964546,93.27520785572345,102.74694895807562,467.9302434038662,779.947321483781
35,812.6198823187598,617.2948704344312,926.749692054624,40.6355730160885,147.27520785584449,106.74694895819853,473.930243403989,662.947321483904
36,815.6198823204634,615.2948704361349,836.7496920563278,38.6355730178071,170.27520785755195,105.74694895990672,507.9302434056932,559.9473214856083
37,804.619882327023,620.2948704426951,862.749692062885,40.63557302449434,140.2752078641472,106.7469489664957,529.930243412258,626.9473214921701
38,806.6198823281726,619.294870443845,1035.7496920640303,41.635573025677665,80.27520786534227,106.74694896765276,427.93024341341436,721.9473214933173
39,809.6198823180143,645.2948704336858,1079.7496920538788,41.635573015338124,19.275207855111006,107.74694895745205,484.93024340324337,644.9473214831586
40,811.0419245536474,638.7061636046102,1209.4251859205435,37.65311097398698,8.416600749683312e-11,108.84312481037348,442.1819978242877,697.3433396673919
41,777.2725049047106,641.9639919058574,1262.8926981810987,41.667654187266706,0.0,107.90185516565433,433.3298830793178,815.6971041732102
