,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Hydro Run-of-river and poundage,Waste,Wind Onshore
95,4.476419235288631e-12,9.103828801926284e-14,1209.7335713186696,1.2267362240264257,7.527861590538564,156.5540313591686
96,5.222489107836736e-12,8.704148513061227e-14,1025.501586642836,1.3319741657829762,10.119258946077425,157.6153545287823
97,4.426681243785424e-12,9.459100169806334e-14,978.0619760501564,1.2106900244694527,10.598061033391534,155.73032644779605
98,3.552713678800501e-12,9.08162434143378e-14,943.8077889494468,1.1206879405515016,10.148050612652,160.24336592973432
99,3.82982534574694e-12,9.969802761133906e-14,901.5227299756999,1.0763057841753254,8.926139828547804,170.83193540375865
100,4.874323167314287e-12,9.259260025373806e-14,981.4490351955628,1.429402268119972,11.691622252032037,190.42923035413418
101,5.9969806898152456e-12,8.970602038971265e-14,1149.9896780819797,1.479758417061541,11.943402996774864,170.67698815068275
102,4.057199021190172e-12,8.593126210598712e-14,1223.285527009253,1.0883533320904035,9.986377565640955,141.41824937298466
103,4.092726157978177e-12,1.0058620603103918e-13,1298.7683065398808,1.1823865108434273,11.491903707595027,133.57020789660595
104,3.637978807091713e-12,9.903189379656396e-14,1242.5227299748292,1.0763057832887502,10.926139827668331,118.8319354028881
105,3.82982534574694e-12,8.926193117986259e-14,1220.5227299748285,1.0763057832878726,10.926139827667454,107.8319354028873
106,4.256150987203e-12,9.392486788328824e-14,1213.522729974812,1.0763057832712535,10.92613982765083,120.83193540287057
107,3.82982534574694e-12,9.636735853746359e-14,1194.5227299748199,1.0763057832793097,10.926139827658888,136.83193540287857
108,3.822719918389339e-12,9.015010959956271e-14,1224.5227299748037,1.0763057832632448,10.926139827642812,130.8319354028625
109,4.263256414560601e-12,8.215650382226158e-14,1271.5227299747958,1.076305783255229,9.926139827636504,114.83193540285455
110,3.318234575999668e-12,1.0391687510491465e-13,1243.5227299748037,1.0763057832631773,8.926139827646132,96.83193540286267
111,3.82982534574694e-12,9.370282327836321e-14,1263.522729974802,1.0763057832613845,8.926139827644338,90.8319354028609
112,3.82982534574694e-12,9.43689570931383e-14,1271.5227299748058,1.0763057832651775,8.926139827648132,86.83193540286473
113,4.035882739117369e-12,8.504308368628699e-14,1265.5227299748083,1.0763057832677558,8.926139827650715,87.83193540286732
114,4.035882739117369e-12,9.192646643896296e-14,1203.5227299748424,1.0763057833018685,9.926139827683162,85.83193540290148
115,4.526157226791838e-12,9.681144774731365e-14,1112.522729974819,1.0763057832781764,8.926139827661139,82.8319354028778
116,4.263256414560601e-12,8.859579736508749e-14,1077.5227299750504,1.0763057835102454,8.92613982789252,72.83193540310931
117,4.199307568342192e-12,1.0325074129013956e-13,1138.1402805958664,1.136132953126909,7.165448506360499,71.32761464348472
118,3.97193389289896e-12,9.059419880941277e-14,1191.6151836106085,1.2260135377660197,7.524970845495023,69.37501892479328
119,5.357492227631155e-12,9.50350909079134e-14,1259.7034032252118,1.4507714292052984,11.798468057474448,61.196426440229224
120,4.980904577678302e-12,1.0236256287043943e-13,1052.399630756228,1.4571131891413973,12.957112659125269,52.305661303245216
121,4.916955731459893e-12,9.259260025373806e-14,1031.4122885831357,1.4395702903378778,13.98463870118946,46.40199117837227
122,5.144329406903125e-12,1.0325074129013956e-13,1050.0991388559669,1.4948155555075473,14.29769520385926,42.691072214731655
123,4.483524662646232e-12,9.325873406851315e-14,1046.6463342725565,1.5062616038525714,13.21923753761764,54.28450296032848
124,5.307754236127948e-12,9.192646643896296e-14,1000.3406966072013,1.5327985211982813,13.360767763476716,70.87477563825061
125,7.204903340607416e-12,8.926193117986259e-14,979.5589826960547,1.645537891459809,12.772300368844775,70.9755537120869
126,5.7269744502264075e-12,9.170442183403793e-14,924.4011633288337,1.4334391584749648,10.59276224540056,83.23644761737317
127,7.73070496506989e-12,9.303668946358812e-14,940.1048172285193,1.701800139748847,13.053611610309016,115.68174728748812
128,9.684697488410166e-12,8.859579736508749e-14,928.902015405763,1.7600562712777295,14.572809097323946,123.76320248537223
129,6.913580818945775e-12,9.903189379656396e-14,898.8211794728184,1.43405171152699,12.834118111830554,128.02252389157098
130,4.583000645652646e-12,9.015010959956271e-14,888.7657809561366,1.0912461048241173,11.005821537378363,120.45444875206911
131,4.263256414560601e-12,9.85878045867139e-14,924.5227299748434,1.0763057833028091,10.926139827682386,119.83193540290216
