,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Waste,Wind Onshore
411,1472.8273678060086,844.3131933897489,898.5900863506803,29.14573690149641,641.712225329173,1493.1064063319368,2782.0,7.673861546209082e-13,53.71039297423164,35.12527826930858,924.1478210244409
412,1427.9199253557847,799.4842906879924,845.9556018224778,29.08496776157146,593.8429616422188,1584.5868098340854,2781.9999999999995,5.400124791776761e-13,52.55577931471012,34.69989428951807,870.3409522281739
413,1420.0031622954555,834.3871227261882,883.4551146020851,29.056840105791693,611.911538024438,1753.279130797732,2754.7254693564364,4.547473508864641e-13,52.02135385319352,35.53412833839309,839.767508745902
414,1445.5405832267465,853.816987663014,969.9500571495713,29.057710543642727,706.4770619305534,2056.1876167687815,2757.157472727418,4.263256414560601e-13,52.037892172461135,47.92506877432628,812.6530076408748
415,1461.9512202695596,908.3975162216252,978.0903432084532,29.05760087675887,728.0543790421088,2284.00575178299,2756.8510634520485,3.979039320256561e-13,47.90825485816492,58.2417595453635,793.9875540634704
416,1447.871437589874,894.2242649718979,983.5069068548316,29.056870653559994,731.5488291682112,2240.040720265377,2754.8108198216078,3.694822225952521e-13,49.9596178854562,62.34448559994151,753.1765226103566
417,1435.506789289644,878.6242104092328,990.5423724626926,45.53609894515281,738.804572773583,2064.4194212793814,2751.63836247602,3.410605131648481e-13,61.27056524915386,62.30588017770479,719.3335476763621
418,1439.8835726409247,890.5501877111986,997.4184054706113,30.090894825122728,740.0193714473337,1972.754722934254,2758.814599333563,3.410605131648481e-13,67.53802880216955,62.393207326277405,682.0085747830766
419,1454.9116369478916,896.9766931659901,997.5586592452444,30.08539757650778,732.4678610184583,2080.518166390794,2750.1051004387746,3.410605131648481e-13,68.47441813074003,62.29975409954352,612.0956887414428
420,1445.0174314183655,911.0010329272848,994.1009453915422,30.088556304644563,735.9031722371658,2189.0682952752295,2757.6105300544746,3.410605131648481e-13,69.56111779268377,62.3534524780357,508.93444725543816
421,1446.5150449991402,906.3824285498301,996.71409027835,30.089582028868907,736.34987513824,2177.8236317898536,2759.04449252452,3.694822225952521e-13,69.57958082877568,62.370889789900104,499.9239797634351
422,1447.6545338195579,903.4103704457456,995.8088565185383,30.08981841137133,726.1322899909219,2157.4435386184487,2759.374955263903,3.410605131648481e-13,69.58383571383139,62.37490829245269,539.2047522822617
423,1450.4197625223594,888.7229516062959,997.6658050160618,30.091355961273216,721.6300964871411,2342.967889306023,2762.5572717807445,3.694822225952521e-13,69.61151161214215,62.40104664085703,571.6596594092199
424,1445.4896138572753,892.0883944414113,1001.0418237751126,30.0918718600003,719.7847417488399,2417.9599356902777,2762.2456764555673,3.410605131648481e-13,69.62079778925468,62.40981691924101,566.6490305424811
425,1450.4169592202295,881.3622190378351,1002.6388149888082,30.08908734123651,708.2788778564557,2326.8721751048606,2758.3529192123174,3.694822225952521e-13,69.57067645136682,62.362480100125154,537.9650753906002
426,1459.1438727778423,850.0575906229084,998.3761299486313,30.0946081005932,704.4019514073925,2261.9904491084726,2766.070940814801,3.979039320256561e-13,69.67005012005296,60.38743737471715,521.9473581571871
427,1497.3712051275118,860.583006708178,1002.0792425335276,30.196700120000447,730.8961001769162,2255.9187329291167,2782.0,4.831690603168681e-13,71.5077064711997,54.42245289701005,509.9104379298449
428,1536.143660709443,904.3005540721431,927.1914606994503,29.146385674125675,690.3669920376153,2291.9489341518533,2782.0,5.968558980384842e-13,72.77416419668883,42.97453213638994,504.45850252358275
429,1535.269096541413,892.3226750055985,920.7244165090153,28.038051937068374,655.3660317110928,2053.9826942860486,2782.0,6.821210263296962e-13,72.87213837224155,40.765843778142525,460.864415897349
430,1522.4058896243696,880.7069832947857,929.278908408972,28.038370194741397,636.277979069869,1991.3656617887718,2782.0,7.105427357601002e-13,72.98671113498344,40.80403469905565,408.2304132417939
431,1518.1849970019762,890.2789845319821,930.841315150861,28.03890738371896,616.3157161591662,1939.084056250248,2782.0,7.673861546209082e-13,73.18009916762085,40.86849737660013,377.57950239487104
432,1511.8455997140838,900.3219434163946,925.8725895350617,28.039730564724128,602.5961246657411,1825.0773261569086,2782.0,9.379164112033322e-13,73.47644433046844,36.40655513804272,378.3943010048862
433,1506.3478753508198,899.581236754956,925.0294687471951,28.04001504840777,615.935268456092,1682.431923941408,2782.0,1.0516032489249483e-12,73.5788584568952,36.429313832803544,329.1651336092521
434,1510.912893049806,902.8258300677537,916.9638087006531,28.039754168174063,630.1245124003478,1686.3451114536865,2782.0,1.0516032489249483e-12,73.4849415724724,36.40844341404354,306.6363053722196
435,1501.5100375404688,882.8953396624088,894.7589111613271,28.037413670347892,631.7302451835606,1667.5417031157394,2782.0,9.094947017729282e-13,72.64236235188284,36.22120358725269,254.676875264338
436,1470.057215110167,833.4054719659914,909.5863967084451,28.03219872121308,677.7112357615345,1807.545331470745,2781.9999999999995,6.821210263296962e-13,70.7649806479499,35.804007653078244,210.72821147380893
437,1450.1006500699204,845.3528032990541,989.7264783886261,28.02941448364192,735.594154437903,2177.6449648933076,2774.300280793735,6.536993168992922e-13,70.79967527382576,43.87743006403247,159.37064635227063
438,1464.4869859347184,913.6455842218712,1022.7547057914551,28.029400172728874,757.2446403671356,2452.102977315875,2772.8631274684058,7.958078640513122e-13,73.90501144175408,51.13327979851192,133.42009780814618
439,1472.5530514710908,913.3865987749425,1029.7420429987244,28.029375554341545,764.2826914546972,2414.1781607390394,2772.1747973261877,8.810729923425242e-13,73.89516408635865,61.493926416987364,111.60776704784986
440,1470.0702516804035,909.8137692842181,1030.2927887959472,28.029331423091396,771.141485065169,2353.00854136774,2769.9046979402847,8.810729923425242e-13,73.87751158545018,62.5155526759982,114.64837363612637
441,1469.692414640465,858.7944002570293,1037.49767139555,28.029514418990527,773.828297724181,2269.1102242966685,2776.0574530896765,7.105427357601002e-13,73.95070994849124,62.577771284581864,121.16379439910361
442,1468.080949104295,871.5655472134423,1020.0287727020052,28.029340394642624,772.2585980334413,2247.5205003579367,2771.19173209708,5.684341886080801e-13,75.95365878166874,62.51860300356367,120.88013469889867
443,1462.8275571566833,867.3416336749322,1012.6900803027029,28.02933257754108,769.0794844238063,2235.9451525439868,2772.0093670440156,5.115907697472721e-13,75.95037559886063,62.515945188909555,112.57778388870236
