,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore
6545,295.74615921498616,1640.5064583582264,1466.1953241779343,322.34040728113854,172.59892910691252,100.33911318465246,245.8371130661265,939.8681863711895
6546,296.7875189302376,1685.5989133650917,1381.650727949475,593.99836058493,946.2482466219827,509.8037770794577,146.83711306586574,1129.6786995789319
6547,295.7461592158147,1739.280407422373,1360.5145788935552,586.9028170295599,992.9514862630963,582.7776775766923,99.83711306731979,1361.329164624213
6548,293.6634397868923,1643.727348004638,1390.1051875755786,743.0047752735311,895.4838557120634,430.7487182117926,0.0,1519.504592299651
6549,290.539360636117,1583.6040746574997,1364.7418087029305,279.7671459412887,474.1394111294548,93.24442841303193,0.0,1641.9629879136785
6550,290.53936063491517,1571.7941459639098,1334.094392568999,1.0136490797199489,343.1672825725341,36.48695024818659,0.0,1695.0282926803345
6551,292.62208006596836,1217.4962851933603,1280.197212473519,1.0136490796995234,86.29946455232492,36.48695024816653,2.710505431213761e-20,1654.2088274742882
6552,199.94106538313054,985.5922308707809,1171.3460448296971,1.0136490796500577,17.259892910491292,36.48695024811752,0.0,1527.6684853355584
6553,202.02378481421397,956.6042240804749,965.2685915235396,1.0136490796593487,16.24460509223939,41.55458222702607,0.0,1399.087169936586
6554,202.0237848142167,1008.1384583743727,831.0540450113205,1.0136490796620286,18.27518072876447,41.55458222702873,0.0,1315.4072662642354
6555,200.98242509866978,924.3953276467829,958.9277468064193,1.0136490796522422,19.29046854701597,42.568108622798846,2.710505431213761e-20,1379.6979239637167
6556,197.85834595204742,916.8799184789113,1140.6986286969757,1.0136490796410234,20.305756365266042,45.60868781012725,0.0,1500.1153463214819
6557,198.89970566772132,1021.0220169479654,1424.9798335143405,3.0409472386792467,24.36690763844488,46.62221420604032,2.710505431213761e-20,1721.560945064307
6558,198.89970566871293,1277.6195585373398,1549.6831129518991,367.9546158570125,662.9829453259662,295.9497075688679,2.710505431213761e-20,2004.2357416170084
6559,197.85834595390736,1600.7821527560588,1547.5694980469352,662.9264979901274,954.3705491677626,379.0588720235331,100.83711306563669,2224.660853730264
6560,203.0651445318112,1827.3180576731968,1486.2746657817324,10.136490797033991,984.8291837158238,172.2994872846417,179.837113065759,2237.9271799224357
6561,202.02378481626906,1920.7238573308762,1395.389224836443,1.0136490821979147,631.5090229607752,127.7043258703215,271.9999999999967,2187.9233350450486
6562,194.73426680745627,2105.3881968839446,1361.57138634512,1.0136490821181694,650.7994915076932,117.56906191246966,271.9999999999991,1977.703089233962
6563,195.77562652264822,2243.8864515484333,1506.3540073855145,1.0136490816269128,301.5404820253615,90.20384922607582,271.9999999999994,1640.9425012839113
6564,199.94106538459647,2094.6518980721576,1599.3530632363006,1.0136490813541967,146.20144583114043,65.87921572716401,271.9999999999995,1564.4060040224178
6565,194.73426680560743,2117.1981255743926,1277.0267901150753,1.013649079810778,103.55935746288057,89.19032282882945,271.99999999999943,1556.242110979935
6566,188.48610851230788,2236.371042378944,1263.2882932279183,1.0136490797324482,183.76709510547215,93.24442841187334,271.99999999999943,1371.534030922591
6567,187.44474879685177,2110.7563462876587,1301.3333615306774,1.0136490798137539,208.13400274382977,47.63574060185597,271.9999999999993,1309.2843464834807
6568,188.48610851239147,2193.4258471341177,1436.6047154957541,3.0409472387178504,263.9748327482215,56.757478163877686,271.999999999999,1291.9360737709226
6569,184.320669651475,2151.5542817715973,1687.0680818229591,337.5451434725,263.97483274942164,118.5825883076518,271.99999999999045,1275.608287689718
6570,186.4033890841025,2179.4686586823796,1755.999999999998,875.7928046846778,600.0351005955229,468.2491948532322,152.83711306661792,1379.6979239665952
6571,192.65154737876117,2077.473819977174,1755.9999999999982,968.0348709199059,811.2149667953261,454.05982531370347,5.421010862427522e-20,1982.8055223870178
6572,199.94106538627403,1959.3745330523986,1755.9999999999982,248.34402447882928,500.5368944060709,66.89274212459055,0.0,2459.3727786661675
6573,195.77562652340643,2016.2769167511733,1755.9999999999984,139.88357297240557,501.5521822236357,63.85216293654495,0.0,2575.708254502644
6574,194.73426680598922,1869.1896230354164,1755.9999999999989,15.204736192965973,160.4154752859032,36.48695024864637,5.421010862427522e-20,2610.40479992593
6575,200.98242509870786,1583.6040746562292,1755.9999999999968,1.0136490796896176,85.28417673405356,36.486950248156774,0.0,2738.9861153244183
6576,198.89970566757765,1201.3918369764497,1237.9249143593659,1.0136490796345274,16.244605092214552,36.486950248101984,0.0,2887.977163326358
6577,196.81698623650217,1163.8147911371493,995.9160076562241,1.013649079632967,16.244605092212986,36.48695024810042,2.710505431213761e-20,2999.210206012777
6578,202.02378481418427,1135.900414227954,934.6211753907974,1.0136490796304396,16.24460509221045,4.054105583166741,2.710505431213761e-20,3083.9105963152783
6579,203.0651445297206,1171.3302003050062,933.5643679379446,1.0136490796299067,18.27518072873232,1.0135263959170302,2.710505431213761e-20,3061.4598904519635
6580,206.18922367633155,1286.2085975851471,977.9502809577347,1.0136490796299733,17.25989291047116,2.027052791636612,0.0,2984.923393190665
6581,204.10650424526963,1375.3198777183525,1421.8094111556452,33.450419623294025,15.229317273960511,6.081158374727699,5.421010862427522e-20,2956.3497675464587
6582,202.02378481535376,1717.8078097977243,1755.999999999999,190.56602694580218,125.89568946559926,115.54200912006914,0.0,2972.677553630004
6583,204.10650424726236,2003.3933581772508,1755.999999999999,821.0557543911335,421.34444458054224,128.7178522660227,101.83711306575707,2985.943879822778
6584,205.1478639629643,2234.223782618824,1755.9999999999993,1272.1295947655885,688.3651407835077,404.397031918321,194.83711306583382,3036.9682113304707
6585,203.0651445342678,2209.530295355421,1755.9999999999984,936.6117494557633,604.0962518700936,227.02991265914486,271.99999999999767,2737.9656286986315
6586,203.06514453489072,2373.7956671678435,1755.9999999999982,142.92452021354458,237.5773494782712,147.97485378892878,271.99999999999915,2334.873409789727
6587,206.18922368056204,2350.1758097821876,1755.999999999998,255.4395680363152,178.6906560181894,128.71785226819637,271.99999999999943,2014.4406079215166
6588,207.2305833970457,2411.3727130071497,1728.283572487964,12.163788959236424,166.50720219997643,131.7584314564618,271.9999999999995,1777.6877097274812
6589,207.23058339580547,2393.1210050268014,1571.8760694646094,1.0136490853568478,180.72123165442616,133.78548424680864,271.99999999999943,1517.4636190378674
