,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore
7922,337.97872613244243,4617.288389023421,17.422906764540958,58.320771873332134,2.5757174171303632e-14,2090.442022419924,2.710505431213761e-20,164.93920532732608,59.43987365643789,45.20003718343223
7923,335.338267334536,4606.580391831811,17.42290676454503,4.654054919228656e-12,0.0,2091.486721081805,0.0,163.93920532732818,22.133213502366033,46.35901249582878
7924,332.6978085366249,4379.570851369622,17.42290676454217,26.512398166103587,2.1316282072803006e-14,2092.5314197436824,0.0,163.9392053273267,28.450740583292035,38.24618530906808
7925,335.33826733453986,4451.314432553431,17.422906764550838,100.03681265827146,0.0,2094.6208170674454,0.0,163.93920532733114,44.036744998531596,34.76925937189078
7926,442.27684864999793,4895.696316005465,17.42290676475608,260.24736946865437,0.0,2093.576118405674,0.0,165.93920532743417,114.46964805357415,30.13335812243354
7927,504.3276304009601,5249.060223328761,17.42290676490594,299.83101860485357,5.329070518200751e-15,2093.5761184057505,0.0,168.9392053275073,53.787349390873636,31.29233343491243
7928,508.28831883691254,5290.821412541792,17.422909519085387,381.0707720529321,1.2434497875801753e-14,2093.576118573224,6.557924908664191,173.9392055165734,135.1836990656367,32.45130908055063
7929,510.2938595931341,5108.565650525201,17.4236795596195,490.15951408004065,0.0,2100.8052390368193,77.9047678955929,173.97566452914145,234.38734321805788,37.2293403396109
7930,505.84034071960303,5163.884793378742,17.423494249155127,403.4000126746665,1.4210854715202004e-14,2099.869055369232,183.07452426658617,173.72712634612594,152.5424484376972,38.357718869460676
7931,499.35578686893615,5255.542019142537,17.423547943391075,17.257857143542047,4.440892098500626e-15,2099.39609263177,205.05588956623941,175.80570551951138,145.77382302505626,37.20513356772079
7932,503.34656763126475,5169.772857522906,17.423554616565397,88.49526572839423,7.993605777301127e-15,2098.419375686035,239.05780867231536,175.81472390146803,185.4770387421621,45.34609312347055
7933,501.6871716032617,4971.723096066164,17.422906765244928,132.9457718736724,2.220446049250313e-14,2090.4420224202804,309.31541774776304,188.93920532766688,255.01721325243085,52.15388905819199
