,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other renewable,Solar,Waste,Wind Onshore
6807,187.48451874837548,4853.271898031857,143.92030459279604,781.0529847749586,527.0177632930482,4.5139003645999765e-11,70.73837856318168,28.71758232805506,3609.758853772852,14.252469442683264,551.4468270925004,10.941238047956507,96.30476681844102
6808,188.48451874850002,4905.2080954835965,143.9203045929206,794.052984775083,530.325406159033,220.93842421224466,61.73837856330785,92.71758232817069,3610.8164648264756,17.25246944280542,149.20316359542406,10.941238048083182,105.30476681856553
6809,187.4845187478764,4937.253834336024,148.9203045922969,803.0529847744599,539.1457871339393,229.938424211621,61.738378562682016,88.71758232754613,3611.8740758793083,19.25246944218054,9.073165534393235,10.941238047450945,127.3047668179405
6810,186.48451874776939,4910.733222871258,138.92030459219,798.0529847743529,533.6330490240753,265.93842421151385,61.73837856257488,89.71758232743902,3617.1621311466524,18.252469442073334,0.0,10.94123804734317,128.3047668178334
6811,185.48451874826193,4856.586974464813,135.92030459268256,790.0529847748451,525.9152156709739,269.9384242120063,58.73837856306861,142.71758232793073,3621.3925753611397,15.252469442567588,0.0,10.941238047841065,138.30476681832593
6812,186.48451874902352,4707.408534977009,132.9203045934442,645.0529847756054,521.5050251840154,3.236078072177406e-11,68.73837856383466,25.7175823287142,3624.565408522418,13.252469443330824,0.0,10.94123804861687,131.3047668190895
6813,186.4845187483602,4679.782898033936,148.9203045927806,87.05298477494615,530.3254061588789,2.5204347045863426e-11,70.73837856316626,19.717582328044934,3626.6806306287017,8.252469442679455,0.0,9.94123804794336,119.30476681842475
6814,185.48451874727454,4589.170808861857,154.9203045916949,86.05298477386035,520.4024775601393,2.5190674009635886e-11,70.73837856207949,19.717582326953146,3628.7958527345363,7.2524694415968725,0.0,9.94123804684981,108.30476681733897
6815,185.4845187472587,4638.896955358055,139.92030459167927,86.05298477384451,511.5820965845283,2.519244071707595e-11,60.73837856206422,88.71758232692832,3630.911074841503,7.252469441581638,0.0,9.941238046833996,116.30476681732294
6816,186.48451874722085,4675.362796121904,140.9203045916414,86.05298477380668,517.0948346942325,2.5148979117739154e-11,69.73837856202587,16.71758232690161,3633.026296948446,7.2524694415445765,0.0,9.941238046796203,116.30476681728511
6817,186.48451874721985,4635.58187892493,139.92030459164044,86.05298477380572,515.9922870722822,2.525284980583152e-11,69.7383785620249,15.717582326901518,3635.1415190554285,6.252469441548158,0.0,9.94123804679524,103.30476681728446
6818,186.48451874721937,4640.001980835705,136.92030459164,87.05298477380516,502.76171560889145,2.5162097313504925e-11,69.7383785620244,14.717582326901983,3636.1991301089192,5.252469441554069,0.0,9.941238046794721,91.30476681728429
6819,186.48451874723483,4746.084426694312,137.92030459165545,88.05298477382063,510.4795489625528,2.5176236068775656e-11,69.73837856203988,14.717582326917466,3638.314352215919,5.252469441569303,0.0,8.941238046812797,82.3047668173001
6820,186.4845187477087,4809.070878923374,136.92030459212936,343.0529847742927,508.2744537191771,2.513201967499143e-11,67.73837856251387,28.71758232738388,3640.429574323404,5.252469442043832,0.0,7.941238047290392,83.30476681777394
6821,187.48451874987904,4947.1990636374685,143.92030459429893,819.0529847764544,511.582096587411,2.5063873990583546e-11,66.7383785646978,37.717582329574796,3643.602407486164,12.25246944418683,4.032518124359996,7.941238049512057,83.30476681995562
6822,187.48451875033925,5116.2679617251,145.92030459475876,823.0529847769101,528.1203109171528,2.5093091368883283e-11,71.7383785651603,46.717582330035754,3648.890462754103,14.252469444643452,32.26014363322495,7.941238049995141,69.30476682042303
6823,186.48451875112266,5118.47801268134,139.9203045955424,834.0529847776855,540.2483347594521,143.93842421487386,61.738378565956154,138.71758233079882,3652.0632959153945,13.252469445425959,315.544528202166,7.941238050827051,61.30476682121983
6824,187.76595414958825,5117.8267404963635,141.21699018798523,831.3048870656389,540.995796381471,153.16301798124124,57.824334205267334,187.98376753528092,3659.232689205538,12.632337914110678,710.7057050788131,7.963420151713853,55.38101779164017
6825,188.05855867035297,4831.531964365589,145.53676125770482,822.5781948717914,542.8785873617588,298.8065535517556,55.908045535888355,325.6479228906453,3663.4268399102466,14.030109730731283,1051.416613293813,7.986482574752031,54.45746709397784
6826,187.74533563347458,4759.92595083265,147.20296328570157,825.2054613435154,544.2529284240882,255.2776146428786,61.82317617363261,99.85120280298679,3651.4496213866323,11.603223183461239,1241.5911345632326,7.961795047353556,59.380570743332655
6827,187.67265833588397,4708.452169278067,147.12419971179764,810.8713456223063,546.2658601986766,132.06910244948767,58.796766714945576,184.89274677197145,3637.443998172574,10.504557952142704,1310.77295868367,8.956993585316978,54.3548138064964
6828,187.8202957064282,4689.735482470457,144.2792385822628,792.4821044305356,543.3488642452498,18.984738277560126,58.84258520710902,143.96238523411512,3634.7839346079563,10.7023774841403,1291.528699364263,9.971011376688487,54.39408679932269
6829,187.7062192548114,4714.760851058893,145.1583869097187,783.9878400979886,543.0446505094673,61.014872665618746,58.807182171792384,136.87157135114091,3630.632018790107,11.550618398062568,1150.5216481361274,10.96198834595692,42.35063589241845
6830,187.83624256191496,4733.2738570421625,152.31014625779147,791.5482441322254,552.2270540009242,113.14980502712129,67.86312789760655,40.795550662972886,3630.8305490190746,14.730675217873056,898.7880692043583,10.974158013017892,32.36021096843298
6831,187.50052524152056,4821.606222264773,147.9377303718884,659.1107025188813,542.4961152128716,18.940632116551924,61.74358272129017,111.72672894132043,3621.677442012044,15.274310778514632,525.2767955734856,10.942736319715024,24.306659329911692
6832,188.4845187490543,4849.956821599523,144.92030459347467,741.0529847756359,546.8636204888805,5.619149590074812e-11,62.738378563866824,65.7175823287316,3620.334964308484,18.252469443357484,136.0974803241459,10.941238048648355,22.304766819146028
6833,188.4845187516631,4885.317636888568,150.9203045960815,799.0529847782209,541.3508823819936,229.93842421540427,56.73837856651109,172.7175823313355,3623.5077974716846,18.252469445960685,8.065036056032879,10.941238051379795,33.30476682181999
6834,188.48451874801304,4858.797025419925,140.92030459243364,795.0529847745964,535.8381442682423,475.93842421175714,54.738378562819356,242.71758232768101,3627.738241681827,18.25246944231668,2.710505431213761e-20,10.941238047588868,36.30476681808291
