,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2908,348.0000000008668,1025.0000000008672,8.872960340228336e-10,127.60635952528044,27.00000000086561,3469.000000000867,418.00000000086686,8.872960340228336e-10,254.00000000086666,575.000000000867,497.0000000008669
2909,345.0000000010085,991.000000001009,1.0386974706661917e-09,136.430739800768,27.000000001007272,3469.000000001009,533.0000000010087,30.000000001007276,251.00000000100835,707.0000000010089,591.0000000010087
2910,343.4694798802894,1081.9288616180802,0.0010204377137984833,186.88780523000486,27.275517521976447,3504.3988991108545,659.6634422386051,293.96946660374783,254.57149685303105,681.8879379954196,608.1430202568987
2911,347.3541441994969,1266.5840968113062,0.0006823644545605304,840.69771131865,26.177413768874818,3490.657443272954,728.9402910120665,835.663593286822,258.75366683932253,749.076763139379,457.0979172933494
2912,350.06245551571567,1254.9789471447268,0.0008825548976760667,655.7365881395626,26.22946352808077,3495.5804275327177,739.469106317052,1470.8676084698193,256.24168213611887,787.8927312871663,310.71826022749764
2913,348.7244906356875,1014.9293701393449,0.0007874282977752067,85.6693112855312,27.212604763278573,3492.2842775825898,712.5670950242209,1999.6225127642645,256.0000596003826,790.1734123037694,361.82685589067626
2914,353.00000000066075,983.000000000661,6.712838241722624e-10,191.45329670395708,30.000000000659902,3471.000000000661,690.000000000661,2231.000000000661,241.00000000066066,810.000000000661,668.000000000661
2915,356.00000000061954,968.0000000006197,6.284917896478697e-10,67.20962304689566,32.00000000061873,3467.00000000062,659.0000000006197,2417.00000000062,246.00000000061942,810.0000000006197,793.0000000006197
2916,342.00000000078427,1025.0000000007847,8.002654864143624e-10,19.495098954384076,32.00000000078326,3464.000000000785,645.0000000007844,2473.000000000785,251.00000000078418,783.0000000007846,814.0000000007846
2917,332.00000000080183,1017.0000000008022,8.187309337366506e-10,54.46856832584377,31.000000000800792,3460.000000000802,655.0000000008021,2416.000000000802,254.00000000080175,762.0000000008021,773.0000000008021
2918,345.0000000008179,942.0000000008182,8.356291840535428e-10,98.5698406070612,29.000000000816794,3460.0000000008185,655.0000000008181,2171.0000000008185,251.00000000081778,803.0000000008182,769.0000000008182
2919,345.42123578689655,953.6848696449858,0.0007059033223692674,38.26824186849762,29.20471090041507,3487.4453047227166,660.6307016769332,1759.3320668080166,257.80710309541684,761.3366013223122,769.3930732939425
2920,350.14623208358125,1035.2149470267093,0.001491663100205957,203.9982395623802,30.44749844345425,3512.6264035840036,673.9046321826302,1140.7662749586875,260.83356998729175,783.5156265735305,786.5603764177223
2921,363.9039411147055,1050.2672078242865,0.0010844303851988042,293.1448414539238,26.281951304692626,3499.5429003681925,688.3849552734326,573.1487072544455,256.75444734266455,820.8055560671808,767.2308091811606
2922,353.73386323703465,1088.4118868770718,0.000778881712977285,521.0268014047252,25.194719606517666,3487.956981920863,681.2652180834165,219.69795494605378,257.99392874347683,830.4179581365378,631.8835676604236
2923,360.27829426744864,1122.3276076998973,0.0012017701078129877,612.2706967172228,24.288424334417986,3502.5931922857103,663.8835984238029,44.52877794484028,256.04047317376677,777.229578642175,508.03287562354114
