,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
0,5101.704922203206,8719.240385245268,1156.508938947681,2259.938915118243
1,4419.526284757537,8566.279447325966,1138.2260796973433,2205.250351758481
2,4291.0000000006585,8540.000000000658,1142.0000000006585,2253.0000000006585
3,4259.000000000591,8541.000000000591,1056.0000000005914,2224.0000000005916
4,4242.000000000659,8542.000000000658,1053.000000000659,2154.000000000659
5,4376.000000000636,8540.000000000637,1053.0000000006355,2183.0000000006357
6,4638.0000000007285,8541.00000000073,1060.0000000007285,2236.0000000007285
7,5051.000000000618,8539.000000000617,1064.0000000006173,2309.0000000006175
8,5454.000000000579,8542.000000000578,1070.000000000579,2378.000000000579
9,5895.000000000528,8539.000000000528,1101.000000000528,2462.000000000528
10,6725.393902617535,8540.500212282177,1111.0650748479547,2504.1466667660075
11,7086.881787077632,8546.09286538845,1122.9319821022825,2451.034246106663
12,7353.507711110063,8552.710535385791,1132.079525017956,2483.562073011225
13,7495.204414660306,8577.141843233387,1127.1437278220833,2446.1630813192587
14,7739.860835130799,8578.856524775121,1137.4169109956572,2384.355415005963
15,8125.040578262831,8551.725401528844,1130.8149424258452,2442.920854347136
16,8616.851520890412,8659.448950725315,1151.1448300638533,2470.650930425945
17,8791.90013188728,8670.002036471185,1159.0477239161519,2521.2589401910104
18,8696.24486286045,8667.809167875042,1158.754570656864,2551.088064406678
19,8599.282705651416,8617.456603585157,1147.984552817094,2533.2394397667813
20,8298.443174544824,8645.857553754913,1166.8261365907722,2485.5827597147854
21,8291.555309121808,8677.776321314226,1134.270130545454,2455.552540677414
22,7849.617803991477,8642.37554170899,1124.8452702498084,2391.435219016871
23,6679.000000002503,8537.000000002503,1109.0000000025013,2277.000000002502
24,5262.000000000581,8537.00000000058,1086.000000000581,2077.000000000581
25,4989.000000000639,8537.00000000064,1090.0000000006396,2001.0000000006396
26,4908.0000000006385,8536.000000000638,1092.0000000006382,1951.0000000006385
27,4859.00000000162,8261.000000001619,1092.0000000016187,1903.000000001619
28,5829.291962793866,7989.418084232513,1192.2067051289478,2026.2070120956835
29,6567.484291259667,7854.218784836476,1186.1080023989161,1942.9476754095685
30,8340.423106993445,7336.372171870109,1122.0569220483937,1766.0895935679393
31,10746.363764028287,7334.295738444169,1202.3763608929405,1710.535421870899
32,11711.000000009893,7329.000000009893,1216.000000009896,1638.0000000098937
33,12125.722156245396,7347.403769969809,1195.832564479297,1530.6255875579704
34,12365.460807107238,7395.258042478917,1230.1882578871553,1456.2441805829412
35,12452.828528585867,7416.981678540046,1239.2033596810165,1377.0052050746247
36,12460.590167859995,7450.90354890307,1229.7706636265468,1308.1583632119325
37,12398.071558612342,7426.4621155711475,1220.8299979559392,1284.7637384971918
38,12370.162210176268,7407.119137387667,1206.3514157368195,1308.5674333452307
39,12435.573051700727,7367.513244200372,1139.6590588215076,1347.052845143533
40,12409.486885478698,7354.030577554908,1117.6277165872857,1380.9536713936545
41,12357.097718799516,7402.319406431409,1151.4269388369278,1426.636189595377
42,12248.621456524175,7444.262329823852,1172.8378287698165,1471.1377279270946
43,11890.178895854073,7390.209712915787,1151.24884842011,1443.1005301681278
44,10996.2734308832,7400.599171493236,1127.1230810310146,1396.0152241284934
45,10128.97317761203,7414.5541066337755,1114.3085000567305,1342.028220776383
46,8834.000000005177,7329.000000005178,1094.0000000051732,1258.0000000051734
47,7654.000000001374,7329.000000001374,1085.000000001373,1242.0000000013733
48,5651.945170975835,7379.54365928875,1123.543072822283,1062.130772247057
49,5416.70145651887,7340.015736837493,1104.7549248368973,1038.709793462804
50,5390.00000001016,7336.000000010161,1097.0000000101663,1092.0000000101663
51,5382.000000005247,7337.000000005248,1110.0000000052432,1150.0000000052432
52,5637.000000008796,7335.000000008797,1116.0000000087969,1259.0000000087962
53,5997.138450891633,7425.558834788571,1152.0498914793343,1453.7290370507646
54,8068.000000003001,7336.000000003001,1161.000000002999,1597.0000000029995
55,9671.000000003154,7333.000000003154,1185.0000000031519,1756.0000000031525
56,10191.716128607903,7390.631517879129,1150.6613760649896,1966.8047338672595
57,10190.031240636756,7426.667250676171,1160.005543040278,2141.8601475317687
58,10378.173716905178,7500.347461547637,1166.8798000589209,2414.55145305686
59,10300.215272598525,7540.8802300142115,1167.8854725700367,2451.942651477566
60,10188.863988020365,7543.153924700191,1161.355622663506,2559.3027362140956
61,10034.118926292682,7569.2000911949335,1176.7200469066743,2534.076943118375
62,10320.747770078884,7706.662862839341,1212.969032149397,2543.661228597029
63,10405.133178158972,7642.035105906343,1275.757088056831,2499.3999159801
64,10861.991091756447,7557.01903945469,1274.7896565948502,2458.8909625177434
65,10890.852981654334,7570.634649205946,1264.697592428967,2420.99253407766
66,10505.69383579678,7613.513694835499,1287.2589284973676,2324.3328555685516
67,9980.364144693473,7666.107104857882,1287.7889218963742,2224.362683275186
68,9353.25299337612,7546.9940847247335,1272.4044817785732,2055.1852502772663
69,8850.903694038363,7569.077170021473,1292.155504871876,1959.407668058751
70,7877.208833875763,7509.134127203751,1277.4960571410975,1881.3846427394692
71,6884.049964252176,7517.148612030243,1256.9624692523096,1822.3390574625444
72,5774.835446167208,7664.631220530332,1277.7831384650242,1846.3759589790934
73,5781.316991648069,7768.677360004052,1285.2015000414476,1866.1543732306834
74,5640.839195920925,7714.35743953045,1265.0221136755606,1804.3646024027512
75,5497.289115112618,7905.142317930612,1255.6538606118365,1765.8266327337624
76,5886.000000001669,8028.000000001669,1245.000000001668,1749.0000000016682
77,6104.142888466347,8192.905856734375,1283.0684771360427,1736.2716283995978
78,7487.646871099285,8144.834550339821,1337.882849341418,1761.0176848088863
79,10585.253016261717,8233.091608627978,1412.5608811633708,1841.279955461146
80,11875.037838700147,8082.922543079476,1439.5231599435854,1738.7383310459759
81,11752.06702413508,8150.447585670435,1402.5975110196182,1653.5673398308666
82,12067.152501855775,8263.155353754393,1409.8659657063224,1623.1742170017271
83,11696.749677490203,8391.279660409586,1414.8800011356716,1692.5476492659766
84,11771.990010613694,8435.66978892669,1449.1916610041974,1699.4413179644275
85,11797.941835517113,8484.36360764844,1449.1765822883053,1737.9841139356681
86,11767.106257675738,8576.0438578407,1418.815806886081,1737.6164871121798
87,11938.635170007426,8560.085419648633,1431.1200731517094,1789.6684093025824
88,11933.803309172079,8373.041997008344,1427.976464346389,1876.7690674263215
89,11910.477542964652,8362.393957423976,1434.3099880693526,1997.643385371677
90,11444.202027458849,8362.601623617733,1448.3115354478389,2028.6525085986564
91,11006.140392353576,8552.92125577156,1474.393935286687,2049.9924027155917
92,10515.419109178987,8633.2379824558,1446.7282258763516,2006.157129083135
93,9633.517624855042,8612.383100354507,1427.753960904644,2044.3072416659445
94,8812.231957340086,8728.600933491873,1420.694923644408,2052.5737704975654
95,6885.858880636749,8459.51223225009,1360.5648812980437,2032.8439990881805
96,5704.635899578087,8547.85715852691,1375.6218035674926,1995.207524056518
97,5600.098926679582,8602.549350136567,1379.1743815080076,2039.2659549577313
98,5560.304965714685,8600.778968546221,1381.9411939304769,2058.1670173027082
99,5507.463802025904,8539.901241973972,1377.370851846885,2054.9484483187975
100,6211.959586482488,8500.36469543091,1406.0073550414,2068.3081748907684
101,6607.068591883227,8500.545505041031,1408.0473223687227,2054.2817465515623
102,7829.5431651153285,8473.904646641273,1395.949523752101,2055.3427661223473
103,10123.735329127605,8499.273379781649,1441.5089327779579,2102.9544542319436
104,11364.171062481279,8469.778908776532,1415.6372839114927,2093.9008657938384
105,11558.20649478116,8507.467629698978,1419.2524031133712,2092.165130030609
106,11753.457809044205,8577.944391495357,1426.4446853286343,2067.6346150062295
107,11717.112717879752,8567.49284585116,1462.8662255435024,2066.6531164180733
108,11710.843110132522,8582.472145005258,1510.9128663896554,2069.0069406095695
109,11700.86183574391,8569.95924893725,1488.4452750887847,2076.122783291977
110,11721.79013885354,8583.329534675115,1530.1644329472672,2075.0572051567124
111,11884.392402271265,8651.191233188187,1527.1019757811503,2067.162152078482
112,12072.728552730512,8629.791680369008,1510.2390548603496,2033.7205650919595
113,12145.851712273981,8626.807613621182,1511.2209082026857,1966.0147847599587
114,12017.194569792893,8613.815931465768,1507.748657902101,1983.1832448296418
115,11595.03958324476,8610.026759787102,1526.60048932502,1932.6762194851308
116,10339.001676754562,8549.65622874045,1516.548570001754,1893.4124051848505
117,10039.561606121317,8592.133916044344,1514.466446250418,1875.053695357313
118,9007.592391773553,8590.405049761122,1493.144963749176,1880.8957293179064
119,7936.493150195176,8545.284063509798,1510.3668429852685,1919.2562623756871
120,6384.866097285349,8522.215628116252,1517.1859363963154,1881.6327240368182
121,6002.770166018262,8494.978271044523,1498.9367588270802,1862.1329480458835
122,5858.3599214784035,8483.001336362046,1487.6307256244743,1885.3340239866097
123,5873.471017659717,8536.9983826871,1487.0184948610256,1948.7503393661514
124,5899.297045670107,8515.953187514928,1487.9025120332192,2028.134864271078
125,6115.000000004781,8464.000000004782,1481.0000000047783,2025.0000000047792
126,6454.0000000119,8461.0000000119,1494.000000011908,2154.0000000119044
127,7536.000000002992,8461.000000002992,1471.0000000029904,2251.000000002991
128,8872.0227507327,8477.309904777,1434.5908513034476,2326.2010870917
129,9607.88744169601,8508.292414892943,1359.9196263889003,2423.3305389644465
130,10195.639585867822,8481.186792057548,1368.1593515382804,2350.992184884247
131,10337.709606496015,8535.917025708648,1401.0594482763927,2442.563855342448
132,10299.984499540938,8555.875211600514,1473.0042172817118,2609.6373283632106
133,10311.136690107885,8611.77584084857,1483.5369787922798,2685.696107763856
134,10322.335362948766,8625.982839209119,1485.5691245380654,2861.208150923845
135,10557.86317335197,8598.609919828283,1444.8236813212754,2996.1503600087512
136,10810.861099663673,8569.597258280779,1447.3365245355865,3085.376197234595
137,10758.890736792606,8520.497367949438,1452.2552153089578,3105.545759855022
138,10654.000000097554,8556.000000097645,1491.0000000990062,3232.0000000982063
139,10169.173077095702,8591.197944444802,1493.8164589216572,3257.1410515982084
140,9358.940863094653,8596.479242625115,1506.888669113364,3446.6070623183823
141,8875.488293146556,8623.62310811794,1486.1049363707205,3512.064333075015
142,8239.000000009515,8598.000000009515,1470.0000000095147,3490.0000000095124
143,6666.000000002093,8610.000000002094,1507.0000000020914,3454.0000000020923
144,5566.958525581897,8691.560337618494,1524.959088499673,3379.939104818557
145,5197.0906092530495,8701.166650007646,1504.3413120570149,3255.87485848661
146,5145.906416359178,8726.591199585335,1515.6444773324897,3184.067536823853
147,5108.217519706873,8713.127888639023,1525.5036321955197,3070.1769528882496
148,5096.429896476055,8715.692228420314,1532.6622476254483,2976.5330022985
149,5346.413466926387,8688.92684868988,1523.526845089844,2798.827350639417
150,5938.523396422252,8676.524806933716,1513.977328135128,2707.902457672924
151,6307.000000000044,8648.000000000044,1509.0000000000437,2754.0000000000437
152,7051.000000006568,8648.000000006568,1505.0000000065636,2723.000000006565
153,7512.453015194555,8653.28110061959,1544.120820918369,2901.1058067396884
154,7750.152631263867,8657.45826298769,1541.217844632876,3162.5509768192483
155,8002.272625464142,8723.698035526559,1549.8033984023773,3469.904874414659
156,8118.0913358471225,8759.313174578107,1576.2103966295906,3763.252971385034
157,8108.59986796559,8689.364517740229,1501.1459978651942,3883.4868016985347
158,8134.921454383317,8659.561311870952,1450.7693769263976,3904.7622981137556
159,8308.89881204826,8775.576889403752,1480.1811192660634,4149.37681822758
160,8739.285784655412,8847.721263196132,1532.418366548151,4288.316283422667
161,9232.972002383583,8923.383134526777,1589.222854998999,4401.32173803167
162,9440.7451019777,8913.85336463495,1625.0124815118456,4516.214891510032
163,9221.248948110619,8812.615858466252,1633.5133234424031,4535.72539154005
164,8962.97326375306,8746.583791907085,1588.5414031330156,4481.4866318775585
165,8162.780305620224,8683.87292291591,1597.4149405017167,4413.72475074142
166,7743.658894324931,8704.448064660995,1598.6324520079806,4255.642084319551
167,6835.000000008974,8653.000000008975,1585.0000000089724,4061.000000008972
168,5398.585906059992,8671.00267836026,1558.0551380786976,3780.4128848521123
169,5227.7098511663735,8656.175389564816,1514.205608441807,3569.4846870289725
170,5210.4808826321505,8717.361059288405,1534.4488628296838,3280.3375295887854
171,5261.307342454318,8712.813536688844,1609.4950144628153,3032.7757839721835
172,5983.000000003255,8656.000000003256,1631.0000000032533,2795.000000003254
173,6627.000000001831,8655.000000001832,1658.0000000018301,2564.0000000018304
174,9042.293457447124,8661.86038461472,1699.9351517817724,2531.8822136863046
175,11259.602702304483,8712.69185482614,1723.7992326120263,2437.095466795044
176,11643.00000000631,8645.000000006308,1662.0000000063048,2319.0000000063055
177,11621.000000001852,8650.000000001852,1666.0000000018501,2277.0000000018504
178,11619.000000002141,8650.000000002141,1656.0000000021396,2286.00000000214
179,11617.000000002987,8649.000000002987,1654.0000000029843,2273.000000002985
180,11583.000000001426,8650.000000001426,1635.000000001425,2233.000000001425
181,11516.000000002256,8644.000000002256,1622.0000000022535,2229.0000000022537
182,11532.000000003376,8647.000000003376,1606.0000000033738,2286.000000003374
183,11657.81068991325,8651.085770686059,1585.382234619365,2381.5741959312345
184,11584.204372258051,8662.107852555657,1577.7518061602852,2470.3085422092436
185,11579.000405547898,8690.281033539932,1579.0459754479427,2541.952432783933
186,11485.464186584672,8704.709270443584,1574.6200900992012,2593.491913102381
187,10944.612673798194,8677.994732183706,1614.1371346898402,2540.65988053137
188,9435.00000000748,8647.00000000748,1555.0000000074758,2543.000000007476
189,9026.44568774967,8666.790415618969,1549.8236935674265,2542.632536691447
190,8060.155758112451,8680.090575599566,1573.9121822682982,2530.898939360059
191,7041.000000002558,8655.00000000256,1545.000000002557,2536.0000000025575
192,6057.1875108646145,8729.772742929898,1498.664775417414,2324.644890534949
193,5716.576451161099,8710.206963780947,1474.1743532769674,2306.353322667427
194,5673.963274353611,8696.861171845947,1426.0279642804364,2297.322005878129
195,5730.1674225879015,8724.290794346816,1418.4281427855842,2281.380872154484
196,6437.620612131596,8742.110978777404,1425.5308668751945,2261.0475407971953
197,6788.066504525796,8736.315319765465,1445.279447699536,2239.1226663508482
198,8798.578950421805,8738.965243706742,1436.7913720160639,2257.237640704708
199,10635.23690155212,8745.337497813944,1539.8430901997651,2334.045998087596
200,11425.55460290087,8696.17803887342,1500.0001684390852,2357.1431218306775
201,11423.846522274367,8650.18421522012,1544.925902668913,2306.3822575275417
202,11433.179022367638,8688.452237023621,1551.7605846150225,2312.5654826397113
203,11269.70703198445,8652.685107771524,1545.193824498099,2346.8131596011503
204,11027.000000047165,8488.000000047183,1549.00000004748,2354.0000000473688
205,10986.476396377251,8429.57274080079,1505.709905261769,2337.6546733839295
206,10947.00000000281,8431.000000002809,1486.0000000028074,2480.000000002808
207,11083.000000002356,8555.000000002356,1406.0000000023545,2654.000000002355
208,11512.185446998794,8637.154851608988,1425.4522322640655,2695.089869319076
209,11665.03772588511,8696.56259488031,1562.9394894404957,2678.8924108855367
210,11627.542544727936,8712.576614908772,1558.486635383774,2715.9886989918004
211,11240.028163799947,8835.979199726868,1590.087681470026,2711.8408561140786
212,10039.992211825669,8934.311719168945,1598.5866562062517,2795.20161928708
213,9506.697636869298,8946.871423573779,1593.5903298991802,2778.4350881678847
214,8696.143886138168,8865.289676685456,1552.0407690226994,2532.061228193655
215,7834.2224706629995,8797.354845025791,1554.0298500819665,2503.9407662961667
216,6626.979045660274,8817.28633097577,1554.3129874865988,2409.4399360113553
217,6411.780289052049,8897.30923189677,1541.5009868954064,2373.43847748762
218,6237.892794704042,8800.992394027504,1547.0136867358617,2296.6186092364146
219,6304.92368986469,8792.34563874225,1549.558199363469,2238.476533243774
220,6852.96471142346,8834.72938735773,1554.9858843122179,2200.2590812161116
221,7874.5989961711,8849.71501011992,1560.3902636651555,2144.64130665023
222,10664.520413949724,8879.908471846717,1591.4587785371411,2101.054359010999
223,12485.638804584109,8864.813811456144,1589.3051613370174,2079.742777294843
224,12527.83394913912,8813.843615988088,1619.3895247248965,2031.375272828416
225,12375.165178241787,8778.477309092108,1631.8118028596282,2041.0340533585895
226,12257.696854865691,8693.009787557716,1622.9633079406817,1993.0069865780124
227,12330.834360846375,8697.309583877744,1645.6545735059342,1937.5443755338856
228,12415.000000006381,8640.000000006381,1659.000000006376,1890.0000000063765
229,12461.000000002008,8643.000000002008,1702.0000000020075,1894.0000000020075
230,12498.476530628768,8711.731523850425,1704.841801510306,1875.2251631039003
231,12683.276866136603,8806.755477836823,1687.570825191645,1898.51717834045
232,12542.426426280783,8727.097643788145,1666.8716115121383,1829.4193580009755
233,12373.188543582552,8688.156424563173,1653.643093763363,1757.1213675526205
234,12320.000000004171,8649.00000000417,1652.0000000041666,1658.0000000041666
235,12535.878847371432,8731.101316711598,1611.1501562595404,1590.960304677371
236,11834.317532800673,8834.629037604986,1600.4466707438887,1498.312231002803
237,10524.48758423554,8921.522406748438,1546.2321757106167,1439.9867360187432
238,9635.890096688434,8844.487408356934,1496.9167128140916,1441.702571767708
239,8519.629657380536,8907.680929681148,1491.4755797450464,1437.9512663242722
240,7209.286022741885,8866.34579513309,1470.5508802615207,1332.2063723624403
241,6900.520974826555,8808.850890430887,1454.40183968054,1315.9843098020392
242,6771.402250569832,8720.913239239182,1461.8813667003349,1246.276533844913
243,6805.290027819739,8702.967326842674,1482.3404021025196,1249.0276658156508
244,7417.291287110549,8688.999137797915,1505.758347698895,1242.577102138002
245,8718.927891035264,8675.784749572178,1563.1863813903394,1225.0645517842904
246,10971.000000015032,8648.000000015032,1612.0000000150476,1236.000000015052
247,12178.000000006045,8649.000000006045,1690.00000000604,1265.0000000060397
248,12482.000000002205,8637.000000002205,1717.0000000022026,1334.0000000022023
249,12485.000000002061,8604.000000002061,1730.0000000020593,1290.000000002059
250,12475.114448960801,8587.35282387206,1725.889538139257,1333.0041148253154
251,12533.223472075253,8616.276876254244,1720.6407254083713,1289.223500862231
252,12618.449321298915,8667.563767613598,1750.239277419843,1336.1066677374488
253,12577.672381980603,8706.920214969547,1748.0490480315873,1396.6215097796048
254,12580.884371806627,8739.508863640322,1747.091996601364,1372.5705373071519
255,12556.135544654673,8703.719228394006,1761.910968297925,1467.5871681021856
256,12386.557035598256,8692.832787557907,1755.2738661022872,1540.89695470376
257,12409.146863269507,8712.41905563616,1726.3497017671384,1632.5701910988619
258,12383.640932076612,8693.505120447197,1719.7824112593423,1746.9527594769572
259,12437.159877016866,8728.948263673474,1701.5336122284368,1813.689331324109
260,11057.558698057002,8770.347786299917,1696.635600914535,1851.8899352086053
261,9881.668342847197,8786.189273165199,1672.6888206846904,1932.8396943754062
262,8918.8760920986,8862.511828618724,1649.9357127755163,2005.5429750940148
263,8154.530437188468,8900.810993482468,1652.1107487619838,1986.6503084799842
264,7144.721957432067,8837.134997269826,1642.335600858097,2027.6252844443502
265,6937.346977614777,8847.215590808544,1625.332989149799,2023.4781609249198
266,6809.657198962121,8813.816787758109,1597.415094428098,1908.3350713267635
267,6855.203596541084,8840.11568607154,1580.1617355386732,1825.4649803828079
268,7459.868211686112,8773.868393151222,1579.844233624095,1742.1917463919851
269,8593.463129736097,8767.867337206815,1593.973338047963,1674.0775961304435
270,10725.344837528508,8728.664170363654,1590.8840907262986,1605.0163098063329
271,12626.073040444398,8832.937468566306,1641.1033751185662,1525.6334614272341
272,12750.018556448555,8796.272173654912,1651.4619664768925,1421.640288876233
273,12658.611589758262,8721.138906593113,1750.884369360951,1353.5062348406973
274,12841.410068511972,8834.726672434026,1789.8289928436345,1316.8319473606948
275,12765.245114182311,8838.65694379949,1779.7943256028257,1237.9844504914233
276,12725.701769626136,8858.900386297157,1750.462963882688,1186.789292843478
277,12597.607253879993,8828.98711510562,1779.7400873002352,1151.2949988702321
278,12289.534815576433,8776.476160345777,1816.1772790222776,1157.9929876441688
279,12145.78446687209,8693.170512986386,1822.5808095325087,1111.4788503078933
280,12439.944073538616,8609.087005637857,1803.9432281844431,1073.4874691219854
281,12521.389899999076,8628.99174779977,1846.1088379023277,1040.3318697717173
282,12542.378448192996,8664.757399949922,1852.5283803794312,1031.325388748895
283,11772.109913931145,8704.05352401666,1774.9002202477163,1013.4996657313467
284,10541.796125221485,8706.175230161303,1737.5576752917598,968.3742952248047
285,9779.746481829721,8843.211437383377,1718.7075649746268,909.5993020182163
286,8940.012413885945,8694.564362878173,1635.6413689575932,835.1344474135766
287,8264.59563899475,8741.71426731129,1621.7937923902293,801.6821587388387
288,7326.098652818651,8748.085078508902,1564.389965439709,779.6337679766449
289,6913.063369401109,8689.92317257674,1459.345336630083,783.6094206457645
290,6722.805332111194,8687.776572903362,1434.0628620701636,758.7311312803087
291,6648.338486172199,8725.178090103655,1443.469926393169,782.5180209609741
292,6561.323385662888,8634.863333889436,1428.5284967568975,811.8247578889328
293,6734.37331261196,8642.867387380184,1502.7114003363956,870.2571072663317
