,Fossil Brown coal/Lignite,Hydro Water Reservoir,Wind Onshore
2236,0.49877635578242957,485.00884818003965,0.49877635578242957
2237,0.08250907727568432,587.6792287381847,0.08250907727568432
2238,0.10945139611047465,699.567662938962,0.10945139611047465
2239,0.10879994895647511,701.5678284228923,0.10879994895647511
2240,0.11389503692646807,716.5483736361721,0.11389503692646807
2241,0.11576189278120368,705.5413893297135,0.11576189278120368
2242,0.10457242931860221,652.5860494563469,0.10457242931860221
2243,0.10879046565507848,678.5690133104556,0.10879046565507848
2244,0.10049112608842231,653.6010709738248,0.10049112608842231
2245,0.09865722451314893,649.6091240819505,0.09865722451314893
2246,0.13154386936784637,671.4772211161583,0.13154386936784637
2247,0.13779530293243072,770.4567814471072,0.13779530293243072
2248,0.13572657153965675,768.4686231641529,0.13572657153965675
2249,0.1313594175253749,763.4860777760789,0.1313594175253749
2250,0.12889100383715052,764.4959527566091,0.12889100383715052
2251,0.1238784839600868,745.5153515253971,0.1238784839600868
2252,0.11607950074611044,719.544737418716,0.11607950074611044
2253,0.14845894186819686,658.416195909751,0.14845894186819686
2254,0.19781574652482078,652.2164848639413,0.19781574652482078
2255,0.3411214407814664,489.644799259957,0.3411214407814664
2256,0.43371365154282926,384.27382910702687,0.43371365154282926
2257,61.00283270594854,61.00283270594854,61.00283270594854
2258,62.20270757397281,62.20270757397281,62.20270757397281
2259,60.8026072533036,60.8026072533036,60.8026072533036
2260,0.24238220991465154,380.0442529947523,0.24238220991465154
2261,0.09443263484993815,606.6298206560082,0.09443263484993815
2262,0.11647047777628836,690.540824043508,0.11647047777628836
2263,0.11121236261448977,707.5614146894185,0.11121236261448977
2264,0.11687816439768069,726.5418506664549,0.11687816439768069
2265,0.11588899932920876,727.5459276727013,0.11588899932920876
2266,0.10195930623341648,680.6028619307758,0.10195930623341648
2267,0.11147719922084989,710.5633893128916,0.11147719922084989
2268,0.09423594818981047,652.6327858359616,0.09423594818981047
2269,0.08680454867668479,627.6632834648656,0.08680454867668479
2270,0.08739877535610129,629.6598851083079,0.08739877535610129
2271,0.09069601369223984,642.645566057605,0.09069601369223984
2272,0.08862084039322995,635.6522320379481,0.08862084039322995
2273,0.09306649681773885,650.6340941927051,0.09306649681773885
2274,0.1010725777154411,675.6038610476071,0.1010725777154411
2275,0.09505365502633743,645.6275980572852,0.09505365502633743
2276,0.08811313465867981,622.6544756340539,0.08811313465867981
2277,0.13862594908909673,546.4534233761204,0.13862594908909673
2278,0.24438784659242357,489.0307421479028,0.24438784659242357
2279,0.2086957163759111,432.174002910878,0.2086957163759111
2280,0.3321855130141972,371.67954118626744,0.3321855130141972
2281,0.36135663801088846,327.56321298322194,0.36135663801088846
2282,56.60162496362713,56.60162496362713,56.60162496362713
2283,60.80074715635854,60.80074715635854,60.80074715635854
2284,0.247069752852955,354.0111479005393,0.247069752852955
2285,0.08231637039085285,446.67510738932486,0.08231637039085285
2286,0.10022756833520341,536.609883076999,0.10022756833520341
2287,0.08453813313627029,588.6766446181437,0.08453813313627029
2288,0.0931202224570708,627.6407229054105,0.0931202224570708
2289,0.0923170119390047,634.6461393167071,0.0923170119390047
2290,0.08514249886718327,614.6730961495998,0.08514249886718327
2291,0.08668553523987772,621.6628322606698,0.08668553523987772
2292,0.08965372067102143,629.6503525428378,0.08965372067102143
2293,0.0904122353648985,622.6480095602458,0.0904122353648985
2294,0.09176368768402629,613.6438005088828,0.09176368768402629
2295,0.08885027925692712,598.6553851626126,0.08885027925692712
2296,0.0802149354265482,576.6877932734508,0.0802149354265482
2297,0.0833866719483246,610.6776174963161,0.0833866719483246
2298,0.09512857695196077,655.6320184775532,0.09512857695196077
2299,0.09807683233707691,657.6150832814294,0.09807683233707691
2300,0.09058628237839086,634.6523202357084,0.09058628237839086
2301,0.1937735462063801,555.2320023076684,0.1937735462063801
2302,0.18390064173340018,471.27506525672584,0.18390064173340018
2303,7.646619995833288,7.646619995833288,7.646619995833288
2304,1.256029712633461,1.256029712633461,1.256029712633461
2305,0.6193756013886161,0.6193756013886161,0.6193756013886161
2306,0.5453195834540474,0.5453195834540474,0.5453195834540474
2307,0.6007060769688484,0.6007060769688484,0.6007060769688484
2308,0.7273976091159439,0.7273976091159439,0.7273976091159439
2309,56.79906260073524,56.79906260073524,56.79906260073524
2310,74.40094958865137,74.40094958865137,74.40094958865137
2311,0.4694001599336445,444.1321247444281,0.4694001599336445
2312,0.3727918933450029,477.5198122722329,0.3727918933450029
2313,0.3418737168489872,481.64235135807616,0.3418737168489872
2314,0.3116006266395432,452.7606892953934,0.3116006266395432
2315,0.3025846260944346,434.7913961737959,0.3025846260944346
2316,0.30370663613954857,411.78076885463025,0.30370663613954857
2317,0.2889475626817866,392.83703830058124,0.2889475626817866
2318,0.32165637070811337,383.7072973378895,0.32165637070811337
2319,0.33409367087989855,377.66149365953476,0.33409367087989855
2320,0.3262767985662676,400.7001906456785,0.3262767985662676
2321,0.10140232219004645,517.6039679702728,0.10140232219004645
2322,0.10906609026112082,543.5718346242172,0.10906609026112082
2323,0.09127196664144532,577.6413391812587,0.09127196664144532
2324,0.08458293266889413,566.6696032102476,0.08458293266889413
2325,0.10140119003123288,517.6010583221213,0.10140119003123288
2326,0.28277050873757525,424.8752646896976,0.28277050873757525
2327,0.34817430333378313,340.6124705286657,0.34817430333378313
2328,1.358543912999474,1.358543912999474,1.358543912999474
2329,0.47711424972211675,0.47711424972211675,0.47711424972211675
2330,0.2849338558718436,0.2849338558718436,0.2849338558718436
2331,0.2484667596663541,0.2484667596663541,0.2484667596663541
2332,0.2983883976383912,0.2983883976383912,0.2983883976383912
2333,0.6253221585785764,0.6253221585785764,0.6253221585785764
2334,61.99894570431866,61.99894570431866,61.99894570431866
2335,0.37837932929539575,387.487256724357,0.37837932929539575
2336,0.334002380738426,429.6623569242375,0.334002380738426
2337,0.30626924010745865,438.77077930796037,0.30626924010745865
2338,0.3057146662766331,409.7718129318159,0.3057146662766331
2339,0.3130445847078521,371.7401262304682,0.3130445847078521
2340,0.34181350612301764,344.61453477071666,0.34181350612301764
2341,0.24946096922591493,338.97714014021386,0.24946096922591493
2342,0.2270667572839449,327.06675727383856,0.2270667572839449
2343,0.18723326160816017,287.233261595906,0.18723326160816017
2344,0.22010627824613083,320.1062782357052,0.22010627824613083
2345,0.07661692598358853,402.68659117433674,0.07661692598358853
