,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
0,262.2298844671879,1784.5644427260495,180.15793589572658,226.19829728947064,352.3088524114869,12.01052906682561,8.775572732833413e-05,85.07458084347564,23.020180704305524,2246.969811506901,106.0930066971195,265.23251673199775,8.775572732833413e-05,13.011406488404639,121.1061680211566
1,262.0000000001606,1827.0000000001608,188.00000000016058,230.00000000016058,354.0000000001606,12.000000000160373,1.627031029328061e-10,85.00000000016051,22.0000000001604,2247.0000000001605,106.00000000016054,265.0000000001606,1.627031029328061e-10,13.000000000160371,123.00000000016054
2,262.0000000000646,1807.0000000000646,186.00000000006455,229.00000000006455,352.0000000000646,12.000000000064487,6.463169651553914e-11,85.00000000006453,22.000000000064507,2250.0000000000646,106.00000000006455,266.0000000000646,6.463169651553914e-11,13.000000000064489,125.00000000006455
3,262.0000000000309,1788.000000000031,183.00000000003092,226.00000000003092,353.0000000000309,12.000000000030912,3.0865563833672245e-11,85.00000000003092,22.00000000003092,2251.000000000031,105.00000000003092,266.0000000000309,3.0865563833672245e-11,13.000000000030912,140.00000000003092
4,262.00000000003,1813.00000000003,186.00000000002998,230.00000000002998,354.00000000003,12.000000000029974,2.992775748754479e-11,85.00000000002998,22.00000000002998,2250.00000000003,106.00000000002998,265.00000000003,2.992775748754479e-11,13.000000000029974,142.00000000002998
5,262.00000000002973,1855.0000000000298,187.00000000002973,235.00000000002973,353.00000000002973,12.0000000000297,2.965344208680806e-11,85.00000000002971,22.000000000029704,2251.0000000000296,107.00000000002971,264.00000000002973,2.965344208680806e-11,13.0000000000297,129.00000000002973
6,262.0000000000295,1712.0000000000296,170.0000000000295,239.0000000000295,350.0000000000295,12.000000000029491,2.9445167560695584e-11,86.0000000000295,27.000000000029498,2251.0000000000296,111.0000000000295,266.0000000000295,2.9445167560695584e-11,13.000000000029493,124.0000000000295
7,262.0000000000401,1756.00000000004,177.00000000004007,249.00000000004007,354.0000000000401,12.000000000040044,4.0008164483508574e-11,92.00000000004007,34.00000000004006,2251.00000000004,114.00000000004007,267.0000000000401,2.000000000040006,13.000000000040044,141.00000000004007
8,261.0000000001023,1661.0000000001023,164.0000000001023,230.0000000001023,355.0000000001023,12.000000000102164,1.0293385813431295e-10,90.00000000010226,34.00000000010222,2253.0000000001023,115.00000000010228,267.0000000001023,10.000000000102153,13.000000000102165,148.0000000001023
9,261.0000000001724,1683.0000000001726,173.0000000001724,231.0000000001724,360.00000000017246,12.000000000172204,1.7497576179997095e-10,90.00000000017235,28.000000000172246,2254.0000000001723,112.00000000017236,267.0000000001724,50.0000000001723,13.0000000001722,176.0000000001724
10,262.00000000019344,1819.0000000001935,193.00000000019344,250.00000000019347,363.0000000001935,12.000000000193232,1.9691708734892692e-10,90.00000000019338,26.000000000193257,2254.0000000001937,114.0000000001934,269.00000000019344,112.0000000001934,13.000000000193227,167.00000000019344
11,262.00000000112016,1843.0000000011203,193.00000000112024,247.00000000112013,370.0000000011201,12.00000000112928,1.2825495061766926e-09,90.00000000112072,25.000000001124945,2251.00000000112,117.00000000112047,271.00000000112016,147.00000000112033,13.000000001128642,175.00000000112027
12,262.0000000002907,1846.0000000002908,195.0000000002907,249.00000000029073,373.00000000029075,12.000000000290505,3.00626896427669e-10,87.00000000029057,28.000000000290488,2252.000000000291,120.00000000029061,272.0000000002907,190.00000000029067,13.00000000029049,164.00000000029067
13,262.0000000006581,1811.0000000006585,196.00000000065808,245.00000000065808,360.00000000065813,12.000000000659881,7.133715027575725e-10,85.00000000065808,29.000000000658414,2302.0000000006585,119.00000000065808,271.0000000006581,166.00000000065808,13.000000000659625,143.00000000065808
14,264.3054360319407,1809.090617050978,195.2256061613664,245.28345389366606,352.40724804079383,12.013883461406209,0.00011570461654612735,85.09834115032778,25.028923871692786,2384.7558659725382,122.14114847221538,272.31469166910904,115.13304978969512,13.015040416037433,147.17007233836122
15,262.00000000061357,1815.000000000614,195.00000000061357,244.00000000061357,357.0000000006136,12.000000000614893,6.617756559933173e-10,87.00000000061354,30.000000000613742,2446.000000000614,121.00000000061354,272.00000000061357,31.000000000613724,13.00000000061468,100.00000000061354
16,264.37497009301194,1895.6887059810037,196.27838688836547,248.35224463309473,358.5084821700275,12.01704409949226,272.38633282297053,85.12072901020434,74.10510525651574,2450.475575030708,122.17328163625444,272.38633282297053,2.0028406873623865,13.018464440726138,69.09800355029421
17,265.7038104053895,2111.5933007904946,202.53648944164192,257.68256329888186,358.9508080185419,12.031870662130304,897.3770200428772,83.22043873234759,130.34526548307565,2454.5016145937034,124.32933015319529,275.7303692885242,0.0002655918546840193,14.03718243875125,51.13545030632282
18,265.61245146989285,2319.347972437238,200.46222752510377,258.5962735066078,359.82969840543586,12.027733654081672,744.7171752485108,87.20106897493933,72.1664019107596,2453.6576648772693,124.28658106658462,276.63787398362655,0.0002311173569138459,14.032355929297564,51.11786802090951
19,265.63319514726606,2501.9639814408433,211.50416670268976,259.61885865342424,362.864968464377,12.0286729903264,801.911532514842,86.20548974765974,122.29150871070671,2454.851678905748,122.29150871070671,277.6618681349498,0.00023894501199496954,14.033451821599236,58.1385861097364
20,266.77956728363307,2644.7282666239103,216.63303208033813,258.7561216511059,359.0491920576965,12.035168450931167,672.9665024303263,85.2491098477109,77.22566421518468,2456.177294259518,120.35168449001443,275.80594362022623,0.0002930730873338445,14.04102985905838,67.19635717452714
