"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 00:00 - 01.01.2018 00:15","42237","45462"
"01.01.2018 00:15 - 01.01.2018 00:30","41456","44920"
"01.01.2018 00:30 - 01.01.2018 00:45","41009","44668"
"01.01.2018 00:45 - 01.01.2018 01:00","40521","44461"
"01.01.2018 01:00 - 01.01.2018 01:15","40034","44354"
"01.01.2018 01:15 - 01.01.2018 01:30","39615","44038"
"01.01.2018 01:30 - 01.01.2018 01:45","39221","43512"
"01.01.2018 01:45 - 01.01.2018 02:00","38966","43362"
"01.01.2018 02:00 - 01.01.2018 02:15","38600","43244"
"01.01.2018 02:15 - 01.01.2018 02:30","38486","42820"
"01.01.2018 02:30 - 01.01.2018 02:45","38366","42781"
"01.01.2018 02:45 - 01.01.2018 03:00","38295","42435"
"01.01.2018 03:00 - 01.01.2018 03:15","38204","42245"
"01.01.2018 03:15 - 01.01.2018 03:30","38231","42078"
"01.01.2018 03:30 - 01.01.2018 03:45","38273","41955"
"01.01.2018 03:45 - 01.01.2018 04:00","38335","41929"
"01.01.2018 04:00 - 01.01.2018 04:15","38475","42096"
"01.01.2018 04:15 - 01.01.2018 04:30","38574","42001"
"01.01.2018 04:30 - 01.01.2018 04:45","38629","42104"
"01.01.2018 04:45 - 01.01.2018 05:00","38570","42045"
"01.01.2018 05:00 - 01.01.2018 05:15","38911","42173"
"01.01.2018 05:15 - 01.01.2018 05:30","38707","41945"
"01.01.2018 05:30 - 01.01.2018 05:45","38690","41794"
"01.01.2018 05:45 - 01.01.2018 06:00","38366","41394"
"01.01.2018 06:00 - 01.01.2018 06:15","37603","40880"
"01.01.2018 06:15 - 01.01.2018 06:30","37870","40728"
"01.01.2018 06:30 - 01.01.2018 06:45","37824","40713"
"01.01.2018 06:45 - 01.01.2018 07:00","38082","40907"
"01.01.2018 07:00 - 01.01.2018 07:15","38434","41095"
"01.01.2018 07:15 - 01.01.2018 07:30","38869","41206"
"01.01.2018 07:30 - 01.01.2018 07:45","39620","41473"
"01.01.2018 07:45 - 01.01.2018 08:00","40698","41718"
"01.01.2018 08:00 - 01.01.2018 08:15","41561","42033"
"01.01.2018 08:15 - 01.01.2018 08:30","42075","42021"
"01.01.2018 08:30 - 01.01.2018 08:45","42643","42415"
"01.01.2018 08:45 - 01.01.2018 09:00","43254","42884"
"01.01.2018 09:00 - 01.01.2018 09:15","44312","43876"
"01.01.2018 09:15 - 01.01.2018 09:30","45197","44348"
"01.01.2018 09:30 - 01.01.2018 09:45","45599","45015"
"01.01.2018 09:45 - 01.01.2018 10:00","46087","45641"
"01.01.2018 10:00 - 01.01.2018 10:15","46917","46399"
"01.01.2018 10:15 - 01.01.2018 10:30","47723","46879"
"01.01.2018 10:30 - 01.01.2018 10:45","48218","47511"
"01.01.2018 10:45 - 01.01.2018 11:00","48844","47983"
"01.01.2018 11:00 - 01.01.2018 11:15","49587","48869"
"01.01.2018 11:15 - 01.01.2018 11:30","50225","49472"
"01.01.2018 11:30 - 01.01.2018 11:45","50852","50142"
"01.01.2018 11:45 - 01.01.2018 12:00","51823","50409"
"01.01.2018 12:00 - 01.01.2018 12:15","51064","50822"
"01.01.2018 12:15 - 01.01.2018 12:30","50948","51045"
"01.01.2018 12:30 - 01.01.2018 12:45","50660","51317"
"01.01.2018 12:45 - 01.01.2018 13:00","50197","51276"
"01.01.2018 13:00 - 01.01.2018 13:15","49845","50783"
"01.01.2018 13:15 - 01.01.2018 13:30","49182","50269"
"01.01.2018 13:30 - 01.01.2018 13:45","48718","50188"
"01.01.2018 13:45 - 01.01.2018 14:00","48191","49654"
"01.01.2018 14:00 - 01.01.2018 14:15","47782","49292"
"01.01.2018 14:15 - 01.01.2018 14:30","47295","49088"
"01.01.2018 14:30 - 01.01.2018 14:45","47199","49402"
"01.01.2018 14:45 - 01.01.2018 15:00","47133","49104"
"01.01.2018 15:00 - 01.01.2018 15:15","46825","49228"
"01.01.2018 15:15 - 01.01.2018 15:30","46975","49288"
"01.01.2018 15:30 - 01.01.2018 15:45","47197","49317"
"01.01.2018 15:45 - 01.01.2018 16:00","47196","49285"
"01.01.2018 16:00 - 01.01.2018 16:15","47769","49926"
"01.01.2018 16:15 - 01.01.2018 16:30","47984","50646"
"01.01.2018 16:30 - 01.01.2018 16:45","48068","51773"
"01.01.2018 16:45 - 01.01.2018 17:00","49838","53140"
"01.01.2018 17:00 - 01.01.2018 17:15","51269","54244"
"01.01.2018 17:15 - 01.01.2018 17:30","52076","54768"
"01.01.2018 17:30 - 01.01.2018 17:45","52696","55217"
"01.01.2018 17:45 - 01.01.2018 18:00","52979","55459"
"01.01.2018 18:00 - 01.01.2018 18:15","53437","55733"
