,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-12-31 23:00:00+00:00,340.0,364.0,10.0,270.0,8.0,377.0,102.0,262.0,2.0,46.0,1.0,41.0,0.0,1502.0
2018-01-01 00:00:00+00:00,218.0,380.0,10.0,270.0,7.0,369.0,65.0,279.0,2.0,79.0,1.0,152.0,0.0,1603.0
2018-01-01 01:00:00+00:00,221.0,381.0,11.0,271.0,7.0,339.0,255.0,248.0,2.0,79.0,1.0,153.0,0.0,1559.0
2018-01-01 02:00:00+00:00,216.0,381.0,10.0,270.0,8.0,602.0,668.0,179.0,2.0,119.0,1.0,153.0,0.0,1543.0
2018-01-01 03:00:00+00:00,215.0,381.0,11.0,270.0,8.0,273.0,759.0,172.0,2.0,67.0,1.0,153.0,0.0,1797.0
2018-01-01 04:00:00+00:00,212.0,380.0,10.0,270.0,8.0,48.0,895.0,168.0,2.0,67.0,1.0,153.0,0.0,2014.0
2018-01-01 05:00:00+00:00,213.0,380.0,11.0,270.0,8.0,0.0,1361.0,158.0,2.0,67.0,1.0,153.0,0.0,2454.0
2018-01-01 06:00:00+00:00,215.0,381.0,11.0,270.0,7.0,0.0,1675.0,160.0,2.0,70.0,1.0,154.0,0.0,2869.0
2018-01-01 07:00:00+00:00,212.0,380.0,11.0,271.0,7.0,0.0,1919.0,158.0,2.0,70.0,1.0,155.0,0.0,3116.0
2018-01-01 08:00:00+00:00,213.0,379.0,11.0,270.0,8.0,0.0,1790.0,189.0,2.0,73.0,1.0,155.0,41.0,3058.0
2018-01-01 09:00:00+00:00,215.0,378.0,10.0,270.0,8.0,0.0,1728.0,204.0,2.0,127.0,4.0,157.0,147.0,3120.0
2018-01-01 10:00:00+00:00,214.0,377.0,10.0,270.0,8.0,0.0,1966.0,217.0,2.0,113.0,4.0,156.0,229.0,3305.0
2018-01-01 11:00:00+00:00,217.0,374.0,10.0,271.0,7.0,0.0,1605.0,218.0,2.0,113.0,4.0,149.0,259.0,3336.0
2018-01-01 12:00:00+00:00,217.0,373.0,10.0,270.0,7.0,0.0,1409.0,240.0,2.0,66.0,4.0,152.0,256.0,3362.0
2018-01-01 13:00:00+00:00,216.0,371.0,10.0,271.0,7.0,0.0,1430.0,200.0,2.0,61.0,4.0,149.0,223.0,3323.0
2018-01-01 14:00:00+00:00,222.0,371.0,10.0,270.0,7.0,0.0,1364.0,199.0,2.0,66.0,4.0,154.0,202.0,3264.0
2018-01-01 15:00:00+00:00,219.0,371.0,10.0,270.0,9.0,0.0,1300.0,197.0,2.0,66.0,4.0,151.0,138.0,3015.0
2018-01-01 16:00:00+00:00,216.0,373.0,10.0,270.0,10.0,74.0,1159.0,197.0,2.0,66.0,4.0,144.0,55.0,2839.0
2018-01-01 17:00:00+00:00,215.0,374.0,10.0,270.0,12.0,119.0,1051.0,223.0,2.0,102.0,4.0,149.0,1.0,2678.0
