,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Oil shale,Fossil Peat,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Onshore
2018-01-01 01:00:00+02:00,68.0,53.0,1.0,708.0,5.0,3.0,0.0,6.0,1.0,16.0,71.0
2018-01-01 02:00:00+02:00,71.0,51.0,1.0,712.0,5.0,3.0,0.0,6.0,1.0,16.0,80.0
2018-01-01 03:00:00+02:00,73.0,51.0,1.0,774.0,5.0,3.0,0.0,6.0,1.0,15.0,86.0
2018-01-01 04:00:00+02:00,70.0,48.0,1.0,808.0,4.0,3.0,0.0,6.0,1.0,16.0,74.0
2018-01-01 05:00:00+02:00,71.0,51.0,1.0,812.0,4.0,3.0,0.0,6.0,1.0,16.0,71.0
2018-01-01 06:00:00+02:00,71.0,52.0,1.0,813.0,4.0,3.0,0.0,6.0,1.0,15.0,74.0
2018-01-01 07:00:00+02:00,70.0,51.0,1.0,735.0,4.0,3.0,0.0,6.0,1.0,15.0,69.0
2018-01-01 08:00:00+02:00,71.0,50.0,1.0,713.0,4.0,3.0,0.0,6.0,1.0,15.0,62.0
2018-01-01 09:00:00+02:00,70.0,50.0,1.0,691.0,4.0,3.0,0.0,6.0,1.0,16.0,60.0
2018-01-01 10:00:00+02:00,69.0,53.0,1.0,677.0,4.0,3.0,0.0,6.0,1.0,16.0,61.0
2018-01-01 11:00:00+02:00,68.0,52.0,1.0,662.0,4.0,3.0,0.0,6.0,1.0,16.0,57.0
2018-01-01 12:00:00+02:00,69.0,50.0,1.0,649.0,4.0,3.0,0.0,6.0,1.0,16.0,56.0
2018-01-01 13:00:00+02:00,68.0,49.0,1.0,611.0,4.0,3.0,0.0,6.0,1.0,16.0,68.0
2018-01-01 14:00:00+02:00,68.0,51.0,1.0,625.0,4.0,3.0,0.0,6.0,1.0,15.0,73.0
2018-01-01 15:00:00+02:00,68.0,52.0,1.0,647.0,4.0,3.0,0.0,6.0,1.0,15.0,71.0
2018-01-01 16:00:00+02:00,71.0,53.0,1.0,729.0,4.0,3.0,0.0,6.0,1.0,15.0,91.0
2018-01-01 17:00:00+02:00,72.0,52.0,1.0,748.0,4.0,3.0,0.0,6.0,1.0,13.0,128.0
2018-01-01 18:00:00+02:00,73.0,54.0,1.0,691.0,5.0,3.0,0.0,6.0,1.0,15.0,142.0
2018-01-01 19:00:00+02:00,73.0,53.0,1.0,679.0,5.0,3.0,0.0,6.0,1.0,15.0,169.0
2018-01-01 20:00:00+02:00,74.0,52.0,1.0,639.0,5.0,3.0,0.0,6.0,1.0,15.0,188.0
2018-01-01 21:00:00+02:00,75.0,54.0,1.0,703.0,5.0,3.0,0.0,6.0,1.0,14.0,181.0
2018-01-01 22:00:00+02:00,76.0,54.0,1.0,764.0,5.0,3.0,0.0,6.0,1.0,14.0,182.0
2018-01-01 23:00:00+02:00,75.0,53.0,1.0,712.0,5.0,3.0,0.0,6.0,1.0,13.0,178.0
2018-01-02 00:00:00+02:00,74.0,54.0,1.0,649.0,5.0,3.0,0.0,6.0,1.0,14.0,182.0
2018-01-02 01:00:00+02:00,72.0,49.0,1.0,716.0,5.0,3.0,0.0,6.0,1.0,15.0,191.0
2018-01-02 02:00:00+02:00,71.0,50.0,1.0,711.0,5.0,3.0,0.0,6.0,1.0,15.0,199.0
