,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2018-01-01 01:00:00+02:00,51.0,46.0,0.0,14.0,105.0,21.0,0.0,19.0,363.0
2018-01-01 02:00:00+02:00,51.0,46.0,0.0,14.0,106.0,21.0,0.0,19.0,347.0
2018-01-01 03:00:00+02:00,51.0,46.0,0.0,14.0,104.0,22.0,0.0,19.0,288.0
2018-01-01 04:00:00+02:00,51.0,46.0,0.0,14.0,76.0,21.0,0.0,19.0,276.0
2018-01-01 05:00:00+02:00,52.0,46.0,0.0,14.0,76.0,21.0,0.0,19.0,257.0
2018-01-01 06:00:00+02:00,52.0,46.0,0.0,14.0,105.0,21.0,0.0,19.0,269.0
2018-01-01 07:00:00+02:00,52.0,46.0,0.0,123.0,105.0,21.0,0.0,19.0,289.0
2018-01-01 08:00:00+02:00,52.0,46.0,0.0,14.0,105.0,21.0,1.0,19.0,306.0
2018-01-01 09:00:00+02:00,51.0,45.0,0.0,14.0,105.0,19.0,1.0,19.0,342.0
2018-01-01 10:00:00+02:00,51.0,45.0,0.0,14.0,105.0,21.0,2.0,19.0,365.0
2018-01-01 11:00:00+02:00,51.0,45.0,0.0,0.0,106.0,21.0,3.0,19.0,384.0
2018-01-01 12:00:00+02:00,51.0,45.0,0.0,0.0,105.0,21.0,3.0,19.0,405.0
2018-01-01 13:00:00+02:00,51.0,45.0,0.0,0.0,105.0,20.0,3.0,19.0,364.0
2018-01-01 14:00:00+02:00,51.0,45.0,0.0,0.0,105.0,20.0,1.0,19.0,331.0
2018-01-01 15:00:00+02:00,51.0,45.0,0.0,0.0,105.0,19.0,0.0,19.0,263.0
2018-01-01 16:00:00+02:00,51.0,45.0,0.0,0.0,105.0,20.0,0.0,19.0,214.0
