"Production Type","2018 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","N/A"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","6594"
"Hydro Run-of-river and poundage","529"
"Hydro Water Reservoir","5405"
"Marine","n/e"
"Nuclear","3373"
"Other","n/e"
"Other renewable","n/e"
"Solar","N/A"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","N/A"
"Total Grand capacity","15901"
