"Production Type","2018 [MW]"
"Biomass","1813"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1865"
"Fossil Hard coal","2278"
"Fossil Oil","1386"
"Fossil Oil shale","n/e"
"Fossil Peat","1135"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","3149"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","2782"
"Other","362"
"Other renewable","257"
"Solar","n/e"
"Waste","157"
"Wind Offshore","n/e"
"Wind Onshore","1908"
"Total Grand capacity","17092"
